Biomarker_ID,Species_common,Weigh_date,Extraction_date,sample_on_foil_mg,foil_post_sample_mg,sample_extracted_mass_mg,Notes
B_057,Limpet,2/26/2019,3/4/2019,20.45,0,20.45,
B_058,Limpet,3/19/2019,3/19/2019,15.45,0,15.45,
B_060,Sugar kelp,2/26/2019,2/27/2019,30.16,0.14,30.02,
B_061,Sugar kelp,2/26/2019,2/27/2019,30.38,0,30.38,
B_062,Sugar kelp,2/26/2019,2/28/2019,31.71,0.05,31.66,
B_063,Eelgrass,2/26/2019,2/28/2019,30.41,0.15,30.26,
B_064,Eelgrass,2/26/2019,2/28/2019,30.61,0,30.61,
B_066,Fucus,2/26/2019,2/28/2019,34.55,-0.05,34.6,
B_067,Fucus,2/26/2019,3/1/2019,33.77,0,33.77,
B_069,Ulva,2/26/2019,3/1/2019,30.51,0.06,30.45,
B_070,Ulva,2/26/2019,3/1/2019,31.24,0,31.24,
B_078,Idotea,2/26/2019,3/4/2019,21.89,0.11,21.78,
B_079,Idotea,2/26/2019,3/1/2019,24.49,0.09,24.4,
B_080,Butter clam,2/26/2019,3/4/2019,20.22,0,20.22,
B_081,Butter clam,2/26/2019,3/4/2019,21.38,0.26,21.12,
B_086,Pointed Macoma,2/26/2019,3/4/2019,21.34,0.15,21.19,
B_088,Limpet,3/2/2019,3/5/2019,21.02,0.07,20.95,
B_089,Limpet,3/19/2019,3/19/2019,14.26,0,14.26,
B_090,Red rock crab,3/2/2019,3/5/2019,21.11,0.05,21.06,
B_091,Helmet crab,3/2/2019,3/5/2019,21.27,0,21.27,
B_092,Helmet crab,3/2/2019,3/5/2019,20.77,0,20.77,
B_093,Helmet crab,3/2/2019,3/5/2019,20.5,0,20.5,
B_094,Graceful crab,3/2/2019,3/5/2019,20.55,0,20.55,
B_095,Graceful crab,3/2/2019,3/5/2019,21.58,0.29,21.29,
B_096,Helmet crab,3/2/2019,3/5/2019,20.46,0,20.46,
B_101,Ulva,3/2/2019,3/5/2019,32.09,0,32.09,
B_102,Ulva,3/2/2019,3/5/2019,21.81,0,21.81,
B_104,Eelgrass,2/25/2019,2/25/2019,32.71,0.15,32.56,
B_105,Eelgrass,3/2/2019,3/5/2019,33.28,0.09,33.19,
B_106,Eelgrass,3/2/2019,3/5/2019,33.83,0,33.83,
B_107,Fucus,3/2/2019,3/5/2019,32.81,0,32.81,
B_108,Fucus,3/2/2019,3/5/2019,30.93,0,30.93,
B_110,Sugar kelp,3/2/2019,3/6/2019,31.43,0.09,31.34,
B_111,Sugar kelp,3/2/2019,3/6/2019,32.81,0,32.81,
B_113,Limpet,3/2/2019,3/6/2019,21.21,0,21.21,
B_115,Limpet,3/2/2019,3/6/2019,20.34,0.08,20.26,
B_116,Idotea,3/2/2019,3/6/2019,23.17,-0.09,23.26,
B_117,Idotea,3/2/2019,3/6/2019,20.63,-0.1,20.73,
B_119,Bentnose Macoma,3/3/2019,3/6/2019,20.6,0,20.6,
B_120,Bentnose Macoma,3/3/2019,3/6/2019,21.27,0.25,21.02,
B_122,Butter clam,3/3/2019,3/6/2019,15.1,0.21,14.89,
B_130,Eelgrass,3/3/2019,3/6/2019,31.86,0.07,31.79,
B_131,Eelgrass,3/3/2019,3/6/2019,30.66,0.24,30.42,
B_134,Sugar kelp,3/3/2019,3/6/2019,31.91,0.09,31.82,
B_135,Sugar kelp,3/3/2019,3/6/2019,32.05,0.18,31.87,
B_136,Fucus,3/3/2019,3/6/2019,31.54,0,31.54,
B_137,Fucus,3/3/2019,3/9/2019,30.64,0,30.64,error in extraction
B_137,Fucus,3/8/2019,3/9/2019,25.13,0.16,24.97,
B_139,Ulva,3/3/2019,3/9/2019,30.55,0,30.55,error in extraction
B_139,Ulva,3/8/2019,3/9/2019,24.73,0,24.73,
B_140,Ulva,3/3/2019,3/9/2019,32.91,0.21,32.7,error in extraction
B_140,Ulva,3/8/2019,3/9/2019,24.57,0.38,24.19,
B_143,Limpet,3/3/2019,3/9/2019,21.05,0,21.05,error in extraction
B_143,Limpet,3/8/2019,3/9/2019,14.87,0.05,14.82,
B_144,Limpet,3/3/2019,3/9/2019,20.14,0,20.14,error in extraction
B_144,Limpet,3/8/2019,3/9/2019,14.02,0.09,13.93,
B_150,Idotea,3/3/2019,3/9/2019,21.14,0,21.14,error in extraction
B_150,Idotea,3/8/2019,3/9/2019,15.26,0.2,15.06,
B_151,Idotea,3/3/2019,3/9/2019,22.57,0,22.57,error in extraction
B_151,Idotea,3/8/2019,3/9/2019,16.45,0,16.45,
B_157,Bentnose Macoma,3/3/2019,3/9/2019,20.16,0.1,20.06,error in extraction
B_157,Bentnose Macoma,3/8/2019,3/9/2019,14.16,0,14.16,
B_158,Bentnose Macoma,3/3/2019,3/9/2019,20.85,0.06,20.79,error in extraction
B_158,Bentnose Macoma,3/8/2019,3/9/2019,14.78,0.05,14.73,
B_160,Butter clam,3/3/2019,,19.4,0.11,19.29,error in extraction
B_160,Butter clam,3/8/2019,,,,0,
B_161,Ulva,3/3/2019,3/9/2019,31.84,0,31.84,error in extraction
B_161,Ulva,3/8/2019,3/9/2019,24.29,0,24.29,
B_162,Ulva,3/3/2019,3/9/2019,32.76,0.09,32.67,error in extraction
B_162,Ulva,3/8/2019,3/9/2019,24.76,0,24.76,
B_164,Sugar kelp,3/6/2019,3/9/2019,24.06,0.57,23.49,error in extraction
B_164,Sugar kelp,3/8/2019,3/9/2019,26.19,0.34,25.85,
B_165,Eelgrass,3/6/2019,3/9/2019,23.85,0,23.85,error in extraction
B_165,Eelgrass,3/8/2019,3/9/2019,25.26,0.23,25.03,
B_166,Eelgrass,3/6/2019,3/11/2019,24.68,0.06,24.62,error in extraction
B_166,Eelgrass,3/10/2019,3/11/2019,25.01,0.13,24.88,
B_168,Fucus,3/6/2019,3/11/2019,25.71,-0.1,25.81,error in extraction
B_168,Fucus,3/10/2019,3/11/2019,24.55,0,24.55,
B_169,Fucus,3/6/2019,3/11/2019,25.63,0.07,25.56,error in extraction
B_169,Fucus,3/10/2019,3/11/2019,24.39,0,24.39,
B_171,Limpet,3/6/2019,3/11/2019,15.79,0,15.79,error in extraction
B_171,Limpet,3/10/2019,3/11/2019,14.44,0,14.44,
B_172,Limpet,3/6/2019,3/11/2019,14.11,0,14.11,error in extraction
B_172,Limpet,3/10/2019,3/11/2019,13.94,0.13,13.81,
B_179,Idotea,3/6/2019,3/11/2019,16.45,0.23,16.22,error in extraction
B_179,Idotea,3/10/2019,3/11/2019,15.71,0,15.71,
B_180,Idotea,3/6/2019,3/11/2019,14.35,0,14.35,error in extraction
B_180,Idotea,3/10/2019,3/11/2019,15.36,0,15.36,
B_182,Butter clam,3/6/2019,3/11/2019,14.49,0,14.49,error in extraction
B_182,Butter clam,3/10/2019,3/11/2019,15.31,0,15.31,
B_183,Bentnose Macoma,3/6/2019,3/11/2019,15.72,0,15.72,error in extraction
B_183,Bentnose Macoma,3/10/2019,3/11/2019,13.91,0.08,13.83,
B_184,Pointed Macoma,3/6/2019,3/11/2019,14.74,0,14.74,error in extraction
B_184,Pointed Macoma,3/10/2019,3/11/2019,13.82,0,13.82,
B_185,Helmet crab,3/6/2019,3/11/2019,16.62,0.05,16.57,error in extraction
B_185,Helmet crab,3/10/2019,3/11/2019,14.5,0,14.5,
B_186,Helmet crab,3/6/2019,3/11/2019,15.24,0,15.24,error in extraction
B_186,Helmet crab,3/10/2019,3/11/2019,14.88,0,14.88,
B_191,Staghorn sculpin,3/6/2019,3/11/2019,14.86,0,14.86,error in extraction
B_191,Staghorn sculpin,3/10/2019,3/11/2019,13.96,0.05,13.91,
B_192,Staghorn sculpin,3/6/2019,3/11/2019,15.35,0,15.35,error in extraction
B_192,Staghorn sculpin,3/10/2019,3/11/2019,14.57,0,14.57,
B_195,Graceful crab,3/10/2019,3/11/2019,15.97,0.08,15.89,
B_197,Graceful crab,3/10/2019,3/11/2019,14.52,0,14.52,
B_198,Helmet crab,3/11/2019,3/12/2019,14.83,0,14.83,
B_201,Helmet crab,3/11/2019,3/12/2019,15,0.07,14.93,
B_202,Helmet crab,3/11/2019,3/12/2019,14.76,0.06,14.7,
B_204,Graceful crab,3/11/2019,3/12/2019,14.63,0.1,14.53,
B_205,Graceful crab,3/11/2019,3/12/2019,15.61,0.2,15.41,
B_207,Graceful crab,3/11/2019,3/12/2019,14.9,0.07,14.83,
B_208,Particulate organic matter,3/11/2019,3/12/2019,19.8,0.72,19.08,
B_209,Particulate organic matter,3/11/2019,3/12/2019,19.88,0,19.88,
B_212,Particulate organic matter,3/11/2019,3/12/2019,20.49,0,20.49,
B_213,Particulate organic matter,3/11/2019,3/12/2019,19.74,0.1,19.64,
B_217,Particulate organic matter,3/11/2019,3/12/2019,19.85,0,19.85,
B_218,Particulate organic matter,3/11/2019,3/12/2019,24.93,0,24.93,
B_226,Particulate organic matter,3/11/2019,3/12/2019,19.17,0,19.17,
B_228,Particulate organic matter,3/11/2019,3/12/2019,24.69,0,24.69,
B_229,Particulate organic matter,3/11/2019,3/12/2019,24.62,0,24.62,
B_231,Particulate organic matter,3/11/2019,3/12/2019,24.37,0,24.37,
B_232,Particulate organic matter,3/12/2019,3/13/2019,25.25,0.05,25.2,
B_239,Shiner perch,3/12/2019,3/13/2019,15.93,0.49,15.44,
B_241,Shiner perch,3/12/2019,3/13/2019,14.55,0.21,14.34,
B_242,Dock shrimp,3/12/2019,3/13/2019,14.7,0,14.7,
B_244,Dock shrimp,3/12/2019,3/13/2019,15.4,-0.05,15.45,
B_247,Staghorn sculpin,3/12/2019,3/13/2019,15.69,0,15.69,
B_248,Staghorn sculpin,3/12/2019,3/13/2019,14.27,0,14.27,
B_250,Dock shrimp,3/12/2019,3/13/2019,15.17,0,15.17,
B_251,Dock shrimp,3/12/2019,3/13/2019,14.79,0.05,14.74,
B_254,Snake prickleback,3/19/2019,3/19/2019,15.87,-0.05,15.92,
B_255,Snake prickleback,3/12/2019,3/13/2019,14.33,0.08,14.25,
B_256,Snake prickleback,3/12/2019,3/13/2019,14.49,0.16,14.33,
B_259,Shiner perch,3/12/2019,3/13/2019,15.32,0.16,15.16,
B_260,Shiner perch,3/12/2019,3/13/2019,14.76,0.19,14.57,
B_262,Staghorn sculpin,3/12/2019,3/13/2019,15.95,0.57,15.38,
B_265,Staghorn sculpin,3/12/2019,3/13/2019,14.45,0.17,14.28,
B_266,Limpet,3/12/2019,3/13/2019,16.06,0.15,15.91,
B_267,Dock shrimp,3/13/2019,3/14/2019,15.06,0.05,15.01,
B_268,Dock shrimp,3/13/2019,3/14/2019,15.51,0,15.51,
B_270,Shiner perch,3/13/2019,3/14/2019,14.95,0,14.95,
B_271,Shiner perch,3/13/2019,3/14/2019,15.55,0.2,15.35,
B_273,Snake prickleback,3/13/2019,3/14/2019,14.78,0.09,14.69,
B_274,Snake prickleback,3/13/2019,3/14/2019,15.45,0,15.45,
B_276,Staghorn sculpin,3/13/2019,3/14/2019,15.27,0,15.27,
B_277,Staghorn sculpin,3/13/2019,3/14/2019,15.43,0.27,15.16,
B_278,Eelgrass diatoms,3/13/2019,3/14/2019,24.81,0.13,24.68,
B_280,Eelgrass diatoms,3/13/2019,3/14/2019,25.22,0,25.22,
B_281,Eelgrass diatoms,3/13/2019,3/14/2019,24.72,0,24.72,
B_284,Shiner perch,3/13/2019,3/14/2019,14.48,0.06,14.42,
B_285,Shiner perch,3/13/2019,3/14/2019,15.67,0.07,15.6,
B_287,Staghorn sculpin,2/25/2019,2/25/2019,22.86,1.05,21.81,
B_288,Staghorn sculpin,3/13/2019,3/14/2019,15.04,0.1,14.94,
B_291,Snake prickleback,3/13/2019,3/14/2019,15.4,0.07,15.33,
B_292,Snake prickleback,3/13/2019,3/14/2019,15.42,0.31,15.11,
B_293,Dock shrimp,3/14/2019,3/14/2019,14.72,0.08,14.64,
B_294,Dock shrimp,3/14/2019,3/15/2019,15.79,0.16,15.63,
B_295,Dock shrimp,3/14/2019,3/15/2019,15.05,0,15.05,
B_296,Red rock crab,3/14/2019,3/15/2019,14.75,0.05,14.7,
B_299,Red rock crab,3/14/2019,3/15/2019,15.26,0.05,15.21,
B_301,Red rock crab,3/14/2019,3/15/2019,15.26,0.14,15.12,
B_302,Graceful crab,3/14/2019,3/15/2019,15.52,0.05,15.47,
B_304,Red rock crab,3/14/2019,3/15/2019,14.43,0.05,14.38,
B_305,Red rock crab,3/14/2019,3/15/2019,15.21,0.09,15.12,
B_307,Graceful crab,3/14/2019,3/15/2019,15.02,0.05,14.97,
B_308,Shiner perch,3/14/2019,3/15/2019,14.63,0,14.63,
B_310,Shiner perch,3/14/2019,3/15/2019,15.3,0,15.3,
B_315,Snake prickleback,3/14/2019,3/15/2019,14.81,0.15,14.66,
B_317,Snake prickleback,3/14/2019,3/15/2019,15.32,0.08,15.24,
B_318,Eelgrass diatoms,3/14/2019,3/15/2019,25.71,0,25.71,
B_319,Eelgrass diatoms,3/14/2019,3/15/2019,24.1,0.28,23.82,
B_320,Dock shrimp,3/16/2019,3/18/2019,14.28,0.08,14.2,
B_321,Dock shrimp,3/16/2019,3/18/2019,15.49,0,15.49,
B_322,Dock shrimp,3/16/2019,3/18/2019,14.5,0.06,14.44,
B_325,Shiner perch,3/16/2019,3/18/2019,15.68,0.07,15.61,
B_326,Shiner perch,3/16/2019,3/18/2019,14.77,0,14.77,
B_330,Staghorn sculpin,3/16/2019,3/18/2019,14.38,0,14.38,
B_331,Staghorn sculpin,3/16/2019,3/18/2019,15.32,0,15.32,
B_333,Snake prickleback,3/16/2019,3/18/2019,15.15,0.1,15.05,
B_335,Snake prickleback,3/16/2019,3/18/2019,15.71,0.13,15.58,
B_339,Eelgrass diatoms,3/16/2019,3/18/2019,25.28,0,25.28,
B_340,Eelgrass diatoms,3/16/2019,3/18/2019,24.89,0,24.89,
B_341,Eelgrass diatoms,3/16/2019,3/18/2019,24.53,0.19,24.34,
B_342,Macoma sp.,3/17/2019,3/19/2019,14.33,0,14.33,
B_343,Sugar kelp,3/17/2019,3/19/2019,25.51,0.08,25.43,
B_346,Macoma sp.,3/17/2019,3/19/2019,14.86,0,14.86,
B_348,Helmet crab,3/17/2019,3/19/2019,15.11,0,15.11,
B_356,Butter clam,3/17/2019,3/19/2019,14.66,0,14.66,
B_357,Butter clam,3/17/2019,3/19/2019,15.27,-0.07,15.34,
B_358,Butter clam,3/17/2019,3/19/2019,15.2,0.07,15.13,
C19_2.25,C19,2/25/2019,2/25/2019,6.72,0.13,6.59,6.5ml
C19_2.27,C19,2/27/2019,3/9/2019,10.42,0.47,9.95,10ml
C19_3.10,C19,3/10/2019,,10.68,0.32,10.36,10ml
