"site","place_name","date","date_julian","latitude","longitude","site_start_time","site_end_time","tide_height_m","tide_time","secondary_observer","transect_start_time","transect_end_time","depth_m","dens_surv_avg","pop_mod_dens","n_pits","prop_otter_shells","sea_otter_index_tr","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","light_intensity_umol.m2.sec_air","light_intensity_umol.m2.sec_surface","light_intensity_umol.m2.sec_transect","shoot_dens","shoot_dens_se","macro_dens","macro_dens_se","diatom_dens","diatom_dens_se","flower_dens","flower_dens_se","shoot_area","shoot_area_se","epi_mass","epi_mass_se","shoot_mass","shoot_mass_se","rhi_mass","rhi_mass_se","node1","node1_se","node2","node2_se","node3","node3_se","node4","node4_se","node5","node5_se","exshoot_mass","exshoot_mass_se","exepi_mass","exepi_mass_se","abvgnd_mass","abvgnd_mass_se","blwgnd_mass","blwgnd_mass_se","epiphmass_shootarea","epiphmass_shootarea_se","epiphmass_shootmass","epiphmass_shootmass_se","grazer_mass","grazer_mass_se","crus_mass","crus_mass_se","gast_mass","gast_mass_se","grazermass_shootmass","grazermass_shootmass_se","crusmass_shootmass","crusmass_shootmass_se","gastmass_shootmass","gastmass_shootmass_se"
"2017_L_04","Natzuhini Bay",2017-06-28,"179",55.25051,-132.883,1020,1230,-0.4,1050,"CM",1142,1215,-0.54,0,1.443,0,0.133828996,-0.517171326,9.57,104.1,45971,29.8,12.7,9.43,106.7,45992,29.8,12.5,1204.2,631.5,524.4,170.5,14.9463325649758,0.625,0.625,94.125,2.03046001121491,2.5,1.5,81.5645,6.75853589121617,0.00265,0.000627807977922278,0.2141175,0.0138322110811272,0.0698414087301587,0.00241109167517663,1.055,0.0924082556608754,1.388125,0.114976463041665,1.378125,0.0880968518594148,0.978571428571429,0.106159508617181,0.525,0.0783953655092782,0.4504,0.0963660802802077,NA,NA,37.42206,5.17411243033734,11.6894305952381,0.677664270919204,3.52724482159838e-05,8.06145082832309e-06,0.0132333987484312,0.00314857413228445,0.0809625,0.0311539892968323,0.0388,0.0281949970232816,0.0421625,0.0140628936452841,0.153222234696393,0.0689490938437769,0.0834622825192734,0.0612881895272704,0.0697599521771197,0.024267691903375
"2017_L_05","Dunbar Inlet",2017-06-27,"178",55.0848,-132.826,1000,1200,-0.7,1010,"CM",1108,1135,-0.76,0.118028917,1.443,0,0.083333333,-0.527986782,9.97,115.3,64325,30.1,13.6,9.8,113,46324,30.1,13.1,2583,1976.2,900.8,230,14.3626499743506,0,0,50.5,10.5762537250741,1.5,1.0522085616183,56.5465,5.63040415638928,0.003625,0.00172806146550735,0.153815,0.0172016090401866,0.109897350180306,0.00706354626910184,0.7725,0.0486881475750076,0.9725,0.0563075102831382,0.96,0.0943256138520785,0.693333333333333,0.0670228579819116,0.498541666666667,0.0239490147509179,0.56055,0.0650812184889005,NA,NA,35.09333,4.35945343541235,24.6728986545107,1.00759604549046,7.70950220009555e-05,3.67611064249627e-05,0.0286195231634499,0.0137510374859489,0.0454375,0.01074300332941,0.0179,0.0068639586662092,0.0275375,0.00746214105382247,0.0629479539568722,0.0124329700437417,0.0233839815403551,0.00875044194480783,0.039563972416517,0.0114596368438974
"2017_L_06","Farallon Bay",2017-07-23,"204",55.19112,-133.105314,730,940,-0.81,735,"CM",850,920,-0.5,0,1.443,0,0.105263158,-0.535869476,9.91,99.2,14912,8.6,13.1,6.52,72,44277,28.7,12.4,612.5,401.3,117.16,181.5,28.4146591945576,56.25,12.7387905907227,62.5,12.7825215486952,0.5,0.5,149.83625,11.2925195495419,0.00265,0.000843623138611072,0.54661,0.0480596424099413,0.131725274943311,0.00879318140997148,1.1675,0.126204907081415,1.574375,0.109949004007053,1.26625,0.0523284707325405,1.00833333333333,0.0860855056656711,0.788888888888889,0.089027669440045,1.0219875,0.238679403502376,NA,NA,96.40332,16.7884181718231,23.3310715873016,3.38072662202935,1.62805979264308e-05,4.33118158752749e-06,0.00443617105656673,0.00120621292487941,0.1196,0.0189332379692434,0.0127875,0.00884831375178344,0.1068125,0.0179134370704946,0.0846673236719404,0.0145594371517738,0.0106417615341132,0.00752212490852071,0.0740255621378271,0.0114934090902838
"2017_L_07","Hetta Cove",2017-07-22,"203",55.155625,-132.589934,720,830,-0.7,640,"CM",750,820,-0.5,0,1.443,5,0.13559322,-0.345016184,10.9,104.4,5000,3.8,12.8,8.61,98.2,45200,29.3,13.4,235.6,85.53,39.84,275,16.7971085947212,1.625,1.25267570766397,57.75,10.6347644207906,4.5,1.76270895417901,67.965,8.24319574818269,0.0013925,0.000627818644195916,0.1906625,0.0257223842033965,0.10472963865344,0.00501472097362818,0.9275,0.128226223081374,0.9975,0.135036370761997,0.869375,0.086450013942823,0.834166666666667,0.0819231879882535,0.769523809523809,0.057378811789092,0.8979625,0.228448249795925,NA,NA,53.48682,8.10947472243249,28.904196887601,2.48743012861953,1.78057651271613e-05,8.35390594843255e-06,0.00592422196767914,0.00263512904625855,0.004725,0.00121490005467822,0.002575,0.000627850641929623,0.00215,0.000868496237346896,0.00598550346634788,0.00248443853000796,0.00357102467322468,0.0016386286539899,0.0024144787931232,0.00105580643731846
"2017_M_02","North Fish Egg Island",2017-05-24,"144",55.49709,-133.17,530,830,-0.37,620,"BH",723,800,-0.5,2.324230099,0.163,8,0.074074074,-0.277953414,9.88,102.3,38162,24.1,10.1,9.86,101.8,38426,24.3,10,1091.6,1020.9,328.9,369,24.8969303902538,0,0,2.75,0.700764888226735,0,0,58.238,12.745862449102,0.0012425,0.000607858506797197,0.2009425,0.0499297057926012,0.0879855090444354,0.0112962308432257,1.115,0.161234080055764,1.319375,0.189916423112529,0.805208333333333,0.0834507729024475,0.663333333333333,0.0898587957553582,0.39,0.0617454451761423,0.9921375,0.155067477175836,NA,NA,70.43177,15.8086510619502,30.8493343441928,2.90332164203779,1.83196400067691e-05,4.84749528364174e-06,0.00577657413962166,0.00160827080326549,0.0676875,0.0148266583931492,0.0242,0.00752604999793573,0.0434874999999999,0.0148283926195178,0.0534543817644004,0.00891264257208717,0.0201975644084158,0.00608924673971489,0.0332568173559846,0.0102707568746801
"2017_M_03","South Fish Egg Island",2017-05-25,"145",55.48442,-133.175,601,920,-0.64,706,"WR, CM",837,910,-0.5,0.707319687,0.163,190,0.292237443,-0.003236068,10.35,113.2,46814,30.3,10.7,10.44,113.8,46819,30.3,10.7,874,609.6,290.7,265.5,15.0795509595895,0,0,0,0,4.5,2.55650430973904,46.74275,3.93984477463444,0.001235,0.000350260107430383,0.154445,0.0134082489269,0.107923908271662,0.0108301158061584,1.2125,0.0986289945778044,1.11,0.137425304386471,0.716875,0.0887559731390352,0.496666666666667,0.0514270557536795,0.343541666666667,0.055259522540004,1.79715,0.880950063040709,NA,NA,41.04109,4.63393714119615,28.1673418073316,2.82058213304633,2.57301280661753e-05,7.81926404123095e-06,0.00764290769723479,0.00213720708248999,0.02815,0.0149486860387699,0.010875,0.0089653449857931,0.017275,0.0072242832071523,0.0172476784961734,0.00660775648783297,0.00282195011399826,0.00117248307658781,0.0144257283821751,0.0067079698614509
"2017_M_04","South Wadleigh Island",2017-06-22,"173",55.52904,-133.147,505,855,-0.5,600,"CM",731,805,-0.5,0.415851272,0.163,51,0.302752294,-0.162530779,9.12,102.7,45081,29.1,12.5,9.19,103.9,45852,29.7,12.4,690.5,318.1,205.6,381,30.8614414995245,0,0,95.625,2.57694101601104,3,1.25356634105602,81.04825,4.53048703527399,0.003398125,0.00107549570693006,0.22947,0.0171708948358636,0.0819128986336968,0.0066347447720814,1.05625,0.122002451673258,1.399375,0.100580624642977,1.19604166666667,0.134558337462067,1.15208333333333,0.309560580462355,0.413888888888889,0.00783215121103982,1.5389875,0.343121220997925,NA,NA,87.34701,9.62302261022195,31.394662693357,3.86324770317281,4.10570925146913e-05,1.24653273704195e-05,0.0145170878460306,0.00473199418358003,0.0223125,0.00876566836951326,0.0181125,0.00873432141243463,0.00419999999999997,0.00205582795277925,0.0240467499209061,0.0122871336229791,0.022313703614039,0.0125401151527066,0.00173304630686711,0.000822351679751401
"2017_M_05","Shinaku Inlet",2017-06-23,"174",55.59929,-133.16,625,1000,-0.69,652,"CM",835,905,-0.5,3.645338903,0.163,11,0.196226415,-0.101343919,9.53,111.1,42374,24.2,14.7,9.82,11.8,43412,28,13.5,2057,1420.5,523.2,266,17.8085051911399,0,0,100,0,3,1,77.81625,6.87543263508871,0.010275,0.00094410010062493,0.1986375,0.0140416555991196,0.0681143498763142,0.00586328470656295,1.24416666666667,0.118896630440727,1.8125,0.12850444683801,1.2875,0.103945598752424,0.854166666666667,0.129230494982157,0.9,NA,1.5020375,0.262555341062671,NA,NA,52.36132,4.08285844941297,17.5541899134199,1.05375389726127,0.000137378360927619,1.42705593000167e-05,0.0525841984743879,0.00452402498935792,0.0434,0.0115387545750335,0.00676250000000003,0.00508165248362043,0.0366375,0.0117250333155177,0.0283604257848431,0.00755036224929064,0.00738275302526432,0.00642480890410907,0.0209776727595788,0.004888012810824
"2017_M_06","Trocadero Bay",2017-08-21,"233",55.344914,-133.0011,700,945,-0.51,711,"CM",800,830,-0.61,0.045444217,0.163,1,0.371428571,-0.507489918,8.48,95,44255,28.5,12.5,8.11,92.6,47712,31.1,12.4,69.48,52.29,38.78,471,38.0882434054694,4,1.16496474502143,64.375,11.5123187127032,3.5,1.59239262925771,86.86025,8.76212763168447,0.00473249999999999,0.000863414628917403,0.30366,0.0313990338795866,0.144317728750759,0.0124054307071102,0.635,0.0425524885960185,0.7575,0.0664871093843439,0.8725,0.0559256521770517,1.00125,0.0611332706937416,0.949047619047619,0.0485100423247517,0.7966,0.205802715864351,NA,NA,140.37845,14.9016199332244,66.4260929992833,5.23171822043094,5.33562343935212e-05,6.7494604136111e-06,0.0154762530839857,0.00205775870869577,0.016575,0.00918381242808704,0.00163749999999999,0.000706080099664949,0.0149375,0.00904980144809819,0.0131557832950099,0.00500073144890364,0.00204773101716641,0.000988528030338154,0.0111080522778435,0.00474654210623487
"2017_M_07","Garcia Bay",2017-07-26,"207",55.5535,-133.431392,930,1200,-0.59,932,"CM",1045,1115,-0.59,2.025435704,0.163,64,0.504823151,0.108889002,9.15,104,48550,31.6,12.6,9.1,104,48452,31.5,16.6,692.6,454,251.7,283,23.8417401090728,3.125,3.125,71.25,7.71998797186332,0,0,82.129,5.98191833779098,0.0039275,0.00130367029957731,0.247055,0.0289003009747056,0.0800542956507723,0.00484953306517264,1.285,0.0695649747666576,1.2225,0.0763860028314837,1.06875,0.0622046593339851,1.01916666666667,0.0522537687560079,0.682142857142857,0.0751239055858799,0.8731875,0.210111342453659,NA,NA,73.17176,11.8136698082179,23.3646704698231,3.01661448440495,5.21794830038821e-05,1.8213745986857e-05,0.0190276361717969,0.00731604378460889,0.0181,0.0061079281032348,0.0026875,0.00247403931571716,0.0154125,0.00566371399789925,0.016888554349576,0.0059530162772094,0.00210808102145085,0.00188119148378582,0.0147804733281251,0.00584817407160287
"2017_M_08","Port Refugio",2017-08-22,"234",55.282137,-133.334028,800,1005,-0.55,800,"CM",902,930,-0.76,0.099206349,0.163,0,0.076086957,-0.722347952,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,123.43,48.68,21.02,334.5,43.6737089922857,13.125,4.81232606364709,98.125,1.31526070202288,0.5,0.5,57.1055,4.49686499924431,0.0005825,0.00022043585072695,0.180125,0.0146620285821184,0.0605436903888481,0.00178552016498654,1.3575,0.0795017969248854,1.499375,0.107456126844534,1.16229166666667,0.0689669646446876,0.863095238095238,0.0782449476030039,0.483333333333333,0.0634647758821992,0.6670375,0.141508351517171,NA,NA,62.68049,11.2822369044789,20.6593186940572,3.02633443257461,9.49761612468384e-06,2.90392675826835e-06,0.00306375940003365,0.000957882828361494,0.04115,0.00997430627734509,7.50000000000021e-05,3.6596252735571e-05,0.041075,0.00996299850876804,0.0546311358830479,0.0125673388347368,6.82839489374185e-05,3.50112703683822e-05,0.0545628519341105,0.0125686980229656
