"species_scientific","site","place_name","date","YYYYMMDD","quadrat","species_common","sp_code","width_mm","mass_g"
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,7,"Pointed macoma","CLMPOI",26,16.9898144785182
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,7,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",28,20.4801277012945
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Pointed macoma","CLMPOI",17,5.82057181866878
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Pointed macoma","CLMPOI",26,16.9898144785182
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",30,24.3711453077934
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,7,"Pointed macoma","CLMPOI",17,5.82057181866878
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,3,"Pointed macoma","CLMPOI",12,2.4187422410554
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,3,"Pointed macoma","CLMPOI",34,33.4135390683963
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,4,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Pointed macoma","CLMPOI",17,5.82057181866878
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,1,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",42,56.9238076716345
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,1,"Pointed macoma","CLMPOI",37,41.3530949318334
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,1,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,1,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",33,30.9909705191887
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",15,4.24540487246365
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,8,"Pointed macoma","CLMPOI",41,53.568377346149
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,8,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,6,"Pointed macoma","CLMPOI",34,33.4135390683963
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,6,"Pointed macoma","CLMPOI",45,67.7387567339536
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",28,20.4801277012945
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",34,33.4135390683963
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,7,"Pointed macoma","CLMPOI",38,44.2291135748786
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",33,30.9909705191887
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",38,44.2291135748786
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,2,"Pointed macoma","CLMPOI",26,16.9898144785182
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,2,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,3,"Pointed macoma","CLMPOI",38,44.2291135748786
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",16,4.99557095575123
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,6,"Pointed macoma","CLMPOI",38,44.2291135748786
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,4,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,4,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,4,"Pointed macoma","CLMPOI",30,24.3711453077934
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,1,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,1,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,6,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,6,"Pointed macoma","CLMPOI",24,13.8850169511987
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,8,"Pointed macoma","CLMPOI",36,38.5929251016076
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,5,"Pointed macoma","CLMPOI",45,67.7387567339536
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,5,"Pointed macoma","CLMPOI",50,88.3488715155415
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",49,83.9614999719796
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,8,"Pointed macoma","CLMPOI",36,38.5929251016076
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,1,"Pointed macoma","CLMPOI",16,4.99557095575123
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,1,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,6,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,6,"Pointed macoma","CLMPOI",40,50.3351632891985
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,2,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",38,44.2291135748786
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,2,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,2,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,2,"Pointed macoma","CLMPOI",12,2.4187422410554
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,2,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_03","Nossuk Bay","7/16/2018",20180716,3,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,2,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,2,"Pointed macoma","CLMPOI",16,4.99557095575123
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",29,22.3746197829289
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",34,33.4135390683963
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",42,56.9238076716345
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,3,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,8,"Pointed macoma","CLMPOI",40,50.3351632891985
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,8,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,8,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,3,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",27,18.6858196942792
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",43,60.4029990104803
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",33,30.9909705191887
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",30,24.3711453077934
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Pointed macoma","CLMPOI",26,16.9898144785182
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,5,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",16,4.99557095575123
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,5,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_03","Nossuk Bay","7/16/2018",20180716,1,"Pointed macoma","CLMPOI",37,41.3530949318334
"Macoma inquinata","2018_H_03","Nossuk Bay","7/16/2018",20180716,1,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,1,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,1,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_03","Nossuk Bay","7/16/2018",20180716,7,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,4,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,4,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,4,"Pointed macoma","CLMPOI",15,4.24540487246365
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,4,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,4,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,7,"Pointed macoma","CLMPOI",25,15.3901970905242
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",30,24.3711453077934
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",53,102.329806787006
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,7,"Pointed macoma","CLMPOI",23,12.4722857362694
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",18,6.72281052858834
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",35,35.9469613818026
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Pointed macoma","CLMPOI",51,92.8717779156142
"Macoma inquinata","2018_L_01","North Pass","7/11/2018",20180711,4,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",32,28.6775441484228
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",37,41.3530949318334
"Macoma inquinata","2018_H_03","Nossuk Bay","7/16/2018",20180716,5,"Pointed macoma","CLMPOI",39,47.2226026056855
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",40,50.3351632891985
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",21,9.91601368734449
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",19,7.70462331187581
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,7,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,7,"Pointed macoma","CLMPOI",28,20.4801277012945
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,7,"Pointed macoma","CLMPOI",26,16.9898144785182
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,5,"Pointed macoma","CLMPOI",20,8.76828498560065
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,8,"Pointed macoma","CLMPOI",49,83.9614999719796
"Macoma inquinata","2018_H_02","Gaktu Cove","7/15/2018",20180715,5,"Pointed macoma","CLMPOI",22,11.1499750241815
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,8,"Pointed macoma","CLMPOI",31,26.4715233452649
"Macoma inquinata","2018_H_01","Kaguk Cove","7/14/2018",20180714,7,"Pointed macoma","CLMPOI",50,88.3488715155415
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Bentnose macoma","CLMBNT",50,88.3488715155415
"Macoma nasuta","2018_H_03","Nossuk Bay","7/16/2018",20180716,5,"Bentnose macoma","CLMBNT",47,75.5876687375645
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Bentnose macoma","CLMBNT",28,20.4801277012945
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Bentnose macoma","CLMBNT",41,53.568377346149
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,6,"Bentnose macoma","CLMBNT",43,60.4029990104803
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,1,"Bentnose macoma","CLMBNT",31,26.4715233452649
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,6,"Bentnose macoma","CLMBNT",40,50.3351632891985
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Bentnose macoma","CLMBNT",48,79.7082435914914
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Bentnose macoma","CLMBNT",35,35.9469613818026
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Bentnose macoma","CLMBNT",36,38.5929251016076
"Macoma nasuta","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Bentnose macoma","CLMBNT",37,41.3530949318334
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,7,"Bentnose macoma","CLMBNT",46,71.5983273987593
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Bentnose macoma","CLMBNT",45,67.7387567339536
"Macoma nasuta","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Bentnose macoma","CLMBNT",32,28.6775441484228
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,7,"Macoma","CLMMAC",33,30.9909705191887
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,7,"Macoma","CLMMAC",37,41.3530949318334
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Macoma","CLMMAC",36,38.5929251016076
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Macoma","CLMMAC",37,41.3530949318334
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Macoma","CLMMAC",17,5.82057181866878
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Macoma","CLMMAC",32,28.6775441484228
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Macoma","CLMMAC",12,2.4187422410554
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,6,"Macoma","CLMMAC",21,9.91601368734449
"Macoma sp.","2018_L_03","Sukkwan","7/13/2018",20180713,4,"Macoma","CLMMAC",30,24.3711453077934
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,3,"Macoma","CLMMAC",20,8.76828498560065
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,3,"Macoma","CLMMAC",19,7.70462331187581
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,5,"Macoma","CLMMAC",38,44.2291135748786
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,6,"Macoma","CLMMAC",33,30.9909705191887
"Macoma sp.","2018_L_03","Sukkwan","7/13/2018",20180713,6,"Macoma","CLMMAC",25,15.3901970905242
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,1,"Macoma","CLMMAC",17,5.82057181866878
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,7,"Macoma","CLMMAC",21,9.91601368734449
"Macoma sp.","2018_H_01","Kaguk Cove","7/14/2018",20180714,3,"Macoma","CLMMAC",45,67.7387567339536
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,1,"Macoma","CLMMAC",17,5.82057181866878
"Macoma sp.","2018_L_03","Sukkwan","7/13/2018",20180713,8,"Macoma","CLMMAC",45,67.7387567339536
"Macoma sp.","2018_L_02","Natzuhini","7/12/2018",20180712,6,"Macoma","CLMMAC",40,50.3351632891985
"Mya arenaria","2018_L_02","Natzuhini","7/12/2018",20180712,4,"Soft-shell clam","CLMSOF",60,37.6650084512268
"Mya arenaria","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Soft-shell clam","CLMSOF",20,1.56449505167305
"Mya arenaria","2018_L_02","Natzuhini","7/12/2018",20180712,1,"Soft-shell clam","CLMSOF",22,2.06173031537703
"Mya arenaria","2018_L_02","Natzuhini","7/12/2018",20180712,2,"Soft-shell clam","CLMSOF",16,0.819896835359774
"Mya arenaria","2018_L_03","Sukkwan","7/13/2018",20180713,2,"Soft-shell clam","CLMSOF",16,0.819896835359774
"Protothaca staminea","2018_L_01","North Pass","7/11/2018",20180711,5,"Steamer clam","CLMSTM",35,6.98383701975007
"Protothaca staminea","2018_L_01","North Pass","7/11/2018",20180711,2,"Steamer clam","CLMSTM",43,12.1952416237475
"Protothaca staminea","2018_L_02","Natzuhini","7/12/2018",20180712,4,"Steamer clam","CLMSTM",55,23.7498020837087
"Protothaca staminea","2018_L_01","North Pass","7/11/2018",20180711,5,"Steamer clam","CLMSTM",35,6.98383701975007
"Protothaca staminea","2018_L_01","North Pass","7/11/2018",20180711,7,"Steamer clam","CLMSTM",43,12.1952416237475
"Protothaca staminea","2018_L_02","Natzuhini","7/12/2018",20180712,4,"Steamer clam","CLMSTM",50,18.3471496538182
