site,place_name,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap_type,string,species_common,species_scientific,taxon,sp_code,carapace_width_mm,sex,fork_length_mm,unmeasured,notes
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,51,F,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,F,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,64,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,63,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,58,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,51,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,48,F,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,59,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,53,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,59,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,50,F,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,4,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,57,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,4,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,4,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,40,F,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,45,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,41,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,46,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,200,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,67,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,52,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,64,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,50,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,51,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,51,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,50,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,39,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,40,M,,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,2,Spiny dogfish,Squalus acanthias,Vertebrata,DOGFISH,,F,60,,
2018_H_01,Kaguk Cove,7/21/2018,20180721,1430,7/22/2018,20180722,1500,24.5,minnow,3,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,36,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,crab,1,Graceful crab,Metacarcinus gracillis,Decapoda,CRABGRC,80,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,163,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,crab,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,163,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,209,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,210,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Unknown flatfish,Pleuronectidae,Vertebrata,UNIDFLT,,,,1,eaten
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,150,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,159,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,158,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,149,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,128,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,151,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,160,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,131,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,68,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,98,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,crab,3,Red rock crab,Cancer productus,Decapoda,CRABRR,107,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,131,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,103,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,111,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,133,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Rock Sole,Lepidopsetta bilineata,Vertebrata,SOLERCK,,,105,,half eaten
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,3,Unknown flatfish,Pleuronectidae,Vertebrata,UNIDFLT,,,,1,eaten
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,crab,4,Red rock crab,Cancer productus,Decapoda,CRABRR,110,F,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,155,M,,,
2018_L_01,North Pass,7/28/2018,20180728,1144,7/29/2018,20180729,1110,23.5,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,130,F,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,123,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,132,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,150,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,1,Giant pink sea star,Pisaster brevispinus,Enchinodermata,STARGP,283,,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,crab,2,Red rock crab,Cancer productus,Decapoda,CRABRR,159,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,160,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,145,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,141,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,149,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,132,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,crab,3,Red rock crab,Cancer productus,Decapoda,CRABRR,147,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,145,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,152,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,153,M,,,
2018_L_03,Sukkwan,7/28/2018,20180728,1115,7/29/2018,20180729,1020,23.1,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,141,F,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,151,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,151,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,149,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,149,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,153,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,33,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,1,Sunflower star,Pycnopodia helianthodes,Enchinodermata,STARSF,79,,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,199,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,184,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,163,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,141,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,121,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,151,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,142,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,143,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,143,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,90,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,153,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,crab,4,Red rock crab,Cancer productus,Decapoda,CRABRR,162,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,crab,4,Red rock crab,Cancer productus,Decapoda,CRABRR,172,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,149,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2018_L_02,Natzuhini,7/28/2018,20180728,1211,7/29/2018,20180729,1158,23.2,minnow,4,Red rock crab,Cancer productus,Decapoda,CRABRR,110,F,,,
