"Sp_ScientificName","SpCode","Sp_CommonName","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"Chitonotus pugetensis","SCULRBCK","Roughback sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinocottus acuticeps","SCULSHRP","Sharpnose sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crangon sp.","SHRMCR","Crangon shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanea capillata","JLYLION","Lion's mane jellyfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclopteridae","UNLUMP","Juvenile lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasycottus setiger","SCULSPNY","Spinyhead sculpin",5831,4281,282,80637,19,73,"TL","yes",NA,65,"mixed",0.0104,NA,3.13,0.993,NA,NA,NA,NA,NA,NA,3.07,3.19,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-03-31T00:00:00.000Z",3,"2012-03-30T00:00:00.000Z",NA,NA,NA,4085
"Dasycottus setiger","SCULSPNY","Spinyhead sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasycottus setiger","SCULSPNY","Spinyhead sculpin",5830,4281,282,51978,9,37,"TL",NA,NA,144,"Unsexed",0.0185,NA,3,0.99381,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","SE Kamchatka and N Kuril Is., 1995-99",51978,"643",NA,3,"2004-08-13T00:00:00.000Z",1287,"2006-03-29T22:33:55.000Z",NA,NA,NA,4085
"Dermasterias imbricata","STARLEA","Leather star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Division Teleostei","UNLARV","Fish larvae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elassochirus gilli","CRABPRH","Pacific red hermit crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elassochirus tenuimanus","CRABWIDE","widehand hermit crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleginus gracilis","CODSAF","Saffron cod",1426,329,183,12624,19.6,41.5,"FL",NA,NA,172,"unsexed",0.00981,NA,2.921,0.95453,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Liverpool Bay (69°50'N, 130°20'W), 1991",12624,"124",NA,3,"1997-04-18T00:00:00.000Z",NA,"1997-04-18T00:00:00.000Z",NA,NA,NA,315
"Eleginus gracilis","CODSAF","Saffron cod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enophrys diceraus","SCULANT","Antlered sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enophrys lucasi","SCULLEI","Leister sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eumicrotremus orbis","LUMPSPI","Pacific spiny lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eupentacta psuedoquinquesemita","CUCFW","False white cucumber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eutonina species","JLYHAT","""hat"" jellyfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evastarias troschelii","STARMOT","Mottled seastar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fusitriton oregonensis","SNAILFO","Hairy triton snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gadidae","UNCOD","Juvenile cod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gobiescocidae","UNCLING","Juvenile clingfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnocanthus galeatus","SCULARMR","Armorhead sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnocanthus galeatus","SCULARMR","Armorhead sculpin",5832,4287,277,56578,19.5,46,"TL","yes",NA,334,"Mixed",0.0074,NA,3.1134,0.93896,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Kamchatka/1979-1982",NA,"643",NA,1287,"2006-03-29T15:47:57.000Z",3,"2012-03-30T00:00:00.000Z",NA,NA,NA,4091
"Haminoea vesicula","BSNAILW","White bubble snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hemilepidotus hemilepidotus","LORDRI","Red Irish lord",5834,4289,277,6323,34,34,"TL",NA,NA,1,"unsexed",0.02824,0.02824,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,4093
"Hemilepidotus hemilepidotus","LORDRI","Red Irish lord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hermissenda crassicornis","NUDOPAL","Opalescent nudibranch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexagrammidae","UNGREEN","Juvenile greenling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexagrammos lagocephalus","GREENROC","Rock greenling",5820,4229,NA,83701,23,50,"TL",NA,NA,NA,"male",0.0067,NA,3.1978,0.946,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Pacific coast of Kamchatka and N Kuril Is. (47°50? - 52°10? N), 1992-2002",83701,"643",NA,3,"2010-03-12T00:00:00.000Z",NA,"2010-03-12T00:00:00.000Z",NA,NA,NA,4033
"Hexagrammos lagocephalus","GREENROC","Rock greenling",5819,4229,NA,83701,24,57,"TL",NA,NA,NA,"female",0.0064,NA,3.2008,0.9316,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Pacific coast of Kamchatka and N Kuril Is. (47°50? - 52°10? N), 1992-2002",83701,"643",NA,3,"2010-03-12T00:00:00.000Z",NA,"2010-03-12T00:00:00.000Z",NA,NA,NA,4033
"Hexagrammos lagocephalus","GREENROC","Rock greenling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",1982,530,440,80637,35,126,NA,NA,NA,690,"Male",0.00778,NA,3.05,0.947,NA,NA,NA,NA,NA,NA,3,3.1,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-04-01T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,514
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",1980,530,440,59359,NA,NA,"TL",NA,NA,NA,"Unsexed",0.0037,NA,3.2574,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Western Bering Sea",NA,"643",NA,1723,"2007-12-03T21:31:17.000Z",NA,"2007-12-03T21:31:17.000Z",NA,NA,NA,514
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",1981,530,440,80637,32,172,NA,NA,NA,613,"Female",0.00847,NA,3.08,0.977,NA,NA,NA,NA,NA,NA,3.05,3.12,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-04-01T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,514
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",1978,530,440,7239,NA,NA,NA,NA,"Yes",NA,"Unsexed",0.00314,NA,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Northeastern Pacific",NA,"840","Used headed and gutted weight.",3,"1995-04-10T00:00:00.000Z",3,"2007-09-13T22:44:21.000Z",NA,NA,NA,514
"Hippoglossus stenolepis","HALIBUT","Pacific halibut",1979,530,440,56527,22,143,"TL",NA,NA,1830,"Mixed",0.00746,0.00746,3.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Eastern Bering Sea",NA,"840",NA,1287,"2006-03-23T18:43:49.000Z",NA,"2006-03-23T18:43:49.000Z",NA,NA,NA,514
"Hippolyte clarki","SHRMGRA","Grass shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippolytidae","SHRMHIP","unidentified hippolytid shrimp (""brokenback"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyas lyratus, Majidae","CRABLYR","Pacific lyre crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypomesus pretiosus","SMELTSUR","Surf smelt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Icelinus borealis","SCULNOR","Northern sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idotea resecata","ISOPODC","Concave isopod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idotea w.","ISOPODG","Green isopod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lacuna varigata","SNAILLV","Variegated chink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidogobius lepidus","GOBYBAY","Bay goby",5750,4078,405,31146,NA,NA,"SL",NA,NA,480,"unsexed",0.00829,NA,3.1,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Morro Bay (35°21'N, 120°51'W), California , 1976-77",31146,"840",NA,3,"2000-09-07T00:00:00.000Z",NA,"2000-07-09T00:00:00.000Z",NA,NA,NA,3882
"Lepidogobius lepidus","GOBYBAY","Bay goby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptasterias epichlora","STAR6ARM","6-armed seastar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoclinus maculatus","SHANNYDA","Daubed shanny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Limanda aspera","SOLEYEL","Yellowfin sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Limanda aspera","SOLEYEL","Yellowfin sole",2002,536,440,11807,16,40,"TL",NA,NA,4019,"Mixed",0.032,0.032,2.7367,0.997,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Peter the Great Bay, Sea of Japan",NA,"643",NA,1287,"2006-03-20T23:07:41.000Z",NA,"2006-03-20T23:07:41.000Z",NA,NA,NA,520
"Limanda aspera","SOLEYEL","Yellowfin sole",2004,536,440,56527,9,47,"TL",NA,NA,3037,"Mixed",0.01186,0.01186,2.9969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Eastern Bering Sea",NA,"840",NA,1287,"2006-03-23T19:07:58.000Z",NA,"2006-03-23T19:07:58.000Z",NA,NA,NA,520
"Limanda aspera","SOLEYEL","Yellowfin sole",2005,536,440,56527,11,43,"TL",NA,NA,2890,"Mixed",0.01221,0.01221,3.0104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Terpeniya Bay, SE Sakhalin",NA,"643",NA,1287,"2006-03-23T19:09:19.000Z",NA,"2006-03-23T19:09:19.000Z",NA,NA,NA,520
"Limanda aspera","SOLEYEL","Yellowfin sole",2003,536,440,56527,9,45,"TL",NA,NA,2975,"Mixed",0.00455,0.00455,3.2658,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","North Tatar Strait",NA,"643",NA,1287,"2006-03-23T19:10:17.000Z",NA,"2006-03-23T19:10:17.000Z",NA,NA,NA,520
"Limanda aspera","SOLEYEL","Yellowfin sole",2007,536,440,59366,4,40,"TL",NA,NA,875,"unsexed",0.0076,NA,3.1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Sakhalin Isl.",NA,"643",NA,1287,"2008-04-03T00:00:00.000Z",NA,"2008-04-03T00:00:00.000Z",NA,NA,NA,520
"Limanda aspera","SOLEYEL","Yellowfin sole",2006,536,440,56527,13,41,"TL",NA,"Yes",5638,"Mixed",0.0149,0.0149,3.9576,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Peter the Great Bay, Sea of Japan",NA,"643",NA,1287,"2006-03-23T19:11:24.000Z",NA,"2009-11-04T00:00:00.000Z",NA,NA,NA,520
"Liparidae","UNSNAILF","Juvenile snailfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liparis cyclopus","SNAILFR","Ribbon snailfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liparis florae","SNAILFTI","Tidepool snailfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liparis pulchellus","SNAILFSH","Showy snailfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liparis rutteri","SNAILFRT","Ringtail snailfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lottidae","UNLIMPET","unidentified limpet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lyopsetta exilis","SOLESLE","Slender sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus villosus","CAPELIN","Capelin",1146,266,80,56527,NA,NA,"FL",NA,NA,NA,"Mixed",0.00283,0,3.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Gulf of Anadyr (Bering Sea)",NA,"643",NA,1287,"2006-03-22T23:43:11.000Z",NA,"2006-03-22T23:43:11.000Z",NA,NA,NA,252
"Mallotus villosus","CAPELIN","Capelin",1147,266,80,56527,NA,NA,"FL",NA,NA,NA,"Mixed",0.0219,0,2.5951,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Peter the Great Bay (Sea of Japan)",NA,"643",NA,1287,"2006-03-22T23:44:04.000Z",NA,"2006-03-22T23:44:04.000Z",NA,NA,NA,252
"Mallotus villosus","CAPELIN","Capelin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus villosus","CAPELIN","Capelin",1144,266,80,1080,NA,NA,"TL",NA,NA,NA,"female",0.00215,0.00215,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Labrador Sea",1080,"124B",NA,3,"1997-03-30T00:00:00.000Z",NA,"1997-12-16T00:00:00.000Z",NA,NA,NA,252
"Mallotus villosus","CAPELIN","Capelin",1145,266,80,1080,NA,NA,"TL",NA,NA,NA,"male",0.00146,0.00146,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Labrador Sea",1080,"124B",NA,3,"1997-03-30T00:00:00.000Z",NA,"1997-03-30T00:00:00.000Z",NA,NA,NA,252
