"site","quadrat","place_name","date","YYYYMMDD","latitude","longitude","primary_observer","secondary_observer","start_time","end_time","depth_m","eelgrass_shoots_m","flowering_shoots_m","idotea_count","limpet_count","caprellid_count","amphipod_count","gastropod_count","shoot_mass","shoot_mass_m","epi_mass","epi_load","idotea_mass","idotea_load","limpet_mass","limpet_load","caprellid_mass","amphipod_mass","gastropod_mass","grazer_mass","grazer_load"
"2018_L_01",2,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,184,0,3,0,0,1,40,1.3754,76.40347,0.00870000000000004,0.00632543260142507,0.00740000000000002,0.00538025301730407,0,0,0,0.000200000000000033,0.0194,0.0127802530173041,0.00929202633219724
"2018_L_01",3,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,308,4,4,0,0,2,48,1.1557,64.199135,0.00330000000000003,0.00285541230423122,0.0484,0.0418793804620576,0,0,0,0,0.0438,0.0902793804620576,0.078116622360524
"2018_L_01",4,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,196,0,3,0,0,1,98,0.9603,53.344665,0.000599999999999934,0.00062480474851602,0.00509999999999999,0.00531084036238675,0,0,0,0.00239999999999996,0.0747,0.0104108403623867,0.0108412374907703
"2018_L_01",5,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,132,0,3,0,0,1,27,2.1475,119.293625,0.0124,0.00577415599534341,0.00309999999999999,0.00144353899883585,0,0,0,0,0.0134,0.00454353899883584,0.00211573410888747
"2018_L_01",6,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,284,8,5,1,1,2,30,1.8648,103.58964,0.00719999999999998,0.00386100386100385,0.1513,0.0811347061347061,0.0124,0.00664950664950663,0.000400000000000011,0.000400000000000011,0.0103,0.251884212784213,0.135073044178578
"2018_L_01",7,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,188,0,3,0,0,4,33,1.0509,58.377495,0.00249999999999995,0.00237891331239885,0.00220000000000004,0.00209344371491106,0,0,0,0.00109999999999999,0.0192,0.0042934437149111,0.00408549216377495
"2018_L_01",8,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,116,0,3,2,0,1,3,1.3848,76.92564,0.00479999999999992,0.0034662045060658,0.113,0.0816002310803004,0.0205,0.0148035817446562,0,0,0.000900000000000012,0.229903812824957,0.16601950666158
"2018_L_02",1,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,156,0,8,2,3,1,15,0.352,19.5536,0.000600000000000045,0.00170454545454558,0.00309999999999999,0.00880681818181815,0.0162,0.0460227272727272,5e-04,0,0.0035,0.0746295454545453,0.212015754132231
"2018_L_02",2,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,264,0,4,0,0,1,5,0.465,25.83075,0.00150000000000006,0.00322580645161303,0.0365,0.0784946236559139,0,0,0,0,0.00530000000000003,0.114994623655914,0.247300265926697
"2018_L_02",3,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,156,4,15,1,1,4,3,1.6107,89.474385,0.00929999999999997,0.00577388712981932,0.0482,0.0299248773825045,0.0141,0.00875395790650028,5e-04,0.000600000000000045,0.00600000000000001,0.101478835289005,0.0630029398950796
"2018_L_02",4,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,320,0,11,2,0,5,9,1.0328,57.37204,0.0148,0.0143299767621999,0.00379999999999997,0.00367931835786209,0.0195,0.0188807126258714,0,0.000699999999999978,0.00290000000000001,0.0458600309837334,0.0444035931290989
"2018_L_02",5,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,312,0,9,0,1,4,33,1.1545,64.132475,0.0118,0.0102208748375921,0.0633,0.0548289302728454,0,0,9.9999999999989e-05,0.000399999999999956,0.0474,0.118228930272845,0.10240704224586
"2018_L_02",6,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,148,0,5,2,0,1,13,0.7052,39.17386,0.00590000000000002,0.00836642087351108,0.00290000000000001,0.00411230856494613,0.0199,0.0282189449801475,0,0,0.0167,0.0551312535450937,0.0781781814309326
"2018_L_02",7,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,228,0,10,3,1,10,33,2.6236,145.74098,0.0162,0.00617472175636532,0.00380000000000003,0.00144839152309804,0.0332,0.0126543680439091,0.000399999999999956,0.00119999999999998,0.0163,0.0515027595670072,0.019630568519213
"2018_L_02",8,"Natzuhini","7/12/2018",20180712,55.249258,-132.881141,"WR","AB",615,NA,-0.5,180,4,20,0,2,3,9,0.7704,42.79572,0.00600000000000001,0.00778816199376948,0.0091,0.0118120456905504,0,0,0.000400000000000011,0.000299999999999967,0.00339999999999996,0.0213120456905504,0.0276636107094371
"2018_L_03",1,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,292,0,4,0,0,0,7,3.7108,206.13494,0.0239,0.00644065969602243,0.1436,0.0386978549099925,0,0,0,0,0.00509999999999999,0.182297854909992,0.0491262948447754
"2018_L_03",2,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,220,0,7,1,1,0,1,2.4385,135.458675,0.00160000000000005,0.00065614107033014,0.00380000000000003,0.00155833504203405,0.012,0.00492105802747589,0.00130000000000002,0,0.00160000000000005,0.0235793930695099,0.0096696301289768
"2018_L_03",3,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,192,8,11,1,0,0,60,1.7869,99.262295,0.000900000000000012,0.00050366556606414,0.2138,0.119648553360569,0.00770000000000004,0.00430913873188205,0,0,0.0557,0.345457692092451,0.193327937821059
"2018_L_03",4,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,280,4,15,3,0,1,77,2.3545,130.792475,0.0081,0.00344022085368443,0.0911,0.0386918666383521,0.0341,0.0144829050753876,0,0,0.0752,0.17837477171374,0.0757590875828157
"2018_L_03",5,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,260,0,19,2,0,1,53,4.5986,255.45223,0.021,0.00456660722828687,0.109,0.0237028660896795,0.0258,0.00561040316618102,0,0,0.0682,0.164113269255861,0.0356876591257906
"2018_L_03",6,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,264,8,8,0,0,2,110,2.5798,143.30789,0.00109999999999999,0.00042638964260795,0.1482,0.0574463136677262,0,0,0,0.00409999999999999,0.1622,0.205646313667726,0.0797140528985682
"2018_L_03",7,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,200,4,8,0,0,0,57,0.9664,53.68352,0.00209999999999999,0.0021730132450331,0.178,0.184188741721854,0,0,0,0,0.0472999999999999,0.362188741721854,0.37478139664927
"2018_L_03",8,"Sukkwan","7/13/2018",20180713,55.189095,-132.84324,"WR","TS",750,NA,-0.61,264,8,9,3,0,4,78,1.5669,87.041295,0.00230000000000008,0.00146786648796993,0.1055,0.0673303976003574,0.0436,0.027825642989342,0,0.00129999999999997,0.0655,0.244256040589699,0.155884894115578
