"","quadrat_ID","avg_biomass","density","flowering_shoots","density_m2","flowering_m2","site"
"87",92,0.003132211118385,62,0,248,0,"Farallon Bay"
"88",93,0.00338384615637064,60,0,240,0,"Farallon Bay"
"89",94,0.00152998725106876,71,0,284,0,"Farallon Bay"
"90",95,0.0017250476097393,35,0,140,0,"Farallon Bay"
"91",96,0.00124334476425511,73,0,292,0,"Chusini Cove"
"92",97,0.00188429236003419,70,0,280,0,"Chusini Cove"
"93",98,0.00226561990882916,117,0,468,0,"Chusini Cove"
"94",99,0.00181389848364612,84,0,336,0,"Chusini Cove"
"95",100,0.00244352806676176,81,0,324,0,"Chusini Cove"
"96",101,0.00300774121602566,267,2,1068,8,"South Fish Egg Island"
"97",102,0.00346200293787442,372,0,1488,0,"South Fish Egg Island"
"98",103,0.00244310933672089,284,0,1136,0,"South Fish Egg Island"
"99",104,0.0025039417273426,359,0,1436,0,"South Fish Egg Island"
"100",105,0.00302242087843117,332,0,1328,0,"South Fish Egg Island"
