sample_id_label,otter_region,site,site_corr,site_full,date_label,date_corr,sampling_type,month,rep,depth_m,nox_umol,nh4_umol,po4_umol,tot_N,N:P
AK_2017_H04_08132017_4MA,high,H04,H04,2017_H_04,08132017,8/14/2017,nutday,8,1,4,2.698142857,2.126292271,0.735,4.824435128,6.563857318
AK_2017_H04_08132017_4MB,high,H04,H04,2017_H_04,08132017,8/14/2017,nutday,8,2,4,2.548142857,4.866292271,0.996,7.414435128,7.444211976
AK_2017_H05_07252017_A,high,H05,H05,2017_H_05,07252017,7/25/2017,eelgrass,7,1,1,0.439142857,0.941292271,0.349,1.380435128,3.955401514
AK_2017_H05_07252017_B,high,H05,H05,2017_H_05,07252017,7/25/2017,eelgrass,7,2,1,0.541142857,1.456292271,0.368,1.997435128,5.427812849
AK_2017_H05_08132017_1MA,high,H05,H05,2017_H_05,08132017,8/14/2017,nutday,8,1,1,0.196052857,1.176292271,0.354,1.372345128,3.876681154
AK_2017_H05_08132017_1MB,high,H05,H05,2017_H_05,08132017,8/14/2017,nutday,8,2,1,0.412142857,3.836292271,0.527,4.248435128,8.061546733
AK_2017_H05_08132017_4MA,high,H05,H05,2017_H_05,08132017,8/14/2017,nutday,8,1,4,0.517142857,2.996292271,0.717,3.513435128,4.900188464
AK_2017_H05_08132017_4MB,high,H05,H05,2017_H_05,08132017,8/14/2017,nutday,8,2,4,0.408142857,3.006292271,0.619,3.414435128,5.516050288
AK_2017_H06_07242017_1,high,H06,H06,2017_H_06,07242017,7/24/2017,eelgrass,7,1,1,1.968142857,1.966292271,0.704,3.934435128,5.588686262
AK_2017_H06_07242017_2,high,H06,H06,2017_H_06,07242017,7/24/2017,eelgrass,7,2,1,2.328142857,3.176292271,0.788,5.504435128,6.985323767
AK_2017_H06_08132017_1MA,high,H06,H06,2017_H_06,08132017,8/14/2017,nutday,8,1,1,1.738142857,2.036292271,0.736,3.774435128,5.128308598
AK_2017_H06_08132017_1MB,high,H06,H06,2017_H_06,08132017,8/14/2017,nutday,8,2,1,1.488142857,3.246292271,0.702,4.734435128,6.744209585
AK_2017_H06_08132017_4MA,high,H06,H06,2017_H_06,08132017,8/14/2017,nutday,8,1,4,2.828142857,6.146292271,0.946,8.974435128,9.486717895
AK_2017_H06_08132017_4MB,high,H06,H06,2017_H_06,08132017,8/14/2017,nutday,8,2,4,2.428142857,3.666292271,0.769,6.094435128,7.92514321
AK_2017_H07_08132017_1MA,high,H07,H07,2017_H_07,08132017,8/14/2017,nutday,8,1,1,0.658142857,2.196292271,0.528,2.854435128,5.406127137
AK_2017_H07_08132017_1MB,high,H07,H07,2017_H_07,08132017,8/14/2017,nutday,8,2,1,0.840142857,2.466292271,0.524,3.306435128,6.309990703
AK_2017_H07_08132017_4MA,high,H07,H07,2017_H_07,08132017,8/14/2017,nutday,8,1,4,0.421142857,1.956292271,0.479,2.377435128,4.963330122
AK_2017_H07_08132017_4MB,high,H07,H07,2017_H_07,08132017,8/14/2017,nutday,8,2,4,0.078142857,0.571292271,0.294,0.649435128,2.208963022
AK_2017_H07_08202017_A,high,H07,H07,2017_H_07,08202017,8/20/2017,eelgrass,8,1,1,1.738142857,1.776292271,0.618,3.514435128,5.686788234
AK_2017_H07_08202017_B,high,H07,H07,2017_H_07,08202017,8/20/2017,eelgrass,8,2,1,2.288142857,2.376292271,0.719,4.664435128,6.48739239
AK_2017_L01_04302017_1,low,L01,L01,2017_L_01,04302017,4/30/2017,eelgrass,4,1,1,0.801142857,1.476292271,0.333,2.277435128,6.83914453
AK_2017_L01_04302017_2,low,L01,L01,2017_L_01,04302017,4/30/2017,eelgrass,4,2,1,0.799142857,3.016292271,0.37,3.815435128,10.31198683
AK_2017_L01_08142017_1MA,low,L01,L01,2017_L_01,08142017,8/14/2017,nutday,8,1,1,0.067142857,2.096292271,0.127,2.163435128,17.03492227
AK_2017_L01_08142017_1MB,low,L01,L01,2017_L_01,08142017,8/14/2017,nutday,8,2,1,0.361142857,1.066292271,0.211,1.427435128,6.765095395
AK_2017_L01_08142017_4MA,low,L01,L01,2017_L_01,08142017,8/14/2017,nutday,8,1,4,0.647142857,1.876292271,0.417,2.523435128,6.051403186
AK_2017_L01_08142017_4MB,low,L01,L01,2017_L_01,08142017,8/14/2017,nutday,8,2,4,0.775142857,3.696292271,0.486,4.471435128,9.200483803
AK_2017_L02_05272017_A,low,L02,L02,2017_L_02,05272017,5/27/2017,eelgrass,5,1,1,2.008142857,2.346292271,0.562,4.354435128,7.748105211
AK_2017_L02_05272017_B,low,L02,L02,2017_L_02,05272017,5/27/2017,eelgrass,5,2,1,1.498142857,2.906292271,0.562,4.404435128,7.837073182
AK_2017_L02_08142017_1MA,low,L02,L02,2017_L_02,08142017,8/14/2017,nutday,8,1,1,0.337142857,1.246292271,0.271,1.583435128,5.842934053
AK_2017_L02_08142017_1MB,low,L02,L02,2017_L_02,08142017,8/14/2017,nutday,8,2,1,1.438142857,16.14629227,1.39,17.58443513,12.65067275
AK_2017_L02_08142017_4MA,low,L02,L02,2017_L_02,08142017,8/14/2017,nutday,8,1,4,0.364142857,1.296292271,0.332,1.660435128,5.001310628
AK_2017_L02_08142017_4MB,low,L02,L02,2017_L_02,08142017,8/14/2017,nutday,8,2,4,0.466142857,1.706292271,0.492,2.172435128,4.415518554
AK_2017_L03_05262017_A,low,L03,L03,2017_L_03,05262017,5/26/2017,eelgrass,5,1,1,2.788142857,2.366292271,0.657,5.154435128,7.845411154
AK_2017_L03_05262017_B,low,L03,L03,2017_L_03,05262017,5/26/2017,eelgrass,5,2,1,2.798142857,2.356292271,0.708,5.154435128,7.280275605
AK_2017_L03_1MA,low,L03,L03,2017_L_03,na,8/14/2017,nutday,8,1,1,0.382142857,0.763292271,0.353,1.145435128,3.244858721
AK_2017_L03_1MB,low,L03,L03,2017_L_03,na,8/14/2017,nutday,8,2,1,0.732142857,4.216292271,0.631,4.948435128,7.84221098
AK_2017_L03_082017_4MA,low,L03,L03,2017_L_03,082017_4,8/14/2017,nutday,8,1,4,0.776142857,1.136292271,0.556,1.912435128,3.439631526
AK_2017_L03_082017_4MB,low,L03,L03,2017_L_03,082017_4,8/14/2017,nutday,8,2,4,0.711142857,1.736292271,0.518,2.447435128,4.72477824
AK_2017_L03_06282017_A,low,L03,L04,2017_L_04,06282017,6/28/2017,eelgrass,6,1,1,0.825142857,2.126292271,0.604,2.951435128,4.886482001
AK_2017_L03_06282017_B,low,L03,L04,2017_L_04,06282017,6/28/2017,eelgrass,6,2,1,0.771142857,2.576292271,0.61,3.347435128,5.487598571
AK_2017_L04_08142017_1MA,low,L04,L04,2017_L_04,08142017,8/14/2017,nutday,8,1,1,0.324142857,1.866292271,0.307,2.190435128,7.134967845
AK_2017_L04_08142017_1MB,low,L04,L04,2017_L_04,08142017,8/14/2017,nutday,8,2,1,0.374142857,2.526292271,0.368,2.900435128,7.881617197
AK_2017_L04_08142017_4MA,low,L04,L04,2017_L_04,08142017,8/14/2017,nutday,8,1,4,0.258142857,1.176292271,0.705,1.434435128,2.034659757
AK_2017_L04_08142017_4MB,low,L04,L04,2017_L_04,08142017,8/14/2017,nutday,8,2,4,0.404142857,2.176292271,0.476,2.580435128,5.421082202
AK_2017_L05_B,low,L05,L05,2017_L_05,6272017,6/27/2017,eelgrass,6,2,1,0.015142857,1.526292271,0.333,1.541435128,4.628934319
AK_2017_L05_08132017_A,low,L05,L05,2017_L_05,6122017,6/27/2017,eelgrass,6,1,1,0.101042857,1.756292271,0.41,1.857335128,4.530085679
AK_2017_L05_08142017_1MA,low,L05,L05,2017_L_05,08142017,8/14/2017,nutday,8,1,1,0.182942857,0.606292271,0.166,0.789235128,4.754428484
AK_2017_L05_08142017_1MB,low,L05,L05,2017_L_05,08142017,8/14/2017,nutday,8,2,1,0.324142857,2.616292271,0.439,2.940435128,6.698029905
AK_2017_L05_08142017_4MA,low,L05,L05,2017_L_05,08142017,8/14/2017,nutday,8,1,4,0.460142857,1.526292271,0.373,1.986435128,5.325563347
AK_2017_L05_08142017_4MB,low,L05,L05,2017_L_05,08142017,8/14/2017,nutday,8,2,4,0.563142857,1.476292271,0.312,2.039435128,6.536651053
AK_2017_L06_07232017_A,low,L06,L06,2017_L_06,07232017,7/23/2017,eelgrass,7,1,1,1.358142857,0.956292271,0.186,2.314435128,12.44319961
AK_2017_L06_07232017_B,low,L06,L06,2017_L_06,07232017,7/23/2017,eelgrass,7,2,1,2.248142857,1.026292271,0.404,3.274435128,8.105037446
AK_2017_L06_08142017_1MA,low,L06,L06,2017_L_06,08142017,8/14/2017,nutday,8,1,1,1.718142857,2.856292271,0.5,4.574435128,9.148870257
AK_2017_L06_08142017_1MB,low,L06,L06,2017_L_06,08142017,8/14/2017,nutday,8,2,1,3.148142857,3.366292271,0.612,6.514435128,10.64450184
AK_2017_L06_08142017_4MA,low,L06,L06,2017_L_06,08142017,8/14/2017,nutday,8,1,4,1.828142857,2.446292271,0.58,4.274435128,7.369715739
AK_2017_L06_08142017_4MB,low,L06,L06,2017_L_06,08142017,8/14/2017,nutday,8,2,4,2.648142857,2.796292271,0.859,5.444435128,6.338108415
AK_2017_L07_07222017_1,low,L07,L07,2017_L_07,07222017,7/22/2017,eelgrass,7,1,1,0.326142857,1.386292271,0.592,1.712435128,2.892626906
AK_2017_L07_07222017_2,low,L07,L07,2017_L_07,07222017,7/22/2017,eelgrass,7,2,1,0.449142857,1.356292271,0.474,1.805435128,3.80893487
AK_2017_L07_08142017_1MA,low,L07,L07,2017_L_07,08142017,8/14/2017,nutday,8,1,1,1.025142857,0.338292271,0.159,1.363435128,8.575063701
AK_2017_L07_08142017_1MB,low,L07,L07,2017_L_07,08142017,8/14/2017,nutday,8,2,1,0.982142857,0.582292271,0.233,1.564435128,6.714313856
AK_2017_L07_08142017_4MA,low,L07,L07,2017_L_07,08142017,8/14/2017,nutday,8,1,4,0.849142857,4.496292271,0.501,5.345435128,10.66953119
AK_2017_L07_08142017_4MB,low,L07,L07,2017_L_07,08142017,8/14/2017,nutday,8,2,4,0.376142857,0.700292271,0.23,1.076435128,4.680152732
AK_2017_M01_Rep1,moderate,M01,M01,2017_M_01,na,4/28/2017,eelgrass,4,1,1,0,0.802292271,0.328,0.802292271,2.446013022
AK_2017_M01_2,moderate,M01,M01,2017_M_01,na,4/28/2017,eelgrass,4,2,1,0.529142857,0.849292271,0.343,1.378435128,4.018761307
AK_2017_M02_05242017_1,moderate,M02,M02,2017_M_02,05242017,5/24/2017,eelgrass,5,1,1,0.198499857,1.426292271,0.282,1.624792128,5.761674214
AK_2017_M02_05242017_2,moderate,M02,M02,2017_M_02,05242017,5/24/2017,eelgrass,5,2,1,0.266542857,0.941292271,0.267,1.207835128,4.523727073
AK_2017_M02_08142017_1MA,moderate,M02,M02,2017_M_02,08142017,8/14/2017,nutday,8,1,1,0.138742857,1.446292271,0.25,1.585035128,6.340140514
AK_2017_M02_08142017_1MB,moderate,M02,M02,2017_M_02,08142017,8/14/2017,nutday,8,2,1,0.025142857,0.861292271,0.344,0.886435128,2.576846303
AK_2017_M02_08142017_4MA,moderate,M02,M02,2017_M_02,08142017,8/14/2017,nutday,8,1,4,0.116442857,1.716292271,0.362,1.832735128,5.062804222
AK_2017_M02_08142017_4MB,moderate,M02,M02,2017_M_02,08142017,8/14/2017,nutday,8,2,4,0.221742857,1.576292271,0.363,1.798035128,4.953264816
AK_2017_M03_05252017_A,moderate,M03,M03,2017_M_03,05252017,5/25/2017,eelgrass,5,1,1,0.542142857,1.666292271,0.453,2.208435128,4.875132734
AK_2017_M03_05252017_B,moderate,M03,M03,2017_M_03,05252017,5/25/2017,eelgrass,5,2,1,0.478142857,1.796292271,0.471,2.274435128,4.828949317
AK_2017_M03_08142017_1MA,moderate,M03,M03,2017_M_03,08142017,8/14/2017,nutday,8,1,1,0.109842857,1.596292271,0.479,1.706135128,3.561868744
AK_2017_M03_08142017_1MA,moderate,M03,M03,2017_M_03,08142017,8/14/2017,nutday,8,1,1,0,1.236292271,0.451,1.236292271,2.741224548
AK_2017_M03_08142017_1MB,moderate,M03,M03,2017_M_03,08142017,8/14/2017,nutday,8,2,1,0,1.176292271,0.315,1.176292271,3.734261179
AK_2017_M03_08142017_4MB,moderate,M03,M03,2017_M_03,08142017,8/14/2017,nutday,8,2,4,0,0.901292271,0.203,0.901292271,4.439863405
AK_2017_M04_06222017_2,moderate,M04,M04,2017_M_04,06222017,6/22/2017,eelgrass,6,2,1,0.339142857,1.246292271,0.354,1.585435128,4.478630306
AK_2017_M04_06222017_B,moderate,M04,M04,2017_M_04,06222017,6/22/2017,eelgrass,6,2,1,0.508142857,1.356292271,0.373,1.864435128,4.998485599
AK_2017_M04_08142017_1MA,moderate,M04,M04,2017_M_04,08142017,8/14/2017,nutday,8,1,1,0,1.676292271,0.41,1.676292271,4.088517735
AK_2017_M04_08142017_1MB,moderate,M04,M04,2017_M_04,08142017,8/14/2017,nutday,8,2,1,0,1.136292271,0.654,1.136292271,1.737449956
AK_2017_M04_08142017_4MA,moderate,M04,M04,2017_M_04,08142017,8/14/2017,nutday,8,1,4,0,0.745292271,0.385,0.745292271,1.935824081
AK_2017_M04_08142017_4MB,moderate,M04,M04,2017_M_04,08142017,8/14/2017,nutday,8,2,4,0,0.851292271,0.368,0.851292271,2.313294215
AK_2017_M04_06252017_A,moderate,M04,M05,2017_M_05,06252017,6/23/2017,eelgrass,6,1,1,0.868142857,1.536292271,0.534,2.404435128,4.502687506
AK_2017_M05_06232017_B,moderate,M05,M05,2017_M_05,06232017,6/23/2017,eelgrass,6,2,1,0.728142857,1.996292271,0.525,2.724435128,5.189400245
AK_2017_M05_08142017_1MA,moderate,M05,M05,2017_M_05,08142017,8/14/2017,nutday,8,1,1,1.208142857,5.646292271,0.839,6.854435128,8.169767733
AK_2017_M05_08142017_1MB,moderate,M05,M05,2017_M_05,08142017,8/14/2017,nutday,8,2,1,0.661142857,1.036292271,0.411,1.697435128,4.130012478
AK_2017_M05_08142017_4MA,moderate,M05,M05,2017_M_05,08142017,8/14/2017,nutday,8,1,4,0.440142857,2.356292271,0.54,2.796435128,5.178583571
AK_2017_M05_08142017_4MB,moderate,M05,M05,2017_M_05,08142017,8/14/2017,nutday,8,2,4,0.391142857,1.146292271,0.483,1.537435128,3.183095504
AK_2017_M06_08142017_1MA,moderate,M06,M06,2017_M_06,08142017,8/14/2017,nutday,8,1,1,0.620142857,1.716292271,0.438,2.336435128,5.334326777
AK_2017_M06_08142017_1MB,moderate,M06,M06,2017_M_06,08142017,8/14/2017,nutday,8,2,1,0.823142857,3.176292271,0.487,3.999435128,8.212392461
AK_2017_M06_08142017_4MA,moderate,M06,M06,2017_M_06,08142017,8/14/2017,nutday,8,1,4,1.152142857,1.676292271,0.479,2.828435128,5.904875007
AK_2017_M06_08142017_4MB,moderate,M06,M06,2017_M_06,08142017,8/14/2017,nutday,8,2,4,1.568142857,3.006292271,0.662,4.574435128,6.910022853
AK_2017_M07_08212017_1,moderate,M07,M06,2017_M_06,08212017,8/21/2017,eelgrass,8,1,1,2.208142857,3.236292271,0.648,5.444435128,8.401906062
AK_2017_M07_08212017_NutH2,moderate,M07,M06,2017_M_06,08212017,8/21/2017,eelgrass,8,2,1,1.928142857,2.436292271,0.596,4.364435128,7.322877732
AK_2017_M07_07262017_A,moderate,M07,M07,2017_M_07,07262017,7/26/2017,eelgrass,7,1,1,0.106942857,1.306292271,0.587,1.413235128,2.407555585
AK_2017_M07_07262017_B,moderate,M07,M07,2017_M_07,07262017,7/26/2017,eelgrass,7,2,1,0.057142857,1.036292271,0.393,1.093435128,2.78227768
AK_2017_M07_08142017_1MA,moderate,M07,M07,2017_M_07,08142017,8/14/2017,nutday,8,1,1,1.428142857,0.986292271,0.633,2.414435128,3.814273505
AK_2017_M07_08142017_1MB,moderate,M07,M07,2017_M_07,08142017,8/14/2017,nutday,8,2,1,1.858142857,2.446292271,0.642,4.304435128,6.704727614
AK_2017_M07_08142017_4MA,moderate,M07,M07,2017_M_07,08142017,8/14/2017,nutday,8,1,4,2.128142857,2.186292271,0.674,4.314435128,6.401239063
AK_2017_M07_08142017_4MB,moderate,M07,M07,2017_M_07,08142017,8/14/2017,nutday,8,2,4,2.058142857,1.636292271,0.602,3.694435128,6.136935429
AK_2017_M08_08142017_1MB,moderate,M08,M08,2017_M_08,08142017,8/14/2017,nutday,8,2,1,1.268142857,5.816292271,0.796,7.084435128,8.900044131
AK_2017_M08_08142017_4MA,moderate,M08,M08,2017_M_08,08142017,8/14/2017,nutday,8,1,4,1.007142857,0.477292271,0.312,1.484435128,4.757804899
AK_2017_M08_08142017_4MB,moderate,M08,M08,2017_M_08,08142017,8/14/2017,nutday,8,2,4,2.618142857,1.256292271,0.462,3.874435128,8.386223222
AK_2017_M08_08222017_A,moderate,M08,M08,2017_M_08,08222017,8/22/2017,eelgrass,8,1,1,1.036142857,4.156292271,0.572,5.192435128,9.077683791
AK_2017_M08_08222017_B,moderate,M08,M08,2017_M_08,08222017,8/22/2017,eelgrass,8,2,1,0.797142857,1.806292271,0.428,2.603435128,6.082792356
