site,place_name,date,latitude,longitude,start_time,end_time,tide_height_m,tide_time,weather,freshwater,sediment_description,general_description,dissolved_02_mg/l_surface,dissolved_02_percent_surface,specific_conductivity_surface,salinity_ppt_surface,temperature_C_surface,dissolved_02_mg/l_transect,dissolved_02_percent_transect,specific_conductivity_transect,salinity_ppt_transect,temperature_C_transect,light_intensity_umol/m2/sec_air,light_intensity_umol/m2/sec_surface,light_intensity_umol/m2/sec_transect,sediment_core_A_internal_cm,sediment_core_A_external_cm,sediment_core_B_internal_cm,sediment_core_B_external_cm,Notes
2017_L_04,Natzuhini Bay,28/6/17,55.25051,-132.883,1020,1230,-0.40,1050,"mostly sunny, warm, calm",small stream plus few tiny streamlets,"muddy sand, semi-consolidated shells on top. Lost of shells around -0.3m. Upper shore gradually increases grain size ot gravel and then cobble",Gradually slopping beach 1 small rock outcrop nob thing in middle of bay at mid intertidal,9.57,104.1,45971,29.8,12.7,9.43,106.7,45992,29.8,12.5,1204.2,631.5,524.4,43.4,27.3,34.4,29.6,
2017_L_05,Dunbar Inlet,27/6/17,55.0848,-132.826,1000,1200,-0.70,1010,"sunny, light wind",small groundwater seep,"semi-consolidated sand/mud mix, some small cobbles and shells on top",Relativley steep beach with eelgrass extenting up to 0 MLLW. Linear,9.97,115.3,46325,30.1,13.6,9.8,113,46324,30.1,13.1,2583,1976.2,900.8,16.4,13,50.5,46.5,
2017_L_06,Farallon Bay,23/7/17,55.19112,-133.105314,730,940,-0.81,735,"high overcast, light wind",2 small streams,semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.,Small crecsent bay with eelgrass. Some eelgrass starts fairly high (above 0 MLLW). Fair amount of algae around more in areas without eelgrass. Water tannins,9.91,99.2,14912,8.6,13.1,6.52,72,44277,28.7,12.4,612.5,401.3,118.16,25,9,20.4,8.8,
2017_L_07,Hetta Cove,22/7/17,55.155625,-132.589934,720,830,-0.70,640,"high overcast, light wind",one large stream,muddy sand with some gravel mixed in at transect. Changes to gravel and cobble high.,Small embayment with rocky outcrops on edges. Large stream at one end of transect. Gradual sloping. Visable (while in water) freshwater lense.,10.9,104.4,5000,3.8,12.8,8.61,98.2,45200,29.3,13.4,235.6,85.53,39.84,45,35,39,30,
2017_M_02,North Fish Egg Island,24/5/17,55.49709,-133.17,530,830,-0.37,620,"partly cloudy, calm",two small streams,soft fine grain sand at transect. Changes to gravel cobble high,gentle slopping beach with gentle arc. Small island protect most of site,9.88,102.3,38162,24.1,10.1,9.86,101.8,38426,24.3,10,1091.6,1020.9,328.9,13,7.5,14.5,9.5,
2017_M_03,South Fish Egg Island,25/5/17,55.48442,-133.17549,601,920,-0.64,706,"calm, mostly clear",one stream about 20m from transect,semi-consolidated sand/mud transitioning to cobble,half moon bay filled with eelgrass. Hard substrate on edges with soft in middle. Flowering shoots present around most of site up to at least 0 MLLW,10.35,113.2,46814,30.3,10.7,10.44,113.8,46819,30.3,10.7,874,609.6,290.7,23,14,16,12,
2017_M_04,South Wadleigh Island,22/6/17,55.52904,-133.147,505,855,-0.50,600,"cloudy, scattered rain, calm",some seepage in hight intertidal,"soft, sink to mid calf, mud, changed to sand/mud then gravel/cobble as you move up the beach","gradually sloping beach, fairly consistent grade. Start of eeglrass variable but consistent at transect level",9.12,102.7,45081,29.1,12.5,9.19,103.9,45852,29.7,12.4,690.5,318.1,205.6,26.2,50,50.6,48.2,
2017_M_05,Shinaku Inlet,23/6/17,55.59929,-133.16,625,1000,-0.69,652,"partly cloudy, calm",small stream in back of bay,very soft mud at transect changing to sand/mud then to cobble high,Long narrow inlet with eelgrass all around. Bed is consistent throughout,9.53,111.1,42374,27.2,14.7,9.82,111.8,43412,28,13.5,2057,1420.5,523.2,50,19,42,16.2,
2017_M_06,Trocadero Bay,21/8/17,55.344914,-133.0011,700,945,-0.51,711,"grey, rain, rain, rain, calm",two streams adjacent to transect,"sand, gravel, cobble mix. Changes to cobble and gravel high","Fluvial plain eelgrass throughout, relativlye narrow. About 200m off transect sulfur gas seep in low intertidal, salmon close to transect",8.48,95,44255,28.5,12.5,8.11,92.6,47912,31.1,12.4,69.48,52.29,38.78,69,20.2,40.2,15.4,
2017_M_07,Garcia Bay,26/7/17,55.552669,-133.431392,930,1200,-0.59,932,"mist, light wind, low overcast",one moderatly sized stream,"muddy sand mixed with gravel and cobble at transect. Changing to course sand with gravel and cobble higher. Two rocky outcrops ""framing back of bay",Gradually slopping beach at back of bay. Lots of shells everywhere that appear old. Eelgrass continuos but some patches rach fairly high i.e. irregraul upper edge,9.15,104,48550,31.6,12.6,9.1,104,48452,31.5,12.6,692.6,454,251.7,50,21,51,23.4,
2017_M_08,Port Refugio,22/8/17,55.282137,-133.334028,800,1005,-0.55,800,"overcast, rain, calm at site","many streams in bay, lots of tannins","mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.",Large gradual sloping bay with eelgrass throughut. Many streams bisect eelgrass throughout. Eelgrass persists in low elevation stream beds. Its Pete's birthday,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,123.43,48.68,21.02,17.6,42.2,26.6,13,
