SpCommon,SpScientific,Family,Order,SpCode,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,16,76,FL,,,2955,Mixed,0.0206,,2.718,,,,,,,,,,Bayesian,"Western Bering Sea, Russia / 1978-1979",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,Unsexed,0.0178,,2.768,,,,,,,,,,Bayesian,"Bering Sea and Aleutian Islands, AK / 1983",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,12,74,FL,,,1134,Mixed,0.0154,,2.783,,,,,,,,,,Bayesian,"South Kurils, Russia / 1978",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,24,80,FL,,,4978,Female,0.0118,,2.85,,,,,0.03,,,,,Bayesian,"Western Bering Sea (Russian EEZ and within (54°-60°N, 164°E-177°W) 1990; 1995-98",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0132,,2.858,,,,,,,,,,Bayesian,"Bering Sea and Aleutian Islands, AK/1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,28,82,FL,,,2258,Male,0.0104,,2.88,,,,,0.03,,,,,Bayesian,"Western Bering Sea, Russia (Russian EEZ and within (54°-60°N, 164°E-177°W) 1990; 1995-98",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0104,,2.912,,,,,,,,,,Bayesian,"Bering Sea and Aleutian Islands, AK/1991",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0081,,2.983,,,,,,,,,,Bayesian,Bering Sea and Aleutian Islands / 1997,Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,20,68,FL,,,823,mixed,0.0066,,2.984,,,,,,,,,,Bayesian,"SE Kamchatka, Russia / 1979-1980",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0066,,3.018,,,,,,,,,,Bayesian,"Bering Sea and Aleutian Islands, AK 2002",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0064,,3.019,,,,,,,,,,Bayesian,Bering Sea and Aleutian Islands /2000,Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0069,,3.022,,,,,,,,,,Bayesian,"Bering Sea and Aleutian Islands, AK /1994",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,,,,,,,unsexed,0.0059,,3.03,,,,,,,,,,Bayesian,"Gulf of Alaska, USA",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,9,79,FL,,,7345,mixed,0.00397,,3.148,,,,,,,,,,Bayesian,"West Kamchatka,Russia / 1985-1995",Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,10,72,FL,,,5350,mixed,0.0037,,3.157,,,,,,,,,,Bayesian,Northern Sea of Okhotsk/1987-1995,Fishbase - Bayesian,,,
Walleye pollock,Gadus chalcogrammus,Gadidae,Gadiformes,POLLOCK,16,70,FL,,,1448,mixed,0.0006,,3.596,,,,,,,,,,Bayesian,"Gulf of Alaska, USA / 1980",Fishbase - Bayesian,,,
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,,,,,,216,unsexed,0.0224,,2.89,0.9006,,,,,,,,,type I linear regression,"North Puget Sound, Washington",4511,840,,3
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,44,81,TL,,,33,Mixed,0.0032,0.0032,3.331,,,,,,,,,,type I linear regression,Northeastern Sea of Okhotsk,,643,,1287
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,10,100,FL,,,,Mixed,0.00548,0.00548,3.1883,,,,,,,,,,type I linear regression,Sea of Okhotsk,,643,,1287
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,10,100,FL,,,,Mixed,0.00749,0.00749,3.0885,,,,,,,,,,type I linear regression,North Kurils,,643,,1287
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,10,100,FL,,,,Mixed,0.00793,0.00793,3.0968,,,,,,,,,,type I linear regression,South Kurils,,643,,1287
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,18,50,TL,,,,Mixed,0.0063,0.0063,3.138,0.97023,,,,,,,,,type I linear regression,Shantar Isl. (Northwestern Sea of Okhotsk)/1995,,643,,1287
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,31,106,FL,,,699,Female,0.00376,,3.28,0.971,,,,,,,,,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,,3
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,34,91,FL,,,726,Male,0.00431,,3.25,0.962,,,,,,,,,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,,3
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,,,,,,,unsexed,0.0117,,3,,,,,,,,,,type I linear regression,"West coast, 1987-89",7275,304,b not significantly different from 3. Under <i>Gadus ogac</i>.,3
Pacific cod,Gadus macrocephalus,Gadidae,Gadiformes,PCOD,,,,,,216,unsexed,0.0224,,2.89,0.9006,,,,,,,,,type I linear regression,"North Puget Sound, Washington",4511,840,,3
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,STICK3,4.3,8.2,TL,,,500,mixed,0.0044,,3.544,0.8836,,,,,,,,,type I linear regression,,59087,364,,3
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,STICK3,1.3,4.7,SL,,Yes,568,mixed,0.01,,3.61,,,,,,,,,,type I linear regression,"coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,484,,3
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,STICK3,2.1,8.2,TL,,,262,unsexed,0.0068,,3.26,0.958,,0.025,,,,,,,type I linear regression,"Lake Iznik, Marmara, Oct. 2003-Aug. 2004 (Oct.-Aug.)",59105,792,,3
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,STICK3,1.5,10,TL,,,29213,unsexed,0.0105,,3.049,0.9,,,,,,,,,type I linear regression,"Flanders (Yser, Scheldt and Meuse drainage basin), 1992-2009",88166,56,,3
Threespine stickleback,Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,STICK3,3.75,8.5,TL,,,122,unsexed,0.0239,,2.6111,0.7617,,,,,,,,,type I linear regression,North Sea / 1994-2008,,,,65
Armorhead sculpin,Gymnocanthus galeatus,Cottidae,Scorpaeniformes,ARMSCUL,19.5,46,TL,yes,NA,334,Mixed,0.0074,NA,3.1134,0.93896,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Kamchatka/1979-1982,NA,643,NA,1287
Unknown Irish Lord,Hemilepidotus,Cottidae,Scorpaeniformes,UNLORD,,,,,,,,0.00708,,3.13,,,0.21,,,0.00296,0.01962,2.92,3.34,Bayesian,,Fishbase - Bayesian,,,
Red Irish lord,Hemilepidotus hemilepidotus,Cottidae,Scorpaeniformes,RILORD,34,34,TL,NA,NA,1,unsexed,0.02824,0.02824,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Brown Irish lord,Hemilepidotus spinosus,Cottidae,Scorpaeniformes,BILORD,,,,,,,,0.00708,,3.13,,,0.21,,,0.00296,0.01962,2.92,3.34,Bayesian,,Fishbase - Bayesian,,,
Kelp greenling,Hexagrammos decagrammus,Hexagrammidae,Scorpaeniformes,KEGREEN,45,45,TL,,,1,unsexed,0.01558,0.01558,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,
Rock greenling,Hexagrammos lagocephalus,Hexagrammidae,Scorpaeniformes,ROGREEN,24,57,TL,NA,NA,NA,female,0.0064,NA,3.2008,0.9316,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Pacific coast of Kamchatka and N Kuril Is. (47°50? - 52°10? N), 1992-2002",83701,643,NA,3
Rock greenling,Hexagrammos lagocephalus,Hexagrammidae,Scorpaeniformes,ROGREEN,23,50,TL,NA,NA,NA,male,0.0067,NA,3.1978,0.946,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Pacific coast of Kamchatka and N Kuril Is. (47°50? - 52°10? N), 1992-2002",83701,643,NA,3
Masked greenling,Hexagrammos octogrammus,Hexagrammidae,Scorpaeniformes,MAGREEN,,,,,,,,0.00457,,3.13,,,,,,0.0018,0.01158,2.9,3.36,Bayesian,,Fishbase - Bayesian,,,
Whitespotted greenling,Hexagrammos stelleri,Hexagrammidae,Scorpaeniformes,WGREEN,13.6,35.2,FL,,,444,mixed,0.00305,,3.4278,0.98605,,,,,,,,,type I linear regression,Northern Sea of Okhotsk/2005,,643,,1287
Surf smelt,Hypomesus pretiosus,Osmeridae,Osmeriformes,SUSMELT,,,,,,,,0.00437,,3.11,,,,,,,,,,,,,,,
Northern sculpin,Icelinus borealis,Cottidae,Scorpaeniformes,NSCUL,,,,,,,,,,,,,,,,,,,,,,,,,
Bay goby,Lepidogobius lepidus,Oxudercidae,Gobbiiformes,BAYGOBY,NA,NA,SL,NA,NA,480,unsexed,0.00829,NA,3.1,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Morro Bay (35°21'N, 120°51'W), California , 1976-77",31146,840,NA,3
Rock sole,Lepidopsetta spp.,Pleuronectidae,Pleuronectiformes,ROCSOLE,20,45,TL,,,1018,,0.02062,,2.858,,,,,,,,,,type I linear regression,,Tarta Strait sea of Japan,,,
Pacific staghorn sculpin,Leptocottus armatus,Cottidae,Scorpaeniformes,STASCUL,4.5,13.5,SL,,,18,mixed,0.04,,2.82,,,,,,,,,,type I linear regression,"coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,484,,3
Pacific staghorn sculpin,Leptocottus armatus,Cottidae,Scorpaeniformes,STASCUL,4.5,13.5,TL,,Yes,18,unsexed,0.04,,2.82,0.98,,,,,,,,,Type I linear regression,northwestern Baja California / 1983-1997,,484,,65
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,9,45,TL,NA,NA,2975,Mixed,0.00455,0.00455,3.2658,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Tatar Strait,NA,643,NA,1287
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,4,40,TL,NA,NA,875,unsexed,0.0076,NA,3.1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Sakhalin Isl.,NA,643,NA,1287
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,9,47,TL,NA,NA,3037,Mixed,0.01186,0.01186,2.9969,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Eastern Bering Sea,NA,840,NA,1287
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,11,43,TL,NA,NA,2890,Mixed,0.01221,0.01221,3.0104,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Terpeniya Bay, SE Sakhalin",NA,643,NA,1287
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,13,41,TL,NA,Yes,5638,Mixed,0.0149,0.0149,3.9576,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Peter the Great Bay, Sea of Japan",NA,643,NA,1287
Yellowfin sole,Limanda aspera,Pleuronectidae,Pleuronectiformes,YELSOLE,16,40,TL,NA,NA,4019,Mixed,0.032,0.032,2.7367,0.997,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Peter the Great Bay, Sea of Japan",NA,643,NA,1287
Ribbon snailfish,Liparis cyclopus,Liparidae,Scorpaeniformes,RSNAILF,,,,,,,,0.00427,,3.19,,,,,,,,,,,,,,,
Tidepool snailfish,Liparis florae,Liparidae,Scorpaeniformes,TISNAILF,,,,,,,,0.00427,,3.19,,,,,,,,,,,,,,,
Snake prickleback,Lumpenus sagitta,Stichaeidae,Perciformes,SNPRICK,,,,,,,,0.001929,,2.99,,,,,,0.0005,0.00331,2.77,3.21,Bayesian,,Fishbase - Bayesian,,,
Capelin,Mallotus villosus,Osmeridae,Osmeriformes,CAPELIN,NA,NA,TL,NA,NA,NA,male,0.00146,0.00146,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Labrador Sea,1080,124B,NA,3
Capelin,Mallotus villosus,Osmeridae,Osmeriformes,CAPELIN,NA,NA,TL,NA,NA,NA,female,0.00215,0.00215,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Labrador Sea,1080,124B,NA,3
Capelin,Mallotus villosus,Osmeridae,Osmeriformes,CAPELIN,NA,NA,FL,NA,NA,NA,Mixed,0.00283,0,3.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Gulf of Anadyr (Bering Sea),NA,643,NA,1287
Capelin,Mallotus villosus,Osmeridae,Osmeriformes,CAPELIN,NA,NA,FL,NA,NA,NA,Mixed,0.0219,0,2.5951,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Peter the Great Bay (Sea of Japan),NA,643,NA,1287
Dover sole,Microstomus pacificus,Pleuronectidae,Pleuronectiformes,DOVSOLE,19,62,TL,NA,NA,2000,Mixed,0.01222,0.01222,2.9387,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Washington and Oregon,NA,840,NA,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,49.5,49.5,TL,,,1,unsexed,0.02798,0.02798,3,,,,,,,,,,single L-W pair with b=3,,,,L-W relationship calculated from data in Ref. 40637.,3
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,29,75,TL,,,837,Female,0.0062,0.0062,3.2535,0.998,,,,,,,,,type I linear regression,Kamchatka/19479-1980,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,29,50,TL,,,324,Male,0.0092,0.0092,3.1297,0.998,,,,,,,,,type I linear regression,Kamchatka/1979-1980,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,,,TL,,,,Mixed,0.007,0.007,3.215,,,,,,,,,,type I linear regression,Sea of Okhotsk,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,39,79,TL,,,347,mixed,0.0123,,3.08,0.926,,,,,,,,,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,,3
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,49.5,49.5,TL,,,1,unsexed,0.02798,0.02798,3,,,,,,,,,,single L-W pair with b=3,,,,L-W relationship calculated from data in Ref. 40637.,3
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,29,75,TL,,,837,Female,0.0062,0.0062,3.2535,0.998,,,,,,,,,type I linear regression,Kamchatka/19479-1980,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,29,50,TL,,,324,Male,0.0092,0.0092,3.1297,0.998,,,,,,,,,type I linear regression,Kamchatka/1979-1980,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,,,TL,,,,Mixed,0.007,0.007,3.215,,,,,,,,,,type I linear regression,Sea of Okhotsk,,643,,1287
Great sculpin,Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,GRTSCUL,39,79,TL,,,347,mixed,0.0123,,3.08,0.926,,,,,,,,,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,,3
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,100,Female,0.0074,NA,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Koge Bugt,NA,208,NA,1790
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,1054,Female,0.0093,NA,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Limfjord,NA,208,NA,1790
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,1139,Female,0.0094,NA,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Sonderborg Bugt,NA,208,NA,1790
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,2.5,33.5,TL,NA,NA,938,unsexed,0.0114,NA,3.1036,0.971,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Sea / 1995-2008,NA,NA,NA,65
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,12,35,TL,NA,NA,311,unsexed,0.0126,0.0126,3.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Moray Firth, Buchan & Danish Coast",NA,826,NA,2
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,204,Male,0.0158,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Koge Bugt,NA,208,NA,1790
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,1028,Male,0.0279,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Sonderborg Bugt,NA,208,NA,1790
Shorthorn sculpin,Myoxocephalus scorpius,Cottidae,Scorpaeniformes,SHSCUL,NA,NA,NA,NA,NA,780,Male,0.0343,NA,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Limfjord,NA,208,NA,1790
Unknown Myoxocephalus ,Myoxocephalus sp.,Cottidae,Scorpaeniformes,UNMYOXO,,,,,,,,,,,,,,,,,,,,,,,,,
Frog sculpin,Myoxocephalus stelleri,Cottidae,Scorpaeniformes,FROSCUL,11,62,FL,NA,NA,166,unsexed,0.01069,NA,3.12,0.96,NA,NA,NA,NA,0.00767,0.01491,3.02,3.21,Type I linear regression,Sea of Okhotsk,NA,643,NA,65
