site,place_name,date,YYYYMMDD,quadrat,species_common,species_scientific,sp_code,width_mm
2018_L_03,Sukkwan,7/13/2018,20180713,2,Pointed macoma,Macoma inquinata,CLMPOI,20
2018_L_03,Sukkwan,7/13/2018,20180713,2,Pointed macoma,Macoma inquinata,CLMPOI,16
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,29
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,34
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,42
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,25
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,21
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,22
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,19
2018_L_03,Sukkwan,7/13/2018,20180713,3,Pointed macoma,Macoma inquinata,CLMPOI,16
2018_L_03,Sukkwan,7/13/2018,20180713,3,Steamer clam,Protothaca staminea,CLMSTM,27
2018_L_03,Sukkwan,7/13/2018,20180713,4,Butter clam,Saxidomus gigantea,CLMBUT,85
2018_L_03,Sukkwan,7/13/2018,20180713,4,Butter clam,Saxidomus gigantea,CLMBUT,68
2018_L_03,Sukkwan,7/13/2018,20180713,4,Pointed macoma,Macoma inquinata,CLMPOI,27
2018_L_03,Sukkwan,7/13/2018,20180713,4,Pointed macoma,Macoma inquinata,CLMPOI,27
2018_L_03,Sukkwan,7/13/2018,20180713,4,Pointed macoma,Macoma inquinata,CLMPOI,30
2018_L_03,Sukkwan,7/13/2018,20180713,4,Cockle,Clinocardium nuttalli,CLMCKL,24
2018_L_03,Sukkwan,7/13/2018,20180713,4,Macoma,Macoma sp.,CLMMAC,30
2018_L_03,Sukkwan,7/13/2018,20180713,5,Cockle,Clinocardium nuttalli,CLMCKL,70
2018_L_03,Sukkwan,7/13/2018,20180713,5,Steamer clam,Protothaca staminea,CLMSTM,47
2018_L_03,Sukkwan,7/13/2018,20180713,5,Butter clam,Saxidomus gigantea,CLMBUT,82
2018_L_03,Sukkwan,7/13/2018,20180713,5,Butter clam,Saxidomus gigantea,CLMBUT,55
2018_L_03,Sukkwan,7/13/2018,20180713,5,Pointed macoma,Macoma inquinata,CLMPOI,45
2018_L_03,Sukkwan,7/13/2018,20180713,5,Pointed macoma,Macoma inquinata,CLMPOI,50
2018_L_03,Sukkwan,7/13/2018,20180713,5,Pointed macoma,Macoma inquinata,CLMPOI,32
2018_L_03,Sukkwan,7/13/2018,20180713,6,Steamer clam,Protothaca staminea,CLMSTM,35
2018_L_03,Sukkwan,7/13/2018,20180713,6,Steamer clam,Protothaca staminea,CLMSTM,43
2018_L_03,Sukkwan,7/13/2018,20180713,6,Pointed macoma,Macoma inquinata,CLMPOI,45
2018_L_03,Sukkwan,7/13/2018,20180713,6,Pointed macoma,Macoma inquinata,CLMPOI,25
2018_L_03,Sukkwan,7/13/2018,20180713,6,Pointed macoma,Macoma inquinata,CLMPOI,40
2018_L_03,Sukkwan,7/13/2018,20180713,6,Bentnose macoma,Macoma nasuta,CLMBNT,40
2018_L_03,Sukkwan,7/13/2018,20180713,6,Macoma,Macoma sp.,CLMMAC,25
2018_L_03,Sukkwan,7/13/2018,20180713,7,Steamer clam,Protothaca staminea,CLMSTM,64
2018_L_03,Sukkwan,7/13/2018,20180713,7,Steamer clam,Protothaca staminea,CLMSTM,47
2018_L_03,Sukkwan,7/13/2018,20180713,7,Steamer clam,Protothaca staminea,CLMSTM,43
2018_L_03,Sukkwan,7/13/2018,20180713,7,Steamer clam,Protothaca staminea,CLMSTM,49
2018_L_03,Sukkwan,7/13/2018,20180713,7,Steamer clam,Protothaca staminea,CLMSTM,30
2018_L_03,Sukkwan,7/13/2018,20180713,7,Butter clam,Saxidomus gigantea,CLMBUT,44
2018_L_03,Sukkwan,7/13/2018,20180713,7,Butter clam,Saxidomus gigantea,CLMBUT,22
2018_L_03,Sukkwan,7/13/2018,20180713,7,Bentnose macoma,Macoma nasuta,CLMBNT,46
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,53
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,29
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,18
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,35
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,31
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,51
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,25
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,19
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,21
2018_L_03,Sukkwan,7/13/2018,20180713,7,Pointed macoma,Macoma inquinata,CLMPOI,30
2018_L_03,Sukkwan,7/13/2018,20180713,8,Steamer clam,Protothaca staminea,CLMSTM,40
2018_L_03,Sukkwan,7/13/2018,20180713,8,Butter clam,Saxidomus gigantea,CLMBUT,43
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,49
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,38
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,42
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,43
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,33
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,30
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,25
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,25
2018_L_03,Sukkwan,7/13/2018,20180713,8,Pointed macoma,Macoma inquinata,CLMPOI,26
2018_L_03,Sukkwan,7/13/2018,20180713,8,Bentnose macoma,Macoma nasuta,CLMBNT,50
2018_L_03,Sukkwan,7/13/2018,20180713,8,Bentnose macoma,Macoma nasuta,CLMBNT,48
2018_L_03,Sukkwan,7/13/2018,20180713,8,Bentnose macoma,Macoma nasuta,CLMBNT,45
2018_L_03,Sukkwan,7/13/2018,20180713,8,Bentnose macoma,Macoma nasuta,CLMBNT,32
2018_L_03,Sukkwan,7/13/2018,20180713,8,Macoma,Macoma sp.,CLMMAC,45
2018_H_01,Kaguk Cove,7/14/2018,20180714,1,Cockle,Clinocardium nuttalli,CLMCKL,35
2018_H_01,Kaguk Cove,7/14/2018,20180714,1,Pointed macoma,Macoma inquinata,CLMPOI,35
2018_H_01,Kaguk Cove,7/14/2018,20180714,1,Pointed macoma,Macoma inquinata,CLMPOI,35
2018_H_01,Kaguk Cove,7/14/2018,20180714,1,Bentnose macoma,Macoma nasuta,CLMBNT,31
2018_H_01,Kaguk Cove,7/14/2018,20180714,2,Pointed macoma,Macoma inquinata,CLMPOI,23
2018_H_01,Kaguk Cove,7/14/2018,20180714,3,Bentnose macoma,Macoma nasuta,CLMBNT,41
2018_H_01,Kaguk Cove,7/14/2018,20180714,3,Bentnose macoma,Macoma nasuta,CLMBNT,35
