site,place_name,collection_date,YYYYMMDD,processed_date,quadrat,shoot_foil_mass_g,shoot_fw_g,shoot_dw_foil_mass_g,pad_pre_mass_g,pad_dw_mass_g,idotea_count,idotea_foil_mass_g,idotea_fw_mass_g,idotea_dw_foil_mass_g,limpet_count,limpet_foil_mass_g,limpet_fw_mass_g,limpet_dw_foil_mass_g,caprellid_count,caprellid_foil_mass_g,caprellid_fw_mass_g,caprellid_dw_foil_mass_g,amphipod_count,amphipod_foil_mass_g,amphipod_fw_mass_g,amphipod_dw_foil_mass_g,gastropod_count,gastropod_foil_mass_g,gastropod_fw_mass_g,gastropod_dw_foil_mass_g,notes
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,5,3.7514,7.23,4.9059,0.5039,0.5157,9,0.5253,0.3743,0.5886,,,,,1,0.4152,0.003,0.4153,4,0.395,0.0055,0.3954,33,0.308,0.1367,0.3554,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,6,3.6777,4.1054,4.3829,0.5139,0.5198,5,0.3407,0.0406,0.3436,2,0.4079,0.0671,0.4278,,,,,1,,,,13,0.4246,0.0496,0.4413,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,7,4.0495,15.4106,6.6731,0.4976,0.5138,10,0.417,0.0223,0.4208,3,0.4164,0.0573,0.4496,1,0.4222,0.0002,0.4226,10,0.4893,0.02,0.4905,33,0.5544,0.0498,0.5707,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,8,3.2505,4.4459,4.0209,0.505,0.511,20,0.4969,0.1275,0.506,,,,,2,0.4607,0.0002,0.4611,3,0.3098,0.0033,0.3101,9,0.4499,0.0124,0.4533,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,1,3.217,21.07,6.9278,0.5262,0.5501,4,0.4825,0.9383,0.6261,,,,,,,,,,,,,7,0.3932,0.0231,0.3983,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,2,3.6014,12.5447,6.0399,0.5144,0.516,7,0.5397,0.044,0.5435,1,0.4766,0.046,0.4886,1,0.4789,0.0017,0.4802,,,,,1,0.4317,0.0047,0.4333,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,3,3.7064,8.7402,5.4933,0.511,0.5119,11,0.4038,1.4624,0.6176,1,0.5367,0.0286,0.5444,,,,,,,,,60,0.4711,0.1998,0.5268,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,4,3.377,11.101,5.7315,0.4969,0.505,15,0.508,0.5857,0.5991,3,0.4533,0.1256,0.4874,,,,,1,,,,77,0.4839,0.3205,0.5591,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,5,3.7626,31.3869,8.3612,0.51,0.531,19,0.5575,0.5859,0.6665,2,0.4841,0.0977,0.5099,,,,,1,,,,53,0.6042,0.3411,0.6724,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,6,3.6489,14.777,6.2287,0.5165,0.5176,8,0.5384,1.0756,0.6866,,,,,,,,,2,0.4638,0.0459,0.4679,110,0.4576,0.6586,0.6198,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,7,3.5657,4.9526,4.5321,0.4999,0.502,8,0.5834,1.1754,0.7614,,,,,,,,,,,,,57,0.5429,0.1752,0.5902,
2018_L_03,Sukkwan,7/13/2018,20180713,7/13/2018,8,3.6538,11.1237,5.2207,0.5014,0.5037,9,0.5483,0.6576,0.6538,3,0.5524,0.1366,0.596,,,,,4,0.7062,0.0193,0.7075,78,0.6438,0.3615,0.7093,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,1,3.953,4.3515,4.7334,0.5192,0.5192,5,0.5099,0.2861,0.5577,,,,,,,,,6,0.5956,0.0128,0.596,5,0.4464,0.0123,0.4496,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,2,3.7954,11.731,5.4324,0.5665,0.5772,3,0.5414,0.5064,0.623,1,0.4827,0.0256,0.4946,,,,,10,0.5571,0.0248,0.5579,3,0.4301,0.0113,0.4338,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,3,3.9216,9.1389,5.3415,0.5388,0.5516,4,0.4495,0.5826,0.5816,1,0.4536,0.0822,0.4791,,,,,6,0.5777,0.0094,0.578,4,0.5881,0.0228,0.5911,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,4,3.525,13.0725,5.6202,0.533,0.5454,4,0.6371,1.0871,0.8524,,,,,,,,,8,0.6496,0.0158,0.65,6,0.4629,0.0311,0.4669,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,5,3.7067,16.3108,6.2714,0.5421,0.5574,1,0.3402,0.0027,0.3405,4,0.3603,0.1715,0.403,,,,,1,,,,9,0.3488,0.0209,0.3561,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,6,3.5814,12.6108,5.6358,0.541,0.5502,2,0.4199,0.0045,0.4207,1,0.3812,0.0291,0.3952,,,,,13,0.4954,,0.4962,12,,0.0157,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,7,3.6946,21.0387,6.7356,0.5352,0.5485,5,0.4917,1.3034,0.7309,4,0.4798,0.2422,0.5476,,,,,21,0.4568,0.0338,0.4582,,,,,
2018_H_01,Kaguk Cove,7/14/2018,20180714,7/14/2018,8,3.4294,5.641,4.2356,0.5408,0.5515,,,,,1,0.3775,0.0948,0.4001,,,,,8,0.4477,0.0086,0.4481,3,0.4088,0.0049,0.4097,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,1,3.9314,55.634,11.6711,0.5198,0.5622,12,0.3875,1.8777,0.7407,12,0.4034,0.5773,0.6238,,,,,1,,,,,,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,2,4.3638,32.6827,8.3035,0.5353,0.5516,10,0.4717,0.9287,0.6646,2,0.3421,0.0825,0.3643,,,,,12,0.316,0.0253,0.3173,,,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,3,3.8893,18.834,6.1965,0.512,0.52,5,0.3718,0.0164,0.3729,5,0.5061,0.3624,0.5924,,,,,2,0.3164,0.0048,0.3166,,0.4063,0.0041,0.4078,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,4,3.6476,21.0839,6.7348,0.503,0.5076,2,0.4567,0.0054,0.457,3,0.4506,0.2601,0.5211,,,,,1,0.35,0.0013,0.3501,,,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,5,3.7452,51.7982,10.6697,0.5118,0.519,15,0.6686,1.5779,0.9954,1,0.3209,0.0676,0.3397,,,,,6,0.4369,0.0097,0.4373,8,0.3527,0.014,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,6,3.8294,20.7558,7.2306,0.5013,0.5183,10,0.474,3.7602,1.1091,5,0.3492,0.3442,0.4419,,,,,2,0.3526,0.0053,0.3529,1,0.35,0.0039,0.3504,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,7,3.8399,29.8323,8.0683,0.5201,0.5269,1,0.3412,0.0035,0.3416,4,0.4401,0.3547,0.5308,,,,,2,0.365,,0.3653,,,,,
2018_H_02,Gaktu Cove,7/15/2018,20180715,7/15/2018,8,3.8293,25.6103,7.9964,0.5059,0.5109,9,0.4876,0.6414,0.6209,5,0.4799,0.3816,0.5717,,,,,14,0.3179,0.0267,0.3189,1,0.3924,0.0053,0.3949,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,1,4.0829,4.7686,4.8581,0.4954,0.4955,1,0.459,0.0024,0.4594,3,0.4467,0.0676,0.4653,,,,,1,0.4108,0.0023,0.4109,1,0.5404,0.0072,0.5407,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,2,3.5158,7.3687,4.6639,0.4951,0.497,7,0.4098,1.3733,0.714,,,,,,,,,7,0.4317,0.0077,0.4322,,,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,3,3.8348,7.135,4.9104,0.4963,0.497,4,0.5173,0.4603,0.6193,,,,,,,,,20,0.4302,0.0078,0.4312,,,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,4,4.2091,7.366,5.2033,0.5087,0.5109,7,0.5906,0.5571,0.723,1,0.492,0.0151,0.4979,,,,,11,0.5192,0.0045,0.5196,,,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,5,4.0276,20.5627,7.3455,0.5158,0.531,6,0.5881,0.0107,0.5899,,,,,,,,,48,0.5739,0.0145,0.5754,,,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,6,3.5981,14.2526,5.9844,0.515,0.518,5,0.5092,0.3853,0.5959,,,,,,,,,16,0.505,0.0059,0.5056,2,0.5778,0.003,0.5798,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,7,4.0665,18.7133,6.925,0.4957,0.5012,17,0.4519,1.7444,0.8406,,,,,,,,,17,0.5241,0.0047,0.5244,,,,,
2018_H_03,Nossuk Bay,7/16/2018,20180716,7/16/2018,8,3.549,44.1145,10.4925,0.4955,0.5084,20,0.6678,1.8347,1.0151,,,,,,,,,26,0.4159,0.0086,0.4169,,,,,
