site,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap,string,species_common,species_scientific,taxon,sp_code,carapace_width_mm,sex,fork_length_mm,unmeasured,notes
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,230,,
2017_H_05,8/8/2017,20170808,920,8/9/2017,20170808,1353,28.55,shrimp,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,47,M,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,228,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,215,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,228,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,283,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,178,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,205,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,1,Graceful rock crab,Metacarcinus gracilis,Decapoda,CRABGRA,60,M,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,39,M,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,38,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,1,Decorator crab,Oregonia gracilis,Decapoda,CRABDEC,26,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,295,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,280,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,47,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,2,Decorator crab,Oregonia gracilis,Decapoda,CRABDEC,25,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,2,Graceful rock crab,Metacarcinus gracilis,Decapoda,CRABGRA,52,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,shrimp,2,Graceful rock crab,Metacarcinus gracilis,Decapoda,CRABGRA,47,F,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,59,M,,,
2017_H_06,8/8/2014,20170808,1017,8/9/2017,20170808,1035,24.30,minnow,3,Graceful rock crab,Metacarcinus gracilis,Decapoda,CRABGRA,57,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,1,Copper rockfish,Sebastes caurinus,Vertebrata,ROCKCOP,,,235,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,1,Copper rockfish,Sebastes caurinus,Vertebrata,ROCKCOP,,,175,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,260,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,310,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,shrimp,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,61,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,shrimp,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,M,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,230,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,215,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,260,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,285,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,295,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,225,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,245,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,90,M,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,75,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,71,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,shrimp,2,Red rock crab,Cancer productus,Decapoda,CRABRR,75,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,275,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,274,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,240,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,238,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,230,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Red rock crab,Cancer productus,Decapoda,CRABRR,101,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,minnow,3,Sunflower seastar,Pycnopodia helianthoides,Echinodermata,STARSUN,,,,,53mm
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,shrimp,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,66,F,,,
2017_H_07,8/6/2017,20170806,1216,8/7/2017,20170806,1114,23.97,shrimp,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,49,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,121,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,109,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,131,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,286,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,2,Red rock crab,Cancer productus,Decapoda,CRABRR,103,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,58,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,2,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,220,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,2,unidentified sea star,Asteroidea,Echinodermata,UNSTAR,,,,1,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,37,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,2,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,37,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,45,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,F,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,40,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,63,F,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,76,M,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,F,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,200,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,240,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,41,F,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,50,F,,,
2017_L_01,5/26/2017,20170526,1015,5/27/2017,20170526,934,23.32,shrimp,3,Decorator crab,Oregonia gracilis,Decapoda,CRABDEC,20,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,157,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,130,U,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,151,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,109,F,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,110,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,109,F,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,130,U,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,144,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,188,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,140,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Red rock crab,Cancer productus,Decapoda,CRABRR,138,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,81,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,60,M,,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,215,,
2017_L_02,5/26/2017,20170526,1120,5/27/2017,20170526,1045,23.42,minnow,1,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,205,,
