"sp_code","Site","Date","YYYYMMDD","Transect","TransectBin","Transect_m","species_common","species_scientific","Death","width_mm","mass_g","Notes","Measurers"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",61,100.138826136883,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",62,105.411715421639,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",40,26.4377418646735,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",68,141.089317813852,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",58,85.404912587525,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Outside",2,"26-50","Butter clam","Saxidomus gigantea","Crab",55,72.2256497150466,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_04","7/7/17",20170708,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",78,217.540230701151,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_M_03","7/20/2017",20170721,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",77,208.859581941176,"","Tiff Stephens, Wendel Raymond, Earthwatch"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",47,43.9800433338082,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",62,105.411715421639,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",72,168.97966829768,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Outside",3,"76-100","Butter clam","Saxidomus gigantea","Crab",61,100.138826136883,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",35,17.3463686841411,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",65,122.363772030669,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_06","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Whole",74,184.241307417809,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",34,15.8299215667678,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Outside",2,"26-50","Butter clam","Saxidomus gigantea","Whole",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Outside",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",64,116.520701358479,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",69,147.741666023633,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",79,226.46415444272,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",63,110.871179596928,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Crab",59,90.138885306923,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_H_02","8/21/2017",20170822,"Outside",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",80,235.634961834314,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",55,72.2256497150466,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_04","6/27/2017",20170628,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Crab",56,76.4517278156667,"","Ginny Eckert, Tiff Stephens, Nicole LaRoche"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",45,38.3403189197087,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",65,122.363772030669,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",85,285.319051728118,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",50,53.4639443690103,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",78,217.540230701151,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_04","7/7/17",20170708,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",81,245.056268672349,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",55,72.2256497150466,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_M_04","7/11/17",20170712,"Outside",3,"51-75","Butter clam","Saxidomus gigantea","Whole",59,90.138885306923,"","Ashley Bolwerk, Cathy Mattson"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Drill",74,184.241307417809,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Inside",1,"0-25","Butter clam","Saxidomus gigantea","Crab",55,72.2256497150466,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",57,80.8436726633709,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Crab",60,95.0490377929254,"","Tiff Stephens"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",81,245.056268672349,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",50,53.4639443690103,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",41,28.5803550496843,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_04","7/7/17",20170708,"Outside",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",59,90.138885306923,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_M_03","7/20/2017",20170721,"Outside",2,"26-50","Butter clam","Saxidomus gigantea","Whole",66,128.403891452559,"","Tiff Stephens, Wendel Raymond, Earthwatch"
"CLAMBU","2017_M_04","7/11/17",20170712,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",68,141.089317813852,"","Ashley Bolwerk, Cathy Mattson"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Sea Otter",39,24.4075514927303,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_07","7/21/2017",20170722,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Crab",64,116.520701358479,"Estimate","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Inside",1,"0-25","Butter clam","Saxidomus gigantea","Crab",83,264.664879063328,"Estimate","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_04","6/27/2017",20170628,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",62,105.411715421639,"","Ginny Eckert, Tiff Stephens, Nicole LaRoche"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Sea Otter",46,41.0941143612539,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_05","7/24/2017",20170725,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Sea Otter",62,105.411715421639,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_02","7/14/2017",20170715,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Crab",61,100.138826136883,"","Tiff Stephens"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",65,122.363772030669,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_06","7/22/2017",20170723,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Sea Otter",59,90.138885306923,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_07","8/19/2017",20170820,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",75,192.213710796502,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_H_01","8/18/2017",20170819,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Sea Otter",44,35.715342474461,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_M_07","7/25/2017",20170726,"Edge",2,"26-50","Butter clam","Saxidomus gigantea","Whole",36,18.9591596088083,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",60,95.0490377929254,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Edge",1,"0-25","Butter clam","Saxidomus gigantea","Whole",54,68.1620195629361,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_M_07","7/25/2017",20170726,"Edge",4,"76-100","Butter clam","Saxidomus gigantea","Whole",63,110.871179596928,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Outside",1,"0-25","Butter clam","Saxidomus gigantea","Whole",51,56.9117748770084,"","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_L_03","7/23/2017",20170724,"Inside",1,"0-25","Butter clam","Saxidomus gigantea","Crab",53,64.2574282376507,"Estimate","Ashley Bolwerk, Nicole LaRoche, Earthwatch"
"CLAMBU","2017_H_04","7/7/17",20170708,"Outside",4,"76-100","Butter clam","Saxidomus gigantea","Whole",85,285.319051728118,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
"CLAMBU","2017_M_06","8/20/2017",20170821,"Outside",3,"51-75","Butter clam","Saxidomus gigantea","Sea Otter",65,122.363772030669,"","Ashley Bolwerk, Nicole LaRoche, Wendel Raymond, Cathy Mattson, Tiff Stephens"
"CLAMBU","2017_L_01","7/8/17",20170709,"Edge",3,"51-75","Butter clam","Saxidomus gigantea","Whole",66,128.403891452559,"","Ashley Bolwerk, Tiff Stephens, Cathy Mattson"
