site,collection_date,YYYYMMDD,quadrat,plant,rhi_length,node1,node2,node3,node4,node5,leaf_length1,leaf_length2,leaf_length3,leaf_length4,leaf_length5,leaf_length6,leaf_length7,leaf_length8,leaf_length9,leaf_length10,leaf_width1,leaf_width2,leaf_width3,leaf_width4,leaf_width5,leaf_width6,leaf_width7,leaf_width8,leaf_width9,leaf_width10,pad_mass_g,pad_epiphyte_mass_g,rhi_mass_fw,rhi_foil,rhi_foil_dw_g,shoot_mass_fw,shoot_foil,shoot_foil_dw,xs_shoot_mass_fw,xs_shoot_foil,xs_shoot_foil_dw,xs_pad_mass_g,xs_epiphyte_pad_mass_g,iso_count,iso_fw,iso_foil,iso_foil_dw,gamm_amph_count,gamm_amph_fw,gamm_amph_foil,gamm_amph_foil_dw,caprel_count,caprel_fw,caprel_foil,caprel_foil_dw,limpet_count,limpet_fw,limpet_foil,limpet_foil_dw,gastropod_count,gastropod_fw,gastropod_foil,gastropod_foil_dw,crab_count,crab_fw,crab_foil,crab_foil_dw,polychaete_count,other_animal_notes,notes
2017_H_01,29/4/17,20170429,3,1,3.0,0.4,0.3,0.2,0.2,0.3,13.4,3.9,5.4,9.6,8.9,4.4,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,0.5980,0.6070,0.2338,0.5223,0.5463,0.1033,0.7167,0.7331,1.3837,0.8513,1.0251,,,,,,,4,0.0152,0.5730,0.5749,1,0.0086,0.4793,0.4809,1,0.0064,0.6405,0.6425,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,2,5.0,0.5,0.6,0.4,0.4,0.2,22.7,21.7,11.5,26.8,15.0,,,,,,0.3,0.3,0.3,0.3,0.2,,,,,,0.5438,0.5498,0.3512,0.5118,0.5560,0.4314,0.5826,0.6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,3,5.0,0.4,0.4,0.3,0.2,0.2,19.8,15.1,22.8,6.6,14.9,,,,,,0.2,0.2,0.3,0.2,0.2,,,,,,0.6123,0.6215,0.3372,0.4792,0.5157,0.2744,0.6777,0.7192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,4,5.0,0.8,0.4,0.3,0.3,0.2,26.2,9.6,19.2,21.5,15.5,,,,,,0.2,0.3,0.3,0.3,0.3,,,,,,0.5508,0.5600,0.3248,0.4473,0.4828,0.3689,0.5764,0.6331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,5,2.0,0.1,0.1,0.1,0.2,0.1,8.9,8.1,7.0,,,,,,,,0.2,0.2,0.2,,,,,,,,0.5466,0.5557,0.0548,0.5150,0.5224,0.0432,0.6920,0.6992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,4,1,4.7,0.6,0.3,0.3,0.2,0.2,14.2,7.5,15.4,16.7,4.9,,,,,,0.3,0.3,0.2,0.2,0.2,,,,,,0.5799,0.5856,0.2116,0.3886,0.4176,0.1886,0.7506,0.7821,2.9363,0.9831,1.2813,,,,,,,10,0.0232,0.3637,0.3668,,,,,,,,,,,,,,,,,4,"2 barnacels, 1 mussel",
2017_H_01,29/4/17,20170429,4,2,3.4,0.4,0.2,0.3,0.3,0.1,16.1,6.3,10.6,13.3,12.1,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,0.5658,0.5714,0.1841,0.3924,0.4099,0.1634,0.6648,0.6896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,4,3,3.1,0.3,0.2,0.1,0.3,0.2,4.1,16.8,7.0,12.2,15.5,11.9,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,0.5663,0.5710,0.1562,0.5253,0.5521,0.1791,0.6751,0.7034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,4,4,5.0,0.4,0.5,0.2,0.3,0.2,18.5,25.7,21.0,10.5,5.1,26.2,,,,,0.2,0.2,0.3,0.3,0.2,0.3,,,,,0.4756,0.4806,0.3899,0.4661,0.5142,0.4021,0.6273,0.6891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,4,5,4.9,0.5,0.4,0.4,0.3,0.2,26.7,18.6,10.3,17.4,20.5,,,,,,0.3,0.2,0.3,0.3,0.2,,,,,,0.5285,0.5355,0.2500,0.4134,0.4409,0.3991,0.7324,0.7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,5,1,5.0,0.6,0.6,0.5,0.4,0.3,29.2,25.0,21.1,17.1,10.5,,,,,,0.3,0.3,0.3,0.2,0.3,,,,,,0.5564,0.5627,0.3108,0.4967,0.5393,0.3808,0.6503,0.7100,0.9561,0.9836,1.1145,,,,,,,9,0.0245,0.5711,0.5735,,,,,1,0.0038,0.7537,0.7538,,,,,,,,,2,,
2017_H_01,29/4/17,20170429,5,2,5.0,0.6,1.0,0.8,0.6,0.6,27.0,24.9,12.9,24.3,23.1,5.5,,,,,0.3,0.4,0.4,0.4,0.2,0.3,,,,,0.5318,0.5388,0.4017,0.3827,0.4356,0.5666,0.7302,0.8117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,5,3,4.1,0.5,0.4,0.2,0.1,0.1,19.9,16.1,13.9,,,,,,,,0.2,0.2,0.2,,,,,,,,0.5156,0.5214,0.2006,0.3070,0.3321,0.1513,0.6268,0.6483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,5,4,5.0,0.5,1.1,0.9,0.4,0.3,29.5,10.4,25.4,21.6,30.6,,,,,,0.4,0.4,0.3,0.4,0.4,,,,,,0.5764,0.5837,0.3726,0.3385,0.3955,0.4556,0.9255,0.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,5,5,5.0,0.5,0.5,0.2,0.3,0.2,11.0,13.0,19.1,4.2,8.8,16.0,,,,,0.2,0.2,0.3,0.2,0.2,0.2,,,,,0.5387,0.5441,0.3574,0.3918,0.4488,0.2459,0.6891,0.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,6,1,4.5,0.5,0.4,0.4,0.2,0.2,21.2,15.0,15.5,10.3,19.6,,,,,,0.2,0.2,0.3,0.3,0.3,,,,,,0.5299,0.5386,0.3180,0.4774,0.5071,0.3326,0.5918,0.6372,1.0927,1.1085,1.2330,,,,,,,9,0.1460,0.6321,0.6340,1,0.0047,0.6816,0.6831,,,,,,,,,,,,,4,,
2017_H_01,29/4/17,20170429,6,2,5.0,0.9,0.8,0.6,0.4,0.3,24.2,21.1,4.2,12.6,25.0,21.1,,,,,0.3,0.4,0.3,0.4,0.3,0.2,,,,,0.5240,0.5307,0.6342,0.4201,0.5028,0.5209,0.6360,0.7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,6,3,3.6,0.5,0.5,0.4,0.2,0.2,27.2,22.6,11.2,28.0,20.3,,,,,,0.3,0.3,0.3,0.3,0.3,,,,,,0.5459,0.5550,0.3379,0.4056,0.4399,0.5104,0.5616,0.6350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,6,4,1.5,0.3,0.5,0.2,0.3,,12.6,19.9,13.0,6.0,16.5,12.5,,,,,0.2,0.3,0.2,0.3,0.3,0.2,,,,,0.4870,0.4924,0.1180,0.4884,0.5055,0.2837,0.6143,0.6537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,6,5,4.9,1.0,0.6,0.3,0.2,0.2,13.1,18.7,7.7,29.1,18.1,7.5,24.0,21.5,,,0.3,0.2,0.2,0.4,0.4,0.3,0.3,0.3,,,0.6302,0.6407,0.4415,0.5194,0.5595,0.6256,0.6720,0.7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,7,1,4.6,0.5,0.3,0.3,0.2,0.3,18.8,14.6,13.9,11.6,12.1,,,,,,0.2,0.3,0.3,0.2,0.2,,,,,,0.5232,0.5309,0.2676,0.5901,0.6226,0.2809,0.8261,0.8662,1.4632,1.1274,1.3107,,,,,,,13,0.0300,0.5423,0.5453,,,,,,,,,,,,,,,,,2,,
2017_H_01,29/4/17,20170429,7,2,4.7,0.5,0.2,0.2,0.1,0.1,13.5,8.2,10.4,13.8,,,,,,,0.2,0.2,0.2,0.2,,,,,,,0.6011,0.6096,0.1452,0.5480,0.5650,0.1198,0.6084,0.6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,7,3,4.6,0.5,0.4,0.3,0.2,0.2,15.9,18.2,6.7,12.0,16.9,4.6,13.0,5.9,,,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,,,0.6034,0.6119,0.2760,0.5876,0.6185,0.3245,0.5311,0.5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,7,4,5.0,0.6,0.6,0.4,0.3,0.1,17.3,25.0,12.7,20.2,21.5,3.9,,,,,0.3,0.4,0.4,0.4,0.3,0.3,,,,,0.5625,0.5706,0.3068,0.5792,0.6163,0.4440,0.5738,0.6408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,7,5,5.0,0.9,0.5,0.5,0.4,0.3,21.4,6.8,19.9,11.4,23.3,,,,,,0.4,0.2,0.4,0.4,0.4,,,,,,0.5463,0.5555,0.6455,0.6051,0.6777,0.4673,0.6536,0.7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,8,1,4.5,0.4,0.5,0.3,0.2,0.2,15.6,20.3,15.6,8.1,4.8,18.4,13.0,9.6,6.8,,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,,0.5459,0.5549,0.5456,0.4116,0.4989,0.3757,0.5986,0.6637,0.7293,1.1926,1.2953,,,,,,,1,0.0012,0.6175,0.6177,,,,,,,,,,,,,,,,,4,,
2017_H_01,29/4/17,20170429,8,2,2.6,0.2,0.2,0.2,0.2,0.7,7.1,7.0,4.3,,,,,,,,0.1,0.1,0.1,,,,,,,,0.5526,0.5605,0.1046,0.4885,0.5034,0.0293,0.5008,0.5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,8,3,5.0,0.6,0.2,0.2,0.2,0.2,17.4,18.3,11.5,5.2,15.8,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,0.5662,0.5749,0.2469,0.4215,0.4611,0.2143,0.6183,0.6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,8,4,3.2,0.6,0.4,0.4,0.2,0.2,15.5,7.7,23.4,13.5,3.1,20.7,17.2,,,,0.2,0.2,0.3,0.3,0.3,0.2,0.2,,,,0.5636,0.5714,0.2758,0.5174,0.5529,0.3755,0.7856,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,8,5,3.1,0.5,0.5,0.5,0.5,0.4,16.2,20.4,10.0,2.9,16.4,17.1,,,,,0.2,0.3,0.3,0.2,0.3,0.2,,,,,0.5698,0.5798,0.3739,0.4647,0.5163,0.3103,0.9167,0.9698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,1,1,5.0,1.2,0.9,0.6,0.7,0.3,41.2,43.6,33.8,16.0,,,,,,,0.4,0.4,0.4,0.4,,,,,,,0.6097,0.6194,0.9978,1.4849,1.5911,0.9934,1.2690,1.4031,9.4056,1.1402,2.2776,,,,,,,1,0.0007,0.3823,0.3825,,,,,2,0.0222,0.3198,0.3270,,,,,,,,,5,,
2017_H_02,28/5/17,20170528,1,2,5.0,0.6,1.5,1.2,0.7,0.3,40.0,35.4,21.2,49.4,33.8,,,,,,0.4,0.5,0.5,0.5,0.4,,,,,,0.7226,0.7357,0.8263,1.0887,1.2094,1.4112,1.0395,1.2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,1,3,5.0,1.2,0.2,0.3,0.1,0.1,9.1,37.2,33.8,14.5,42.4,30.2,,,,,0.4,0.4,0.4,0.4,0.4,0.3,,,,,0.7034,0.7131,0.4705,0.9901,1.0407,1.0521,0.9819,1.1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,1,4,5.0,0.9,0.6,0.6,0.1,0.1,34.8,42.2,8.5,34.4,43.2,,,,,,0.4,0.4,0.4,0.5,0.4,,,,,,0.7076,0.7181,0.7994,1.1265,1.2167,1.1844,1.0920,1.2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,1,5,5.0,1.7,1.3,1.0,0.5,,47.2,52.4,24.7,43.6,,,,,,,0.4,0.4,0.5,0.5,,,,,,,0.6655,0.6750,0.8314,1.0663,1.1532,1.6400,1.0255,1.2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,2,1,5.0,0.6,1.2,0.7,0.7,0.4,45.8,27.4,5.3,53.4,,,,,,,0.4,0.4,0.4,0.4,,,,,,,0.6668,0.6738,0.8333,1.1510,1.2341,1.2226,1.2637,1.4189,11.7380,1.3286,2.5059,,,,,,,,,,,,,,,6,0.0456,0.4145,0.4263,,,,,,,,,4,5 bivalves,
2017_H_02,28/5/17,20170528,2,2,5.0,1.0,1.3,1.0,0.7,0.5,35.8,53.0,29.3,9.7,47.8,47.6,,,,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,0.6728,0.6826,0.8278,1.0381,1.1334,1.6244,1.1098,1.3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,2,3,3.8,1.6,0.9,0.5,0.5,,38.6,50.2,20.2,43.0,55.2,,,,,,0.3,0.4,0.4,0.4,0.4,,,,,,0.7178,0.7283,1.0938,0.9918,1.1020,1.4953,1.2337,1.4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,2,4,3.6,0.4,0.3,0.4,0.3,0.3,24.6,33.4,25.0,5.7,14.8,32.4,33.4,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.7456,0.7595,0.3574,0.9905,1.0320,0.8880,1.1924,1.3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,2,5,5.0,0.5,0.8,0.4,0.2,0.3,19.2,25.6,11.9,29.4,29.2,,,,,,0.2,0.3,0.4,0.3,0.3,,,,,,0.7387,0.7498,0.5133,1.1378,1.1952,0.6412,1.0011,1.0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,3,1,2.8,0.9,0.9,0.5,0.5,0.1,40.2,44.8,29.6,13.2,42.4,,,,,,0.3,0.3,0.4,0.4,0.4,,,,,,0.7509,0.7655,0.3445,1.1768,1.2113,0.9329,1.0215,1.1406,2.4091,1.2450,1.5417,,,,,,,,,,,,,,,1,0.0089,0.3851,0.3878,,,,,,,,,5,3 bivalves,
2017_H_02,28/5/17,20170528,3,2,5.0,3.0,2.0,,,,34.4,48.8,37.2,9.9,24.6,49.4,45.2,,,,0.4,0.4,0.5,0.5,0.5,0.5,0.5,,,,0.7038,0.7235,0.5116,0.8375,0.9057,2.1066,1.0338,1.3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,3,3,5.0,0.7,1.9,1.5,,,38.0,49.8,3.7,25.5,44.2,43.4,,,,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,0.6778,0.6907,0.5330,0.9499,1.0103,1.2954,0.9097,1.0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,3,4,5.0,0.8,0.5,0.4,0.2,0.2,25.9,33.2,15.0,33.0,28.2,4.0,,,,,0.2,0.3,0.3,0.4,0.3,0.2,,,,,0.6472,0.6590,0.3886,1.0314,1.0720,0.7318,1.0385,1.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,3,5,2.1,0.6,0.6,0.3,0.4,,17.6,24.3,30.2,24.5,11.6,,,,,,0.2,0.2,0.3,0.3,0.3,,,,,,0.6343,0.6450,0.1463,1.0417,1.0565,0.3700,1.0469,1.1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,4,1,5.0,0.7,1.5,0.7,0.3,0.5,40.4,36.2,21.2,50.0,4.9,7.9,38.6,,,,0.4,0.4,0.4,0.4,0.4,0.3,0.4,,,,0.6322,0.6452,0.3859,0.9078,0.9680,1.2634,1.0710,1.2485,13.6542,1.4902,2.9124,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
2017_H_02,28/5/17,20170528,4,2,5.0,0.9,1.6,0.7,0.7,0.6,27.3,32.4,9.2,20.3,37.2,4.7,,,,,0.3,0.4,0.3,0.4,0.3,0.2,,,,,0.6460,0.6594,0.7018,0.8983,0.9951,0.6243,1.0405,1.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,4,3,5.0,0.6,2.0,1.0,1.0,,26.4,46.2,41.4,8.1,2.3,24.8,50.4,,,,0.4,0.4,0.4,0.3,0.1,0.4,0.4,,,,0.6597,0.6637,0.4648,0.8416,0.8972,1.2160,0.9895,1.1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,4,4,5.0,1.3,1.4,1.1,0.8,,47.4,30.4,13.2,53.0,4.2,51.4,,,,,0.4,0.4,0.4,0.4,0.2,0.4,,,,,0.7389,0.7498,0.5143,0.8845,0.9513,1.2343,1.0002,1.1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,4,5,5.0,1.0,3.5,,,,45.8,44.2,10.7,26.9,53.2,,,,,,0.4,0.4,0.4,0.4,0.4,,,,,,0.6763,0.6907,0.5421,0.9306,0.9897,1.3438,1.2783,1.4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,5,1,3.9,1.1,1.0,0.5,0.4,0.4,42.4,32.2,8.3,2.5,21.0,39.8,,,,,0.3,0.4,0.3,0.1,0.3,0.3,,,,,0.6418,0.6507,0.5132,1.2346,1.2941,0.6530,1.1031,1.1941,5.2790,1.1047,1.6118,,,,,,,,,,,,,,,1,0.0067,0.3445,0.3460,,,,,,,,,6,,
2017_H_02,28/5/17,20170528,5,2,4.3,1.1,1.2,0.6,0.5,0.3,34.0,25.7,36.4,10.8,,,,,,,0.3,0.3,0.3,0.3,,,,,,,0.8519,0.8641,0.3557,0.9577,1.0146,0.6748,1.1586,1.2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,5,3,3.9,1.2,1.1,0.6,0.2,0.2,33.2,45.2,3.7,40.6,12.4,26.0,34.5,,,,0.3,0.3,0.2,0.4,0.4,0.4,0.3,,,,0.6901,0.7025,0.8897,0.9804,1.0663,1.0568,1.4632,1.6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,5,4,2.2,0.3,0.5,0.3,0.3,0.5,12.9,20.2,8.2,26.0,,,,,,,0.2,0.3,0.3,0.3,,,,,,,0.6774,0.6876,0.1474,0.9279,0.9444,0.3449,1.2091,1.2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,5,5,5.0,1.6,1.1,1.0,0.5,0.3,16.2,39.6,31.2,16.6,43.6,31.4,,,,,0.3,0.5,0.5,0.5,0.5,0.4,,,,,0.6595,0.6712,0.5890,1.0289,1.1043,1.4373,1.1265,1.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,6,1,5.0,0.6,1.1,1.1,1.0,0.5,39.0,40.8,24.0,47.2,,,,,,,0.4,0.5,0.5,0.5,,,,,,,0.7197,0.7320,0.9282,1.0091,1.1517,1.4750,1.5046,1.6923,17.2114,1.3220,3.0459,,,1,0.1456,0.3604,0.3888,,,,,,,,,4,0.0601,0.5197,0.5387,,,,,,,,,11,,
2017_H_02,28/5/17,20170528,6,2,5.0,1.5,2.0,,,,40.4,46.2,47.4,10.1,2.7,30.4,58.4,,,,0.4,0.5,0.6,0.6,0.3,0.6,0.6,,,,0.7026,0.7181,0.7710,1.1076,1.1925,2.3954,1.3189,1.6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,6,3,5.0,0.9,2.6,,,,42.4,48.6,65.4,77.0,41.2,12.6,,,,,0.5,0.5,0.6,0.6,0.6,0.6,,,,,0.6999,0.7145,0.7888,1.0720,1.1689,3.3704,1.1505,1.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,6,4,5.0,1.1,2.3,1.6,,,38.4,52.2,31.6,13.1,49.4,,,,,,0.4,0.5,0.6,0.6,0.6,,,,,,0.6927,0.7046,0.8343,0.9942,1.0954,1.9311,1.4127,1.6583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,6,5,5.0,2.0,1.8,1.2,,,27.2,54.2,22.0,44.8,45.0,,,,,,0.4,0.6,0.6,0.6,0.5,,,,,,0.6190,0.6272,0.7698,0.9918,1.0943,2.0193,0.9565,1.2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,7,1,5.0,1.1,0.5,0.4,0.2,0.2,22.5,37.2,27.0,6.9,34.2,40.0,,,,,0.4,0.4,0.5,0.4,0.4,0.4,,,,,0.6923,0.7047,0.7230,1.0117,1.0977,1.3285,1.1644,1.3394,26.5280,1.2151,3.9751,,,,,,,2,0.0047,0.2981,0.2983,,,,,4,0.0756,0.3538,0.3792,,,,,,,,,15,"1 bivalve, 1 barnacle",
2017_H_02,28/5/17,20170528,7,2,5.0,1.9,2.1,,,,38.4,46.4,47.6,14.6,36.4,,,,,,0.4,0.5,0.5,0.5,0.6,,,,,,0.6312,0.6422,0.5728,0.9575,1.0244,1.9023,0.9591,1.1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,7,3,5.0,1.4,2.1,1.5,,,51.8,32.0,8.9,45.8,30.0,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,0.6806,0.6919,0.9124,0.9321,1.0228,1.7084,1.0664,1.2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
