"species_scientific","site","place_name","date","YYYYMMDD","start_time","end_time","slope","tide_height","tide_time","species_common","sp_code","taxon","fork_length","unmeasured","unmeasured_sm","sex","SpCommon","Family","Order","SpCode","a","b","fork_length_cm","mass_g"
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",85,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.5,25.1312827156641
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",81,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.1,21.7413912674918
"Ammodytes hexapterus","2018_H_03","Nossuk Bay","7/31/2018",20180731,915,927,"",0,935,"Pacific sand lance","SANDLNCP","Vertebrata",60,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,6,8.82071974547374
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",115,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.5,62.3503754839757
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",87,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.7,26.9510840522834
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",87,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.7,26.9510840522834
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",122,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.2,74.4695991432539
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",106,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.6,48.8034805638642
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",125,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.5,80.1111312051315
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",70,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7,14.0199373649318
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,123,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.3,76.3196078348334
"Ammodytes hexapterus","2018_H_03","Nossuk Bay","7/31/2018",20180731,915,927,"",0,935,"Pacific sand lance","SANDLNCP","Vertebrata",54,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,5.4,6.42624097774089
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",81,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.1,21.7413912674918
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",120,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12,70.8598438112949
"Ammodytes hexapterus","2018_L_03","Sukkwan","7/28/2018",20180728,810,820,"",-0.29,815,"Pacific sand lance","SANDLNCP","Vertebrata",112,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.2,57.5878336223931
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,155,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15.5,152.93907170107
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,127,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.7,84.0263212806772
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,151,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15.1,141.379378659978
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,73,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.3,15.9048611712021
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",80,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8,20.9444936790835
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",140,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14,112.626928480863
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,154,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15.4,149.992191983821
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,73,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.3,15.9048611712021
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,143,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.3,120.038758124679
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,146,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.6,127.769162942744
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,126,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.6,82.0531434945779
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,72,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.2,15.2588867374034
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,85,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.5,25.1312827156641
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,102,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.2,43.4743884387391
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,143,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.3,120.038758124679
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,150,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15,138.583552446684
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,142,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.2,117.533083022695
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,125,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.5,80.1111312051315
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,133,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,13.3,96.5337990147323
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",115,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.5,62.3503754839757
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",95,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.5,35.1090050815138
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",76,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.6,17.9517595885208
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",82,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.2,22.5582707766567
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",111,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.1,56.0560174065964
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",81,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.1,21.7413912674918
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,71,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.1,14.6306614635726
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,131,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,13.1,92.2356642709283
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",75,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.5,17.2510495608729
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",89,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.9,28.8567704729434
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",163,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,16.3,177.916941404954
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",121,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.1,72.6497607270652
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP","Vertebrata",81,NA,NA,"","Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.1,21.7413912674918
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,152,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15.2,144.212594582573
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,98,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.8,38.5484525307177
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,102,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.2,43.4743884387391
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,162,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,16.2,174.655995645396
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,145,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.5,125.156549056008
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,108,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.8,51.6241809190375
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,163,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,16.3,177.916941404954
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,74,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.4,16.5688327704147
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,129,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.9,88.0671686952957
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,76,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.6,17.9517595885208
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,136,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,13.6,103.22843034713
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,81,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.1,21.7413912674918
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,102,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.2,43.4743884387391
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,122,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.2,74.4695991432539
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,105,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.5,47.4325418004891
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,99,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.9,39.7430103723508
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,121,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.1,72.6497607270652
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,154,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,15.4,149.992191983821
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,144,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14.4,122.579830461281
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,71,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.1,14.6306614635726
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,120,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12,70.8598438112949
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,94,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.4,34.0097698527074
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,99,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.9,39.7430103723508
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,109,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.9,53.0744396814971
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,103,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,10.3,44.7682442808435
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,111,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,11.1,56.0560174065964
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,128,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,12.8,86.0309133986056
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,140,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,14,112.626928480863
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,137,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,13.7,105.52695094478
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,92,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,9.2,31.8806798524656
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,72,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.2,15.2588867374034
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,138,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,13.8,107.859374858016
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,78,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,7.8,19.4096516381306
"Ammodytes hexapterus","2018_H_01","Kaguk Cove","7/29/2018",20180729,800,815,"",-0.17,834,"Pacific sand lance","SANDLNCP",NA,82,NA,NA,NA,"Pacific sand lance","Ammodytidae ","Perciformes","PSANDL",0.0404,3.006,8.2,22.5582707766567
"Anoplarchus insignis","2018_H_02","Guktu Cove","7/30/2018",20180730,855,910,"",-0.1,905,"Slender cockscomb","COCKSSL","Vertebrata",26,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.6,0.076677235577757
"Anoplarchus insignis","2018_L_02","Natzuhini","7/27/2018",20180727,740,750,"",-0.26,735,"Slender cockscomb","COCKSSL","Vertebrata",33,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,3.3,0.161329242168027
"Anoplarchus insignis","2018_L_03","Sukkwan","7/28/2018",20180728,810,820,"",-0.29,815,"Slender cockscomb","COCKSSL","Vertebrata",29,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.9,0.10780312609137
"Anoplarchus insignis","2018_L_03","Sukkwan","7/28/2018",20180728,810,820,"",-0.29,815,"Slender cockscomb","COCKSSL","Vertebrata",33,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,3.3,0.161329242168027
"Anoplarchus insignis","2018_H_02","Guktu Cove","7/30/2018",20180730,855,910,"",-0.1,905,"Slender cockscomb","COCKSSL","Vertebrata",27,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.7,0.0862590251124776
"Anoplarchus insignis","2018_H_02","Guktu Cove","7/30/2018",20180730,855,910,"",-0.1,905,"Slender cockscomb","COCKSSL","Vertebrata",25,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.5,0.0678457157332325
"Anoplarchus insignis","2018_H_03","Nossuk Bay","7/31/2018",20180731,915,927,"",0,935,"Slender cockscomb","COCKSSL","Vertebrata",47,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,4.7,0.486289528816444
"Anoplarchus insignis","2018_L_03","Sukkwan","7/28/2018",20180728,810,820,"",-0.29,815,"Slender cockscomb","COCKSSL","Vertebrata",28,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.8,0.0966234764607027
"Anoplarchus insignis","2018_H_02","Guktu Cove","7/30/2018",20180730,855,910,"",-0.1,905,"Slender cockscomb","COCKSSL","Vertebrata",24,NA,NA,"","Slender cockscomb","Stichaeidae","Perciformes","SLCOCKS",0.00389,3.12,2.4,0.0597322226800866
