SIN,N,C,Size,Species,Weight,Dissectwt,Sex,Site,Season,SiteNumber,Tissue,Tray,PercentN,PercentC,CN,PreyCat,Cnorm
403952,9.59,-16.71,59.5,cln,65.15,33.23,,Craig,Summer,2,,1,10.28181402,44.04841176,4.284108981,Clam,-15.78873211
403953,9.64,-16.51,56.5,cln,46.08,19.41,,Craig,Summer,2,,1,11.28949559,45.76925965,4.054145669,Clam,-15.81639579
403954,9.77,-16.34,46.5,cln,27.61,12.28,,Craig,Summer,2,,1,10.21998364,40.51923668,3.964706609,Clam,-15.73494046
403960,11.64,-14.8,55,tec,44.08,12.18,m,Nossuk,Spring,4,,1,12.08098766,50.18836277,4.154326135,Crab,-14.00721713
403961,11.15,-13.8,52,tec,41.61,16.4,m,Nossuk,Spring,4,,1,11.6773269,48.78163081,4.177465548,Crab,-12.98430911
403962,11.2,-13.97,57,tec,40.98,16.29,m,Nossuk,Spring,4,,1,10.55857822,42.66386094,4.040682377,Crab,-13.28972445
403963,12.21,-14.23,59,tec,50.67,14.1,m,Nossuk,Spring,4,,1,12.70285175,47.01492906,3.701131841,Crab,-13.88587948
403964,12.29,-14.19,66,tec,84.92,37.95,m,Nossuk,Spring,4,,2,12.18326227,48.81637683,4.006839529,Crab,-13.54322887
403965,12.51,-17.16,29.5,cao,7.01,2.13,f/gravid,Craig,Spring,5,,2,9.502193439,42.63905506,4.487285524,Crab,-16.03758733
403966,12.83,-17.54,29,cao,7.61,1.26,f,Craig,Spring,5,,4,9.109000833,43.75370986,4.80334898,Crab,-16.10468451
403967,12.26,-16.62,64,cef,23.67,3.49,,Craig,Spring,5,,2,11.88036293,47.27852942,3.97955262,Snail,-16.00024291
403968,11.41,-17.6,67,cef,29.21,5.77,,Craig,Spring,5,,2,11.67147927,52.57055098,4.504189211,Snail,-16.46085268
403969,12.14,-17.21,69,cef,29.23,5.72,,Craig,Spring,5,,2,11.06493603,49.08562062,4.436141381,Snail,-16.13822003
403970,11.93,-16.85,53,cef,11.37,1.54,,Craig,Spring,5,,2,12.19562728,47.56959043,3.900544788,Snail,-16.30846066
403971,11.96,-17.1,45,cef,8.03,1.27,,Craig,Spring,5,,2,12.08547645,48.01768701,3.973172857,Snail,-16.48655887
403973,9.72,-13.54,26,tes,7.53,2.68,,Craig,Spring,5,,2,12.7383463,51.05160211,4.007710335,Tegula,-12.89236677
403975,10.26,-13.28,24,tes,4.57,1.35,,Craig,Spring,5,,2,12.23665481,48.46573187,3.960701075,Tegula,-12.67890594
403977,13.03,-15.17,143,cap,310.54,149.95,m,Soda Bay,Spring,6,,2,10.52399481,40.7219266,3.869436212,Crab,-14.65925815
403978,13.04,-13.98,160,cap,487.46,170.4,m,Soda Bay,Spring,6,,2,12.47591285,48.96284481,3.92459016,Crab,-13.41465574
403979,12.74,-14.78,138,cap,295.31,113.94,m,Soda Bay,Spring,6,,2,11.55022989,46.29789871,4.008396296,Crab,-14.13168767
403980,12.77,-14.82,135,cap,391.19,155.82,m,Soda Bay,Spring,6,,2,12.48644485,48.89842395,3.916120604,Crab,-14.2630406
403981,12.11,-14.16,121.5,cap,225.62,90.43,m,Soda Bay,Spring,6,,2,11.28392793,49.43007436,4.380573383,Crab,-13.14323235
403982,9.62,-14.2,43,cam,13.21,1.97,m,Soda Bay,Spring,6,,4,4.714390066,23.11928918,4.903983094,Crab,-12.66505674
403983,10.4,-15.26,43.5,cam,13.31,1.23,f,Soda Bay,Spring,6,,4,7.259877711,31.31293235,4.313148733,Crab,-14.30998275
403984,11.59,-15.45,47,cam,21.59,5.14,m,Soda Bay,Spring,6,,2,11.54571925,49.34120658,4.273549834,Crab,-14.53918566
403985,9.85,-15.8,41,cam,11.49,3.02,m,Soda Bay,Spring,6,,4,4.234012034,20.29073571,4.792318855,Crab,-14.37560433
403986,14.32,-14.2,185,cam,734.55,314.2,m,Soda Bay,Spring,6,,2,11.89271982,44.38262186,3.7319152,Crab,-13.82540395
403987,12.52,-18.08,32.5,cao,10.11,3.2,f,Craig,Summer,5,,2,8.522492925,43.9128436,5.152581996,Crab,-16.29894382
403988,13.33,-17.97,31.5,cao,11.23,2.29,m,Craig,Summer,5,,2,9.037877757,48.79141599,5.3985479,Crab,-15.94543758
403989,9.29,-16.38,75,sag,93.56,47.63,,Nossuk,Spring,1,,2,10.57886384,42.02371616,3.972422444,Clam,-15.76730178
403990,9.2,-18.17,51,prs,34.66,15.7,,Soda Bay,Spring,8,,2,10.21024053,47.31845124,4.634411019,Clam,-16.90193309
403991,9.72,-18.17,68,prs,90.83,35.9,,Soda Bay,Spring,8,,2,10.01029352,47.38516137,4.733643551,Clam,-16.80369288
403992,9.13,-18.28,56,prs,41.55,18.42,,Soda Bay,Spring,8,,2,9.915715444,47.82836907,4.82349149,Clam,-16.82474342
403993,9.32,-18.7,45,prs,20.8,8.2,,Soda Bay,Spring,8,,2,10.15510217,48.27959941,4.754220942,Clam,-17.31332127
403994,9.39,-17.87,65,prs,90.95,35.78,,Soda Bay,Spring,8,,2,11.4057142,46.6696183,4.091775181,Clam,-17.13914257
403995,9.27,-18.24,65.5,sag,68.18,27.12,,Soda Bay,Spring,8,,2,10.28663876,48.67535992,4.73190136,Clam,-16.87541765
403996,8.67,-18.14,45,sag,18.65,9.9,,Soda Bay,Spring,8,,2,9.948068549,49.11617871,4.937257767,Clam,-16.57211481
403997,9.83,-17.63,86,sag,152.07,68.1,,Soda Bay,Spring,8,,2,10.03521852,43.45372874,4.330122822,Clam,-16.66317841
403998,11.6,-14.47,160,cam,515.24,269.17,f,Soda Bay,Summer,15,,2,10.58048469,49.41927642,4.670795136,Crab,-13.16591282
403999,12.93,-14.03,71,cam,44.49,16.65,f,Soda Bay,Summer,15,,2,9.751120241,40.46532747,4.149813198,Crab,-13.24168493
404000,11.95,-12.55,89,cam,97.93,44.91,m,Soda Bay,Summer,15,,2,11.99058714,48.9422926,4.081726108,Crab,-11.82909115
404001,10.89,-15.62,250,apc,382.36,NA,,Soda Bay,Winter,9,,2,5.493810813,24.72822523,4.501106075,Cucumber,-14.48390499
404002,11.37,-15.14,350,apc,768.45,NA,,Soda Bay,Winter,9,,2,6.809286944,28.57359612,4.196268472,Cucumber,-14.30569421
404003,11.76,-15.51,250,apc,326.72,NA,,Soda Bay,Winter,9,,2,6.564202686,28.75437843,4.380483024,Cucumber,-14.49332181
404004,11.49,-15.64,250,apc,287.5,NA,,Soda Bay,Winter,9,,2,7.795723103,33.03010636,4.236952227,Cucumber,-14.7654173
404014,10.07,-17.83,46,std,29.32,1.46,,Craig,Spring,5,,4,5.174914677,38.82947852,7.503404586,Urchin,-13.72162946
404015,9.78,-15.1,35,std,14.69,0.29,,Craig,Spring,5,,4,3.630193995,25.75803254,7.095497534,Urchin,-11.39545744
404017,7.11,-17.57,25,std,5.97,0.06,,Soda Bay,Spring,9,,4,4.861685396,47.57194763,9.785073233,Urchin,-11.2027775
404018,7.11,-16.61,26,std,6.1,0.37,,Soda Bay,Spring,9,,4,6.60472756,56.16631789,8.503956806,Urchin,-11.51108276
404019,6.2,-17.94,29,std,8.61,0.47,,Soda Bay,Spring,9,,4,4.708183605,55.6204604,11.81357081,Urchin,-9.564564898
404020,6.47,-18.24,57,stf,62.18,4.89,,,Spring,12,,4,6.066558492,44.9584811,7.410870787,Urchin,-14.22323792
404021,6.72,-19.14,52,stf,44.77,3.18,,,Spring,12,,4,6.608752308,44.449654,6.725876827,Urchin,-15.80138194
404022,9.8,-19.39,62,evt,152.46,11.24,,Soda Bay,Summer,9,stomach,4,8.263122558,46.27249971,5.599880601,Star,-17.16611821
404023,11.49,-15.99,62,evt,152.46,3.71,,Soda Bay,Summer,9,feet,4,11.29601275,40.87225496,3.618290442,Star,-15.72789246
404024,8.51,-21.58,79,pio,331.67,81.94,,Soda Bay,Summer,9,stomach,4,6.415411179,55.42868053,8.639926418,Star,-16.34647285
404025,11.11,-16.51,79,pio,331.67,9.94,,Soda Bay,Summer,9,feet,4,9.81569625,38.76164643,3.948945184,Star,-15.92054427
404026,9.23,-19.19,79,pio,331.67,2.93,,Soda Bay,Summer,9,gonads,4,9.947802747,48.24615736,4.849931044,Star,-17.70856827
404027,8.03,-21.7,90,pio,487.93,69.81,,Soda Bay,Summer,9,stomach,4,6.870739483,57.23420189,8.330137102,Star,-16.77316427
404028,8.63,-19.98,90,pio,487.93,28.28,,Soda Bay,Summer,9,gonads,4,9.046747504,48.09913593,5.31673244,Star,-18.03643488
404029,10.64,-16.55,90,pio,487.93,7.19,,Soda Bay,Summer,9,feet,4,10.32787101,39.84618888,3.858122246,Star,-16.05045898
404030,8.42,-21.63,79,pio,348.27,92.1,,Soda Bay,Summer,9,stomach,4,7.629383427,55.42595053,7.264800762,Star,-17.75784725
404031,9.05,-19.64,79,pio,348.27,8.8,,Soda Bay,Summer,9,gonads,4,10.34832558,47.59238566,4.599042165,Star,-18.40694826
404032,10.7,-16.25,79,pio,348.27,5.89,,Soda Bay,Summer,9,feet,4,10.18269169,38.39215132,3.77033426,Star,-15.83736908
404035,8.32,-18.69,62,cln,76.73,39.25,,Soda Bay,Winter,8,,4,10.21014453,41.7665634,4.090692673,Clam,-17.96021425
404036,8.65,-18.25,49,cln,29.83,15.25,,Soda Bay,Winter,8,,4,10.6455374,40.4380136,3.79858828,Clam,-17.8093976
404037,8.38,-18.59,58,cln,56.42,25.82,,Soda Bay,Winter,8,,4,9.800024397,42.99104045,4.386829941,Clam,-17.56703836
404038,9.47,-18.21,40,prs,15.77,7.31,,Soda Bay,Winter,8,,4,9.242762871,40.60431554,4.393092857,Clam,-17.18083807
404039,9.34,-17.91,44,prs,25.77,12.75,,Soda Bay,Winter,8,,4,8.716911698,40.78282431,4.678586376,Clam,-16.59819949
404040,9.41,-18.13,46,prs,24.48,11.47,,Soda Bay,Winter,8,,4,9.234308029,39.71873219,4.301213698,Clam,-17.19179844
404041,9.47,-17.93,44,prs,26.44,12.73,,Soda Bay,Winter,8,,4,9.894985734,40.71308278,4.114516572,Clam,-17.17662859
404043,8.94,-18.34,41,sag,12.15,4.89,,Soda Bay,Winter,8,,4,10.30250752,43.88315988,4.259463999,Clam,-17.44313064
404053,11.4,-16.53,30,nul,3.94,0.85,,Craig,Summer,2,,4,10.80799674,43.73381045,4.04643076,Snail,-15.84403355
404054,11.25,-17.14,100,squid eggs,128.34,NA,,Nossuk,Summer,16,,4,5.414820714,24.03736906,4.439180969,,-16.06521084
404055,10.71,-16.67,84,sag,152.12,73.96,,Craig,Winter,2,,4,9.058880653,40.78088226,4.501757317,Clam,-15.53326026
404056,10.69,-16.49,80.5,sag,146.07,70.46,,Craig,Winter,2,,4,10.38327328,42.57683832,4.10052179,Clam,-15.75048343
404057,10.87,-16.31,77,sag,135.85,64.03,,Craig,Winter,2,,5,10.26339688,39.74955387,3.872943271,Clam,-15.79578616
404058,10.58,-16.95,78,sag,113.57,51.11,,Craig,Winter,2,,5,10.27493781,44.00558297,4.282807719,Clam,-16.03002036
404059,8.93,-18.32,65,cln,76.25,38.24,,Soda Bay,Summer,15,,5,8.458394435,38.06575015,4.500351745,Clam,-17.18465177
404060,9.82,-20.74,88,pio,273.23,37.67,,Craig,Spring,5,stomach,5,6.448164214,56.78874005,8.806962441,Star,-15.34110718
404061,9.64,-18.02,64.5,sag,75.61,36.12,,Soda Bay,Summer,15,,5,9.397852167,38.86164523,4.135162433,Clam,-17.24618919
404062,9.61,-17.87,63,sag,70.57,34.33,,Soda Bay,Summer,15,,5,9.500733451,38.29817344,4.031075457,Clam,-17.1992353
404063,11.46,-16.58,58,prs,75.67,30.19,,Craig,Winter,2,,5,8.435469866,33.49684688,3.970952112,Clam,-15.96875741
404064,9.55,-17.75,59,sag,63.15,28.88,,Soda Bay,Summer,15,,5,8.714517566,38.51310597,4.419419168,Clam,-16.69477502
404065,9.63,-18.88,88,pio,273.23,27.78,,Craig,Spring,5,gonads,5,8.994982154,46.05642056,5.12023479,Star,-17.13096756
404066,10.78,-17.05,64,sag,60.34,24.77,,Soda Bay,Summer,15,,5,9.516568082,41.0861678,4.317330307,Clam,-16.095843
404067,11.08,-16.82,56,prs,59.22,24.67,,Craig,Winter,2,,5,9.371101109,39.3854127,4.20285858,Clam,-15.97917001
404068,11.08,-16.44,52.5,prs,46.81,22.45,,Craig,Winter,2,,5,9.819753053,39.03572563,3.975224776,Clam,-15.82452747
404069,9.97,-17.04,54,prs,51.2,20.55,,Craig,Winter,2,,5,9.578707657,39.41719796,4.115085184,Clam,-16.28606567
404070,10.49,-17.73,54,prs,60.08,17.67,,Soda Bay,Summer,15,,5,8.901908914,35.04073331,3.936316766,Clam,-17.1530464
404071,9.27,-20.56,64,pio,172.6,17.61,,Craig,Winter,5,stomach,5,5.749431828,60.47777746,10.51891374,Star,-13.4662754
404072,7.66,-17.15,47,stf,39.15,16.14,,Soda Bay,Summer,9,,5,3.763414934,41.17055053,10.93967879,Urchin,-9.639717998
404073,10.08,-16.57,44,prs,27.11,9.81,,Craig,Winter,2,,5,10.52628224,41.56430528,3.948621586,Clam,-15.98086463
404074,9.04,-18.12,46,cln,29.34,14.67,,Soda Bay,Summer,15,,5,9.081111794,37.40161545,4.118616344,Clam,-17.36256982
404075,8.42,-17.54,47,cln,32.85,14.66,,Soda Bay,Summer,18,,5,8.657887731,38.50788524,4.447722867,Clam,-16.45675436
404076,7.77,-17.85,49,stf,39.3,12.85,,Soda Bay,Summer,9,,5,6.209039464,31.46906419,5.068266093,Urchin,-16.15241657
404077,9.6,-16.27,44.5,cln,26.02,12.27,,Craig,Winter,2,,5,9.903195773,38.10340937,3.847587208,Clam,-15.78088866
404078,9.92,-17.27,45.5,prs,27.01,12.14,,Soda Bay,Summer,15,,5,9.147520168,38.15766235,4.171366846,Clam,-16.46034682
404079,9.65,-18.09,43,sag,22.21,11.52,,Soda Bay,Summer,15,,5,8.246611019,38.87012245,4.713466217,Clam,-16.74366845
404080,9.88,-17.72,45,prs,33.02,11.14,,Soda Bay,Summer,15,,5,8.344083717,35.99593817,4.31394739,Clam,-16.76919208
404081,8.34,-16.63,46,std,36.41,10.76,,Soda Bay,Summer,9,,5,5.626662278,46.82861221,8.322627145,Urchin,-11.71059913
404082,9.87,-17.72,46,prs,29.45,10.29,,Soda Bay,Summer,15,,5,8.510055703,38.77390679,4.556245945,Clam,-16.52931651
404083,9.01,-18.09,42.5,prs,22.33,9.6,,Soda Bay,Summer,15,,5,8.347682952,40.15400393,4.810197532,Clam,-16.64790444
404084,8.89,-17.84,64,pio,172.6,9.53,,Craig,Winter,5,gonads,5,10.69842113,48.23670605,4.508768675,Star,-16.69631901
404085,7.4,-16.37,53,stf,51.52,9,,Soda Bay,Winter,9,,5,2.895565016,20.06491613,6.929533965,Urchin,-12.82976137
404086,10.31,-16.26,43.5,sag,18.74,8.82,,Craig,Winter,2,,5,11.23199286,42.36877114,3.772150827,Clam,-15.84557068
404087,8.88,-16.86,43,cln,25.49,8.7,,Soda Bay,Summer,18,,5,9.438264853,34.67577869,3.673956944,Clam,-16.54278263
404088,7.92,-17.74,47,stf,41.71,8.61,,Soda Bay,Winter,9,,5,5.009407153,36.59542843,7.305341192,Urchin,-13.82771222
404089,10.94,-15.68,64,pio,172.6,7.91,,Craig,Winter,5,feet,5,10.48673832,39.38477548,3.75567448,Star,-15.28188226
404090,7.53,-17.43,43,stf,27.49,7.33,,Soda Bay,Summer,9,,5,4.508636476,28.07269539,6.22642689,Urchin,-14.58583738
404122,9.68,-17.48,35,mtr,3.7,1.44,,Craig,Spring,2,,8,9.683788084,-17.47621976,4.397320833,Mussel,-16.44665238
404123,9.57,-17.1,24.5,mtr,1.91,0.58,,Craig,Spring,2,,8,9.567994802,-17.097743,4.310523743,Mussel,-16.15258149
404124,9.37,-17.41,25,mtr,2.42,0.67,,Craig,Spring,2,,8,9.365180579,-17.41401933,3.924123452,Mussel,-16.84511778
404125,9.67,-17.74,45.5,mtr,10.66,4.12,,Craig,Summer,2,,8,9.672899468,-17.73949278,4.810856269,Mussel,-16.29725229
404126,9.1,-18.04,43,mtr,8.68,4.37,,Craig,Summer,2,,8,9.099762314,-18.03785434,5.107778171,Mussel,-16.30329961
404127,9.26,-17.72,37.5,mtr,7.01,3,,Craig,Summer,2,,8,9.255172561,-17.7186576,4.965562283,Mussel,-16.12409334
404128,10.38,-17.29,34.5,mtr,4.83,1.34,,Craig,Winter,2,,8,10.37661203,-17.286175,4.191269518,Mussel,-16.46064318
404129,9.38,-17.28,26,mtr,2.4,0.62,,Craig,Winter,2,,8,9.381502505,-17.27562664,4.111297776,Mussel,-16.5298152
404130,9.42,-16.91,29,mtr,1.73,0.79,,Craig,Winter,2,,8,9.420525545,-16.91419289,3.677762628,Mussel,-16.589015
404134,10.64,-18.98,75.5,cam,79.69,0.7,,Craig,Winter,2,gonads,8,10.64249223,-18.98315267,4.895379904,Crab,-17.4535739
404135,10.66,-15.57,62,cam,43.38,1.07,,Craig,Winter,2,gonads,8,10.66231171,-15.56914673,4.985193844,Crab,-13.95465809
404157,9.3,-18.01,30.5,mtr,2.79,0.68,,Craig,Spring,5,,8,9.300684777,-18.01344492,4.447514557,Mussel,-16.92696059
404158,9.1,-18.27,27,mtr,1.95,0.63,,Craig,Spring,5,,8,9.103941783,-18.26956946,4.61225645,Mussel,-17.02386611
404159,9.31,-17.51,23,mtr,1.19,0.5,,Craig,Spring,5,,8,9.308911731,-17.51113395,4.415477795,Mussel,-16.45867698
404198,9.44,-18.23,29.5,std,8.79,2.04,,Craig,Summer,5,,8,9.439927079,-18.22755039,5.492667306,Urchin,-16.11225937
404199,9.9,-19.19,23.5,std,5.38,1.18,,Craig,Summer,5,,8,9.897886872,-19.18657903,5.483977476,Urchin,-17.0808623
404201,10.79,-17.65,48,tec,32.89,NA,,Craig,Summer,5,gonads,8,10.78558405,-17.65318805,5.111163639,Crab,-15.909948
404204,9.92,-14.89,24,tes,6.94,0.76,,Craig,Summer,5,,8,9.922105794,-14.88577018,3.493566103,Tegula,-14.89
404210,9.08,-18.18,29,mtr,2.26,0.74,,Craig,Winter,5,,8,9.084980193,-18.17624702,4.633541532,Mussel,-16.91279388
404211,9.41,-16.94,36,mtr,5.16,1.93,,Craig,Winter,5,,8,9.413398451,-16.94461749,4.230213247,Mussel,-16.07208889
404212,9.37,-17.39,35,mtr,3.95,1.27,,Craig,Winter,5,,8,9.365400551,-17.39423027,4.046069418,Mussel,-16.70439128
404222,10.37,-14.06,21,tes,3.96,0.38,,Craig,Winter,5,,8,10.37381838,-14.06007799,3.541186874,Tegula,-13.87422499
404236,7.78,-18.35,41,mtr,5.38,2.01,,Soda Bay,Spring,8,,8,7.777334395,-18.35112308,3.928096488,Mussel,-17.78118448
404237,8.6,-18.51,41,mtr,5.34,1.65,,Soda Bay,Spring,8,,8,8.596510277,-18.50599212,3.750047766,Mussel,-18.11745271
404239,7.56,-18.18,33,mtr,3.24,1.24,,Soda Bay,Spring,9,,8,7.557890286,-18.18365703,4.011552891,Mussel,-17.52856264
404262,8.35,-19.62,47,mtr,8.22,4.21,,Soda Bay,Summer,9,,8,8.350251577,-19.62132821,4.962436732,Mussel,-18.02718764
