bed_no,date_MM.DD.YY,species,boat_track,drone,drone_launch_time_AKDT,time_UTC,latitude_decimal_degrees,longitude_decimal_degrees,density
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:03,55.6408767,-133.622656,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:05,55.64084971,-133.6226918,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:06,55.64083572,-133.6227065,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:07,55.64082063,-133.622721,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:17,55.64064905,-133.6229139,3
4b,07.08.17,Macrocystis,Y,Y,N/A,19:34:19,55.64060915,-133.6229454,3
5,07.08.17,N/A,N,Y,N/A,N/A,N/A,N/A,3.5
6,07.08.17,N/A,N,Y,N/A,N/A,N/A,N/A,3.5
7,07.08.17,N/A,N,Y,N/A,N/A,N/A,N/A,3.5
8,07.08.17,N/A,N,Y,N/A,N/A,N/A,N/A,3.5
9,07.09.17,Macrocystis,Y,Y,N/A,18:14:44,55.4555426,-133.3844078,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:14:45,55.45552776,-133.3844015,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:14:48,55.45548393,-133.3843825,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:14:49,55.4554711,-133.3843708,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:14:58,55.4553473,-133.3842776,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:15:18,55.45507397,-133.3840278,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:15:35,55.45483424,-133.383793,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:15:54,55.45454867,-133.3836096,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:16:08,55.45431607,-133.3835142,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:16:27,55.45401542,-133.3834527,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:16:41,55.45382749,-133.3834671,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:17:01,55.45353346,-133.3834983,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:17:13,55.45336456,-133.3835883,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:17:30,55.45310489,-133.3836767,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:17:46,55.4528572,-133.3836415,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:18:03,55.45259879,-133.3835677,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:18:19,55.45236217,-133.3835218,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:18:35,55.45214969,-133.3835581,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:18:52,55.45191617,-133.383778,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:19:11,55.45171383,-133.3840772,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:19:28,55.45155625,-133.3843217,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:19:47,55.45134192,-133.384643,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:20:00,55.45129105,-133.384915,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:20:15,55.45124712,-133.3852972,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:20:32,55.45116699,-133.3856532,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:20:39,55.45118493,-133.3856966,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:20:51,55.45132784,-133.3857428,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:21:03,55.45147251,-133.3858557,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:21:15,55.45154854,-133.3861687,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:21:30,55.45165499,-133.3865915,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:21:41,55.4518093,-133.3868441,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:21:52,55.45186755,-133.3871865,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:22:03,55.45184325,-133.3875645,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:22:13,55.45187174,-133.3878891,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:22:25,55.45184878,-133.3883047,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:22:43,55.45174384,-133.3889231,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:22:59,55.45157888,-133.3893658,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:23:13,55.45146547,-133.3898284,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:23:24,55.45139599,-133.3901903,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:23:41,55.4512079,-133.3906547,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:23:57,55.45096139,-133.39108,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:24:14,55.45067607,-133.3914535,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:24:37,55.45030533,-133.391921,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:24:56,55.45009604,-133.3924662,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:25:16,55.4498823,-133.3930601,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:25:32,55.44976168,-133.3936222,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:25:44,55.44974291,-133.394003,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:26:02,55.44990728,-133.3944935,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:26:19,55.45011875,-133.3949618,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:26:37,55.45035328,-133.3954077,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:26:53,55.45059007,-133.3957779,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:27:07,55.4507655,-133.3961196,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:27:17,55.45091369,-133.3962684,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:27:31,55.45116926,-133.3964241,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:27:43,55.45136363,-133.3966353,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:27:56,55.45151291,-133.3969175,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:28:17,55.4518777,-133.3971885,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:28:29,55.45209479,-133.3973311,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:28:39,55.45230391,-133.3973664,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:28:51,55.45250416,-133.3974965,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:29:12,55.4528831,-133.3978166,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:29:26,55.453124,-133.3980723,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:29:41,55.45331754,-133.398459,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:29:56,55.45352977,-133.3988075,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:30:09,55.45375977,-133.3990237,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:30:22,55.45385256,-133.399406,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:30:34,55.45400988,-133.3997114,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:30:46,55.45420552,-133.3999475,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:30:55,55.45431306,-133.400135,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:31:07,55.45452286,-133.4001506,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:31:25,55.45489107,-133.4002171,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:31:41,55.45522367,-133.4001869,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:31:52,55.45543657,-133.4001207,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:01,55.45552768,-133.4002965,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:13,55.45561904,-133.4006061,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:22,55.45575198,-133.4006368,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:32,55.45592364,-133.4007478,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:43,55.45603403,-133.401006,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:32:51,55.45613252,-133.4010139,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:02,55.45629404,-133.4009519,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:12,55.45641541,-133.4011423,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:23,55.45653502,-133.4013812,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:34,55.45672939,-133.4014313,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:45,55.45691958,-133.4016645,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:33:58,55.45714044,-133.4018589,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:34:15,55.45747312,-133.4021658,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:34:25,55.45757278,-133.4024307,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:34:33,55.45758627,-133.402753,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:34:44,55.4576048,-133.4030725,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:34:56,55.45774955,-133.4033466,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:35:05,55.45775374,-133.4036991,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:35:16,55.45772986,-133.4040576,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:35:24,55.45779473,-133.4041086,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:35:36,55.45796824,-133.4041778,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:35:54,55.45828356,-133.404446,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:36:10,55.45858188,-133.4046435,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:36:21,55.45877022,-133.4048698,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:36:45,55.45916844,-133.4053005,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:36:55,55.45934723,-133.4052856,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:37:08,55.45954144,-133.4049714,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:37:18,55.45971938,-133.4048456,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:37:33,55.46000739,-133.4047816,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:37:47,55.46025591,-133.4047089,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:37:57,55.46037334,-133.4044264,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:38:11,55.46059102,-133.4041147,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:38:26,55.46085421,-133.403895,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:38:37,55.46099285,-133.4036121,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:38:51,55.46105177,-133.4031852,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:00,55.46096242,-133.4029936,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:11,55.46082219,-133.4026826,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:25,55.46072387,-133.4021917,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:36,55.46061273,-133.4018416,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:50,55.46047585,-133.4013484,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:39:59,55.4604865,-133.4010261,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:09,55.4606077,-133.4008792,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:19,55.46071381,-133.4008931,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:28,55.46083627,-133.4009691,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:36,55.46088053,-133.4009933,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:41,55.46092747,-133.4010448,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:40:55,55.46104683,-133.4012813,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:41:08,55.46127054,-133.4011934,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:41:22,55.46148864,-133.4012754,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:41:32,55.46164689,-133.4011766,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:41:42,55.46168385,-133.4010511,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:41:55,55.46168603,-133.400882,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:42:08,55.46161017,-133.400559,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:42:19,55.46157472,-133.4003837,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:42:29,55.46156474,-133.4001826,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:42:44,55.46157137,-133.3997695,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:43:03,55.46156885,-133.3994615,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:43:18,55.46156231,-133.3992621,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:43:35,55.46155133,-133.399152,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:43:48,55.46154044,-133.3990504,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:43:59,55.46155569,-133.3990453,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:44:05,55.46154865,-133.3989886,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:44:22,55.46145042,-133.3986885,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:44:41,55.46130138,-133.3983799,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:44:55,55.46116761,-133.3980558,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:45:11,55.46107046,-133.3976667,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:45:23,55.46094499,-133.397578,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:45:37,55.46078917,-133.3973823,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:45:51,55.46064751,-133.397062,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:46:07,55.46046387,-133.3967511,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:46:21,55.46031475,-133.396653,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:46:38,55.46009808,-133.3965809,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:46:49,55.45991837,-133.396461,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:47:05,55.45973866,-133.3962731,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:47:18,55.4595991,-133.3963284,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:47:28,55.45947874,-133.396247,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:47:39,55.45939232,-133.3961133,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:47:46,55.45932384,-133.3960953,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:48:02,55.45914304,-133.3961073,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:48:12,55.4590205,-133.3960268,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:48:23,55.45888974,-133.395901,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:48:41,55.45864843,-133.3956642,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:48:55,55.45851633,-133.3955587,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:49:13,55.45838222,-133.3954292,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:49:22,55.45824031,-133.3954172,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:49:37,55.45788668,-133.3955431,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:49:50,55.45762374,-133.3958222,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:00,55.45754001,-133.3962369,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:12,55.45736072,-133.3966638,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:25,55.4572313,-133.3971814,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:37,55.45713306,-133.397674,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:48,55.45700817,-133.3980667,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:50:56,55.45683702,-133.3981026,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:51:05,55.45663258,-133.3978924,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:51:21,55.45633125,-133.397364,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:51:32,55.45616093,-133.396936,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:51:42,55.45606437,-133.3964957,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:51:51,55.45616998,-133.3961245,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:01,55.45627107,-133.3957459,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:12,55.45622715,-133.3952591,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:24,55.45624785,-133.3947163,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:33,55.45641909,-133.3943869,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:46,55.45672336,-133.394087,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:52:58,55.45698714,-133.3937883,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:10,55.45725494,-133.3935697,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:17,55.45733582,-133.3934128,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:18,55.45733398,-133.393385,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:22,55.45729333,-133.3932932,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:36,55.45705344,-133.3929109,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:45,55.45696995,-133.3925179,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:53:52,55.45707515,-133.3922969,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:02,55.45730942,-133.3921877,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:14,55.45762441,-133.3918752,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:24,55.45779859,-133.3914933,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:34,55.45779373,-133.3910264,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:48,55.45767537,-133.3903065,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:54:56,55.45753012,-133.3900661,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:55:07,55.45729433,-133.3896788,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:55:20,55.45706123,-133.3891229,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:55:31,55.4568651,-133.3886246,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:55:41,55.45675244,-133.3880661,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:55:54,55.45673585,-133.3873593,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:56:08,55.45662252,-133.3866244,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:56:25,55.45638364,-133.385782,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:56:36,55.45614853,-133.3854719,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:56:46,55.45588919,-133.3853854,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:56:53,55.45574544,-133.3851295,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:57:06,55.45554956,-133.3845581,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:57:17,55.45541519,-133.3842571,3
9,07.09.17,Macrocystis,Y,Y,N/A,18:57:26,55.45531713,-133.3841075,3
10,07.09.17,Macrocystis,N,Y,N/A,20:10:02,55.434078,-133.433451,3
11,07.09.17,Macrocystis and Nereocystis,N,Y,N/A,21:22:22,55.448055,-133.407967,3
12,07.09.17,Macrocystis and Nereocystis,N,Y,N/A,22:14:02,55.467051,-133.393712,N/A
13,07.09.17,Macrocystis,N,Y,N/A,22:46:46,55.483608,-133.429149,5
13,07.09.17,Macrocystis,N,Y,N/A,23:02:33,55.483494,-133.428867,5
14,07.09.17,Macrocystis,N,Y,N/A,23:18:03,55.48658,-133.418449,5
15,07.10.17,Macrocystis,N,Y,N/A,17:40:34,55.585209,-133.317411,3
16,07.10.17,Macrocystis,N,Y,N/A,18:27:58,55.581502,-133.316894,N/A
17,07.10.17,Macrocystis,N,Y,N/A,19:48:45,55.540682,-133.280526,3
18,07.10.17,Macrocystis,N,Y,N/A,19:09:42,55.547774,-133.285232,3
19,07.10.17,Macrocystis,N,Y,N/A,20:11:29,55.520993,-133.279028,3
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:12,55.57637469,-133.1845405,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:13,55.57637285,-133.1845462,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:20,55.57634376,-133.184596,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:24,55.57632381,-133.1846492,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:37,55.5762073,-133.1848465,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:47,55.57609566,-133.1850318,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:35:56,55.57601645,-133.1852456,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:04,55.57590011,-133.1852714,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:16,55.57570967,-133.1852531,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:25,55.57559257,-133.185253,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:33,55.5755199,-133.185402,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:46,55.57539283,-133.1857225,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:36:58,55.57524464,-133.1859516,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:06,55.57508689,-133.1859988,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:16,55.57493384,-133.185789,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:25,55.57482546,-133.1855753,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:34,55.57469529,-133.1854492,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:42,55.57455557,-133.1854185,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:51,55.57442866,-133.1854216,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:37:58,55.57433336,-133.1855325,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:06,55.57431232,-133.1857301,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:15,55.57435608,-133.1859922,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:24,55.57445381,-133.1862489,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:32,55.57445381,-133.1864537,2
