,,,,,Eelgrass shoot density (m-1),,Macroalgal percent cover,,Diatom percent cover,,Flowering eelgrass shoot density (m-1),,Eelgrass shoot area (cm2),,Epiphyte mass (g),,Shoot mass (g),,Rhizome mass (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pass,5/26/2017,55.22962,-132.925,-0.5,93,10.41290408,0,0,96.25,2.630521404,0,0,70.83575,8.687957901,0.0220225,0.006972924,0.1611325,0.020106396,0.072311789,0.00382025,14.07962,1.496988752,6.487437875,0.510018199,0.000351262,0.000131986,0.154489924,0.057909284,0.027925,0.011557415,0.0091625,0.007257384,0.0187625,0.009751281,0.022214338,0.008361987,0.00572455,0.003880849,0.016489788,0.008193058,0.777777778,125.6122452,1.444444444,247.6782677,1271,8767.998457,0.951591039,18,0,0,16.62022156,198.6215446,2150.424004,0,2719.835645,0,2902.427586,0,2.405065458,0,282.6138991,355.1682933,0,54.56493053,0,62.90122118,22.41604587
Natzuhini Bay,6/28/2017,55.25051,-132.883,-0.54,170.5,14.94633256,0.625,0.625,94.125,2.030460011,2.5,1.5,81.5645,6.758535891,0.00265,0.000627808,0.2141175,0.013832211,0.069841409,0.002411092,37.42206,5.17411243,11.6894306,0.677664271,3.53E-05,8.06E-06,0.013233399,0.003148574,0.0809625,0.031153989,0.0388,0.028194997,0.0421625,0.014062894,0.153222235,0.068949094,0.083462283,0.06128819,0.069759952,0.024267692,0.722222222,155.7409188,1.444444444,311.4818377,3522,16723.08225,0.543076536,16,1.374063745,0,7.199221698,13.20126639,5814.97904,0,140.8398214,0,8972.245373,0,0,0,516.7947925,762.9505459,0,57.90234904,0,200.900937,234.6948423
Dunbar Inlet,6/27/2017,55.0848,-132.826,-0.76,230,14.36264997,0,0,50.5,10.57625373,1.5,1.052208562,56.5465,5.630404156,0.003625,0.001728061,0.153815,0.017201609,0.10989735,0.007063546,35.09333,4.359453435,24.67289865,1.007596045,7.71E-05,3.68E-05,0.028619523,0.013751037,0.0454375,0.010743003,0.0179,0.006863959,0.0275375,0.007462141,0.062947954,0.01243297,0.023383982,0.008750442,0.039563972,0.011459637,0.888888889,93.44297573,1.777777778,186.8859515,672,16675.58478,1.670881673,18,0,0,0.299839779,63.83315406,839.2771271,0,14329.34105,6.663044593,105.9910165,0.219967815,13.99030995,46.5980174,393.9883343,331.2610451,0,18.4019584,0,471.6043663,54.11555254
Farallon Bay,7/23/2017,55.19112,-133.105314,-0.5,181.5,28.41465919,56.25,12.73879059,62.5,12.78252155,0.5,0.5,149.83625,11.29251955,0.00265,0.000843623,0.54661,0.048059642,0.131725275,0.008793181,96.40332,16.78841817,23.33107159,3.380726622,1.63E-05,4.33E-06,0.004436171,0.001206213,0.1196,0.018933238,0.0127875,0.008848314,0.1068125,0.017913437,0.084667324,0.014559437,0.010641762,0.007522125,0.074025562,0.011493409,0.888888889,108.4733678,1.777777778,216.9467356,768,10409.21064,2.017206722,25,0,0,25.66342346,0,3284.538085,0,4896.458347,543.7161567,1.16791807,11.73093395,91.29533329,0,795.5291973,352.8480787,0,0,182.8935601,98.99313928,124.3764659
Hetta Cove,7/22/2017,55.155625,-132.589934,-0.5,275,16.79710859,1.625,1.252675708,57.75,10.63476442,4.5,1.762708954,67.965,8.243195748,0.0013925,0.000627819,0.1906625,0.025722384,0.104729639,0.005014721,53.48682,8.109474722,28.90419689,2.487430129,1.78E-05,8.35E-06,0.005924222,0.002635129,0.004725,0.0012149,0.002575,0.000627851,0.00215,0.000868496,0.005985503,0.002484439,0.003571025,0.001638629,0.002414479,0.001055806,0.722222222,75.63121249,1.444444444,151.262425,3962,86206.73924,0.631752956,17,0,0,0,0,3267.224916,0,79470.44305,0,262.2240047,0,0,446.8338589,911.0100566,964.4336011,0,0,500.3407335,119.1190799,265.109936
North Fish Egg Island,5/24/2017,55.49709,-133.17,-0.5,369,24.89693039,0,0,2.75,0.700764888,0,0,58.238,12.74586245,0.0012425,0.000607859,0.2009425,0.049929706,0.087985509,0.011296231,70.43177,15.80865106,30.84933434,2.903321642,1.83E-05,4.85E-06,0.005776574,0.001608271,0.0676875,0.014826658,0.0242,0.00752605,0.0434875,0.014828393,0.053454382,0.008912643,0.020197564,0.006089247,0.033256817,0.010270757,1.333333333,262.832606,2.555555556,524.0752669,431,471.1198524,1.533522315,15,0,0,0,0,79.3113629,0,0,107.1531855,84.49009685,0,10.81122416,35.1795186,3.156836691,125.3305102,0,5.407986797,0,0,20.27913072
South Fish Egg Island,5/25/2017,55.48442,-133.175,-0.5,265.5,15.07955096,0,0,0,0,4.5,2.55650431,46.74275,3.939844775,0.001235,0.00035026,0.154445,0.013408249,0.107923908,0.010830116,41.04109,4.633937141,28.16734181,2.820582133,2.57E-05,7.82E-06,0.007642908,0.002137207,0.02815,0.014948686,0.010875,0.008965345,0.017275,0.007224283,0.017247678,0.006607756,0.00282195,0.001172483,0.014425728,0.00670797,0.055555556,0.418133773,0,0,535,3187.123873,1.768906246,22,0,0,0,0,683.6442428,0,0,6.639888099,3.668641297,0.39067165,91.47488392,29.70525524,15.52406856,1065.619238,0,1253.907429,0,0,36.54955452
South Wadleigh Island,6/22/2017,55.52904,-133.147,-0.5,381,30.8614415,0,0,95.625,2.576941016,3,1.253566341,81.04825,4.530487035,0.003398125,0.001075496,0.22947,0.017170895,0.081912899,0.006634745,87.34701,9.62302261,31.39466269,3.863247703,4.11E-05,1.25E-05,0.014517088,0.004731994,0.0223125,0.008765668,0.0181125,0.008734321,0.0042,0.002055828,0.02404675,0.012287134,0.022313704,0.012540115,0.001733046,0.000822352,0.777777778,88.84783353,1.333333333,161.5029857,1377,20597.96618,1.617221903,20,0.342363445,0,0,74.42144892,1657.002081,0,16390.11649,0,465.6358835,0,37.8234363,0,896.8384545,32.87675584,0,964.6674706,0,46.66260153,31.5791901
Shinaku Inlet,6/23/2017,55.59929,-133.16,-0.5,266,17.80850519,0,0,100,0,3,1,77.81625,6.875432635,0.010275,0.0009441,0.1986375,0.014041656,0.06811435,0.005863285,52.36132,4.082858449,17.55418991,1.053753897,0.000137378,1.43E-05,0.052584198,0.004524025,0.0434,0.011538755,0.0067625,0.005081652,0.0366375,0.011725033,0.028360426,0.007550362,0.007382753,0.006424809,0.020977673,0.004888013,0.333333333,21.77071304,0.555555556,32.58478759,1038,15230.9995,1.335186112,16,0.294019933,0,0,49.03571246,2281.65371,0,5408.057445,0,342.8694763,0,14.71169432,0,70.25656873,673.8870235,0,0,0,6379.735955,10.49789263
Trocadero Bay,8/21/2017,55.344914,-133.0011,-0.61,471,38.08824341,4,1.164964745,64.375,11.51231871,3.5,1.592392629,86.86025,8.762127632,0.0047325,0.000863415,0.30366,0.031399034,0.144317729,0.012405431,140.37845,14.90161993,66.426093,5.23171822,5.34E-05,6.75E-06,0.015476253,0.002057759,0.016575,0.009183812,0.0016375,0.00070608,0.0149375,0.009049801,0.013155783,0.005000731,0.002047731,0.000988528,0.011108052,0.004746542,0.5,48.43122612,0.777777778,85.733668,770,20633.67671,1.142231143,11,0,0,0,0,7790.547222,0,12081.19134,0,3.339070242,0,60.49985687,0,458.8250328,0,0,0,59.95706057,0,179.3171315
Garcia Bay,7/26/2017,55.5535,-133.431392,-0.59,283,23.84174011,3.125,3.125,71.25,7.719987972,0,0,82.129,5.981918338,0.0039275,0.00130367,0.247055,0.028900301,0.080054296,0.004849533,73.17176,11.81366981,23.36467047,3.016614484,5.22E-05,1.82E-05,0.019027636,0.007316044,0.0181,0.006107928,0.0026875,0.002474039,0.0154125,0.005663714,0.016888554,0.005953016,0.002108081,0.001881191,0.014780473,0.005848174,0.722222222,29.82970126,1.333333333,56.11317976,3360,18464.48612,0.918733583,25,0,82.05314349,0,8518.99388,4179.236678,0,7.741697077,4273.855107,5.3502533,8.58240856,297.384512,36.41191552,588.8462012,111.1112146,0,177.1388371,0,157.9110385,19.86923648
Port Refugio,8/22/2017,55.282137,-133.334028,-0.76,334.5,43.67370899,13.125,4.812326064,98.125,1.315260702,0.5,0.5,57.1055,4.496864999,0.0005825,0.000220436,0.180125,0.014662029,0.06054369,0.00178552,62.68049,11.2822369,20.65931869,3.026334433,9.50E-06,2.90E-06,0.003063759,0.000957883,0.04115,0.009974306,7.50E-05,3.66E-05,0.041075,0.009962999,0.054631136,0.012567339,6.83E-05,3.50E-05,0.054562852,0.012568698,0.944444444,83.21939931,0.222222222,59.107886,1383,19805.77008,1.498026992,18,0,0,0.270237422,0,6071.4251,0,10158.68781,100.3997105,811.855208,0,35.09014202,59.76253074,1193.555393,848.8698344,0,0,0,351.0319448,174.822169
