"","site_code","site_name","latitude_N","longitude_E","date_MMDDYYYY","depth_m_MLLW","layer_number","layer_thickness_cm","layer_depth_cm","layer_volume_cm3","dry_bulk_density","organic_dw_g","organic_dw_percent","organic_density","inorganic_dw_g","inorganic_dw_percent","inorganic_density","sediment_description","freshwater_input"
"11","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,11,1.1,20,21.5984494934298,1.07297979917724,13.49285,58.2223286601337,14.4775554833286,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"12","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,12,1.1,22,21.5984494934298,1.05251999718384,12.93843,56.9152502111487,13.6179563071633,0.904620000000001,8.74545262952334,0.952130639852444,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"13","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,13,1.1,24,21.5984494934298,1.11170896815089,14.27421,59.4481572966604,15.8687672702691,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"14","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,14,1.1,26,21.5984494934298,1.28640021166574,17.98488,64.7304857968093,23.135753438783,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"15","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,15,1,28,19.6349540849362,1.32749839328614,16.21441,62.2067133518534,21.5246032230828,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"16","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,16,1.3,30,25.5254403104171,1.28727534571031,22.96065,69.8778420166369,29.5566786664834,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"17","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,17,1,32,19.6349540849362,1.39683341663842,17.12265,62.4304511360438,23.9174897014039,0.518940000000001,4.93218647531246,0.724872733230344,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"18","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,18,1.1,34,21.5984494934298,1.43651700597481,20.35502,65.6051883323116,29.2403323869574,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"19","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,19,1.1,36,21.5984494934298,1.40065748743689,20.34492,67.2514208137437,28.4962645293045,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"20","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,20,1.1,38,21.5984494934298,1.15058907388512,15.09129,60.7272400963505,17.3638733848318,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"21","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,21,1,40,19.6349540849362,1.67757204104035,23.24893,70.5816652271392,39.0017549521042,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"22","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,22,1.2,42,23.5619449019235,1.4681152232546,24.8386,71.8051899808191,36.4659267843318,0.484429999999996,4.83922848854397,0.711199057601221,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"23","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,23,1.2,44,23.5619449019235,1.6324700766472,28.6797,74.562118459855,46.8187520572186,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"24","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,24,1,46,19.6349540849362,1.46783587449849,18.99834,65.918644427705,27.8864450079196,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"25","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,25,1.1,48,21.5984494934298,1.67338863889255,26.13507,72.3109848212359,43.7341292146615,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"26","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,26,1.3,50,25.5254403104171,1.21955780669906,21.3457,68.5700977360885,26.0323150744561,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"27","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,27,1.1,52,21.5984494934298,1.43637764411919,20.9045,67.3827253055987,30.0267564614896,0.447599999999994,4.32752688026493,0.64292263350774,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"28","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,28,1.2,54,23.5619449019235,1.45803159047348,24.47147,71.2331235376546,35.6801763253241,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"29","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,29,1.1,56,21.5984494934298,1.41636185547975,20.34197,66.496105745374,28.8115903733135,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"30","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,30,1.1,58,21.5984494934298,1.50310882315305,22.47188,69.2191732466097,33.7776811008367,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"31","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,1,1.1,0,21.5984494934298,0.925569217645977,2.26548,11.3325789885978,2.09685855119261,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"32","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,2,1.1,2,21.5984494934298,0.855140550974199,1.88326,10.1964784503926,1.61045199402767,1.65208000000001,8.78888440835906,1.41276060145346,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"33","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,3,1,4,19.6349540849362,0.65980037151903,1.66874,12.8809006456892,1.10103527196867,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"34","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,4,1,6,19.6349540849362,0.655668454548455,1.93372,15.0203277608703,1.26787920392944,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"35","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,5,0.9,8,17.6714586764426,0.687812490329566,1.87338,15.4128666806531,1.2885341631336,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"36","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,6,0.9,10,17.6714586764426,0.732842163010791,2.01687,15.5738166958679,1.47804737331158,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"37","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,7,0.9,12,17.6714586764426,0.97145517607355,2.27117,13.2298364947227,2.20633985224296,6.65832,39.0482490710506,6.46825942795404,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"38","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,8,0.9,14,17.6714586764426,0.872108538529681,2.17539,14.1154325069121,1.89717619363208,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"39","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,9,0.9,16,17.6714586764426,0.841902203570384,1.98773,13.3605195447665,1.67347426710296,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"40","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,10,0.8,18,15.707963267949,0.936192665411049,2.16438,14.7179865194945,2.02627668116237,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"41","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,11,0.8,20,15.707963267949,1.32892849594279,1.84861,8.85571858071662,2.4566705068848,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"42","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,12,0.9,22,17.6714586764426,1.20363465118782,1.81426,8.52967421690101,2.18370620226402,3.33541,15.5706320292645,4.01461505191837,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"43","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,13,1,24,19.6349540849362,1.22048872110097,2.11714,8.83458019115148,2.5839454909917,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"44","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,14,1,26,19.6349540849362,1.05198463467999,2.14542,10.3865911877949,2.25694887493514,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"45","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,15,0.9,28,17.6714586764426,1.23305950000877,2.08944,9.58900337586668,2.57640384169833,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"46","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,16,0.9,30,17.6714586764426,1.21746599383334,2.50899,11.6619101624958,3.05461000386792,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"47","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,17,1,32,19.6349540849362,1.30344791687773,2.35969,9.22000973698421,3.07573301497721,7.22998,28.475026190795,9.42390237006765,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"48","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,18,0.9,34,17.6714586764426,1.30089996648923,2.52127,10.9673841174833,3.2799200585103,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"49","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,19,0.9,36,17.6714586764426,1.42470581862958,2.52834,10.0424083763395,3.60214070947392,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"50","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,20,0.9,38,17.6714586764426,1.47126564230146,2.46055,9.46386860317215,3.62012267616486,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"51","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,21,0.6,40,11.7809724509617,1.26291696733281,1.41563,9.5146719503925,1.78782314646535,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"52","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,22,1,42,19.6349540849362,1.65957556401925,2.28691000000001,7.01814201264422,3.79529995311126,19.46793,59.8524098459843,32.3085009100372,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"53","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,23,1,44,19.6349540849362,1.45477651113605,2.435,8.5245761605239,3.54238080461628,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"54","2017_M_08","Port Refugio",55.282137,-133.334028,"8/22/2017",-0.55,24,1,46,19.6349540849362,1.00042607255548,2.68939,13.6911173874885,2.69053587526999,NA,NA,NA,"mostly muddy sand with occasional gravel and sand at transect. Higher becomes more consolidated sand with gravel, cobble and gravel high.","many streams in bay, lots of tannins"
"55","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,1,1.3,0,25.5254403104171,0.757352263659507,2.50945,12.9809768903488,1.90053763804035,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"56","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,2,1.1,2,21.5984494934298,0.952210481880016,1.96668,9.56264796679223,1.87269331050379,2.69046,12.9478205421274,2.56188421307891,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"57","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,3,1.1,4,21.5984494934298,1.01619933443262,2.39535,10.9135865917817,2.43415307573318,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"58","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,4,1.1,6,21.5984494934298,1.02080429461878,2.27653,10.3254339777365,2.32389160082849,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"59","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,5,1.1,8,21.5984494934298,1.03396403555697,2.15956,9.67024030965402,2.2329073726274,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"60","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,6,0.9,10,17.6714586764426,0.928017335765366,0.946740000000004,5.77300904544187,0.878591132462506,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"61","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,7,1.3,12,25.5254403104171,1.0148451773985,1.14126,4.40566591660017,1.15820220715781,4.30907,15.8478731867095,4.37303890857255,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"62","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,8,1.1,14,21.5984494934298,0.937513593564187,0.855650000000001,4.22567416207546,0.802183506333198,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"63","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,9,1.1,16,21.5984494934298,1.02302760236199,0.92531,4.18771703775512,0.94661767074157,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"64","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,10,1.1,18,21.5984494934298,0.97781046766456,1.05051,4.97419645355716,1.0271996743863,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"65","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,11,1.1,20,21.5984494934298,1.02277665842262,2.47484,11.2032426770193,2.53120858533065,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"66","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,12,1.2,22,23.5619449019235,1.16671438263808,2.45797,8.94130460246358,2.86774895109291,3.7103,13.7082817928835,4.32886037390206,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"67","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,13,1.1,24,21.5984494934298,1.25601654916258,2.23819,8.25047616835883,2.81120368017019,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"68","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,14,1.2,26,23.5619449019235,1.10321962419486,2.28957,8.80807109332924,2.52589855496783,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"69","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,15,1.1,28,21.5984494934298,1.06626033535442,2.20613,9.57955359131759,2.35230891363545,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"70","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,16,1.1,30,21.5984494934298,0.920234575451636,3.62603,18.243588634127,3.3367981776249,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"71","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,17,1,32,19.6349540849362,0.937350804100941,2.18355,11.8639988177023,2.04675234829461,3.03151,16.4351976093549,2.84158833614005,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"72","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,18,1.3,34,25.5254403104171,0.930626453887481,2.43493,10.2503299354021,2.26601027136425,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"73","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,19,1,36,19.6349540849362,0.82513307288198,2.16379,13.3555329924173,1.7854146917713,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"74","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,20,1.3,38,25.5254403104171,0.890598544963104,1.60076,7.04159430464719,1.42563452683514,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"75","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,21,0.9,40,17.6714586764426,0.978727354468835,2.58487,14.9452980363724,2.52988297674586,NA,NA,NA,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"76","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",-0.69,22,1.2,42,23.5619449019235,1.35052306303468,3.6839,11.5769642326832,4.97519191191346,3.79362,12.3554867406224,5.12337130238962,"muddy. Mud switches to pepple and sand and gravel then gravel high","one small stream"
"77","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,1,1,0,19.6349540849362,1.02561991807507,2.09046,10.3806733538584,2.14401741393921,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"78","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,2,1,2,19.6349540849362,1.06407226162189,2.21935,10.6224521981275,2.36154877383054,2.2717,11.0689527982275,2.41725295672644,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"79","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,3,0.9,4,17.6714586764426,1.07958263940216,1.98055,10.3814381113126,2.13816739646794,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"80","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,4,1,6,19.6349540849362,1.01174822788309,1.8826,9.47666900068108,1.9047172138127,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"81","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,5,0.9,8,17.6714586764426,1.21022890026107,1.98242,9.26948810254688,2.39918197645554,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"82","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,6,1,10,19.6349540849362,1.2983238916539,2.32563,9.12279008791986,3.01942099214705,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"83","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,7,0.9,12,17.6714586764426,1.35457691627406,2.17123,9.07046937108745,2.94109803792172,2.26972,9.65184436756036,3.07451031840555,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"84","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,8,0.9,14,17.6714586764426,1.25295316053996,2.22957,10.0696384302606,2.79354677814508,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"85","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,9,0.9,16,17.6714586764426,1.33052627010037,2.14662,9.12975909671263,2.85613430192286,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"86","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,10,0.9,18,17.6714586764426,1.28506765716363,2.35398,10.3658370110203,3.02502356361004,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"87","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,11,0.9,20,17.6714586764426,1.37988835253915,2.21127,9.06829053043228,3.05130571731925,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"88","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,12,0.9,22,17.6714586764426,1.62206587044292,1.91669,6.68668694510622,3.10899743321925,2.39897000000001,8.40108154333897,3.89128736121647,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"89","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,13,0.8,24,15.707963267949,1.29917989059982,1.97762,9.69066719196452,2.56928413524803,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"90","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,14,0.9,26,17.6714586764426,1.18228100931201,1.77086,8.47600326047989,2.09365414815026,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"91","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,15,0.9,28,17.6714586764426,1.39747490301527,2.20768,8.93963334091909,3.08517739388876,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
"92","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",-0.71,16,0.9,30,17.6714586764426,1.47075351706235,2.01786,7.76387860729902,2.96777469193945,NA,NA,NA,"fine sand/mud. Lots of clam shells","stream near one end of transect"
