site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,taxon,fork_length,unmeasured,sex
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,36,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,41,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,54,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,34,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,55,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,55,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,63,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,41,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,58,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,38,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,54,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,41,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,NA,45,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,55,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,27,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,35,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,26,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,33,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,29,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,29,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,28,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,32,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,47,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,46,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,66,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,42,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,52,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,50,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,49,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,64,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,62,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,64,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,50,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,71,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,55,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,52,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,52,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,63,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,60,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,38,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,60,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,48,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,46,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,53,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,61,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,67,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,50,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,46,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,62,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,49,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,49,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,62,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,NA,15,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,45,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,44,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,35,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,39,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,65,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,43,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,37,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pink salmon,Oncorhynchus gorbuscha,SALPINK,Vertebrata,52,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile flatfish,Pleuronectidae,UNFLAT,Vertebrata,15,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,52,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,Vertebrata,100,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,Vertebrata,144,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,Vertebrata,103,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,Vertebrata,90,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,Vertebrata,103,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,26,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,22,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,84,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,32,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Buffalo sculpin,Enophrys bison,SCULBUF,Vertebrata,24,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,43,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,54,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,43,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,47,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,57,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,37,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,35,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,27,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,57,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,65,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,119,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,84,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,37,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,42,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,43,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,33,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,36,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,39,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,Vertebrata,42,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,53,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,68,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,38,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,54,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,50,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Starry flounder,Platichthys stellatus,FLOUNST,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Rock sole,Lepidopsetta spp.,SOLEROC,Vertebrata,150,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,32,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,23,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,27,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,29,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Whitespotted greenling,Hexagrammos stelleri,GREENWHI,Vertebrata,62,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Whitespotted greenling,Hexagrammos stelleri,GREENWHI,Vertebrata,69,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Whitespotted greenling,Hexagrammos stelleri,GREENWHI,Vertebrata,60,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Chum salmon,Oncorhynchus keta,SALCHUM,Vertebrata,71,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,24,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,23,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,17,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,26,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,29,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,27,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,16,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile sculpin,Cottidae,UNSCUL,Vertebrata,22,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile flatfish,Pleuronectidae,UNFLAT,Vertebrata,30,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,122,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,112,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,92,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,95,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,99,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,107,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,133,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,104,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,96,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,98,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,107,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,104,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,98,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,99,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,106,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,96,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,101,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,97,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,104,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,66,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,112,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,103,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,112,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,98,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,105,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Pacific sand lance,Ammodytes personatus,SANDLNCP,Vertebrata,NA,2859,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Juvenile Sculpin,Cottidae,UNSCUL,Vertebrata,NA,3,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Hermit crab,Pagurus spp.,CRABHER,Decapoda,NA,2,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,32,,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,34,,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,57,,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,35,,
2017_H_02,5/15/2017,20170517,1010,1020,gentle,-0.15,1012,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,36,,
