site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,tidalheight_ft_MLLW,layer_number,layer_starting_depth_cm,layer_depths_cm,layer_thickness_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density,sediment_description,freshwater_input
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,16,30,"31,32",1.5,29.45243113,1.413656816,1.38593,3.437333209,1.95922939,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,17,32,"33,34",1.5,29.45243113,1.566536555,1.19275,2.668249011,1.868486476,1.14025,2.619598063,1.786243307,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,18,34,"35,36",1.4,27.48893572,1.527054755,0.95156,2.351000675,1.453084223,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,19,36,"37,38",1.4,27.48893572,1.424928575,1.10317,2.906730719,1.571938456,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,20,38,"39,40",1.5,29.45243113,1.526191838,1.13711,2.619058313,1.735448001,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,21,40,"41,42",1.5,29.45243113,1.742338002,1.31716,2.649012483,2.294937923,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,1,0,"1,2",1.1,21.59844949,0.508992092,0.53322,5.390329311,0.271404764,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,2,2,"3,4",1.2,23.5619449,0.614614373,1.51952,10.55599012,0.933918833,0.92765,9.906800359,0.570147023,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,3,4,"5,6",1.1,21.59844949,0.572570267,0.73787,6.67535762,0.422482423,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,4,6,"7,8",1.2,23.5619449,0.67899276,0.80069,5.37057209,0.543662713,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,5,8,"9,10",1,19.63495408,0.703194922,0.63878,5.005975541,0.449186852,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,6,10,"11,12",1.1,21.59844949,0.763688616,0.67811,4.434482646,0.517864887,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,7,12,"13,14",1.2,23.5619449,0.812925677,0.75977,4.310199089,0.617636541,1.23537,8.442460168,1.004263993,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,8,14,"15,16",1.3,25.52544031,0.886814869,0.88933,4.18184118,0.788671067,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,9,16,"17,18",1.2,23.5619449,0.849489721,0.97152,5.192756054,0.825296254,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,10,18,"19,20",1.2,23.5619449,0.750768668,0.82563,5.053480109,0.619857136,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,11,20,"21,22",1.1,21.59844949,0.877214358,0.92928,5.283118841,0.815177758,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,12,22,"23,24",1,19.63495408,0.8055644,0.61594,4.328451873,0.496179336,0.74783,4.483844896,0.602425225,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,13,24,"25,26",1.2,23.5619449,0.942127659,-0.09027,-0.449395579,-0.085045864,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,14,26,"27,28",1.1,21.59844949,1.217618885,0.5653,2.291876306,0.688319956,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,15,28,"29,30",1.1,21.59844949,1.041593287,0.60211,2.828289376,0.627153734,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,16,30,"31,32",1.1,21.59844949,1.122699572,0.65872,2.921747708,0.739544662,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,17,32,"33,34",1,19.63495408,0.891820267,0.56114,3.519279712,0.500436025,0.76653,3.49617306,0.683606989,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,18,34,"35,36",1,19.63495408,0.935691518,0.70629,4.119882521,0.660869562,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,19,36,"37,38",1,19.63495408,0.960631735,0.66934,3.779463713,0.642989245,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,20,38,"39,40",1,19.63495408,0.863460639,0.7538,4.759234987,0.65087663,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,21,40,"41,42",1.1,21.59844949,0.84323553,0.81214,4.719332388,0.684825303,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,22,42,"43,44",1.1,21.59844949,0.900150726,0.96053,5.238792579,0.864621777,1.20952,7.361261235,1.088750307,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,23,44,"45,46",1.2,23.5619449,0.93549111,0.74419,3.646520863,0.696183129,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,24,46,"47,48",1.1,21.59844949,0.940840684,0.68281,3.593044708,0.642415428,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,25,48,"49,50",0.9,17.67145868,0.893031542,0.88451,6.116791007,0.78989533,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,26,50,"51,52",1.1,21.59844949,0.909937077,1.18704,6.44004477,1.080131708,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,27,52,"53,54",1.1,21.59844949,1.097205149,0.94724,4.301067457,1.039316606,0.48782,2.824958218,0.535238616,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,28,54,"55,56",1.1,21.59844949,1.156386249,1.00847,4.330981893,1.166180841,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,29,56,"57,58",1.2,23.5619449,0.905398518,1.13497,5.722925435,1.027600156,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,30,58,"59,60",1.1,21.59844949,0.977817876,1.32533,6.709634763,1.295931365,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,31,60,"61,62",1.1,21.59844949,0.766410571,1.15378,7.580528912,0.884269188,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,32,62,"63,64",1.3,25.52544031,0.638908078,1.0548,7.032117202,0.67392024,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,33,64,"65,66",1.1,21.59844949,0.803864648,1.0213,6.412268762,0.820986965,0.43786,3.109529494,0.351980175,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_03,Chusini Cove,55.80692,-133.171,6/25/2017,-1.1,34,66,"67,68",1.3,25.52544031,0.358915258,0.49849,6.131918228,0.178915667,NA,NA,NA,*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high,1 small stream bed mid bay
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,1,0,"1,2",1.3,25.52544031,1.193240925,1.17248,4.028513774,1.399051119,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,2,2,"3,4",1.3,25.52544031,0.71692632,0.62969,3.760903778,0.451441335,1.02324,6.348934523,0.733587688,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,3,4,"5,6",1.3,25.52544031,0.474077229,0.46691,4.375073205,0.221351399,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,4,6,"7,8",1.2,23.5619449,0.863257685,0.78611,4.133894188,0.678615498,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,5,8,"9,10",1.2,23.5619449,0.934123651,0.7621,3.672597632,0.711895635,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,6,10,"11,12",1.3,25.52544031,0.956002314,0.90898,3.975902613,0.868986983,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,7,12,"13,14",1.2,23.5619449,1.036591848,0.83496,3.633842574,0.865512729,0.79156,3.574507363,0.820524643,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,8,14,"15,16",1.2,23.5619449,1.069457131,0.87812,3.662790673,0.939111696,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,9,16,"17,18",1.2,23.5619449,1.128411093,0.9595,3.83746122,1.082710444,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,10,18,"19,20",1.2,23.5619449,1.031336339,0.95358,4.178375141,0.983461706,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,11,20,"21,22",1.3,25.52544031,1.218172914,0.07307,0.24608593,0.089011895,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,12,22,"23,24",1.4,27.48893572,1.198539308,1.14938,3.65524819,1.37757711,1.77088,5.846371637,2.12246929,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,13,24,"25,26",1.2,23.5619449,1.259499592,0.93655,3.338625893,1.179584343,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,14,26,"27,28",1.2,23.5619449,1.255327186,0.96486,3.424509488,1.211214989,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,15,28,"29,30",1.3,25.52544031,1.26312493,1.06753,3.490561688,1.348423756,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,16,30,"31,32",1.3,25.52544031,1.213959079,0.93429,3.178702635,1.134189828,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,17,32,"33,34",1.2,23.5619449,0.928200965,0.84973,4.196135366,0.788720206,0.3189922,1.709788498,0.296088868,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,18,34,"35,36",1.2,23.5619449,0.847127437,0.85201,4.586491219,0.721761048,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,19,36,"37,38",1.4,27.48893572,0.327025393,0.29352,3.924116633,0.095988493,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,20,38,"39,40",1.2,23.5619449,0.787318283,0.39585,2.324274622,0.311659942,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,21,40,"41,42",1.4,27.48893572,1.099315387,0.87583,3.040602351,0.962813395,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,22,42,"43,44",1.4,27.48893572,1.030263241,0.85396,3.174910046,0.879803597,3.00136,11.52739435,3.09219088,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,23,44,"45,46",1.4,27.48893572,1.382148818,1.01735,2.777419079,1.4061291,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,24,46,"47,48",1.4,27.48893572,1.08323037,0.76862,2.729925218,0.832592527,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,25,48,"49,50",1.3,25.52544031,1.274953521,0.98449,3.175895082,1.255178992,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,26,50,"51,52",1.2,23.5619449,1.1951437,0.8368,3.162791541,1.000096248,NA,NA,NA,sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble,2 small streams
