site,date_YYYYMMDD,quadrat_no,pad_no,pad_mass_g,pad_epiphyte_mass_g,shoot_mass_fw,shoot_foil,shoot_foil_dw,ido_mass_fw,ido_foil,ido_foil_dw,caprel_mass_fw,caprel_foil,caprel_foil_dw,limp_fw,limp_foil,limp_foil_dw,amp_mass_fw,amp_foil,amp_foil_dw,gastro_mass_fw,gastro_foil,gastro_foil_dw,other_animal_notes
Nossuk-photographers point,20180804,2,2,0.52917,0.56153,16.75109,3.27769,7.54064,0.00113,0.50544,0.50656,,,,,,,,,,,,,1 shrimp
Nossuk-photographers point,20180804,3,3,0.55308,0.60783,37.86245,3.37484,30.35605,0.0023,0.46497,0.46637,,,,0.00889,0.47908,0.48612,0.00007,0.46128,0.46156,,,,4 shrimp
Nossuk-photographers point,20180804,4,4,0.5311,0.55613,103.9513,4.24062,88.6694,0.44478,0.40443,0.50054,,,,0.0252,0.40542,0.41295,0.00087,0.4842,0.48387,,,,
Nossuk-photographers point,20180804,5,5,0.5034,0.50938,44.2094,3.09518,35.08054,0.47642,0.48029,0.60294,,,,,,,0.0061,0.49912,0.49943,,,,
Nossuk-photographers point,20180804,6,6,0.47922,0.48283,24.80086,4.16643,8.34973,0.16528,0.32756,0.37938,,,,,,,0.0013,0.34038,0.34037,,,,5 shrimp
Nossuk-photographers point,20180804,7,7,0.49128,0.49883,45.81345,3.04365,18.09048,0.34066,0.29678,0.37513,,,,0.01787,0.37171,0.37811,,,,,,,
Nossuk-photographers point,20180804,8,8,0.49875,0.50273,17.71142,3.31351,10.97664,0.00305,0.38541,0.38621,,,,,,,,,,,,,
Nossuk-photographers point,20180804,9,9,0.49209,0.50523,51.41245,3.13808,30.41797,0.31576,0.37108,0.44541,,,,,,,0.00097,0.37841,0.37799,,,,
Nossuk-photographers point,20180804,10,10,0.48968,0.51367,55.98516,3.38889,12.71767,0.0169,0.36548,0.36827,,,,0.00007,0.40442,0.40401,0.00154,0.57821,0.57803,,,,telemisis (1)
Nossuk-photographers point,20180804,11,11,0.48179,0.48848,6.11584,3.29112,4.40812,0.00894,0.56193,,,,,,,,0.00059,0.53233,0.53193,,,,
Nossuk-photographers point,20180804,12,12,0.50228,0.51196,26.80916,3.32525,16.40793,0.00695,0.48555,0.48672,0.00006,0.53922,0.53897,,,,0.1067,0.50755,0.50846,0.01197,0.41481,0.42183,
North Fish Egg,20180802,1,32,0.59228,0.6149,10.84326,3.10448,5.28391,0.09196,0.45421,0.47251,0.00076,0.43809,0.4388,,,,,,,0.00689,0.44198,0.4443," 1 crab, 1 shrimp"
North Fish Egg,20180802,2,33,0.65678,0.69871,9.32209,3.04371,5.02086,0.05006,0.39862,0.40713,0.00038,0.40983,0.40965,,,,0.00243,0.40696,0.40716,0.00315,0.41496,0.41658,
North Fish Egg,20180802,3,34,0.59109,0.63206,8.05017,3.4742,4.78003,0.05293,0.43958,0.44876,,,,,,,0.00031,0.38436,0.38391,0.00453,0.51283,0.51528,3 shrimp
North Fish Egg,20180802,4,35,0.53983,0.59214,20.36408,3.50563,6.63641,0.01651,0.5032,0.50705,,,,0.06177,0.52336,0.54272,0.00156,0.61274,0.61244,0.00198,0.50916,0.51019,"4 shrimp, 1 crab"
North Fish Egg,20180802,5,36,0.59969,0.62676,14.59846,2.58634,4.98911,0.01166,0.47434,0.47661,,,,,,,0.00671,0.49774,0.49762,0.0101,0.47739,0.48146,
North Fish Egg,20180802,6,37,0.54809,0.55664,6.04982,2.49935,3.49744,0.26908,0.45373,0.48952,,,,,,,,,,0.00024,0.41261,0.41263,1 dock shrimp
North Fish Egg,20180802,7,38,0.63278,0.65096,9.36759,2.87745,4.36213,0.03234,0.46508,0.47071,,,,0.00016,0.55158,0.55115,,,,0.00831,0.46541,0.46762,
North Fish Egg,20180802,8,39,0.51887,0.57012,11.07638,2.90063,5.17157,0.06423,0.43123,0.44235,,,,,,,0.00087,0.40466,0.4046,0.00933,0.52851,0.53306,"1 dock shrimp, 1 shrimp"
North Fish Egg,20180802,9,40,0.62096,0.63495,7.00086,2.6602,3.9192,0.02468,0.49407,0.50055,,,,,,,,,,0.00054,0.5437,0.54384,
North Fish Egg,20180802,10,41,0.46197,0.48236,8.56088,2.7436,4.58985,0.07261,0.42747,0.44354,,,,,,,,,,0.01018,0.34579,0.35173,
North Fish Egg,20180802,11,42,0.48779,0.50216,14.77636,2.95325,6.26878,0.04004,0.39114,0.39891,,,,,,,,,,0.02207,0.49733,0.51122,
North Fish Egg,20180802,12,43,0.51039,0.53036,5.66948,2.99515,4.17872,0.01716,0.45904,0.46337,,,,,,,,,,0.0078,0.50537,0.50864,2 shrimp
North Fish Egg,20180627,1,1,0.6122,0.64361,6.371,1.2474,2.4422,,,,0.0129,0.8477,0.84975,,,,0.002,0.7625,0.76218,0.1435,0.8559,0.90934,1 clam
North Fish Egg,20180627,2,3,0.5582,0.52138,19.1435,2.6838,6.02239,0.4375,0.8899,0.99148,0.0152,1.0311,1.03228,0.0097,0.7143,0.71616,0.0062,0.6736,0.67487,0.0368,0.7335,0.75032,"2 telemsus, 2 shrimp"
North Fish Egg,20180627,3,2,0.4959,0.59218,7.2015,1.5584,2.73261,0.0028,0.6456,0.64608,0.0177,0.7006,0.70279,,,,0.0005,0.6067,0.6066,0.0214,0.8009,0.81283,1 clam
North Fish Egg,20180627,4,4,0.5618,0.58056,20.3334,1.8745,4.70593,0.5197,0.6384,0.73909,0.0007,0.4129,0.41291,0.0387,0.7758,0.78852,0.0066,0.4545,0.4552,0.0037,0.6052,0.60767,1 shrimp
North Fish Egg,20180627,5,5,0.561,0.56819,5.314,2.3332,3.15945,0.2741,0.6729,0.73325,0.00385,0.5576,0.55779,0.0031,0.5718,0.57199,0.00625,0.5863,0.58595,0.00779,0.6507,0.65454,
North Fish Egg,20180627,6,6,0.5235,0.54238,13.511,2.373,4.89874,0.00505,1.0272,1.02809,0.00965,1.283,1.29804,0.01229,1.01545,1.02647,0.00113,1.36686,1.36615,0.00136,0.92283,0.92318,3 shrimp
North Fish Egg,20180627,7,7,0.5008,0.51069,18,2.3325,4.8151,,,,,,,0.0177,0.2634,0.27141,0.0086,0.2733,0.28048,0.2578,0.3132,0.33728,"1 crab, 1 shrimp"
North Fish Egg,20180627,8,8,0.5904,0.59319,15.6076,2.2547,4.51268,,,,0.0203,0.2597,0.26065,0.0328,0.3639,0.36974,0.0029,0.1984,0.19822,0.1217,0.2614,0.29371,"4 shrimp, 1 crab"
North Fish Egg,20180627,9,9,0.5178,0.52615,17.5538,2.2248,4.4995,0.0093,0.1776,0.17872,0.0045,0.1831,0.18318,0.0204,0.1787,0.18296,,,,0.0543,0.1818,0.19997,
North Fish Egg,20180627,10,10,0.5683,0.57069,5.9281,2.5212,3.50268,0.459,0.1795,0.24383,0.0364,0.1854,0.18641,0.1235,0.2092,0.23074,0.0122,0.2049,0.2049,0.1464,0.1785,0.2218,
North Fish Egg,20180627,11,11,0.546,0.54878,8.70511,2.407,3.72868,0.02,0.238,0.23853,0.0252,0.2194,0.22052,,,,0.0097,0.2299,0.23019,0.0536,0.2468,0.26126,
North Fish Egg,20180627,12,12,0.5435,0.58439,14.419,2.0205,5.1293,0.0857,0.2621,0.27291,0.0336,0.2431,0.24352,,,,0.0065,0.1709,0.17112,0.1243,0.2288,0.26745,"1 barnacle, 1 shrimp, 1 crab"
