site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,Sex,Notes:
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,52,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,51,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,118,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,48,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,90,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,48,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,42,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,110,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,46,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,96,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,98,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,92,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,93,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,103,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,102,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,49,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,88,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,46,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,120,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,48,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,92,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,98,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,56,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,93,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,96,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,55,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,52,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,47,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,49,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,46,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,49,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,85,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,135,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,94,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,95,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,134,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,118,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,111,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,103,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,55,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,85,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,97,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,95,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,94,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,,99,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,,5,,SMALL Shiner
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,102,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,113,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,110,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,200,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,165,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,168,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,243,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,110,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,162,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,231,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,156,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,128,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,103,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,110,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,109,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,178,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,172,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,185,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,118,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,108,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,109,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,98,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,153,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,111,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,113,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Snake prickleback,Lumpenus sagitta,PRICKSN,,5,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,253,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,255,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,212,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,290,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,272,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,,263,,counts for small
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,24,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,16,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,18,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,19,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,27,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,23,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,28,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,28,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,18,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,23,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,29,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,27,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,
