Data_Events_SiteID,site_eventID,date,Location,SubLocale,habitat,latitude,longitude,year
180,269,7/15/00,Prince of Wales Island,,eelgrass,56.25,-133.08,NA
181,270,7/15/00,Prince of Wales Island,,kelp,56.24,-133.07,NA
182,271,7/15/00,Prince of Wales Island,,kelp,56.23,-133.07,NA
137,272,4/17/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
138,273,4/17/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
137,274,5/13/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
138,275,5/13/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
137,276,6/10/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
138,277,6/10/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
137,278,9/9/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
138,279,9/9/98,Prince of Wales Island,False Island,eelgrass,55.49,-133.14,NA
171,280,6/1/00,Stephens Passage,,kelp,57.12,-133.21,NA
172,281,6/1/00,Stephens Passage,,kelp,57.11,-133.21,NA
139,282,4/16/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
140,283,4/16/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
139,284,5/14/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
140,285,5/14/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
139,286,6/9/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
140,287,6/9/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
139,288,9/8/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
140,289,9/8/98,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
97,290,8/13/98,Admiralty Island,,sand-gravel,58.25,-134.91,NA
98,291,8/13/98,Admiralty Island,,sand-gravel,58.25,-134.91,NA
101,292,8/13/98,Admiralty Island,,eelgrass,58.26,-134.91,NA
102,293,8/13/98,Admiralty Island,,eelgrass,58.26,-134.91,NA
93,294,8/12/99,Admiralty Island,,eelgrass,58.26,-134.91,NA
94,295,8/12/99,Admiralty Island,,eelgrass,58.26,-134.9,NA
99,296,8/12/99,Admiralty Island,,kelp,58.25,-134.9,NA
100,297,8/12/99,Admiralty Island,,kelp,58.26,-134.89,NA
173,298,5/31/00,Stephens Passage,,kelp,57.42,-133.45,NA
174,299,5/31/00,Stephens Passage,,kelp,57.42,-133.45,NA
168,300,8/18/00,Kupreanof Island,,eelgrass,56.52,-133.1,NA
169,301,8/18/00,Kupreanof Island,,eelgrass,56.52,-133.1,NA
170,302,8/18/00,Kupreanof Island,,kelp,56.51,-133.13,NA
341,303,8/18/00,Kupreanof Island,,kelp,56.52,-133.12,NA
189,304,8/7/98,Baranof Island,,eelgrass,57.19,-135.35,NA
190,305,8/7/98,Baranof Island,,eelgrass,57.16,-135.31,NA
195,306,8/7/98,Baranof Island,,sand-gravel,57.16,-135.34,NA
196,307,8/7/98,Baranof Island,,sand-gravel,57.16,-135.34,NA
191,308,8/9/99,Baranof Island,,eelgrass,57.16,-135.31,NA
192,309,8/9/99,Baranof Island,,eelgrass,57.16,-135.31,NA
193,310,8/9/99,Baranof Island,,kelp,57.16,-135.32,NA
194,311,8/9/99,Baranof Island,,kelp,57.16,-135.32,NA
117,312,6/3/00,Baranof Island,,kelp,57.27,-134.87,NA
118,313,6/3/00,Baranof Island,,kelp,57.27,-134.89,NA
197,314,8/10/99,Sitka Sound,,eelgrass,57.09,-135.45,NA
198,315,8/10/99,Sitka Sound,,eelgrass,57.09,-135.45,NA
199,316,8/10/99,Sitka Sound,,kelp,57.09,-135.45,NA
200,317,8/10/99,Baranof Island,,kelp,56.99,-135.37,NA
237,318,8/15/99,Yakobi Island,Mite Cove,kelp,58.07,-136.45,NA
238,319,8/15/99,Yakobi Island,Mite Cove,kelp,58.08,-136.46,NA
203,320,8/9/98,Baranof Island,,eelgrass,57.2,-135.38,NA
204,321,8/9/98,Baranof Island,,eelgrass,57.2,-135.39,NA
205,322,8/9/98,Baranof Island,,sand-gravel,57.19,-135.39,NA
206,323,8/9/98,Baranof Island,,sand-gravel,57.19,-135.39,NA
119,324,8/13/99,Chichagof Island,Port Frederick,eelgrass,58.05,-135.67,NA
120,325,8/13/99,Chichagof Island,Port Frederick,eelgrass,58.05,-135.67,NA
121,326,8/13/99,Chichagof Island,Port Frederick,kelp,58.03,-135.64,NA
122,327,8/13/99,Chichagof Island,Port Frederick,kelp,58.05,-135.65,NA
147,328,8/17/00,Etolin Island,Olive Cove,eelgrass,56.19,-132.32,NA
148,329,8/17/00,Etolin Island,Olive Cove,eelgrass,56.19,-132.3,NA
149,330,8/17/00,Etolin Island,Anita Bay,kelp,56.23,-132.38,NA
150,331,8/17/00,Etolin Island,Anita Bay,kelp,56.22,-132.38,NA
210,332,8/11/99,Baranof Island,,eelgrass,56.99,-135.38,NA
211,333,8/11/99,Baranof Island,,kelp,56.99,-135.37,NA
212,334,8/11/99,Baranof Island,,eelgrass,56.98,-135.32,NA
213,335,8/11/99,Baranof Island,,kelp,56.98,-135.32,NA
123,336,8/14/99,Chichagof Island,,eelgrass,58.11,-136.28,NA
124,337,8/14/99,Chichagof Island,,eelgrass,58.11,-136.28,NA
125,338,8/14/99,Chichagof Island,,kelp,58.16,-136.31,NA
126,339,8/14/99,Chichagof Island,,kelp,58.13,-136.3,NA
166,340,6/2/00,Kuiu Island,,kelp,56.65,-133.96,NA
167,341,6/2/00,Kuiu Island,,kelp,56.72,-133.95,NA
111,342,7/12/00,Baranof Island,Ship Cove,kelp,56.25,-134.67,NA
112,343,7/12/00,Baranof Island,Ship Cove,kelp,56.26,-134.66,NA
103,344,6/4/00,Admiralty Island,,eelgrass,57.38,-134.18,NA
104,345,6/4/00,Admiralty Island,,eelgrass,57.39,-134.18,NA
105,346,6/4/00,Admiralty Island,,kelp,57.37,-134.14,NA
106,347,6/4/00,Admiralty Island,,kelp,57.34,-134.12,NA
107,348,7/16/99,Baker Island,,eelgrass,55.37,-133.59,NA
108,349,7/16/99,Baker Island,,eelgrass,55.36,-133.59,NA
109,350,7/16/99,Baker Island,,kelp,55.36,-133.59,NA
110,351,7/16/99,Baker Island,,kelp,55.36,-133.59,NA
217,352,8/12/99,Baranof Island,,eelgrass,56.98,-135.31,NA
218,353,8/12/99,Baranof Island,,kelp,56.98,-135.31,NA
219,354,8/12/99,Sitka Sound,,eelgrass,57.09,-135.45,NA
141,356,4/15/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
142,357,4/15/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
141,358,5/13/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
142,359,5/13/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
141,360,6/12/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
142,361,6/12/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
141,362,9/7/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
142,363,9/7/98,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
141,364,7/15/99,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
142,365,7/15/99,Prince of Wales Island,,eelgrass,55.54,-133.11,NA
143,366,4/15/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
144,367,4/15/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
143,368,5/13/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
144,369,5/13/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
143,370,6/10/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
144,371,6/10/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
143,372,9/7/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
144,373,9/7/98,Prince of Wales Island,,sand-gravel,55.51,-133.13,NA
183,374,7/14/00,Prince of Wales Island,Shakan Bay,kelp,56.15,-133.54,NA
184,375,7/14/00,Prince of Wales Island,Shakan Bay,kelp,56.15,-133.54,NA
127,376,8/11/98,Chichagof Island,,eelgrass,57.53,-134.98,NA
128,377,8/11/98,Chichagof Island,,eelgrass,57.53,-134.98,NA
129,378,8/11/98,Chichagof Island,,sand-gravel,57.53,-134.97,NA
130,379,8/11/98,Chichagof Island,,sand-gravel,57.53,-134.97,NA
239,380,8/15/99,Yakobi Island,Soapstone Cove,kelp,58.1,-136.49,NA
240,381,8/15/99,Yakobi Island,Soapstone Cove,kelp,58.1,-136.5,NA
175,382,7/5/00,Lynn Canal,,eelgrass,58.61,-135.21,NA
176,383,7/5/00,Lynn Canal,,eelgrass,58.57,-135.18,NA
221,384,8/1/98,Baranof Island,,eelgrass,57.28,-135.55,NA
222,385,8/1/98,Baranof Island,,eelgrass,57.28,-135.55,NA
223,386,8/1/98,Baranof Island,,sand-gravel,57.29,-135.56,NA
224,387,8/1/98,Baranof Island,,sand-gravel,57.28,-135.56,NA
151,388,7/16/00,Etolin Island,,eelgrass,56.16,-132.7,NA
152,389,7/16/00,Etolin Island,,eelgrass,56.15,-132.69,NA
153,390,7/16/00,Etolin Island,,kelp,56.16,-132.7,NA
154,391,7/16/00,Etolin Island,,kelp,56.16,-132.71,NA
233,392,8/12/98,Chichagof Island,,eelgrass,57.78,-135.19,NA
234,393,8/12/98,Chichagof Island,,eelgrass,57.78,-135.19,NA
235,394,8/12/98,Chichagof Island,,sand-gravel,57.78,-135.18,NA
236,395,8/12/98,Chichagof Island,,sand-gravel,57.78,-135.18,NA
145,396,5/15/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
145,397,6/10/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
145,398,9/8/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
146,399,5/15/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
146,400,6/10/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
146,401,9/8/98,Prince of Wales Island,,kelp,55.51,-133.13,NA
146,402,7/15/99,Prince of Wales Island,,kelp,55.51,-133.13,NA
145,403,7/15/99,Prince of Wales Island,,kelp,55.51,-133.13,NA
185,404,8/15/00,Prince of Wales Island,,eelgrass,55.42,-132.69,NA
186,405,8/15/00,Prince of Wales Island,,eelgrass,55.43,-132.66,NA
187,406,8/15/00,Prince of Wales Island,,kelp,55.43,-132.66,NA
188,407,8/15/00,Prince of Wales Island,,kelp,55.45,-132.65,NA
227,408,8/10/98,Chichagof Island,,eelgrass,57.57,-135.65,NA
228,409,8/10/98,Chichagof Island,,eelgrass,57.56,-135.66,NA
229,410,8/10/98,Chichagof Island,,sand-gravel,57.56,-135.66,NA
230,411,8/10/98,Chichagof Island,,sand-gravel,57.56,-135.66,NA
155,412,7/17/99,Heceta Island,,eelgrass,55.77,-133.54,NA
156,413,7/17/99,Heceta Island,,eelgrass,55.78,-133.53,NA
157,414,7/17/99,Heceta Island,,eelgrass,55.76,-133.47,NA
158,415,7/17/99,Heceta Island,,eelgrass,55.76,-133.47,NA
159,416,7/31/99,Auke Bay,Auke Nu Cove,eelgrass,58.38,-134.69,NA
160,417,8/1/99,Lynn Canal,south Bridget Cove,eelgrass,58.63,-134.94,NA
161,418,8/1/99,Lynn Canal,south Bridget Cove,eelgrass,58.63,-134.95,NA
1,433,3/22/03,Lynn Canal,North Island,kelp,58.58,-134.93,NA
2,434,3/23/03,Lynn Canal,,kelp,58.57,-134.91,NA
3,435,3/22/03,Lynn Canal,,kelp,58.56,-134.9,NA
4,436,3/23/03,Lynn Canal,,sand-gravel,58.56,-134.91,NA
5,437,3/22/03,Lynn Canal,,bedrock,58.56,-134.9,NA
8,438,3/22/03,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
9,439,3/22/03,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
10,440,3/22/03,Lynn Canal,,sand-gravel,58.55,-134.91,NA
11,441,3/22/03,Lynn Canal,,sand-gravel,58.55,-134.9,NA
12,442,3/22/03,Lynn Canal,Sentinel Island,bedrock,58.54,-134.92,NA
13,443,3/22/03,Lynn Canal,Sentinel Island,bedrock,58.55,-134.93,NA
14,444,3/22/03,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
15,445,3/22/03,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
23,460,3/17/03,Frederick Sound,West Brother Island,sand-gravel,57.3,-133.87,NA
24,461,3/17/03,Frederick Sound,West Brother Island,kelp,57.3,-133.86,NA
25,462,3/16/03,Frederick Sound,West Brother Island,kelp,57.31,-133.85,NA
26,463,3/16/03,Frederick Sound,East Brother Island,kelp,57.31,-133.83,NA
29,464,3/18/03,Frederick Sound,East Brother Island,kelp,57.31,-133.82,NA
30,465,3/19/03,Frederick Sound,East Brother Island,sand-gravel,57.3,-133.82,NA
31,466,3/19/03,Frederick Sound,East Brother Island,eelgrass,57.29,-133.82,NA
32,467,3/19/03,Frederick Sound,East Brother Island,kelp,57.3,-133.83,NA
33,468,3/18/03,Frederick Sound,West Brother Island,kelp,57.29,-133.86,NA
36,469,3/20/03,Frederick Sound,West Brother Island,bedrock,57.3,-133.84,NA
334,470,3/20/03,Frederick Sound,Little Brother Island,bedrock,57.29,-133.8,NA
38,471,3/18/03,Frederick Sound,West Brother Island,bedrock,57.3,-133.86,NA
39,472,3/19/03,Frederick Sound,West Brother Island,bedrock,57.28,-133.84,NA
189,566,5/2/98,Baranof Island,,eelgrass,57.19,-135.35,NA
190,567,5/2/98,Baranof Island,,eelgrass,57.16,-135.31,NA
195,568,5/2/98,Baranof Island,,sand-gravel,57.16,-135.34,NA
203,569,5/1/98,Baranof Island,,eelgrass,57.2,-135.38,NA
336,571,5/14/98,Ballena Island,Ballena Island,sand-gravel,55.48,-133.19,NA
337,572,5/14/98,Ballena Island,Ballena Island,eelgrass,55.48,-133.19,NA
338,573,5/15/98,Prince of Wales Island,Clam Island,eelgrass,55.52,-133.16,NA
221,576,4/29/98,Baranof Island,,eelgrass,57.28,-135.55,NA
223,577,4/29/98,Baranof Island,,sand-gravel,57.29,-135.56,NA
205,578,5/1/98,Baranof Island,,sand-gravel,57.19,-135.39,NA
139,579,7/15/99,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
140,580,7/15/99,Prince of Wales Island,Fish Egg Island,kelp,55.5,-133.17,NA
160,581,6/10/98,Lynn Canal,south Bridget Cove,eelgrass,58.63,-134.94,NA
160,582,6/23/98,Lynn Canal,south Bridget Cove,eelgrass,58.63,-134.94,NA
