"","Data_Events_SiteID","site_eventID","date","Location","SubLocale","habitat","latitude","longitude","year"
"42",33,"42","7/22/2001","Frederick Sound","West Brother Island","kelp",57.29,-133.86,"NA"
"43",35,"43","7/23/2001","Frederick Sound","East Brother Island","bedrock",57.3,-133.8,"NA"
"44",36,"44","7/23/2001","Frederick Sound","West Brother Island","bedrock",57.3,-133.84,"NA"
"45",23,"45","3/2/2002","Frederick Sound","West Brother Island","sand-gravel",57.3,-133.87,"NA"
"46",24,"46","2/28/2002","Frederick Sound","West Brother Island","kelp",57.3,-133.86,"NA"
"47",25,"47","2/28/2002","Frederick Sound","West Brother Island","kelp",57.31,-133.85,"NA"
"48",26,"48","2/28/2002","Frederick Sound","East Brother Island","kelp",57.31,-133.83,"NA"
"49",29,"51","3/1/2002","Frederick Sound","East Brother Island","kelp",57.31,-133.82,"NA"
"50",30,"52","3/1/2002","Frederick Sound","East Brother Island","sand-gravel",57.3,-133.82,"NA"
"51",31,"53","3/3/2002","Frederick Sound","East Brother Island","eelgrass",57.29,-133.82,"NA"
"52",32,"54","3/1/2002","Frederick Sound","East Brother Island","kelp",57.3,-133.83,"NA"
"53",33,"55","3/2/2002","Frederick Sound","West Brother Island","kelp",57.29,-133.86,"NA"
"54",35,"56","3/1/2002","Frederick Sound","East Brother Island","bedrock",57.3,-133.8,"NA"
"55",37,"57","3/1/2002","Frederick Sound","Little Brother Island","bedrock",57.3,-133.8,"NA"
"56",38,"58","3/2/2002","Frederick Sound","West Brother Island","bedrock",57.3,-133.86,"NA"
"57",39,"59","3/3/2002","Frederick Sound","West Brother Island","bedrock",57.28,-133.84,"NA"
"58",1,"60","3/25/2002","Lynn Canal","North Island","kelp",58.58,-134.93,"NA"
"59",2,"61","3/25/2002","Lynn Canal","","kelp",58.57,-134.91,"NA"
"60",3,"62","3/25/2002","Lynn Canal","","kelp",58.56,-134.9,"NA"
"61",4,"63","3/25/2002","Lynn Canal","","sand-gravel",58.56,-134.91,"NA"
"62",5,"64","3/25/2002","Lynn Canal","","bedrock",58.56,-134.9,"NA"
"63",8,"67","3/24/2002","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"64",9,"68","3/24/2002","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"65",10,"69","3/25/2002","Lynn Canal","","sand-gravel",58.55,-134.91,"NA"
"66",11,"70","3/25/2002","Lynn Canal","","sand-gravel",58.55,-134.9,"NA"
"67",12,"71","3/24/2002","Lynn Canal","Sentinel Island","bedrock",58.54,-134.92,"NA"
"68",13,"72","3/24/2002","Lynn Canal","Sentinel Island","bedrock",58.55,-134.93,"NA"
"69",14,"73","3/24/2002","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"70",15,"74","3/24/2002","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"71",23,"75","7/14/2002","Frederick Sound","West Brother Island","sand-gravel",57.3,-133.87,"NA"
"72",24,"76","7/11/2002","Frederick Sound","West Brother Island","kelp",57.3,-133.86,"NA"
"73",25,"77","7/11/2002","Frederick Sound","West Brother Island","kelp",57.31,-133.85,"NA"
"74",26,"78","7/11/2002","Frederick Sound","East Brother Island","kelp",57.31,-133.83,"NA"
"75",29,"79","7/11/2002","Frederick Sound","East Brother Island","kelp",57.31,-133.82,"NA"
"76",30,"80","7/12/2002","Frederick Sound","East Brother Island","sand-gravel",57.3,-133.82,"NA"
"77",31,"81","7/13/2002","Frederick Sound","East Brother Island","eelgrass",57.29,-133.82,"NA"
"78",32,"82","7/12/2002","Frederick Sound","East Brother Island","kelp",57.3,-133.83,"NA"
"79",33,"83","7/14/2002","Frederick Sound","West Brother Island","kelp",57.29,-133.86,"NA"
"80",35,"84","7/13/2002","Frederick Sound","East Brother Island","bedrock",57.3,-133.8,"NA"
"81",36,"85","7/13/2002","Frederick Sound","West Brother Island","bedrock",57.3,-133.84,"NA"
"82",37,"86","7/13/2002","Frederick Sound","Little Brother Island","bedrock",57.3,-133.8,"NA"
"83",38,"87","7/14/2002","Frederick Sound","West Brother Island","bedrock",57.3,-133.86,"NA"
"84",39,"88","7/12/2002","Frederick Sound","West Brother Island","bedrock",57.28,-133.84,"NA"
"85",1,"89","7/24/2002","Lynn Canal","North Island","kelp",58.58,-134.93,"NA"
"86",2,"90","7/24/2002","Lynn Canal","","kelp",58.57,-134.91,"NA"
"87",3,"91","7/24/2002","Lynn Canal","","kelp",58.56,-134.9,"NA"
"88",4,"92","7/24/2002","Lynn Canal","","sand-gravel",58.56,-134.91,"NA"
"89",5,"93","7/26/2002","Lynn Canal","","bedrock",58.56,-134.9,"NA"
"90",8,"96","7/25/2002","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"91",9,"97","7/25/2002","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"92",10,"98","7/25/2002","Lynn Canal","","sand-gravel",58.55,-134.91,"NA"
"93",11,"99","7/25/2002","Lynn Canal","","sand-gravel",58.55,-134.9,"NA"
"94",13,"101","7/26/2002","Lynn Canal","Sentinel Island","bedrock",58.55,-134.93,"NA"
"95",14,"102","7/25/2002","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"96",15,"103","7/25/2002","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"97",94,"195","6/5/2001","Admiralty Island","","eelgrass",58.26,-134.9,"NA"
"98",231,"196","6/6/2001","Chichagof Island","Crab Bay","eelgrass",57.74,-135.39,"NA"
"99",232,"197","6/6/2001","Chichagof Island","Crab Bay","eelgrass",57.74,-135.38,"NA"
"100",91,"198","6/7/2001","Admiralty Island","","eelgrass",57.31,-134.47,"NA"
"101",92,"199","6/7/2001","Admiralty Island","","eelgrass",57.31,-134.47,"NA"
"102",201,"200","6/8/2001","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"103",202,"201","6/8/2001","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"104",207,"202","6/10/2001","Baranof Island","","eelgrass",56.98,-135.37,"NA"
"105",208,"203","6/10/2001","Baranof Island","","eelgrass",56.98,-135.37,"NA"
"106",214,"204","6/9/2001","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"107",215,"205","6/9/2001","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"108",93,"207","6/13/2002","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"109",94,"208","6/13/2002","Admiralty Island","","eelgrass",58.26,-134.9,"NA"
"110",231,"209","6/12/2002","Chichagof Island","Crab Bay","eelgrass",57.74,-135.39,"NA"
"111",232,"210","6/12/2002","Chichagof Island","Crab Bay","eelgrass",57.74,-135.38,"NA"
"112",92,"211","6/11/2002","Admiralty Island","","eelgrass",57.31,-134.47,"NA"
"113",91,"212","6/11/2002","Admiralty Island","","eelgrass",57.31,-134.47,"NA"
"114",201,"213","6/10/2002","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"115",202,"214","6/10/2002","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"116",207,"215","6/8/2002","Baranof Island","","eelgrass",56.98,-135.37,"NA"
"117",209,"216","6/8/2002","Baranof Island","","eelgrass",56.99,-135.38,"NA"
"118",215,"217","6/9/2002","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"119",214,"218","6/9/2002","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"120",225,"219","8/11/2002","Chichagof Island","","eelgrass",57.56,-135.61,"NA"
"121",226,"220","8/11/2002","Chichagof Island","","eelgrass",57.57,-135.64,"NA"
"122",93,"221","2/2/2003","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"123",94,"222","2/2/2003","Admiralty Island","","eelgrass",58.26,-134.9,"NA"
"124",231,"223","1/29/2003","Chichagof Island","Crab Bay","eelgrass",57.74,-135.39,"NA"
"125",232,"224","1/29/2003","Chichagof Island","Crab Bay","eelgrass",57.74,-135.38,"NA"
"126",201,"225","1/30/2003","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"127",202,"226","1/30/2003","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"128",214,"227","1/31/2003","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"129",215,"228","1/31/2003","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"130",225,"229","2/1/2003","Chichagof Island","","eelgrass",57.56,-135.61,"NA"
"131",226,"230","2/1/2003","Chichagof Island","","eelgrass",57.57,-135.64,"NA"
"132",93,"231","6/5/2001","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"133",115,"232","8/13/2002","Chichagof Island","","eelgrass",57.76,-135.79,"NA"
"134",116,"233","8/13/2002","Chichagof Island","","eelgrass",57.74,-135.79,"NA"
"135",131,"234","4/14/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"136",132,"235","4/14/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"137",131,"236","5/12/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"138",132,"237","5/12/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"139",131,"238","6/11/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"140",132,"239","6/11/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"141",131,"240","9/7/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"142",132,"241","9/7/1998","Prince of Wales Island","","eelgrass",55.58,-133.09,"NA"
"143",133,"242","4/14/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"144",134,"243","4/14/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"145",133,"244","5/12/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"146",134,"245","5/12/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"147",133,"246","6/11/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"148",134,"247","6/11/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"149",133,"248","9/6/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"150",134,"249","9/6/1998","Prince of Wales Island","","sand-gravel",55.56,-133.1,"NA"
"151",162,"250","8/14/2000","Gravina Island","","eelgrass",55.24,-131.75,"NA"
"152",163,"251","8/14/2000","Gravina Island","","eelgrass",55.23,-131.73,"NA"
"153",164,"252","8/14/2000","Gravina Island","","kelp",55.22,-131.74,"NA"
"154",165,"253","8/14/2000","Gravina Island","","kelp",55.21,-131.73,"NA"
"155",177,"254","7/14/2000","Prince of Wales Island","Calder Bay","eelgrass",56.19,-133.52,"NA"
"156",178,"255","7/14/2000","Prince of Wales Island","Calder Bay","eelgrass",56.2,-133.52,"NA"
"157",135,"256","4/16/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"158",136,"257","4/16/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"159",135,"258","5/14/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"160",136,"259","5/14/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"161",135,"260","6/9/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"162",136,"261","6/9/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"163",135,"262","9/8/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"164",136,"263","9/8/1998","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"165",135,"264","7/15/1999","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"166",136,"265","7/15/1999","Prince of Wales Island","Cole Island","eelgrass",55.5,-133.16,"NA"
"167",113,"266","6/3/2000","Baranof Island","","eelgrass",57.24,-134.87,"NA"
"168",114,"267","6/3/2000","Baranof Island","","eelgrass",57.24,-134.88,"NA"
"169",179,"268","7/15/2000","Prince of Wales Island","","eelgrass",56.21,-133.07,"NA"
"170",180,"269","7/15/2000","Prince of Wales Island","","eelgrass",56.25,-133.08,"NA"
"171",181,"270","7/15/2000","Prince of Wales Island","","kelp",56.24,-133.07,"NA"
"172",182,"271","7/15/2000","Prince of Wales Island","","kelp",56.23,-133.07,"NA"
"173",137,"272","4/17/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"174",138,"273","4/17/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"175",137,"274","5/13/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"176",138,"275","5/13/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"177",137,"276","6/10/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"178",138,"277","6/10/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"179",137,"278","9/9/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"180",138,"279","9/9/1998","Prince of Wales Island","False Island","eelgrass",55.49,-133.14,"NA"
"181",171,"280","6/1/2000","Stephens Passage","","kelp",57.12,-133.21,"NA"
"182",172,"281","6/1/2000","Stephens Passage","","kelp",57.11,-133.21,"NA"
"183",139,"282","4/16/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"184",140,"283","4/16/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"185",139,"284","5/14/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"186",140,"285","5/14/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"187",139,"286","6/9/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"188",140,"287","6/9/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"189",139,"288","9/8/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"190",140,"289","9/8/1998","Prince of Wales Island","Fish Egg Island","kelp",55.5,-133.17,"NA"
"191",97,"290","8/13/1998","Admiralty Island","","sand-gravel",58.25,-134.91,"NA"
"192",98,"291","8/13/1998","Admiralty Island","","sand-gravel",58.25,-134.91,"NA"
"193",101,"292","8/13/1998","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"194",102,"293","8/13/1998","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"195",93,"294","8/12/1999","Admiralty Island","","eelgrass",58.26,-134.91,"NA"
"196",94,"295","8/12/1999","Admiralty Island","","eelgrass",58.26,-134.9,"NA"
"197",99,"296","8/12/1999","Admiralty Island","","kelp",58.25,-134.9,"NA"
"198",100,"297","8/12/1999","Admiralty Island","","kelp",58.26,-134.89,"NA"
"199",173,"298","5/31/2000","Stephens Passage","","kelp",57.42,-133.45,"NA"
"200",174,"299","5/31/2000","Stephens Passage","","kelp",57.42,-133.45,"NA"
"201",168,"300","8/18/2000","Kupreanof Island","","eelgrass",56.52,-133.1,"NA"
"202",169,"301","8/18/2000","Kupreanof Island","","eelgrass",56.52,-133.1,"NA"
"203",170,"302","8/18/2000","Kupreanof Island","","kelp",56.51,-133.13,"NA"
"204",341,"303","8/18/2000","Kupreanof Island","","kelp",56.52,-133.12,"NA"
"205",189,"304","8/7/1998","Baranof Island","","eelgrass",57.19,-135.35,"NA"
"206",190,"305","8/7/1998","Baranof Island","","eelgrass",57.16,-135.31,"NA"
"207",195,"306","8/7/1998","Baranof Island","","sand-gravel",57.16,-135.34,"NA"
"208",196,"307","8/7/1998","Baranof Island","","sand-gravel",57.16,-135.34,"NA"
"209",191,"308","8/9/1999","Baranof Island","","eelgrass",57.16,-135.31,"NA"
"210",192,"309","8/9/1999","Baranof Island","","eelgrass",57.16,-135.31,"NA"
"211",193,"310","8/9/1999","Baranof Island","","kelp",57.16,-135.32,"NA"
"212",194,"311","8/9/1999","Baranof Island","","kelp",57.16,-135.32,"NA"
"213",117,"312","6/3/2000","Baranof Island","","kelp",57.27,-134.87,"NA"
"214",118,"313","6/3/2000","Baranof Island","","kelp",57.27,-134.89,"NA"
"215",197,"314","8/10/1999","Sitka Sound","","eelgrass",57.09,-135.45,"NA"
"216",198,"315","8/10/1999","Sitka Sound","","eelgrass",57.09,-135.45,"NA"
"217",199,"316","8/10/1999","Sitka Sound","","kelp",57.09,-135.45,"NA"
"218",200,"317","8/10/1999","Baranof Island","","kelp",56.99,-135.37,"NA"
"219",237,"318","8/15/1999","Yakobi Island","Mite Cove","kelp",58.07,-136.45,"NA"
"220",238,"319","8/15/1999","Yakobi Island","Mite Cove","kelp",58.08,-136.46,"NA"
"221",203,"320","8/9/1998","Baranof Island","","eelgrass",57.2,-135.38,"NA"
"222",204,"321","8/9/1998","Baranof Island","","eelgrass",57.2,-135.39,"NA"
"223",205,"322","8/9/1998","Baranof Island","","sand-gravel",57.19,-135.39,"NA"
"224",206,"323","8/9/1998","Baranof Island","","sand-gravel",57.19,-135.39,"NA"
"225",119,"324","8/13/1999","Chichagof Island","Port Frederick","eelgrass",58.05,-135.67,"NA"
"226",120,"325","8/13/1999","Chichagof Island","Port Frederick","eelgrass",58.05,-135.67,"NA"
"227",121,"326","8/13/1999","Chichagof Island","Port Frederick","kelp",58.03,-135.64,"NA"
"228",122,"327","8/13/1999","Chichagof Island","Port Frederick","kelp",58.05,-135.65,"NA"
"229",147,"328","8/17/2000","Etolin Island","Olive Cove","eelgrass",56.19,-132.32,"NA"
"230",148,"329","8/17/2000","Etolin Island","Olive Cove","eelgrass",56.19,-132.3,"NA"
"231",149,"330","8/17/2000","Etolin Island","Anita Bay","kelp",56.23,-132.38,"NA"
"232",150,"331","8/17/2000","Etolin Island","Anita Bay","kelp",56.22,-132.38,"NA"
"233",210,"332","8/11/1999","Baranof Island","","eelgrass",56.99,-135.38,"NA"
"234",211,"333","8/11/1999","Baranof Island","","kelp",56.99,-135.37,"NA"
"235",212,"334","8/11/1999","Baranof Island","","eelgrass",56.98,-135.32,"NA"
"236",213,"335","8/11/1999","Baranof Island","","kelp",56.98,-135.32,"NA"
"237",123,"336","8/14/1999","Chichagof Island","","eelgrass",58.11,-136.28,"NA"
"238",124,"337","8/14/1999","Chichagof Island","","eelgrass",58.11,-136.28,"NA"
"239",125,"338","8/14/1999","Chichagof Island","","kelp",58.16,-136.31,"NA"
"240",126,"339","8/14/1999","Chichagof Island","","kelp",58.13,-136.3,"NA"
"241",166,"340","6/2/2000","Kuiu Island","","kelp",56.65,-133.96,"NA"
"242",167,"341","6/2/2000","Kuiu Island","","kelp",56.72,-133.95,"NA"
"243",111,"342","7/12/2000","Baranof Island","Ship Cove","kelp",56.25,-134.67,"NA"
"244",112,"343","7/12/2000","Baranof Island","Ship Cove","kelp",56.26,-134.66,"NA"
"245",103,"344","6/4/2000","Admiralty Island","","eelgrass",57.38,-134.18,"NA"
"246",104,"345","6/4/2000","Admiralty Island","","eelgrass",57.39,-134.18,"NA"
"247",105,"346","6/4/2000","Admiralty Island","","kelp",57.37,-134.14,"NA"
"248",106,"347","6/4/2000","Admiralty Island","","kelp",57.34,-134.12,"NA"
"249",107,"348","7/16/1999","Baker Island","","eelgrass",55.37,-133.59,"NA"
"250",108,"349","7/16/1999","Baker Island","","eelgrass",55.36,-133.59,"NA"
"251",109,"350","7/16/1999","Baker Island","","kelp",55.36,-133.59,"NA"
"252",110,"351","7/16/1999","Baker Island","","kelp",55.36,-133.59,"NA"
"253",217,"352","8/12/1999","Baranof Island","","eelgrass",56.98,-135.31,"NA"
"254",218,"353","8/12/1999","Baranof Island","","kelp",56.98,-135.31,"NA"
"255",219,"354","8/12/1999","Sitka Sound","","eelgrass",57.09,-135.45,"NA"
"256",141,"356","4/15/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"257",142,"357","4/15/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"258",141,"358","5/13/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"259",142,"359","5/13/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"260",141,"360","6/12/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"261",142,"361","6/12/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"262",141,"362","9/7/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"263",142,"363","9/7/1998","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"264",141,"364","7/15/1999","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"265",142,"365","7/15/1999","Prince of Wales Island","","eelgrass",55.54,-133.11,"NA"
"266",143,"366","4/15/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"267",144,"367","4/15/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"268",143,"368","5/13/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"269",144,"369","5/13/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"270",143,"370","6/10/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"271",144,"371","6/10/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"272",143,"372","9/7/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"273",144,"373","9/7/1998","Prince of Wales Island","","sand-gravel",55.51,-133.13,"NA"
"274",183,"374","7/14/2000","Prince of Wales Island","Shakan Bay","kelp",56.15,-133.54,"NA"
"275",184,"375","7/14/2000","Prince of Wales Island","Shakan Bay","kelp",56.15,-133.54,"NA"
"276",127,"376","8/11/1998","Chichagof Island","","eelgrass",57.53,-134.98,"NA"
"277",128,"377","8/11/1998","Chichagof Island","","eelgrass",57.53,-134.98,"NA"
"278",129,"378","8/11/1998","Chichagof Island","","sand-gravel",57.53,-134.97,"NA"
"279",130,"379","8/11/1998","Chichagof Island","","sand-gravel",57.53,-134.97,"NA"
"280",239,"380","8/15/1999","Yakobi Island","Soapstone Cove","kelp",58.1,-136.49,"NA"
"281",240,"381","8/15/1999","Yakobi Island","Soapstone Cove","kelp",58.1,-136.5,"NA"
"282",175,"382","7/5/2000","Lynn Canal","","eelgrass",58.61,-135.21,"NA"
"283",176,"383","7/5/2000","Lynn Canal","","eelgrass",58.57,-135.18,"NA"
"284",221,"384","8/1/1998","Baranof Island","","eelgrass",57.28,-135.55,"NA"
"285",222,"385","8/1/1998","Baranof Island","","eelgrass",57.28,-135.55,"NA"
"286",223,"386","8/1/1998","Baranof Island","","sand-gravel",57.29,-135.56,"NA"
"287",224,"387","8/1/1998","Baranof Island","","sand-gravel",57.28,-135.56,"NA"
"288",151,"388","7/16/2000","Etolin Island","","eelgrass",56.16,-132.7,"NA"
"289",152,"389","7/16/2000","Etolin Island","","eelgrass",56.15,-132.69,"NA"
"290",153,"390","7/16/2000","Etolin Island","","kelp",56.16,-132.7,"NA"
"291",154,"391","7/16/2000","Etolin Island","","kelp",56.16,-132.71,"NA"
"292",233,"392","8/12/1998","Chichagof Island","","eelgrass",57.78,-135.19,"NA"
"293",234,"393","8/12/1998","Chichagof Island","","eelgrass",57.78,-135.19,"NA"
"294",235,"394","8/12/1998","Chichagof Island","","sand-gravel",57.78,-135.18,"NA"
"295",236,"395","8/12/1998","Chichagof Island","","sand-gravel",57.78,-135.18,"NA"
"296",145,"396","5/15/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
"297",145,"397","6/10/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
"298",145,"398","9/8/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
"299",146,"399","5/15/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
"300",146,"400","6/10/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
"301",146,"401","9/8/1998","Prince of Wales Island","","kelp",55.51,-133.13,"NA"
