"","site","longitude","latitude","so_region1","so_region2","sed1","sed2","so_duration","pop_dens_surv_km2","dens_otter1","dens_otter2","n_pits","prop_otter_shells","sea_otter_index","date_MM.DD.YY","leaf_dw_g_m2","rhizome_dw_g_m2","leaf.rhizome","tot_biomass_dw_g_m2","date_julian","transect","dry_bulk_density","organic_carbon_percent","organic_dw_g","tot.carb.surface","diffuse_band_height_cm","beach_slope","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"11","Goat Mouth Inlet",-132.9,55.19286,"low","low","sand","sand",7,0.154,0,0,52,0.676470588235294,-0.757400458209123,2018-06-14,25.09868,21.200704,1.2108445064516,46.299384,165,"inside",1.51888765217391,0.279212097013787,0.531234000000001,4.02863507093202,4.90909090909091,0.0547055282842513,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0
"12","Goat Mouth Inlet",-132.9,55.19286,"low","low","sand","sand",7,0.154,0,0,52,0.676470588235294,-0.757400458209123,2018-06-14,25.09868,21.200704,1.2108445064516,46.299384,165,"outside",1.61590382608696,0.221523992437881,0.469708000000001,2.78751750470382,4.90909090909091,0.0547055282842513,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0
"13","Guktu Cove",-133.311306,55.740264,"high","high","mud","mud",14,2.877,5.6422569027611,15.7262905162065,94,0.282178217821782,0.921002611482791,2018-05-31,25.585576,8.35109599999999,3.08262803780669,33.936672,151,"inside",1.27679826086957,0.540701183543867,0.745421999999999,10.6408788505603,12,0.0525566729489398,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0
"14","Guktu Cove",-133.311306,55.740264,"high","high","mud","mud",14,2.877,5.6422569027611,15.7262905162065,94,0.282178217821782,0.921002611482791,2018-05-31,25.585576,8.35109599999999,3.08262803780669,33.936672,151,"outside",1.38874260869565,0.416448475373156,0.669736,7.41289520451407,12,0.0525566729489398,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0
"15","Hauti Island",-133.156399,55.865721,"high","high","sand","sand",14,2.877,1.67364016736402,2.46641708874697,134,0.482758620689655,0.4438005328512,2018-07-15,16.402856,8.34615999999999,1.96490238977301,24.749016,196,"inside",1.54607130434783,0.251649174951163,0.514158,3.44083103643549,26.5454545454545,0.121546739415638,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0
"16","Hauti Island",-133.156399,55.865721,"high","high","sand","sand",14,2.877,1.67364016736402,2.46641708874697,134,0.482758620689655,0.4438005328512,2018-07-15,16.402856,8.34615999999999,1.96490238977301,24.749016,196,"outside",1.64068347826087,0.243019353727939,0.601056,3.9213662636534,26.5454545454545,0.121546739415638,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0
"17","Kaguk Cove",-133.29047,55.733423,"high","high","mud","mud",14,2.877,5.33728687916976,16.0118606375093,27,0.474576271186441,0.873744418045893,2018-05-30,16.753224,6.90248799999999,2.50470845993107,23.655712,150,"inside",1.11833913043478,0.771363582977605,1.07543,22.4985318752524,7.5,0.0356507052786584,175.272727272727,134.181818181818,36.7272727272727,0,0,0
"18","Kaguk Cove",-133.29047,55.733423,"high","high","mud","mud",14,2.877,5.33728687916976,16.0118606375093,27,0.474576271186441,0.873744418045893,2018-05-30,16.753224,6.90248799999999,2.50470845993107,23.655712,150,"outside",1.29774086956522,0.512161507052775,0.853454000000001,11.6222703282649,7.5,0.0356507052786584,175.272727272727,134.181818181818,36.7272727272727,0,0,0
"19","Kinani",-133.250006,55.889904,"high","high","mud","mud",14,2.877,8.74159462055716,8.74159462055716,67,0.197183098591549,0.904244448532826,2018-07-14,26.125008,19.16936,1.34136727049812,45.294368,195,"inside",1.39674191304348,0.372465135544186,0.698216000000004,6.9720791446525,21.6363636363636,0.129932038002285,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364
"20","Kinani",-133.250006,55.889904,"high","high","mud","mud",14,2.877,8.74159462055716,8.74159462055716,67,0.197183098591549,0.904244448532826,2018-07-14,26.125008,19.16936,1.34136727049812,45.294368,195,"outside",1.67098139130435,0.223121304913939,0.586747999999997,3.60580431830578,21.6363636363636,0.129932038002285,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364
"21","Mushroom Island",-132.846741,55.214375,"low","low","mud","mud",7,0.154,0,0,34,0.684210526315789,-0.769188800498926,2018-06-16,25.8238,15.843608,1.77850966313288,41.667408,167,"inside",1.22620156521739,0.649073262181957,0.901486000000001,16.2590998845561,20,0.0466557248713352,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909
"22","Mushroom Island",-132.846741,55.214375,"low","low","mud","mud",7,0.154,0,0,34,0.684210526315789,-0.769188800498926,2018-06-16,25.8238,15.843608,1.77850966313288,41.667408,167,"outside",1.59353704347826,0.258350517592732,0.542480000000001,3.69642659817695,20,0.0466557248713352,328.727272727273,195.636363636364,86.1818181818182,5.09090909090909,2.54545454545455,1.09090909090909
"23","N Fish Egg Island",-133.170812,55.496472,"mid","low","sugar","sand",14,1.341,0.0645577792123951,0.193673337637185,12,0.315789473684211,-0.328766789253468,2018-06-28,27.55552,19.48264,1.39337165272221,47.03816,179,"inside",1.2690507826087,0.497950101051659,0.695537999999999,11.7936793714275,15.3636363636364,0.0161191331187502,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182
"24","N Fish Egg Island",-133.170812,55.496472,"mid","low","sugar","sand",14,1.341,0.0645577792123951,0.193673337637185,12,0.315789473684211,-0.328766789253468,2018-06-28,27.55552,19.48264,1.39337165272221,47.03816,179,"outside",1.42557356521739,0.397836183691175,0.714874,7.48428438739191,15.3636363636364,0.0161191331187502,567.636363636364,372,42.9090909090909,0,18.5454545454545,1.81818181818182
"25","Natzuhini Bay 1",-132.879147,55.247539,"low","low","sand","sand",7,0.154,0,0,46,0.586206896551724,-0.758031152515759,2018-06-15,9.972928,7.288608,1.42061277355979,17.261536,166,"inside",1.31553714782609,0.420273493881464,0.713311999999998,8.00262427786609,6.54545454545455,0.0364862581542327,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0
"26","Natzuhini Bay 1",-132.879147,55.247539,"low","low","sand","sand",7,0.154,0,0,46,0.586206896551724,-0.758031152515759,2018-06-15,9.972928,7.288608,1.42061277355979,17.261536,166,"outside",1.58274330434783,0.228362781580043,0.455617999999998,2.74329661613059,6.54545454545455,0.0364862581542327,255.272727272727,142.545454545455,56.7272727272727,2.90909090909091,2.90909090909091,0
"27","Natzuhini Bay 2",-132.837131,55.241887,"low","low","sand","sand",7,0.154,0,0,50,0.888888888888889,-0.766148368967758,2018-06-16,17.957696,14.237288,1.21897335390435,32.194984,167,"inside",1.38675704347826,0.393807608316195,0.697497999999999,7.50712321233866,19.7272727272727,0.104547880041982,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364
"28","Natzuhini Bay 2",-132.837131,55.241887,"low","low","sand","sand",7,0.154,0,0,50,0.888888888888889,-0.766148368967758,2018-06-16,17.957696,14.237288,1.21897335390435,32.194984,167,"outside",1.54424643478261,0.218857573902792,0.443306000000001,2.53904477734423,19.7272727272727,0.104547880041982,114.909090909091,110.545454545455,28.3636363636364,2.18181818181818,2.90909090909091,0.363636363636364
"29","North Pass",-132.910143,55.228252,"low","low","mud","mud",7,0.154,0,0,41,0.769230769230769,-0.766883655979183,2018-06-15,21.522064,14.796736,1.64652381954117,36.3188,166,"inside",1.28715356521739,0.507308897967073,0.731554,9.74680631672342,6.81818181818182,0.072425057586773,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364
"30","North Pass",-132.910143,55.228252,"low","low","mud","mud",7,0.154,0,0,41,0.769230769230769,-0.766883655979183,2018-06-15,21.522064,14.796736,1.64652381954117,36.3188,166,"outside",1.46934295652174,0.312622075682478,0.512466000000002,4.2185095902475,6.81818181818182,0.072425057586773,271.636363636364,152.727272727273,65.8181818181818,2.18181818181818,1.45454545454545,0.363636363636364
"31","Nossuk Bay 1",-133.348326,55.709094,"high","high","sand","sand",14,2.877,1.71807887543928,5.15423662631784,98,0.53030303030303,0.538982105607546,2018-06-02,37.045512,13.69632,2.89370712473662,50.741832,153,"inside",1.26637582608696,0.744083945316603,1.145336,23.3696104447886,32.4545454545455,0.0558903841047851,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0
"32","Nossuk Bay 1",-133.348326,55.709094,"high","high","sand","sand",14,2.877,1.71807887543928,5.15423662631784,98,0.53030303030303,0.538982105607546,2018-06-02,37.045512,13.69632,2.89370712473662,50.741832,153,"outside",1.4237987826087,0.528197430240205,0.929321999999998,15.2476897184681,32.4545454545455,0.0558903841047851,243.272727272727,220,64.3636363636364,2.18181818181818,1.45454545454545,0
"33","Port Caldera",-133.161232,55.36209,"low","low","sand","sand",7,1.341,0,0,4,0.101694915254237,-0.558159348329831,2018-07-10,35.549824,24.226392,1.48319664568515,59.776216,191,"inside",1.58041460869565,0.442219937706021,0.927762000000001,10.7918840257182,6.54545454545455,0.0268996791274449,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0
"34","Port Caldera",-133.161232,55.36209,"low","low","sand","sand",7,1.341,0,0,4,0.101694915254237,-0.558159348329831,2018-07-10,35.549824,24.226392,1.48319664568515,59.776216,191,"outside",1.6962347826087,0.375030873034267,0.858043999999998,8.5212785120094,6.54545454545455,0.0268996791274449,576.727272727273,546.909090909091,73.4545454545455,9.09090909090909,6.18181818181818,0
"35","Port Refugio",-133.334028,55.282137,"low","low","sand","sand",7,0.154,0,0,4,0,-0.795146795073728,2018-08-10,26.25356,14.716576,1.75617005244482,40.970136,222,"inside",1.50729252173913,0.5598073285079,0.947134,13.8914438058147,11.5454545454545,0.0160226979489863,576.363636363636,309.090909090909,18.7272727272727,0,0,0
"36","Port Refugio",-133.334028,55.282137,"low","low","sand","sand",7,0.154,0,0,4,0,-0.795146795073728,2018-08-10,26.25356,14.716576,1.75617005244482,40.970136,222,"outside",1.49049686956522,0.618074292567145,1.156236,18.7895583128295,11.5454545454545,0.0160226979489863,576.363636363636,309.090909090909,18.7272727272727,0,0,0
"37","S Fish Egg Island",-133.174447,55.485687,"mid","low","sugar","sand",14,1.341,0.988773303120816,0.659182202080544,95,0.26510067114094,-0.0741258174504123,2018-06-25,12.940864,18.345936,0.719654832608365,31.2868,176,"inside",1.29290469565217,0.313491474523937,0.489885999999996,4.38539180948861,11.9090909090909,0.0164523115761829,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2
"38","S Fish Egg Island",-133.174447,55.485687,"mid","low","sugar","sand",14,1.341,0.988773303120816,0.659182202080544,95,0.26510067114094,-0.0741258174504123,2018-06-25,12.940864,18.345936,0.719654832608365,31.2868,176,"outside",1.76379704347826,0.257190033344433,0.528096000000001,3.72275626174963,11.9090909090909,0.0164523115761829,358.545454545455,310.909090909091,52.8,21.0909090909091,15.6363636363636,3.2
"39","S Wadleigh Island",-133.147345,55.528424,"mid","low","mud","mud",14,1.341,0.339805825242718,0.388349514563107,28,0.485294117647059,-0.233553090078195,2018-06-12,16.281304,12.752312,1.27259977602818,29.033616,163,"inside",1.11063339130435,0.809905418905526,1.02511,21.6915652633739,24.2,0.040270331169069,312.4,299.6,41.2727272727273,1.6,1.2,0
"40","S Wadleigh Island",-133.147345,55.528424,"mid","low","mud","mud",14,1.341,0.339805825242718,0.388349514563107,28,0.485294117647059,-0.233553090078195,2018-06-12,16.281304,12.752312,1.27259977602818,29.033616,163,"outside",1.73553686956522,0.273744093102456,0.546541999999999,3.91048338286444,24.2,0.040270331169069,312.4,299.6,41.2727272727273,1.6,1.2,0
"41","Salt Lake Bay",-133.377377,55.684275,"high","high","sand","sand",14,2.877,5.04403522818255,8.24659727782226,165,0.5,0.804169183791487,2018-06-26,39.517152,24.70816,1.66275155627593,64.225312,177,"inside",1.0854187826087,0.86218080542174,1.268894,30.5554524354268,11.1818181818182,0.0874049808469922,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364
"42","Salt Lake Bay",-133.377377,55.684275,"high","high","sand","sand",14,2.877,5.04403522818255,8.24659727782226,165,0.5,0.804169183791487,2018-06-26,39.517152,24.70816,1.66275155627593,64.225312,177,"outside",1.70316243478261,0.241494681440724,0.580054,3.69207896856399,11.1818181818182,0.0874049808469922,246.181818181818,131.272727272727,40.7272727272727,5.45454545454545,7.27272727272727,0.363636363636364
"43","Shinaku Inlet",-133.160431,55.599083,"mid","high","mud","mud",14,1.341,3.5288928098809,9.70445522717247,35,0.317460317460317,0.409855907142048,2018-06-17,9.38982399999999,8.245712,1.19664350789167,17.635536,168,"inside",0.75216052173913,1.65818784147923,1.811904,80.3084583849924,16.6363636363636,0.0507438930319011,269.090909090909,144,37.8181818181818,10.1818181818182,7.27272727272727,2.54545454545455
"44","Shinaku Inlet",-133.160431,55.599083,"mid","high","mud","mud",14,1.341,3.5288928098809,9.70445522717247,35,0.317460317460317,0.409855907142048,2018-06-17,9.38982399999999,8.245712,1.19664350789167,17.635536,168,"outside",1.58585947826087,0.297287446242542,0.580364,4.68264490257879,16.6363636363636,0.0507438930319011,269.090909090909,144,37.8181818181818,10.1818181818182,7.27272727272727,2.54545454545455
"45","Soda Bay",-132.994318,55.264232,"low","low","sand","sand",7,0.154,5.14705882352941,1.89075630252101,24,0.151785714285714,-0.169891522151648,2018-06-27,8.83872,10.00108,0.920377900665232,18.8398,178,"inside",1.29937147826087,0.523647268650455,0.873313999999999,12.2187787630217,26,0.0727014824969008,433.333333333333,258.545454545455,96.7272727272727,6.18181818181818,6.90909090909091,1.45454545454545
"46","Soda Bay",-132.994318,55.264232,"low","low","sand","sand",7,0.154,5.14705882352941,1.89075630252101,24,0.151785714285714,-0.169891522151648,2018-06-27,8.83872,10.00108,0.920377900665232,18.8398,178,"outside",1.66958504347826,0.221946044542322,0.570154000000001,3.32060330472816,26,0.0727014824969008,433.333333333333,258.545454545455,96.7272727272727,6.18181818181818,6.90909090909091,1.45454545454545
"47","Sukkwan Narrows",-132.842514,55.188785,"low","low","sand","sand",7,0.154,0.0720590884525311,0,69,0.535714285714286,-0.729979946536439,2018-06-14,17.98712,10.716512,1.94780582734196,28.703632,165,"inside",1.28117530434783,0.534994410047539,0.869892000000002,13.1742009468413,14.7272727272727,0.0617420280463713,258.909090909091,124,54.1818181818182,10.5454545454545,2.54545454545455,0.727272727272727
"48","Sukkwan Narrows",-132.842514,55.188785,"low","low","sand","sand",7,0.154,0.0720590884525311,0,69,0.535714285714286,-0.729979946536439,2018-06-14,17.98712,10.716512,1.94780582734196,28.703632,165,"outside",1.55465582608696,0.276070101114326,0.564721999999999,4.19619777006392,14.7272727272727,0.0617420280463713,258.909090909091,124,54.1818181818182,10.5454545454545,2.54545454545455,0.727272727272727
