"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_width_cm","diffuse_band_height_cm","area_diffuse_band_m2","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2"
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",9,0.041702882811415,244.8157818,141.8157818,193.3157818,103,-9.1842182,-14.1842182,120,5,60,72,192,264,0,0,0
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",10,0.0242629268280637,256.8157818,120.8157818,188.8157818,136,13.8157818,-30.1842182,1814,44,907,80,256,192,0,0,4
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",11,0.0265525652232205,NA,NA,NA,NA,4.8157818,-38.1842182,1620,43,810,24,176,184,0,0,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",1,0.068913053827224,235.3165333,132.3165333,183.8165333,103,-8.68346670000001,-19.6834667,160,11,80,4,248,372,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",2,0.0738439238802284,244.3165333,124.3165333,184.3165333,120,-4.68346670000001,-23.6834667,258,19,129,6,140,428,0,0,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",3,0.0756875632608597,247.3165333,115.3165333,181.3165333,132,3.31653329999999,-16.6834667,265,20,132.5,14,192,364,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",4,0.105851224804993,248.3165333,118.3165333,183.3165333,130,-17.6834667,-23.6834667,57,6,28.5,10,260,236,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",5,0.0827284603286316,245.3165333,117.3165333,181.3165333,128,3.31653329999999,-27.6834667,376,31,188,8,132,372,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",6,0.0556414884074657,240.3165333,126.3165333,183.3165333,114,-16.6834667,-23.6834667,126,7,63,30,240,404,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",7,0.0737931746155239,235.3165333,124.3165333,179.8165333,111,-2.68346670000001,-19.6834667,231,17,115.5,4,236,364,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",8,0.0739720475003199,232.3165333,128.3165333,180.3165333,104,-9.68346670000001,-27.6834667,244,18,122,14,164,300,0,4,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",9,0.0585269487193151,226.3165333,122.3165333,174.3165333,104,-6.68346670000001,-32.6834667,445,26,222.5,18,168,376,0,12,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",10,0.0731112862173643,217.3165333,125.3165333,171.3165333,92,-11.6834667,-25.6834667,192,14,96,28,356,296,0,8,0
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",11,0.0802572353905128,NA,NA,NA,NA,-12.6834667,-18.6834667,75,6,37.5,2,228,252,0,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",1,0.023816275411477,221.7531429,92.7531429,157.2531429,129,-19.2468571,-46.2468571,1134,27,567,100,196,120,0,0,4
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",2,0.0274894726124077,230.7531429,104.7531429,167.7531429,126,-22.2468571,-45.2468571,837,23,418.5,48,100,240,0,0,16
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",3,0.0157054541934897,236.7531429,94.7531429,165.7531429,142,-24.2468571,-49.2468571,1592,25,796,88,100,220,0,0,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",4,0.0191816100031131,221.7531429,91.7531429,156.7531429,130,-20.2468571,-41.2468571,1095,21,547.5,48,56,184,0,4,0
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",5,0.0227929472943535,224.7531429,88.7531429,156.7531429,136,-25.2468571,-51.2468571,1141,26,570.5,160,56,200,0,0,8
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",6,0.014519532561818,225.7531429,89.7531429,157.7531429,136,-25.2468571,-50.2468571,1722,25,861,88,68,116,0,0,8
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",7,0.0213779403550137,233.7531429,95.7531429,164.7531429,138,-25.2468571,-58.2468571,1544,33,772,40,92,128,0,4,12
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",8,0.0340260563246514,236.7531429,110.7531429,173.7531429,126,-25.2468571,-57.2468571,941,32,470.5,80,60,188,0,0,12
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",9,0.015186132578412,228.7531429,102.7531429,165.7531429,126,-39.2468571,-46.2468571,461,7,230.5,72,52,228,0,0,12
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",10,0.0147384425992279,227.7531429,105.7531429,166.7531429,122,-42.2468571,-56.2468571,950,14,475,64,124,112,0,4,8
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",11,0.0169835809349265,NA,NA,NA,NA,-44.2468571,-53.2468571,530,9,265,44,160,120,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",1,0.0383844102590558,231.3424,116.3424,173.8424,115,-36.6576,-50.6576,365,14,182.5,48,124,168,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",2,0.0333518672982535,225.3424,103.3424,164.3424,122,-29.6576,-34.6576,150,5,75,48,136,156,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",3,0.00961582914438859,227.3424,97.3424,162.3424,130,-35.6576,-36.6576,104,1,52,24,200,224,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",4,0.0162183487908888,229.3424,116.3424,172.8424,113,-39.6576,-42.6576,185,3,92.5,40,112,104,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",5,0.0172439425125162,230.3424,111.3424,170.8424,119,-44.6576,-45.6576,58,1,29,20,164,192,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",6,0.0485419377768588,NA,NA,NA,NA,-36.6576,-52.6576,330,16,165,44,100,164,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",7,0.0285830975237515,NA,NA,NA,NA,-31.6576,-34.6576,105,3,52.5,32,88,188,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",8,0.0601082924775646,NA,NA,NA,NA,-34.6576,-49.6576,250,15,125,24,124,176,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",9,0.0505695871289209,NA,NA,NA,NA,-34.6576,-39.6576,99,5,49.5,52,188,216,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",10,0.0538897398743857,NA,NA,NA,NA,-24.6576,-36.6576,223,12,111.5,56,164,252,0,0,0
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,76,88,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",1,0.0478157621912829,257.5016,197.5016,227.5016,60,-38.4984,-54.4984,335,16,167.5,20,112,156,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",2,0.0487758663645735,255.5016,200.5016,228.0016,55,-37.4984,-56.4984,390,19,195,24,76,100,0,4,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",3,0.0648508870950193,251.5016,199.5016,225.5016,52,-35.4984,-77.4984,649,42,324.5,28,72,88,0,0,4
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",4,0.0612499401856345,246.5016,191.5016,219.0016,55,-44.4984,-72.4984,458,28,229,8,84,120,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",5,0.0856365280948918,254.5016,194.5016,224.5016,60,-44.4984,-69.4984,293,25,146.5,28,96,72,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",6,0.113772756827276,250.5016,196.5016,223.5016,54,-54.4984,-67.4984,115,13,57.5,28,44,96,0,0,4
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",7,0.0486009869599837,240.5016,187.5016,214.0016,53,-33.4984,-48.4984,309,15,154.5,32,100,164,0,4,4
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",8,0.763144652199071,245.5016,190.5016,218.0016,55,52.5016,-38.4984,150,91,75,16,72,104,0,4,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",9,0.0472969074285884,245.5016,174.5016,210.0016,71,-27.4984,-51.4984,508,24,254,28,116,156,0,0,4
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",10,0.0233526685540621,243.5016,186.5016,215.0016,57,-37.4984,-43.4984,257,6,128.5,12,44,88,0,0,0
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",11,0.0325171776716352,NA,NA,NA,NA,-34.4984,-47.4984,400,13,200,24,60,124,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",1,0.0479138463362802,216.6656,142.6656,179.6656,74,-11.3344,-30.3344,397,19,198.5,24,188,264,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",2,0.0481325818548256,207.6656,141.6656,174.6656,66,-21.3344,-31.3344,208,10,104,8,176,244,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",3,0.050537600513647,206.6656,145.6656,176.1656,61,-16.3344,-32.3344,317,16,158.5,16,128,208,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",4,0.0421426360827343,189.6656,141.6656,165.6656,48,-11.3344,-19.3344,190,8,95,4,196,232,0,4,4
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",5,0.0557827907108448,210.6656,141.6656,176.1656,69,-8.33440000000001,-30.3344,395,22,197.5,88,288,180,0,16,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",6,0.0541331961960767,218.6656,143.6656,181.1656,75,-13.3344,-25.3344,222,12,111,44,336,240,0,16,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",7,0.057471729249773,210.6656,147.6656,179.1656,63,-11.3344,-18.3344,122,7,61,36,180,344,0,0,0
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",8,0.0579482906215957,216.6656,144.6656,180.6656,72,-10.3344,-24.3344,242,14,121,32,132,224,0,0,4
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",9,0.0634182861789801,217.6656,154.6656,186.1656,63,-15.3344,-25.3344,158,10,79,4,176,308,0,0,8
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",10,0.0523102292352963,214.6656,148.6656,181.6656,66,-22.3344,-29.3344,134,7,67,12,284,232,0,0,4
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",11,0.0483322154582844,NA,NA,NA,NA,-17.3344,-24.3344,145,7,72.5,20,236,276,0,0,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",1,0.0618321466414835,238.545456,150.545456,194.545456,88,3.54545599999998,-50.454544,875,54,437.5,80,180,640,0,4,12
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",2,0.0595648462811996,237.545456,142.545456,190.045456,95,-6.45454400000002,-50.454544,740,44,370,20,352,960,8,4,0
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",3,0.0578744588634975,233.545456,144.545456,189.045456,89,-3.45454400000002,-42.454544,675,39,337.5,20,356,608,0,0,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",4,0.0624959356202201,248.545456,139.545456,194.045456,109,-11.454544,-42.454544,497,31,248.5,68,408,796,12,0,16
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",5,0.0479592519464144,246.545456,135.545456,191.045456,111,-16.454544,-32.454544,334,16,167,260,120,656,12,4,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",6,0.0580124309463942,243.545456,134.545456,189.045456,109,-16.454544,-31.454544,259,15,129.5,184,356,672,0,0,4
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",7,0.0519216975459811,244.545456,131.545456,188.045456,113,-5.45454400000002,-26.454544,405,21,202.5,32,172,884,0,0,12
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",8,0.0540634127492077,241.545456,120.545456,181.045456,121,-3.45454400000002,-24.454544,389,21,194.5,316,356,760,8,0,16
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",9,0.0585191867067236,233.545456,130.545456,182.045456,103,3.54545599999998,-13.454544,291,17,145.5,100,164,832,0,0,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",10,0.058925565098879,228.545456,120.545456,174.545456,108,5.54545599999998,-6.45454400000002,204,12,102,NA,896,628,0,0,8
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",11,0.0632842387290044,228.545456,124.545456,176.545456,104,15.545456,-8.45454400000002,380,24,190,264,656,500,0,16,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",1,0.0334448732076573,220.0176,78.0176,149.0176,142,11.0176,-24.9824,1077,36,538.5,42,144,344,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",2,0.0284333264949288,241.0176,81.0176,161.0176,160,28.0176,-9.9824,1337,38,668.5,44,436,292,0,12,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",3,0.0293079075438322,240.0176,72.0176,156.0176,168,29.0176,-7.9824,1263,37,631.5,16,192,412,0,4,4
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",4,0.0306265985002526,234.0176,76.0176,155.0176,158,12.0176,-8.9824,686,21,343,14,264,396,0,0,4
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",5,0.0316363732776152,230.0176,90.0176,160.0176,140,4.0176,-11.9824,506,16,253,4,296,304,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",6,1.00165817951149,233.0176,85.0176,159.0176,148,25.0176,-20.9824,65,46,32.5,6,332,408,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",7,0.0466829092533676,225.0176,79.0176,152.0176,146,-25.9824,-34.9824,193,9,96.5,24,128,340,0,4,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",8,0.0366913396962422,234.0176,77.0176,155.5176,157,-34.9824,-45.9824,300,11,150,4,288,392,4,4,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",9,0.0564276492686879,237.0176,77.0176,157.0176,160,-39.9824,-43.9824,71,4,35.5,40,300,404,0,8,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",10,0.070172132847155,224.0176,75.0176,149.5176,149,-45.9824,-52.9824,100,7,50,8,160,404,0,0,0
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",11,0.0641711284239017,NA,NA,NA,NA,-38.9824,-51.9824,203,13,101.5,10,224,268,0,4,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",1,0.0967057332604031,261.0256,98.0256,179.5256,163,9.02560000000001,-8.97439999999999,187,18,93.5,52,272,472,0,8,12
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",2,0.0623921483234372,282.0256,101.0256,191.5256,181,25.0256,8.02560000000001,273,17,136.5,8,80,408,0,4,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",3,0.0590065659068621,263.0256,105.0256,184.0256,158,48.0256,5.02560000000001,730,43,365,148,140,420,0,0,8
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",4,NA,273.0256,102.0256,187.5256,171,NA,NA,NA,NA,NA,20,384,NA,0,8,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",5,NA,272.0256,104.0256,188.0256,168,NA,NA,NA,NA,NA,92,248,NA,0,0,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",6,NA,269.0256,105.0256,187.0256,164,NA,NA,NA,NA,NA,160,340,NA,0,12,12
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",7,NA,284.0256,110.0256,197.0256,174,NA,NA,NA,NA,NA,112,224,NA,0,0,8
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",8,NA,283.0256,117.0256,200.0256,166,NA,NA,NA,NA,NA,236,408,NA,4,8,4
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",9,NA,278.0256,126.0256,202.0256,152,NA,NA,NA,NA,NA,128,292,NA,8,16,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",10,NA,255.0256,89.0256,172.0256,166,NA,NA,NA,NA,NA,92,220,NA,4,12,0
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,236,NA,0,8,12
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",1,0.0419950238844871,NA,NA,NA,NA,-21.3125818,-27.3125818,143,6,71.5,24,0,368,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",2,0.0637656067934896,217.6874182,133.6874182,175.6874182,84,-24.3125818,-31.3125818,110,7,55,132,120,456,0,0,4
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",3,0.0435194139889245,217.6874182,126.6874182,172.1874182,91,-26.3125818,-31.3125818,115,5,57.5,0,260,352,0,4,4
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",4,0.0317620408402142,220.6874182,123.6874182,172.1874182,97,-37.3125818,-41.3125818,126,4,63,64,356,448,0,12,4
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",5,0.105851224804993,211.6874182,123.6874182,167.6874182,88,-45.3125818,-47.3125818,19,2,9.5,132,248,344,0,0,8
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",6,0.0551294573752897,221.6874182,129.6874182,175.6874182,92,-45.3125818,-51.3125818,109,6,54.5,88,148,312,0,0,8
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",7,0.0435194139889245,233.6874182,119.6874182,176.6874182,114,-54.3125818,-56.3125818,46,2,23,104,288,396,0,4,4
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",8,0.06618220324303,231.6874182,114.6874182,173.1874182,117,-54.3125818,-61.3125818,106,7,53,104,168,268,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",9,0.0322748612183951,240.6874182,119.6874182,180.1874182,121,-48.3125818,-49.3125818,31,1,15.5,120,320,176,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",10,0.072259989469688,247.6874182,113.6874182,180.6874182,134,-41.3125818,-49.3125818,111,8,55.5,24,192,248,0,4,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","14/6/18","No",11,0.045501575519329,249.6874182,117.6874182,183.6874182,132,-41.3125818,-47.3125818,132,6,66,68,212,320,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",1,0.159900537266708,190.3344,24.3344,107.3344,166,-40.6656,-43.6656,19,3,9.5,108,80,172,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",2,0.192130139234745,208.3344,15.3344,111.8344,193,-34.6656,-44.6656,53,10,26.5,52,152,360,0,0,12
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",3,0.133242722834704,239.3344,18.3344,128.8344,221,-36.6656,-43.6656,53,7,26.5,32,168,248,0,0,8
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",4,0.0421426360827343,249.3344,22.3344,135.8344,227,-34.6656,-38.6656,95,4,47.5,84,112,372,4,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",5,0.0483018614399118,225.3344,36.3344,130.8344,189,-27.6656,-38.6656,228,11,114,56,176,260,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",6,0,244.3344,44.3344,144.3344,200,-31.6656,-31.6656,30,0,15,108,160,276,0,0,4
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",7,0.030783806435974,265.3344,50.3344,157.8344,215,-29.6656,-31.6656,65,2,32.5,76,152,344,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",8,0.0607176740718916,238.3344,44.3344,141.3344,194,-31.6656,-39.6656,132,8,66,32,208,308,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",9,0.0457097783926522,243.3344,41.3344,142.3344,202,-29.6656,-39.6656,219,10,109.5,24,208,248,0,8,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",10,0.0242006320749849,251.3344,45.3344,148.3344,206,-36.6656,-39.6656,124,3,62,104,128,264,0,4,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","15/6/18","No",11,0.0595458456201972,250.3344,NA,NA,NA,-25.6656,-42.6656,286,17,143,48,136,136,0,4,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",1,0.0741157730904693,229.7844,133.7844,181.7844,96,-21.2156,-38.2156,230,17,115,48,180,132,0,4,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",2,0.0400320384512718,254.7844,132.7844,193.7844,122,-25.2156,-33.2156,200,8,100,72,68,168,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",3,0.0509133174976598,264.7844,127.7844,196.2844,137,-5.21560000000002,-17.2156,236,12,118,32,128,220,0,8,0
