site_name,site_code,latitude_N,longitude_E,so_region,cage_present,date_dd.mm.yy,time_waterline_marked,replicate,waterline_elev_stadia_cm,waterline_elev_stadia_avg_cm,waterline_elev_mllw_ft_uncorrected,waterline_elev_mllw_ft_noaa_suggested,waterline_elev_mllw_ft_corrected,fucus_upper_elev_stadia_cm,fucus_lower_elev_stadia_cm,edge_diffuse_elev_stadia_cm,edge_continuous_elev_stadia_cm,distance_diffuse_band_cm,shoot_density_inside_0.25m2,shoot_density_continuous_0.25m2,shoot_density_diffuse_0.25m2,flower_density_inside_0.25m2,flower_density_continuous_0.25m2,flower_density_diffuse_0.25m2
Salt Lake Bay b,H_01_b,55.684275,-133.377377,High,Yes,26/6/18,07:35,11,,327.2,-0.03,-0.8025,-0.8025,87,157,344,384,430,54,46,4,0,2,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,1,336,335.8181818,1.87,1.87,1.87,128,267,405,411,93,68,72,7,0,1,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,2,337,335.8181818,1.87,1.87,1.87,140,268,403,420,175,71,53,13,1,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,3,336,335.8181818,1.87,1.87,1.87,137,267,394,408,160,48,56,10,0,2,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,4,335,335.8181818,1.87,1.87,1.87,140,260,384,413,400,65,48,8,2,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,5,336,335.8181818,1.87,1.87,1.87,139,268,365,430,1050,69,57,41,0,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,6,336,335.8181818,1.87,1.87,1.87,141,268,362,424,1311,57,43,25,0,1,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,7,336,335.8181818,1.87,1.87,1.87,146,273,373,422,1150,76,54,21,2,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,8,335,335.8181818,1.87,1.87,1.87,141,261,397,420,485,55,66,8,0,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,9,336,335.8181818,1.87,1.87,1.87,148,251,402,407,120,66,48,18,0,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,10,336,335.8181818,1.87,1.87,1.87,136,272,379,423,1814,48,64,20,1,0,0
Nossuk Bay b,H_02_b,55.714689,-133.358474,High,Yes,2/6/18,07:50,11,335,335.8181818,1.87,1.87,1.87,,,388,431,1620,46,44,6,0,0,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,1,353,352.3333333,0.59,0.59,0.59,135,238,379,390,160,93,62,1,0,1,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,2,354,352.3333333,0.59,0.59,0.59,126,246,375,394,258,107,35,1.5,0,0,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,3,354,352.3333333,0.59,0.59,0.59,123,255,367,387,265,91,48,3.5,0,1,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,4,350,352.3333333,0.59,0.59,0.59,122,252,388,394,57,59,65,2.5,0,2,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,5,353,352.3333333,0.59,0.59,0.59,125,253,367,398,376,93,33,2,0,2,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,6,354,352.3333333,0.59,0.59,0.59,130,244,387,394,126,101,60,7.5,0,2,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,7,350,352.3333333,0.59,0.59,0.59,135,246,373,390,231,91,59,1,0,1,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,8,353,352.3333333,0.59,0.59,0.59,138,242,380,398,244,75,41,3.5,0,1,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,9,350,352.3333333,0.59,0.59,0.59,144,248,377,403,445,94,42,4.5,0,3,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,10,,352.3333333,0.59,0.59,0.59,153,245,382,396,192,74,89,7,0,2,0
Nossuk Bay c,H_02_c,55.722637,-133.325372,High,No,30/6/18,10:25,11,,352.3333333,0.59,0.59,0.59,,,383,389,75,63,57,0.5,0,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,1,406,404.8571429,-2.15,-2.3,-2.3,113,242,354,381,1134,30,49,25,1,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,2,410,404.8571429,-2.15,-2.3,-2.3,104,230,357,380,837,60,25,12,4,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,3,401,404.8571429,-2.15,-2.3,-2.3,98,240,359,384,1592,55,25,22,0,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,4,405,404.8571429,-2.15,-2.3,-2.3,113,243,355,376,1095,46,14,12,0,1,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,5,406,404.8571429,-2.15,-2.3,-2.3,110,246,360,386,1141,50,14,40,2,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,6,403,404.8571429,-2.15,-2.3,-2.3,109,245,360,385,1722,29,17,22,2,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,7,403,404.8571429,-2.15,-2.3,-2.3,101,239,360,393,1544,32,23,10,3,1,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,8,,404.8571429,-2.15,-2.3,-2.3,98,224,360,392,941,47,15,20,3,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,9,,404.8571429,-2.15,-2.3,-2.3,106,232,374,381,461,57,13,18,3,0,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,10,,404.8571429,-2.15,-2.3,-2.3,107,229,377,391,950,28,31,16,2,1,0
Chusini Cove b,H_03_b,55.813558,-133.167403,High,Yes,13/6/18,07:54,11,,404.8571429,-2.15,-2.3,-2.3,,,379,388,530,30,40,11,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,1,196,194,-0.12,-0.12,-0.12,-41,74,227,241,365,42,31,12,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,2,196,194,-0.12,-0.12,-0.12,-35,87,220,225,150,39,34,12,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,3,193,194,-0.12,-0.12,-0.12,-37,93,226,227,104,56,50,6,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,4,194,194,-0.12,-0.12,-0.12,-39,74,230,233,185,26,28,10,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,5,195,194,-0.12,-0.12,-0.12,-40,79,235,236,58,48,41,5,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,6,195,194,-0.12,-0.12,-0.12,,,227,243,330,41,25,11,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,7,194,194,-0.12,-0.12,-0.12,,,222,225,105,47,22,8,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,8,192,194,-0.12,-0.12,-0.12,,,225,240,250,44,31,6,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,9,193,194,-0.12,-0.12,-0.12,,,225,230,99,54,47,13,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,10,192,194,-0.12,-0.12,-0.12,,,215,227,223,63,41,14,0,0,0
Kaguk Cove a,H_04_a,55.733423,-133.29047,High,Yes,30/5/18,06:54,11,,194,-0.12,-0.12,-0.12,,,,,,22,19,4,0,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,1,369,367.8,-0.9,-0.83,-0.83,85,145,381,397,335,39,28,5,0,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,2,368,367.8,-0.9,-0.83,-0.83,87,142,380,399,390,25,19,6,0,1,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,3,368,367.8,-0.9,-0.83,-0.83,91,143,378,420,649,22,18,7,1,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,4,368,367.8,-0.9,-0.83,-0.83,96,151,387,415,458,30,21,2,0,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,5,368,367.8,-0.9,-0.83,-0.83,88,148,387,412,293,18,24,7,0,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,6,367,367.8,-0.9,-0.83,-0.83,92,146,397,410,115,24,11,7,1,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,7,366,367.8,-0.9,-0.83,-0.83,102,155,376,391,309,41,25,8,1,1,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,8,367,367.8,-0.9,-0.83,-0.83,97,152,290,381,150,26,18,4,0,1,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,9,370,367.8,-0.9,-0.83,-0.83,97,168,370,394,508,39,29,7,1,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,10,367,367.8,-0.9,-0.83,-0.83,99,156,380,386,257,22,11,3,0,0,0
Naukati Bay b,H_05_b,55.865721,-133.156399,High,Yes,28/5/18,06:15,11,,367.8,-0.9,-0.83,-0.83,,,377,390,400,31,15,6,0,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,1,386,385.2,-0.28,-0.28,-0.28,160,234,388,407,397,66,47,6,0,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,2,386,385.2,-0.28,-0.28,-0.28,169,235,398,408,208,61,44,2,0,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,3,386,385.2,-0.28,-0.28,-0.28,170,231,393,409,317,52,32,4,0,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,4,386,385.2,-0.28,-0.28,-0.28,187,235,388,396,190,58,49,1,1,1,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,5,385,385.2,-0.28,-0.28,-0.28,166,235,385,407,395,45,72,22,0,4,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,6,385,385.2,-0.28,-0.28,-0.28,158,233,390,402,222,60,84,11,0,4,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,7,385,385.2,-0.28,-0.28,-0.28,166,229,388,395,122,86,45,9,0,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,8,385,385.2,-0.28,-0.28,-0.28,160,232,387,401,242,56,33,8,1,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,9,384,385.2,-0.28,-0.28,-0.28,159,222,392,402,158,77,44,1,2,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,10,384,385.2,-0.28,-0.28,-0.28,162,228,399,406,134,58,71,3,1,0,0
Guktu Cove b,H_06_b,55.740264,-133.311306,High,Yes,31/5/18,10:08,11,,385.2,-0.28,-0.28,-0.28,,,394,401,145,69,59,5,0,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,1,375,373.9,-0.04,-0.6678,-0.6678,115,203,350,404,875,160,45,20,3,1,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,2,373,373.9,-0.04,-0.6678,-0.6678,116,211,360,404,740,240,88,5,0,1,2
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,3,374,373.9,-0.04,-0.6678,-0.6678,120,209,357,396,675,152,89,5,2,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,4,375,373.9,-0.04,-0.6678,-0.6678,105,214,365,396,497,199,102,17,4,0,3
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,5,375,373.9,-0.04,-0.6678,-0.6678,107,218,370,386,334,164,30,65,2,1,3
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,6,370,373.9,-0.04,-0.6678,-0.6678,110,219,370,385,259,168,89,46,1,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,7,375,373.9,-0.04,-0.6678,-0.6678,109,222,359,380,405,221,43,8,3,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,8,374,373.9,-0.04,-0.6678,-0.6678,112,233,357,378,389,190,89,79,4,0,2
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,9,373,373.9,-0.04,-0.6678,-0.6678,120,223,350,367,291,208,41,25,2,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,10,375,373.9,-0.04,-0.6678,-0.6678,125,233,348,360,204,157,224,,2,0,0
Blanquizal Bay a,H_07_a,55.620484,-133.386254,High,Yes,18/6/18,12:45,11,,373.9,-0.04,-0.6678,-0.6678,125,229,338,362,380,125,164,66,0,4,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,1,245,245.5,0.87,0.87,0.87,52,194,261,297,1077,86,36,10.5,0,0,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,2,247,245.5,0.87,0.87,0.87,31,191,244,282,1337,73,109,11,0,3,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,3,245,245.5,0.87,0.87,0.87,32,200,243,280,1263,103,48,4,1,1,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,4,245,245.5,0.87,0.87,0.87,38,196,260,281,686,99,66,3.5,1,0,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,5,245,245.5,0.87,0.87,0.87,42,182,268,284,506,76,74,1,0,0,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,6,245,245.5,0.87,0.87,0.87,39,187,247,293,65,102,83,1.5,0,0,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,7,245,245.5,0.87,0.87,0.87,47,193,298,307,193,85,32,6,0,1,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,8,246,245.5,0.87,0.87,0.87,38,195,307,318,300,98,72,1,0,1,1
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,9,246,245.5,0.87,0.87,0.87,35,195,312,316,71,101,75,10,0,2,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,10,246,245.5,0.87,0.87,0.87,48,197,318,325,100,101,40,2,0,0,0
Kinani Point a,H_08_a,55.889904,-133.250006,High,No,14/7/18,06:07,11,,245.5,0.87,0.87,0.87,,,311,324,203,67,56,2.5,1,1,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,1,442,442.8,-0.78,-0.78,-0.78,158,321,410,428,187,118,68,13,3,2,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,2,445,442.8,-0.78,-0.78,-0.78,137,318,394,411,273,102,20,2,1,1,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,3,441,442.8,-0.78,-0.78,-0.78,156,314,371,414,730,105,35,37,2,0,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,4,442,442.8,-0.78,-0.78,-0.78,146,317,,,,,96,5,1,2,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,5,444,442.8,-0.78,-0.78,-0.78,147,315,,,,,62,23,1,0,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,6,442,442.8,-0.78,-0.78,-0.78,150,314,,,,,85,40,3,3,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,7,443,442.8,-0.78,-0.78,-0.78,135,309,,,,,56,28,2,0,0
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,8,443,442.8,-0.78,-0.78,-0.78,136,302,,,,,102,59,1,2,1
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,9,442,442.8,-0.78,-0.78,-0.78,141,293,,,,,73,32,0,4,2
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,10,444,442.8,-0.78,-0.78,-0.78,164,330,,,,,55,23,0,3,1
Soda Bay a,L_01_a,55.264232,-132.994318,Low,No,27/6/18,08:09,11,,442.8,-0.78,-0.78,-0.78,,,,,,,59,4,3,2,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,1,430,428.1818182,-2.44,-2.28,-2.28,,,380,386,143,92,0,6,0,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,2,427,428.1818182,-2.44,-2.28,-2.28,141,225,383,390,110,114,30,33,1,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,3,430,428.1818182,-2.44,-2.28,-2.28,141,232,385,390,115,88,65,0,1,1,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,4,430,428.1818182,-2.44,-2.28,-2.28,138,235,396,400,126,112,89,16,1,3,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,5,430,428.1818182,-2.44,-2.28,-2.28,147,235,404,406,19,86,62,33,2,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,6,426,428.1818182,-2.44,-2.28,-2.28,137,229,404,410,109,78,37,22,2,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,7,429,428.1818182,-2.44,-2.28,-2.28,125,239,413,415,46,99,72,26,1,1,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,8,428,428.1818182,-2.44,-2.28,-2.28,127,244,413,420,106,67,42,26,0,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,9,428,428.1818182,-2.44,-2.28,-2.28,118,239,407,408,31,44,80,30,0,0,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,10,426,428.1818182,-2.44,-2.28,-2.28,111,245,400,408,111,62,48,6,0,1,0
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,Low,No,14/6/18,08:45,11,426,428.1818182,-2.44,-2.28,-2.28,109,241,400,406,132,80,53,17,0,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,1,381,379,-2.22,-2.255,-2.22,121,287,352,355,19,43,20,27,0,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,2,378,379,-2.22,-2.255,-2.22,103,296,346,356,53,90,38,13,3,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,3,378,379,-2.22,-2.255,-2.22,72,293,348,355,53,62,42,8,2,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,4,377,379,-2.22,-2.255,-2.22,62,289,346,350,95,93,28,21,0,0,1
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,5,380,379,-2.22,-2.255,-2.22,86,275,339,350,228,65,44,14,0,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,6,381,379,-2.22,-2.255,-2.22,67,267,343,343,30,69,40,27,1,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,7,380,379,-2.22,-2.255,-2.22,46,261,341,343,65,86,38,19,0,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,8,381,379,-2.22,-2.255,-2.22,73,267,343,351,132,77,52,8,0,0,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,9,374,379,-2.22,-2.255,-2.22,68,270,341,351,219,62,52,6,0,2,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,10,381,379,-2.22,-2.255,-2.22,60,266,348,351,124,66,32,26,0,1,0
North Pass b,L_03_b,55.228334,-132.910392,Low,No,15/6/18,09:39,11,378,379,-2.22,-2.255,-2.22,61,,337,354,286,34,34,12,0,1,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,1,404,403.4,-1.74,-2.1566,-1.595,125,221,376,393,230,33,45,12,0,1,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,2,404,403.4,-1.74,-2.1566,-1.595,100,222,380,388,200,42,17,18,0,0,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,3,404,403.4,-1.74,-2.1566,-1.595,90,227,360,372,236,55,32,8,0,2,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,4,405,403.4,-1.74,-2.1566,-1.595,110,259,346,359,330,69,63,12,2,0,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,5,404,403.4,-1.74,-2.1566,-1.595,82,230,362,367,90,61,16,16,1,1,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,6,403,403.4,-1.74,-2.1566,-1.595,101,238,369,370,64,70,32,11,2,2,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,7,403,403.4,-1.74,-2.1566,-1.595,102,227,359,359,110,58,60,15,0,0,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,8,404,403.4,-1.74,-2.1566,-1.595,83,226,374,374,19,86,33,9,0,0,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,9,401,403.4,-1.74,-2.1566,-1.595,84,221,370,374,63,69,34,10,2,2,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,10,402,403.4,-1.74,-2.1566,-1.595,83,222,372,372,28,68,28,20,0,0,0
Natzuhini Bay b,L_04_b,55.247155,-132.879137,Low,No,15/6/18,07:24,11,,403.4,-1.74,-2.1566,-1.595,,203,372,384,194,91,32,25,1,0,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,1,320,319.3,0.42,-0.2624,0.375,101,271,368,378,105,17,29,3,0,2,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,2,320,319.3,0.42,-0.2624,0.375,109,273,366,374,143,22,11,9,1,1,1
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,3,320,319.3,0.42,-0.2624,0.375,107,263,347,358,125,40,10,5,0,1,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,4,320,319.3,0.42,-0.2624,0.375,104,272,342,349,81,28,20,16,0,0,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,5,318,319.3,0.42,-0.2624,0.375,99,265,340,350,210,30,9,2,1,0,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,6,320,319.3,0.42,-0.2624,0.375,78,276,336,350,340,29,25,4,0,1,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,7,319,319.3,0.42,-0.2624,0.375,86,269,354,361,200,30,50,15,0,2,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,8,318,319.3,0.42,-0.2624,0.375,86,272,366,380,235,36,24,6,1,0,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,9,318,319.3,0.42,-0.2624,0.375,90,275,384,392,231,41,51,6,2,0,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,10,320,319.3,0.42,-0.2624,0.375,96,274,293,405,235,0,50,6,0,1,0
Natzuhini Bay c,L_04_c,55.241887,-132.837131,Low,No,16/6/18,07:36,11,,319.3,0.42,-0.2624,0.375,,,395,411,255,43,25,6,1,0,0
