"site_name","site_code","latitude_N","longitude_E","so_region","cage_present","date_dd.mm.yy","replicate","distance_diffuse_band_cm","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","beach_slope","area_diffuse_band_m2","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",3,115,217.6874182,126.6874182,172.1874182,91,-26.3125818,-31.3125818,5,0.0435194139889245,57.5,352,260,0,4,4,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",4,126,220.6874182,123.6874182,172.1874182,97,-37.3125818,-41.3125818,4,0.0317620408402142,63,448,356,64,4,12,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",5,19,211.6874182,123.6874182,167.6874182,88,-45.3125818,-47.3125818,2,0.105851224804993,9.5,344,248,132,8,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",6,109,221.6874182,129.6874182,175.6874182,92,-45.3125818,-51.3125818,6,0.0551294573752897,54.5,312,148,88,8,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",7,46,233.6874182,119.6874182,176.6874182,114,-54.3125818,-56.3125818,2,0.0435194139889245,23,396,288,104,4,4,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",8,106,231.6874182,114.6874182,173.1874182,117,-54.3125818,-61.3125818,7,0.06618220324303,53,268,168,104,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",9,31,240.6874182,119.6874182,180.1874182,121,-48.3125818,-49.3125818,1,0.0322748612183951,15.5,176,320,120,0,0,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",10,111,247.6874182,113.6874182,180.6874182,134,-41.3125818,-49.3125818,8,0.072259989469688,55.5,248,192,24,0,4,0
"Goats Mouth Inlet a","L_02_a",55.19286,-132.9,"Low","No","14/6/18",11,132,249.6874182,117.6874182,183.6874182,132,-41.3125818,-47.3125818,6,0.045501575519329,66,320,212,68,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",1,19,190.3344,24.3344,107.3344,166,-40.6656,-43.6656,3,0.159900537266708,9.5,172,80,108,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",2,53,208.3344,15.3344,111.8344,193,-34.6656,-44.6656,10,0.192130139234745,26.5,360,152,52,12,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",3,53,239.3344,18.3344,128.8344,221,-36.6656,-43.6656,7,0.133242722834704,26.5,248,168,32,8,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",4,95,249.3344,22.3344,135.8344,227,-34.6656,-38.6656,4,0.0421426360827343,47.5,372,112,84,0,0,4
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",5,228,225.3344,36.3344,130.8344,189,-27.6656,-38.6656,11,0.0483018614399118,114,260,176,56,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",6,30,244.3344,44.3344,144.3344,200,-31.6656,-31.6656,0,0,15,276,160,108,4,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",7,65,265.3344,50.3344,157.8344,215,-29.6656,-31.6656,2,0.030783806435974,32.5,344,152,76,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",8,132,238.3344,44.3344,141.3344,194,-31.6656,-39.6656,8,0.0607176740718916,66,308,208,32,0,0,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",9,219,243.3344,41.3344,142.3344,202,-29.6656,-39.6656,10,0.0457097783926522,109.5,248,208,24,0,8,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",10,124,251.3344,45.3344,148.3344,206,-36.6656,-39.6656,3,0.0242006320749849,62,264,128,104,0,4,0
"North Pass b","L_03_b",55.228334,-132.910392,"Low","No","15/6/18",11,286,250.3344,NA,NA,NA,-25.6656,-42.6656,17,0.0595458456201972,143,136,136,48,0,4,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",1,230,229.7844,133.7844,181.7844,96,-21.2156,-38.2156,17,0.0741157730904693,115,132,180,48,0,4,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",2,200,254.7844,132.7844,193.7844,122,-25.2156,-33.2156,8,0.0400320384512718,100,168,68,72,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",3,236,264.7844,127.7844,196.2844,137,-5.21560000000002,-17.2156,12,0.0509133174976598,118,220,128,32,0,8,0
