"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope_percent","beach_slope_angle","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","diffuse_band_sloped_width_cm","diffuse_band_horizontal_width_cm","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2","leaf_dw_g_m2","rhizome_dw_g_m2","total_biomass_dw_g_m2","leaf.rhizome"
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",11,9.34283671734103,0.0931579410346645,215.7398,145.7398,180.7398,70,-41.2602,-81.2602,40,430,428.135492572153,16,184,216,0,8,0,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",1,6.46508183835236,0.064560969317477,264.8157818,125.8157818,195.3157818,139,-12.1842182,-18.1842182,6,93,92.8062497895481,28,288,272,0,4,0,122.64688,36.10928,158.75616,3.39654736954047
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",2,9.76044825871079,0.0972962948463699,252.8157818,124.8157818,188.8157818,128,-10.1842182,-27.1842182,17,175,174.172328456618,52,212,284,0,0,4,127.09664,49.00448,176.10112,2.59357185302242
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",3,8.78368967005369,0.0876120400898281,255.8157818,125.8157818,190.8157818,130,-1.1842182,-15.1842182,14,160,159.386323127174,40,224,192,0,8,0,177.21712,93.29424,270.51136,1.89955049743693
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",4,7.26912935085673,0.0725636637206851,252.8157818,132.8157818,192.8157818,120,8.8157818,-20.1842182,29,400,398.947364949313,32,192,260,0,0,8,178.25168,47.488,225.73968,3.75361522911051
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",5,6.20237196166737,0.0619443688113053,253.8157818,124.8157818,189.3157818,129,27.8157818,-37.1842182,65,1050,1047.9861640308,164,228,276,0,0,0,135.69792,48.0304,183.72832,2.82525067457277
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",6,4.73451178250437,0.0473097896833382,251.8157818,124.8157818,188.3157818,127,30.8157818,-31.1842182,62,1311,1309.5331229106,100,172,228,0,4,0,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",7,4.2647426460639,0.0426215988844513,246.8157818,119.8157818,183.3157818,127,19.8157818,-29.1842182,49,1150,1148.95561271966,84,216,304,0,0,8,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",8,4.74760952078448,0.0474404733197703,251.8157818,131.8157818,191.8157818,120,-4.1842182,-27.1842182,23,485,484.454332213058,32,264,220,0,0,0,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",9,4.1702882811415,0.0416787324225779,244.8157818,141.8157818,193.3157818,103,-9.1842182,-14.1842182,5,120,119.895788082818,72,192,264,0,0,0,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",10,2.42629268280637,0.0242581673980028,256.8157818,120.8157818,188.8157818,136,13.8157818,-30.1842182,44,1814,1813.466294145,80,256,192,0,0,4,NA,NA,NA,NA
"Nossuk Bay b","H_02_b",55.714689,-133.358474,"High","2/6/18","Yes",11,2.65525652232205,0.0265463276661075,NA,NA,NA,NA,4.8157818,-38.1842182,43,1620,1619.4292204354,24,176,184,0,0,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",1,6.8913053827224,0.0688042740464302,235.3165333,132.3165333,183.8165333,103,-8.68346670000001,-19.6834667,11,160,159.621427133076,4,248,372,0,4,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",2,7.38439238802284,0.0737101395226681,244.3165333,124.3165333,184.3165333,120,-4.68346670000001,-23.6834667,19,258,257.299436454882,6,140,428,0,0,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",3,7.56875632608596,0.0755435298965975,247.3165333,115.3165333,181.3165333,132,3.31653329999999,-16.6834667,20,265,264.244205234476,14,192,364,0,4,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",4,10.5851224804993,0.105458525399318,248.3165333,118.3165333,183.3165333,130,-17.6834667,-23.6834667,6,57,56.6833308830736,10,260,236,0,8,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",5,8.27284603286316,0.0825405004222736,245.3165333,117.3165333,181.3165333,128,3.31653329999999,-27.6834667,31,376,374.719895388542,8,132,372,0,8,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",6,5.56414884074657,0.0555841732809175,240.3165333,126.3165333,183.3165333,114,-16.6834667,-23.6834667,7,126,125.80540528928,30,240,404,0,8,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",7,7.37931746155239,0.0736596653010032,235.3165333,124.3165333,179.8165333,111,-2.68346670000001,-19.6834667,17,231,230.373609599711,4,236,364,0,4,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",8,7.39720475003199,0.0738375670835105,232.3165333,128.3165333,180.3165333,104,-9.68346670000001,-27.6834667,18,244,243.335159810497,14,164,300,0,4,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",9,5.85269487193151,0.0584602595853314,226.3165333,122.3165333,174.3165333,104,-6.68346670000001,-32.6834667,26,445,444.239800108005,18,168,376,0,12,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",10,7.31112862173643,0.0729814361310279,217.3165333,125.3165333,171.3165333,92,-11.6834667,-25.6834667,14,192,191.488903072737,28,356,296,0,8,0,NA,NA,NA,NA
"Nossuk Bay c","H_02_c",55.722637,-133.325372,"High","30/6/18","No",11,8.02572353905128,0.080085580033659,NA,NA,NA,NA,-12.6834667,-18.6834667,6,75,74.7596147662627,2,228,252,0,0,0,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",1,2.3816275411477,0.0238117739606687,221.7531429,92.7531429,157.2531429,129,-19.2468571,-46.2468571,27,1134,1133.67852586172,100,196,120,0,0,4,87.90576,64.74816,152.65392,1.35765649556682
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",2,2.74894726124077,0.0274825514168482,230.7531429,104.7531429,167.7531429,126,-22.2468571,-45.2468571,23,837,836.683930764778,48,100,240,0,0,16,46.28416,54.91872,101.20288,0.842775650998421
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",3,1.57054541934897,0.0157041630753611,236.7531429,94.7531429,165.7531429,142,-24.2468571,-49.2468571,25,1592,1591.80369392711,88,100,220,0,0,0,71.9376,58.93616,130.87376,1.22060208876859
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",4,1.91816100031131,0.0191792579991181,221.7531429,91.7531429,156.7531429,130,-20.2468571,-41.2468571,21,1095,1094.79861161768,48,56,184,0,4,0,35.984,20.28608,56.27008,1.77382717607345
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",5,2.27929472943535,0.0227890014054023,224.7531429,88.7531429,156.7531429,136,-25.2468571,-51.2468571,26,1141,1140.70373015959,160,56,200,0,0,8,115.01408,63.32,178.33408,1.81639418825016
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",6,1.4519532561818,0.01451851237027,225.7531429,89.7531429,157.7531429,136,-25.2468571,-50.2468571,25,1722,1721.81851540747,88,68,116,0,0,8,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",7,2.13779403550137,0.0213746845584299,233.7531429,95.7531429,164.7531429,138,-25.2468571,-58.2468571,33,1544,1543.64730427647,40,92,128,0,4,12,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",8,3.40260563246514,0.0340129339615385,236.7531429,110.7531429,173.7531429,126,-25.2468571,-57.2468571,32,941,940.455740585382,80,60,188,0,0,12,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",9,1.5186132578412,0.0151849653382604,228.7531429,102.7531429,165.7531429,126,-39.2468571,-46.2468571,7,461,460.946851600052,72,52,228,0,0,12,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",10,1.47384425992279,0.0147373755684894,227.7531429,105.7531429,166.7531429,122,-42.2468571,-56.2468571,14,950,949.896836503838,64,124,112,0,4,8,NA,NA,NA,NA
"Chusini Cove b","H_03_b",55.813558,-133.167403,"High","13/6/18","Yes",11,1.69835809349265,0.0169819482913326,NA,NA,NA,NA,-44.2468571,-53.2468571,9,530,529.923579396124,44,160,120,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",1,3.83844102590558,0.0383655755171778,231.3424,116.3424,173.8424,115,-36.6576,-50.6576,14,365,364.731408025138,48,124,168,0,0,0,65.2326399999999,20.8827199999999,86.1153599999999,3.12376165556978
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",2,3.33518672982535,0.0333395092613021,225.3424,103.3424,164.3424,122,-29.6576,-34.6576,5,150,149.916643505649,48,136,156,0,0,0,66.7352,35.31952,102.05472,1.88947075158439
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",3,0.961582914438859,0.00961553278760919,227.3424,97.3424,162.3424,130,-35.6576,-36.6576,1,104,103.995192196563,24,200,224,0,0,0,106.7616,38.09584,144.85744,2.80244772132601
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",4,1.62183487908888,0.0162169270183545,229.3424,116.3424,172.8424,113,-39.6576,-42.6576,3,185,184.97567407635,40,112,104,0,0,0,48.6604799999999,27.54176,76.2022399999999,1.7667890505182
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",5,1.72439425125162,0.0172422336348636,230.3424,111.3424,170.8424,119,-44.6576,-45.6576,1,58,57.9913786695919,20,164,192,0,0,0,47.67456,16.20992,63.8844799999999,2.94107312065699
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",6,4.85419377768588,0.0485038648144966,NA,NA,NA,NA,-36.6576,-52.6576,16,330,329.611892989316,44,100,164,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",7,2.85830975237515,0.0285753172692927,NA,NA,NA,NA,-31.6576,-34.6576,3,105,104.957134107215,32,88,188,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",8,6.01082924775646,0.0600360584452784,NA,NA,NA,NA,-34.6576,-49.6576,15,250,249.549594269356,24,124,176,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",9,5.05695871289209,0.0505265462327392,NA,NA,NA,NA,-34.6576,-39.6576,5,99,98.8736567544662,52,188,216,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",10,5.38897398743857,0.0538376634480095,NA,NA,NA,NA,-24.6576,-36.6576,12,223,222.676895972618,56,164,252,0,0,0,NA,NA,NA,NA
"Kaguk Cove a","H_04_a",55.733423,-133.29047,"High","30/5/18","Yes",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,76,88,0,0,0,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",1,4.78157621912829,0.0477793709567546,257.5016,197.5016,227.5016,60,-38.4984,-54.4984,16,335,334.617692299735,20,112,156,0,0,0,40.13424,22.4712,62.6054399999999,1.78603011855175
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",2,4.87758663645735,0.0487372408393684,255.5016,200.5016,228.0016,55,-37.4984,-56.4984,19,390,389.53690454179,24,76,100,0,4,0,65.25776,32.41776,97.6755199999999,2.01302495915819
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",3,6.48508870950193,0.0647602027078765,251.5016,199.5016,225.5016,52,-35.4984,-77.4984,42,649,647.639560249372,28,72,88,0,0,4,84.50672,40.82992,125.33664,2.06972533867321
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",4,6.12499401856345,0.061173517956702,246.5016,191.5016,219.0016,55,-44.4984,-72.4984,28,458,457.143303571211,8,84,120,0,0,0,74.58464,42.09344,116.67808,1.7718827446747
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",5,8.56365280948918,0.0854281026621606,254.5016,194.5016,224.5016,60,-44.4984,-69.4984,25,293,291.931498814362,28,96,72,0,0,0,63.57376,29.11088,92.6846399999999,2.18384878780717
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",6,11.3772756827276,0.113285633898269,250.5016,196.5016,223.5016,54,-54.4984,-67.4984,13,115,114.262854856686,28,44,96,0,0,4,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",7,4.86009869599837,0.0485627750174222,240.5016,187.5016,214.0016,53,-33.4984,-48.4984,15,309,308.63570759068,32,100,164,0,4,4,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",8,76.3144652199071,0.651860745663709,245.5016,190.5016,218.0016,55,52.5016,-38.4984,91,150,119.243448457347,16,72,104,0,4,0,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",9,4.72969074285884,0.0472616870021791,245.5016,174.5016,210.0016,71,-27.4984,-51.4984,24,508,507.432754165515,28,116,156,0,0,4,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",10,2.33526685540621,0.023348424838974,243.5016,186.5016,215.0016,57,-37.4984,-43.4984,6,257,256.929951543217,12,44,88,0,0,0,NA,NA,NA,NA
"Naukati Bay b","H_05_b",55.865721,-133.156399,"High","28/5/18","Yes",11,3.25171776716352,0.0325057240753088,NA,NA,NA,NA,-34.4984,-47.4984,13,400,399.788694187317,24,60,124,0,0,0,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",1,4.79138463362802,0.0478772309006784,216.6656,142.6656,179.6656,74,-11.3344,-30.3344,19,397,396.545079404599,24,188,264,0,0,0,79.40736,32.65728,112.06464,2.43153624551708
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",2,4.81325818548256,0.0480954631248575,207.6656,141.6656,174.6656,66,-21.3344,-31.3344,10,208,207.759476318169,8,176,244,0,0,0,103.65072,28.05488,131.7056,3.69457007123182
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",3,5.0537600513647,0.0504946411561825,206.6656,145.6656,176.1656,61,-16.3344,-32.3344,16,317,316.595957017774,16,128,208,0,0,0,140.41536,35.7326399999999,176.148,3.92961057453354
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",4,4.21426360827343,0.0421177141686576,189.6656,141.6656,165.6656,48,-11.3344,-19.3344,8,190,189.831504234676,4,196,232,0,4,4,87.06864,31.3046399999999,118.37328,2.78133337422184
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",5,5.57827907108448,0.0557250383610434,210.6656,141.6656,176.1656,69,-8.33440000000001,-30.3344,22,395,394.386865907068,88,288,180,0,16,0,101.16944,39.27248,140.44192,2.57608992352915
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",6,5.41331961960767,0.0540804116141758,218.6656,143.6656,181.1656,75,-13.3344,-25.3344,12,222,221.675438422934,44,336,240,0,16,0,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",7,5.7471729249773,0.0574085779883191,210.6656,147.6656,179.1656,63,-11.3344,-18.3344,7,122,121.79901477434,36,180,344,0,0,0,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",8,5.79482906215957,0.057883557458154,216.6656,144.6656,180.6656,72,-10.3344,-24.3344,14,242,241.594701928664,32,132,224,0,0,4,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",9,6.34182861789801,0.0633334705311333,217.6656,154.6656,186.1656,63,-15.3344,-25.3344,10,158,157.683226755416,4,176,308,0,0,8,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",10,5.23102292352963,0.0522625942110887,214.6656,148.6656,181.6656,66,-22.3344,-29.3344,7,134,133.817039273779,12,284,232,0,0,4,NA,NA,NA,NA
"Guktu Cove b","H_06_b",55.740264,-133.311306,"High","31/5/18","Yes",11,4.83322154582844,0.0482946333850819,NA,NA,NA,NA,-17.3344,-24.3344,7,145,144.830935921853,20,236,276,0,0,0,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",1,6.18321466414835,0.0617535277254036,238.545456,150.545456,194.545456,88,3.54545599999998,-50.454544,54,875,873.332124681098,80,180,640,0,4,12,67.67568,66.9052799999999,134.58096,1.01151478627696
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",2,5.95648462811996,0.0594945510831513,237.545456,142.545456,190.045456,95,-6.45454400000002,-50.454544,44,740,738.690733663283,20,352,960,8,4,0,149.54352,103.41376,252.95728,1.44606984602436
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",3,5.78744588634975,0.0578099724840272,233.545456,144.545456,189.045456,89,-3.45454400000002,-42.454544,39,675,673.872391480761,20,356,608,0,0,8,126.84064,77.65664,204.49728,1.63335215121334
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",4,6.249593562022,0.0624147614298603,248.545456,139.545456,194.045456,109,-11.454544,-42.454544,31,497,496.03225701561,68,408,796,12,0,16,103.57312,91.49056,195.06368,1.13206346097346
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",5,4.79592519464144,0.0479225324118851,246.545456,135.545456,191.045456,111,-16.454544,-32.454544,16,334,333.616546352246,260,120,656,12,4,8,114.42112,105.53936,219.96048,1.08415590164655
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",6,5.80124309463942,0.0579474828834074,243.545456,134.545456,189.045456,109,-16.454544,-31.454544,15,259,258.565272223476,184,356,672,0,0,4,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",7,5.19216975459811,0.0518751149488055,244.545456,131.545456,188.045456,113,-5.45454400000002,-26.454544,21,405,404.455189112465,32,172,884,0,0,12,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",8,5.40634127492077,0.0540108318014618,241.545456,120.545456,181.045456,121,-3.45454400000002,-24.454544,21,389,388.432748361927,316,356,760,8,0,16,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",9,5.85191867067236,0.058452524066501,233.545456,130.545456,182.045456,103,3.54545599999998,-13.454544,17,291,290.503012032578,100,164,832,0,0,8,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",10,5.8925565098879,0.0588575059470812,228.545456,120.545456,174.545456,108,5.54545599999998,-6.45454400000002,12,204,203.646752981726,NA,896,628,0,0,8,NA,NA,NA,NA
"Blanquizal Bay a","H_07_a",55.620484,-133.386254,"High","18/6/18","Yes",11,6.32842387290044,0.0631999589145339,228.545456,124.545456,176.545456,104,15.545456,-8.45454400000002,24,380,379.24134795668,264,656,500,0,16,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",1,3.34448732076573,0.033432411542684,220.0176,78.0176,149.0176,142,11.0176,-24.9824,36,1077,1076.39816053355,42,144,344,0,0,0,53.04352,53.91088,106.9544,0.983911225340785
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",2,2.84333264949288,0.0284256678635373,241.0176,81.0176,161.0176,160,28.0176,-9.9824,38,1337,1336.45987594091,44,436,292,0,12,0,119.4176,87.0552,206.4728,1.37174574293092
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",3,2.93079075438322,0.0292995204898152,240.0176,72.0176,156.0176,168,29.0176,-7.9824,37,1263,1262.4579200908,16,192,412,0,4,4,88.39712,83.35888,171.756,1.06044035140587
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",4,3.06265985002526,0.0306170280864117,234.0176,76.0176,155.0176,158,12.0176,-8.9824,21,686,685.678496089822,14,264,396,0,0,4,133.06384,78.70976,211.7736,1.690563406622
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",5,3.16363732776152,0.0316258250831945,230.0176,90.0176,160.0176,140,4.0176,-11.9824,16,506,505.746972309276,4,296,304,0,0,0,128.57808,80.35248,208.93056,1.600175626191
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",6,100.165817951149,0.786226566143307,233.0176,85.0176,159.0176,148,25.0176,-20.9824,46,65,45.9238500128201,6,332,408,0,0,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",7,4.66829092533676,0.0466490415986293,225.0176,79.0176,152.0176,146,-25.9824,-34.9824,9,193,192.790041236574,24,128,340,0,4,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",8,3.66913396962422,0.0366748876907408,234.0176,77.0176,155.5176,157,-34.9824,-45.9824,11,300,299.798265505323,4,288,392,4,4,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",9,5.64276492686879,0.0563678733835634,237.0176,77.0176,157.0176,160,-39.9824,-43.9824,4,71,70.8872343937891,40,300,404,0,8,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",10,7.0172132847155,0.0700572930880503,224.0176,75.0176,149.5176,149,-45.9824,-52.9824,7,100,99.7546991374341,8,160,404,0,0,0,NA,NA,NA,NA
"Kinani Point a","H_08_a",55.889904,-133.250006,"High","14/7/18","No",11,6.41711284239017,0.0640832612693522,NA,NA,NA,NA,-38.9824,-51.9824,13,203,202.58331619361,10,224,268,0,4,4,NA,NA,NA,NA
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",1,9.67057332604031,0.0964059496480675,261.0256,98.0256,179.5256,163,9.02560000000001,-8.97439999999999,18,187,186.131673822593,52,272,472,0,8,12,39.03312,66.71232,105.74544,0.585096126172796
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",2,6.23921483234372,0.0623113772547797,282.0256,101.0256,191.5256,181,25.0256,8.02560000000001,17,273,272.470181854822,8,80,408,0,4,4,22.94576,28.65984,51.6056,0.800624148634465
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",3,5.90065659068621,0.058938226091331,263.0256,105.0256,184.0256,158,48.0256,5.02560000000001,43,730,728.732461195465,148,140,420,0,0,8,21.59392,28.19568,49.7896000000001,0.765859167078077
"Soda Bay a","L_01_a",55.264232,-132.994318,"Low","27/6/18","No",4,NA,NA,273.0256,102.0256,187.5256,171,NA,NA,NA,NA,NA,20,384,NA,0,8,4,53.33584,44.82608,98.16192,1.18983948629905
