"","Season","PreyCat","length.mean","length.sd","length.n","mass.mean","mass.sd","mass.n","edible.mean","edible.sd","edible.n","Kcal.mean","Kcal.sd","Kcal.n","protein.mean","protein.sd","protein.n","lipid.mean","lipid.sd","lipid.n","ash.mean","ash.sd","ash.n","moisture.mean","moisture.sd","moisture.n"
"11","Summer","Abalone",52.6666666666667,24.3789526709687,3,19.31,18.9569723320999,3,66.8697141355043,4.74195807169811,3,4.635914594553,0.126703100180916,3,NA,NA,0,NA,NA,0,NA,NA,0,75.0866666666667,4.76533664428163,3
"12","Summer","Carn Snail",38.3636363636364,14.9014947389363,11,2.04363636363636,2.07131008169841,11,22.0580480501075,8.46509658939499,11,4.9012906302027,0.357416454804159,10,68.9072727272727,5.5858197087072,11,1.10666666666667,0.215715862498179,3,NA,NA,0,76.7881818181818,3.45040234808006,11
"13","Summer","Chiton",132.5,24.7487373415292,2,88.725,63.3496965265028,2,29.7108125684473,3.10330831139052,2,4.457456978265,0.216323298225654,2,NA,NA,0,NA,NA,0,NA,NA,0,78.575,3.21733585439879,2
"14","Summer","Clam",54.6551724137931,8.60450821234745,29,23.5020689655172,12.4236078206288,29,43.4215473458257,6.25959351221378,29,4.29196610995852,0.261986433556204,29,60.1451724137931,5.40740208331509,29,0.975263157894737,0.302753446095675,19,2.60103448275862,0.311303077259654,29,86.2975862068966,2.28125537991133,29
"15","Summer","Crab",80.2083333333333,36.4551292587938,24,45.4983333333333,71.4886693160511,24,40.6746200449064,9.34116474611303,24,4.67754142692375,0.455302131564663,24,60.1710526315789,8.12375795274907,19,1.95230769230769,1.40823857972855,13,2.8,0.354400902933387,14,81.6391666666667,5.64066517559662,24
"16","Summer","Cucumber",230,25.4950975679639,5,289.476,57.1988262991471,5,100,0,5,3.4220841294798,0.19196044431118,5,44.826,2.07706042280912,5,0.612,0.0825832912882503,5,3.322,0.220272558436134,5,90.908,1.12070067368589,5
"17","Summer","Herb Snail",25.1666666666667,1.04083299973307,3,0.956666666666667,0.182300118851671,3,13.5432939243734,2.26177346762274,3,4.704429572235,0.0706719121419694,3,74.6366666666667,2.48534370527164,3,1.36333333333333,0.1955334583475,3,NA,NA,0,75.0033333333333,1.0545773244923,3
"18","Summer","Mussel",42.2777777777778,4.47291230010655,9,3.47666666666667,0.685018247932126,9,43.3169460242706,6.96572853018436,9,4.6235659648545,0.148958025820978,8,54.0644444444444,3.85454962061429,9,NA,NA,0,NA,NA,0,82.7766666666667,1.82059056352602,9
"19","Summer","Scallop",68.3125,63.3645560568818,8,57.725,104.454850533616,8,41.2865332112165,14.7212859757034,7,5.01613288639875,0.187714624321192,8,NA,NA,0,NA,NA,0,NA,NA,0,79.38875,2.35361386261335,8
"20","Summer","Star",60.625,15.4827861403129,16,50.834375,44.2646662653559,16,19.3594861428344,7.40815632597749,16,5.85459488435456,0.307552458317801,16,48.8766666666667,7.02129855036327,3,NA,NA,0,NA,NA,0,74.094375,4.44625230765567,16
"21","Summer","Urchin",38.875,7.29040465269247,16,6.178125,3.97794120745895,16,25.125819879094,6.6742872249589,16,3.96585205482431,0.76410435048576,16,35.4286666666667,11.3515611680676,15,3.856,5.18092076758562,15,2.38333333333333,0.381357225358762,3,90.284375,2.87534570385313,16
"22","Winter","Carn Snail",43,19.6214168703486,9,1.25444444444444,0.808704382192763,9,19.3923664440473,11.0238946300735,9,4.680528998625,0.283346987102108,6,68.6242857142857,3.47657329920741,7,1.7625,1.55210341150324,4,NA,NA,0,74.99,2.0800901422775,9
"23","Winter","Clam",57.1304347826087,13.5891144531405,23,29.1404347826087,20.7766187375619,23,45.3142790890582,3.94217925941902,23,4.4529886101553,0.27021806408713,23,61.7860869565217,4.20963800984278,23,0.85,0.333112047761165,23,2.34611111111111,0.65636377009461,18,85.3434782608696,3.01719106077709,23
"24","Winter","Crab",64.5833333333333,11.8676731782884,6,23.095,7.52034241241714,6,41.2640372504592,5.13832007046806,6,4.893244103754,0.63620555548217,6,67.8116666666667,2.19398647823241,6,3.448,1.76699462364773,5,2.574,0.461009761284943,5,78.3066666666667,7.76101453849087,6
"25","Winter","Cucumber",234.8,99.7757485564503,5,354.658,272.613977668057,5,100,0,5,2.7523900569276,0.399105945326195,5,38.674,8.41509833572965,5,0.164,0.0357770876399966,5,3.262,0.67961018238399,5,92.946,0.86167279172549,5
"26","Winter","Herb Snail",17.7142857142857,2.28868854108532,7,0.414285714285714,0.255920374521526,7,16.9689988089919,11.0644417041952,7,4.770554492556,NA,1,77.6514285714286,2.39736263820216,7,1.56,NA,1,NA,NA,0,76.9528571428571,5.50747284540352,7
"27","Winter","Mussel",33.5,5.04975246918104,12,1.46666666666667,0.61700645839162,12,41.2115266269527,9.90102026405424,12,4.572179731593,0.0878813399041719,2,64.7018181818182,3.59938833187479,11,NA,NA,0,NA,NA,0,83.3083333333333,0.927360215718236,12
"28","Winter","Scallop",61,NA,1,11.36,NA,1,50.8960573476702,NA,1,4.760994263112,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,77.58,NA,1
"29","Winter","Star",51.3,23.228574357172,10,39.935,50.3768657774137,10,19.4966557161389,10.2327917163318,10,5.5922562132678,0.375962767388734,10,48.09,0.339411254969541,2,NA,NA,0,NA,NA,0,77.162,3.5667003113678,10
"30","Winter","Urchin",38.0714285714286,10.2486932964995,7,6.6,2.84089774543189,7,28.9360256465497,10.5542652021356,7,3.1897705539906,1.11870336232663,5,28.3542857142857,15.4101685661804,7,3.33571428571429,3.77246540581822,7,7.81,NA,1,78.61,11.3923848834795,7
