site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,Sex
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,54,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,48,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,55,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,37,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,51,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,50,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,NA,16,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile greenling,Hexagrammidae sp.,UNGREEN,65,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,32,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,36,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,27,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,29,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,28,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,28,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,35,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,32,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,28,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,24,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,29,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,29,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,24,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,30,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,27,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Walleye pollock,Gadus chalcogrammus,POLLOCK,NA,211,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pink salmon,Oncorhynchus gorbuscha,SALPINK,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pink salmon,Oncorhynchus gorbuscha,SALPINK,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pink salmon,Oncorhynchus gorbuscha,SALPINK,32,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Rock sole,Lepidopsetta spp.,SOLEROC,21,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Rock sole,Lepidopsetta spp.,SOLEROC,101,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Starry flounder,Platichthys stellatus,FLOUNST,107,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Starry flounder,Platichthys stellatus,FLOUNST,107,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Starry flounder,Platichthys stellatus,FLOUNST,172,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Starry flounder,Platichthys stellatus,FLOUNST,18,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,27,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,34,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,19,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,23,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,36,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,21,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,28,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,23,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,28,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,17,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,32,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,30,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,11,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,11,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,15,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,10,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,30,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,32,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,11,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,35,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,33,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,25,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile Myoxocephalus,Myoxocephalus sp.,UNMYOXO,NA,28,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,56,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,19,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,29,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,20,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,53,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,22,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,63,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,121,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,50,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,58,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,59,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,29,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,45,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Speckled sanddab,Citharichthys stigmaeus,SDABSPKL,48,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,16,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,15,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,10,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,16,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,55,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,19,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,9,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,31,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,9,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,12,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,16,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,20,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Buffalo sculpin,Enophrys bison,SCULBUF,17,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile greenling,Hexagrammidae sp.,UNGREEN,26,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile greenling,Hexagrammidae sp.,UNGREEN,63,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile greenling,Hexagrammidae sp.,UNGREEN,60,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile greenling,Hexagrammidae sp.,UNGREEN,62,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pacific sanddab,Citharichthys sordidus,SDABPAC,36,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Crescent gunnel,Pholis laeta,GUNNCRE,82,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Crescent gunnel,Pholis laeta,GUNNCRE,89,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile flatfish,Pleuronectidae,UNFLAT,39,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Juvenile flatfish,Pleuronectidae,UNFLAT,18,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Chum salmon,Oncorhynchus keta,SALCHUM,40,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Helmet crab,Temessus cheiragonus,CRABHEL,NA,1,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Northern kelp crab,Pugettia producta ,CRABNKE,NA,1,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,45,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,47,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,45,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,62,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,43,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,45,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,53,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,40,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,51,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,46,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,53,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,34,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,54,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,39,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,45,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,42,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,46,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,31,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,46,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,45,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,41,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,47,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,50,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,39,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,43,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,44,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,50,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,49,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,48,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,52,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,43,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Chum salmon,Oncorhynchus keta,SALCHUM,NA,25,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,90,,
2017_L_01,5/11/17,20170511,845,855,gentle,-0.78,813,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,93,,
