site,habitat,so_region,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,taxon,Sex,notes
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,86,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,96,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,,56,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,,115,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,146,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,113,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,131,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,135,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,139,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,136,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,232,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,294,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,133,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,142,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,163,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,225,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,123,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,160,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,116,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,219,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,124,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,157,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,271,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,142,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,240,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,168,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,152,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,103,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,145,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,254,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,151,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,120,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,231,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Juvenile greenling,Hexagrammidae,UNGREEN,184,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Juvenile greenling,Hexagrammidae,UNGREEN,250,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,56,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,51,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,50,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,45,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,16,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,42,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,50,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,32,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,44,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,30,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Tubesnout,Aulorhynchus flavidus,TUBESNT,44,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,75,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,85,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,91,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,85,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,129,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,113,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,112,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,126,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,128,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,124,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,130,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,139,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,83,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,86,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Kelp perch,Brachyistius frenatus,PERCHKE,78,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,35,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,42,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,70,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,41,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,51,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,48,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,51,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,53,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,55,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,50,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,40,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,62,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Silverspotted sculpin,Blepsias cirrhosus,SCULSILV,52,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,89,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,113,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,114,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,75,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,136,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,144,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,91,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,123,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,98,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,126,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,143,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,142,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,126,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,132,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,91,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,105,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,92,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,138,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,130,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,107,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,92,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,115,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,96,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,142,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,100,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,128,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,80,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,92,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,135,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Shiner perch,Cymatogaster aggregata,PERCHSH,,80,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,89,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,159,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,102,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,142,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,176,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,162,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,196,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,89,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,166,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,205,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,90,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,157,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,103,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,146,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,95,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,171,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,106,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,135,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,104,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Crescent gunnel,Pholis laeta,GUNNCRE,118,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Pacific cod,Gadus macrocephalus,CODPAC,49,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Pacific cod,Gadus macrocephalus,CODPAC,48,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Pacific cod,Gadus macrocephalus,CODPAC,46,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Pacific cod,Gadus macrocephalus,CODPAC,43,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Rock greenling,Hexagrammos lagocephalus,GREENROC,59,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Rock greenling,Hexagrammos lagocephalus,GREENROC,69,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Rock greenling,Hexagrammos lagocephalus,GREENROC,56,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Rock greenling,Hexagrammos lagocephalus,GREENROC,52,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Rock greenling,Hexagrammos lagocephalus,GREENROC,61,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,55,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,57,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,53,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,42,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,44,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,43,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,51,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Penpoint gunnel,Apodichthys flavidus,GUNNPEN,47,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Bocaccio,Sebastes paucispinis,BOCACCIO,159,,fish,,
