"","site","site_name","latitude","longitude","date","julian_day","depth_m","so_index","pits_in","pits_edge","pits_out","pits_tot_site","sed1_in","sed1_edge","sed1_out","sed2_in","sed2_edge","sed2_out","sedmean_in","sedmean_edge","sedmean_out","sed1_site","sed2_site","sedmean_site","macroalgae_percent_cover","epiphyte_percent_cover","epiphyte_mass_perplant","epi_mass_shootmass_g.g","epi_mass_leafarea_mg.cm2","flower_density_m2","shoot_mass_perplant","shoot_density_m2","shoot_mass_m2","leaf_length_mean","leaf_length_max","leaf_width_mean","leaf_width_max","leaf_area_blade","leaf_area_plant","rhi_mass_percm","rhi_mass_percm_m2","shoot_mass_m2_sd","rhi_mass_percm_m2_sd","nox_1m","nox_4m","nox_mean","nh4_1m","nh4_4m","nh4_mean","nox.nh4","n_tot","po4_1m","po4_4m","po4_mean","grazer_mass"
"11","2017_L_04","Natzuhini Bay",55.25051,-132.883,2017-06-28,179,-0.54,-0.687439614890287,0,0,0,0,4.6,4,4,3,4,4.5,3.8,4,4.25,4.2,3.83333333333333,4.01666666666667,0.625,94.125,0.00265,0.0123763821266361,0.0324896247754845,2.5,0.2141175,170.5,37.42206,34.602869047619,52.4925,0.431854166666667,0.47,15.3624467261905,81.5645,0.0139682817460317,2.33788611904762,14.6345999444526,0.383344801067845,0.349142857,0.331142857,0.340142857,2.196292271,1.676292271,1.936292271,0.175667104648583,2.276435128,0.3375,0.5905,0.464,0.0809625
"12","2017_L_05","Dunbar Inlet",55.0848,-132.826,2017-06-27,178,-0.76,-0.691267374866549,0,0,0,0,2,2,2.6,2,6.9,6.7,2,4.45,4.65,2.2,5.2,3.7,0,50.5,0.003625,0.0235672723726555,0.0641065317924187,1.5,0.153815,230,35.09333,28.5680892857143,39.8875,0.408607142857143,0.44,11.993294047619,56.5465,0.0219794700360611,4.93457973090215,12.3303963457882,0.569982397170444,0.253542857,0.511642857,0.382592857,1.611292271,1.501292271,1.556292271,0.245836122256242,1.938885128,0.3025,0.3425,0.3225,0.0454375
"13","2017_L_06","Farallon Bay",55.19112,-133.105314,2017-07-23,204,-0.5,-0.710079932934264,0,0,0,0,3.8,4.5,5.2,5.3,6.6,6.5,4.55,5.55,5.85,4.5,6.13333333333333,5.31666666666667,56.25,62.5,0.00265,0.00484806351877938,0.0176859738547915,0.5,0.54661,181.5,96.40332,51.4504702380952,71.6925,0.556809523809524,0.585,29.6865976190476,149.83625,0.0263450549886621,4.66621431746032,47.4848173387663,1.91242777581988,2.433142857,2.238142857,2.335642857,3.111292271,2.621292271,2.866292271,0.814865560163247,5.201935128,0.556,0.7195,0.63775,0.1196
"14","2017_L_07","Hetta Cove",55.155625,-132.589934,2017-07-22,203,-0.5,-0.540281836848524,0,1,4,5,5.2,2.6,2.5,5,6.2,7,5.1,4.4,4.75,3.43333333333333,6.06666666666667,4.75,1.625,57.75,0.0013925,0.00730348128237068,0.0204884867211064,4.5,0.1906625,275,53.48682,32.058375,44.465,0.434428571428571,0.4625,14.3016220238095,67.965,0.0209459277306879,5.7808393775202,22.9370582723716,1.40710296933968,1.003642857,0.612642857,0.808142857,0.460292271,2.598292271,1.529292271,0.528442386275553,2.337435128,0.196,0.3655,0.28075,0.004725
"15","2017_M_02","North Fish Egg Island",55.49709,-133.17,2017-05-24,144,-0.5,-0.197470395524915,5,3,0,8,3.3,3.9,6.7,3.5,4.7,5.2,3.4,4.3,5.95,4.63333333333333,4.46666666666667,4.55,0,2.75,0.0012425,0.00618336091170361,0.0213348672687936,0,0.2009425,369,70.43177,25.2498154761905,36.51,0.355315476190476,0.4125,9.78022113095238,58.238,0.0175971018088871,6.16986686883857,44.7136174692677,1.64236673684047,0.081942857,0.169092857,0.125517857,1.153792271,1.646292271,1.400042271,0.0896529052014601,1.525560128,0.297,0.3625,0.32975,0.0676875
"16","2017_M_03","South Fish Egg Island",55.48442,-133.175,2017-05-25,145,-0.5,0.0257387631412467,106,22,62,190,3.4,4.9,3.4,4,6,7,3.7,5.45,5.2,3.9,5.66666666666667,4.78333333333333,0,0,0.001235,0.00799637411376218,0.0264212097063181,4.5,0.154445,265.5,41.04109,25.132130952381,38.865,0.326226190476191,0.3725,8.57590089285714,46.74275,0.0215847816543323,5.63346836146632,13.106753504528,1.59556220253654,0.0366142856666667,0,0.0183071428333333,1.336292271,0.901292271,1.118792271,0.0163633082815008,1.13709941383333,0.415,0.203,0.309,0.02815
"17","2017_M_04","South Wadleigh Island",55.52904,-133.147,2017-06-22,173,-0.5,-0.132782061317154,5,13,33,51,1,2.8,2.3,1,2.7,4.6,1,2.75,3.45,2.03333333333333,2.76666666666667,2.4,0,95.625,0.00343157894736842,0.0150789796248757,0.0402229536109663,3,0.227573684210526,381,87.34701,38.5784210526316,55.6684210526316,0.425031328320802,0.463157894736842,16.9023020050125,85.3139473684211,0.0161721891860414,6.27893253867141,27.2180181727977,2.18538291865348,0,0,0,1.406292271,0.798292271,1.102292271,0,1.102292271,0.532,0.3765,0.45425,0.0223125
"18","2017_M_05","Shinaku Inlet",55.59929,-133.16,2017-06-23,174,-0.5,0.0671056130151483,1,10,0,11,1,2.8,4,1,7,7,1,4.9,5.5,2.6,5,3.8,0,100,0.0102842105263158,0.0516296090787788,0.12555218222415,3,0.199192105263158,266,52.36132,34.9321021303258,52.4894736842105,0.422005012531328,0.460526315789474,15.4748909774436,81.9118421052632,0.0138531964651889,3.51083798268398,11.5480675848188,0.596093221164158,0.934642857,0.415642857,0.675142857,3.341292271,1.751292271,2.546292271,0.26514743208754,3.221435128,0.625,0.5115,0.56825,0.0434
"19","2017_M_06","Trocadero Bay",55.344914,-133.0011,2017-08-21,233,-0.61,-0.597774179782937,0,0,1,1,4.7,4.9,4.8,7.3,5.2,7.4,6,5.05,6.1,4.8,6.63333333333333,5.71666666666667,4,64.375,0.00473249999999999,0.0155848646512547,0.0544840706767479,3.5,0.30366,471,140.37845,45.002125,59.1975,0.433,0.455,19.9215875,86.86025,0.0288635457501517,13.2852185998567,42.1481460217905,2.95950674473915,0.721642857,1.360142857,1.040892857,2.446292271,2.341292271,2.393792271,0.434830068427437,3.434685128,0.4625,0.5705,0.5165,0.016575
"20","2017_M_07","Garcia Bay",55.552669,-133.431392,2017-07-26,207,-0.59,0.261289315490084,2,26,36,64,3.5,3.3,3.6,5.7,6.4,6.1,4.6,4.85,4.85,3.46666666666667,6.06666666666667,4.76666666666667,3.125,71.25,0.0039275,0.0158972698386999,0.0478211106917167,0,0.247055,283,73.17176,39.1216011904762,52.235,0.428244047619048,0.455,17.0056892857143,82.129,0.0160108591301545,4.67293409396462,33.4141041283587,1.70645484651864,1.643142857,2.093142857,1.868142857,1.716292271,1.911292271,1.813792271,1.02996516572983,3.681935128,0.6375,0.638,0.63775,0.0181
"21","2017_M_08","Port Refugio",55.282137,-133.334028,2017-08-22,234,-0.76,-0.71251913574946,0,0,0,0,3.4,4,4.4,5.1,6.8,6.6,4.25,5.4,5.5,3.93333333333333,6.16666666666667,5.05,13.125,98.125,0.0005825,0.00323386537126995,0.0102004185236098,0.5,0.180125,334.5,62.68049,30.7959702380952,43.7525,0.371517857142857,0.4025,11.813469047619,57.1055,0.0121087380777696,4.13186373881144,31.9109848884406,1.71195327952948,1.268142857,1.812642857,1.540392857,5.816292271,0.866792271,3.341542271,0.460982603861844,4.881935128,0.796,0.387,0.5915,0.04115
