sample_no,bed_no,date_MM.DD.YY,waypt,latitude_decimal_degrees,longitude_decimal_degrees,stipe_length_m,subbulb_diameter_cm,bulb_diameter_cm,stipe_weight_kg,blade_length_m,blade_weight_kg,erosion
192,27,07.22.18,568,55.795575,-133.295525,3.56,5.2,7.4,1.71,4.6,3.74,None
193,27,07.22.18,568,55.795575,-133.295525,1.9,3.9,6.4,0.69,3.35,1.54,None
194,27,07.22.18,568,55.795575,-133.295525,3.86,4.3,7.3,1.58,6.4,4.51,None
195,27,07.22.18,568,55.795575,-133.295525,7.56,4.1,6.5,0.99,4.1,1.65,None
196,27,07.22.18,568,55.795575,-133.295525,5.79,3.9,6.7,0.88,4.5,1.82,None
197,27,07.22.18,568,55.795575,-133.295525,4.66,2.6,5.3,0.33,3,0.84,None
198,27,07.22.18,568,55.795575,-133.295525,1.74,2.8,5.5,0.31,2.74,0.67,None
199,27,07.22.18,568,55.795575,-133.295525,5.39,4.5,7.6,1.47,5.8,4.85,None
200,27,07.22.18,568,55.795575,-133.295525,3.43,4.4,6.5,1.13,4.4,2.79,None
201,27,07.22.18,568,55.795575,-133.295525,4.22,3.7,6,0.73,5.2,2.58,None
202,27,07.22.18,568,55.795575,-133.295525,3.79,3.4,6.1,0.71,4.26,2.01,None
203,27,07.22.18,568,55.795575,-133.295525,1.91,3.5,5.8,0.43,2.2,0.86,None
204,27,07.22.18,568,55.795575,-133.295525,2.66,3.7,6.9,0.83,5.28,3.28,None
205,27,07.22.18,568,55.795575,-133.295525,2.8,3.7,6,0.51,2.64,0.83,None
206,27,07.22.18,568,55.795575,-133.295525,1.84,3.2,6.3,0.63,4.56,2.32,None
207,27,07.22.18,568,55.795575,-133.295525,7.22,4.2,6.2,1.33,5,2.16,None
208,27,07.22.18,568,55.795575,-133.295525,2.56,4,7.1,0.79,5.07,2.02,None
209,28,07.23.18,569,55.258434,-133.093644,4.12,4.2,5.7,0.81,3.1,2.54,None
210,28,07.23.18,569,55.258434,-133.093644,4.11,4.4,5.9,1.91,2.2,2.68,None
211,28,07.23.18,569,55.258434,-133.093644,4.64,5.1,8,1.63,3.13,6.85,None
212,28,07.23.18,569,55.258434,-133.093644,3.53,5,8.4,2.18,5.46,8.3,None
213,28,07.23.18,569,55.258434,-133.093644,4.7,2.76,7,0.86,2.2,1.63,Light
214,28,07.23.18,570,55.259178,-133.096044,2.32,2.6,5.2,0.42,0.95,0.75,Moderate
215,28,07.23.18,570,55.259178,-133.096044,2.69,3.7,6,0.66,1.72,1.32,Light
216,28,07.23.18,570,55.259178,-133.096044,2.26,3.4,5.3,0.49,1.85,0.9,Light
217,28,07.23.18,570,55.259178,-133.096044,5.1,4.2,6.7,1.27,2.3,2.54,Moderate
218,28,07.23.18,570,55.259178,-133.096044,4.7,4.2,6.1,1.55,2.4,6.03,Light
