site_name,site_code,so_region,year,date_mm.dd.yyyy,date_yyyy.mm.dd,transect_location,transect_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,47,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,34,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,28,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,49,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,40,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,35,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,38,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,36,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,38,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,39,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,42,Estimate,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,55,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,29,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,45,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,26,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,28,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,29,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,27,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,34,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,26,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,43,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,49,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,42,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Pointed macoma,Macoma inquinata,CLAMMP,Sea Otter,37,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,31,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,40,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,35,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,31,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Inside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,45,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Inside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,41,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Inside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,30,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Inside,50,Cockle,Clinocardium nutallii,CLAMCK,Whole,29,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Inside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,23,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,38,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,38,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,53,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,45,Estimate,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,54,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,28,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,44,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,37,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,35,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,30,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,29,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,51,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,31,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,36,Estimate,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,31,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,45,Estimate,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,35,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Whole,33,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Whole,27,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Sea Otter,20,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Crab,21,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,24,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,23,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,20,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,24,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,25,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,23,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,21,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,16,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Softshell clam,Mya arenicola,CLAMMYA,Sea Otter,42,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,34,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,45,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,39,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,36,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,42,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,43,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,34,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,45,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,26,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,36,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,33,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,40,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,41,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,38,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,45,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,34,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,23,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,43,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,37,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,40,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,47,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,30,,"Tiff, Sarah, Lia"
Nossuk Bay b,H_02_b,High,2018,5192018,20180519,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,16,,"Tiff, Sarah, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Crab,94,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,50,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,93,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,32,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,93,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,23,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,94,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,34,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,25,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Bentnose macoma,Macoma nasuta,CLAMMB,Whole,90,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,120,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Crab,96,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Crab,22,Estimate,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,81,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,68,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,51,,"Mel, Maggie, Tiff, Lia"
Nossuk Bay c,H_02_c,High,2018,6172018,20180617,Edge,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,99,,"Mel, Maggie, Tiff, Lia"
