site_code,site_name,latitude_N,longitude_E,date_DDMMYY,date_YYYYMMDD,start_time,end_time,depth_MLLW_m,quadrat_number,plant_number,eelgrass_shoots_0.25msq,flowering_shoots_0.25msq,epiphyte_percover_0.25msq,macroalgae_percover_0.25msq,epiphyte_dw_g,shoot_fw_g,shoot_dw_g,xs_shoot_fw_g,xs_shoot_dw_g,rhizome_fw_g,rhizome_dw_g,leaf1_length_cm,leaf2_length_cm,leaf3_length_cm,leaf4_length_cm,leaf5_length_cm,leaf6_length_cm,leaf7_length_cm,leaf8_length_cm,leaf9_length_cm,leaf10_length_cm,leaf1_width_cm,leaf2_width_cm,leaf3_width_cm,leaf4_width_cm,leaf5_width_cm,leaf6_width_cm,leaf7_width_cm,leaf8_width_cm,leaf9_width_cm,leaf10_width_cm,rhizome_length_cm,internode1_length_cm,internode2_length_cm,internode3_length_cm,internode4_length_cm,internode5_length_cm,isopod_count,isopod_fw_g,isopod_dw_g,gammarid_count,gammarid_fw_g,gammarid_dw_g,caprelid_count,caprelid_fw_g,caprelid_dw_g,limpet_count,limpet_fw_g,limpet_dw_g,gastropod_count,gastropod_fw_g,gastropod_dw_g,crab_count,crab_fw_g,crab_dw_g,polychaete_count,other_epifauna,notes
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,59,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,46,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,66,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,60,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,72,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,2,55,0,NA,0,0.0009,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,54,0,NA,5,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,41,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,59,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,46,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,66,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,60,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,72,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,3,55,0,NA,0,0.0063,0.1652,0.0247,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,54,0,NA,5,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,41,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,59,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,46,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,66,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,60,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,72,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,4,55,0,NA,0,0.0024,0.321,0.0489,NA,NA,0.3971,0.0352,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,4.6,0.4,0.4,0.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,54,0,NA,5,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,41,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,59,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,46,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,66,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,60,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,72,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,1,5,55,0,NA,0,0.0043,0.1163,0.0167,NA,NA,0.4551,0.0364,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,5,0.2,0.2,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,54,0,NA,5,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,41,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,59,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,46,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,66,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,60,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,72,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,1,55,0,NA,0,0.005,0.8043,0.1486,1.5161,0.1692,0.8057,0.0718,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,4.6,1.2,0.6,0.4,0.3,0.3,NA,NA,NA,21,0.036,0.0048,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7,1 clam,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,2,54,0,NA,5,0.0065,0.2922,0.0419,NA,NA,0.335,0.0421,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,4,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,2,41,0,NA,0,0.0065,0.2922,0.0419,NA,NA,0.335,0.0421,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,4,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,2,59,0,NA,0,0.0065,0.2922,0.0419,NA,NA,0.335,0.0421,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,4,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
2017_H_01,Salt Lake Bay,55.67264,-133.378,29/4/17,20170429,1055,1115,-0.5,2,2,46,0,NA,0,0.0065,0.2922,0.0419,NA,NA,0.335,0.0421,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,4,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,; 
