"","site","date_DDMMYY","date_YYYYMMDD","quadrat_number","plant_number","rhizome_length_cm","internode1_length_cm","internode2_length_cm","internode3_length_cm","internode4_length_cm","internode5_length_cm","leaf1_length_cm","leaf2_length_cm","leaf3_length_cm","leaf4_length_cm","leaf5_length_cm","leaf6_length_cm","leaf7_length_cm","leaf8_length_cm","leaf9_length_cm","leaf10_length_cm","leaf1_width_cm","leaf2_width_cm","leaf3_width_cm","leaf4_width_cm","leaf5_width_cm","leaf6_width_cm","leaf7_width_cm","leaf8_width_cm","leaf9_width_cm","leaf10_width_cm","rhizome_fw_g","shoot_fw_g","xs_shoot_fw_g","isopod_count","isopod_fw_g","gammarid_count","gammarid_fw_g","caprelid_count","caprelid_fw_g","limpet_count","limpet_fw_g","gastropod_count","gastropod_fw_g","crab_count","crab_fw_g","polychaete_count","other_epifauna","notes","epiphyte_dw_g","rhizome_dw_g","shoot_dw_g","xs_shoot_dw_g","isopod_dw_g","gammarid_dw_g","caprelid_dw_g","limpet_dw_g","gastropod_dw_g","crab_dw_g"
"13","2017_H_01","29/4/17",20170429,3,3,5,0.4,0.4,0.3,0.2,0.2,19.8,15.1,22.8,6.6,14.9,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.2,0.2,NA,NA,NA,NA,NA,0.3372,0.2744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0092000000000001,0.0365,0.0415,NA,NA,NA,NA,NA,NA,NA
"14","2017_H_01","29/4/17",20170429,3,4,5,0.8,0.4,0.3,0.3,0.2,26.2,9.6,19.2,21.5,15.5,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.3248,0.3689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0092000000000001,0.0355,0.0567,NA,NA,NA,NA,NA,NA,NA
"15","2017_H_01","29/4/17",20170429,3,5,2,0.1,0.1,0.1,0.2,0.1,8.9,8.1,7,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.0548,0.0432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0091,0.00739999999999996,0.0072000000000001,NA,NA,NA,NA,NA,NA,NA
"16","2017_H_01","29/4/17",20170429,4,1,4.7,0.6,0.3,0.3,0.2,0.2,14.2,7.5,15.4,16.7,4.9,NA,NA,NA,NA,NA,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2116,0.1886,2.9363,NA,NA,10,0.0232,NA,NA,NA,NA,NA,"",NA,NA,4,"2 barnacels, 1 mussel","",0.00570000000000004,0.029,0.0315,0.2982,NA,0.00309999999999999,NA,NA,NA,NA
"17","2017_H_01","29/4/17",20170429,4,2,3.4,0.4,0.2,0.3,0.3,0.1,16.1,6.3,10.6,13.3,12.1,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.1841,0.1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00560000000000005,0.0175,0.0248,NA,NA,NA,NA,NA,NA,NA
"18","2017_H_01","29/4/17",20170429,4,3,3.1,0.3,0.2,0.1,0.3,0.2,4.1,16.8,7,12.2,15.5,11.9,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.1562,0.1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00469999999999993,0.0268,0.0283,NA,NA,NA,NA,NA,NA,NA
"19","2017_H_01","29/4/17",20170429,4,4,5,0.4,0.5,0.2,0.3,0.2,18.5,25.7,21,10.5,5.1,26.2,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.2,0.3,NA,NA,NA,NA,0.3899,0.4021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.005,0.0481,0.0618000000000001,NA,NA,NA,NA,NA,NA,NA
"20","2017_H_01","29/4/17",20170429,4,5,4.9,0.5,0.4,0.4,0.3,0.2,26.7,18.6,10.3,17.4,20.5,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.25,0.3991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00700000000000001,0.0275,0.0468,NA,NA,NA,NA,NA,NA,NA
"21","2017_H_01","29/4/17",20170429,5,1,5,0.6,0.6,0.5,0.4,0.3,29.2,25,21.1,17.1,10.5,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.2,0.3,NA,NA,NA,NA,NA,0.3108,0.3808,0.9561,NA,NA,9,0.0245,NA,NA,1,0.0038,NA,"",NA,NA,2,"","",0.00629999999999997,0.0426,0.0597,0.1309,NA,0.00239999999999996,NA,9.9999999999989e-05,NA,NA
"22","2017_H_01","29/4/17",20170429,5,2,5,0.6,1,0.8,0.6,0.6,27,24.9,12.9,24.3,23.1,5.5,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.2,0.3,NA,NA,NA,NA,0.4017,0.5666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0069999999999999,0.0529,0.0815,NA,NA,NA,NA,NA,NA,NA
"23","2017_H_01","29/4/17",20170429,5,3,4.1,0.5,0.4,0.2,0.1,0.1,19.9,16.1,13.9,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.2006,0.1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00580000000000003,0.0251,0.0215,NA,NA,NA,NA,NA,NA,NA
"24","2017_H_01","29/4/17",20170429,5,4,5,0.5,1.1,0.9,0.4,0.3,29.5,10.4,25.4,21.6,30.6,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,NA,NA,NA,NA,NA,0.3726,0.4556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00729999999999997,0.057,0.0743,NA,NA,NA,NA,NA,NA,NA
"25","2017_H_01","29/4/17",20170429,5,5,5,0.5,0.5,0.2,0.3,0.2,11,13,19.1,4.2,8.8,16,NA,NA,NA,NA,0.2,0.2,0.3,0.2,0.2,0.2,NA,NA,NA,NA,0.3574,0.2459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00540000000000007,0.057,0.0381999999999999,NA,NA,NA,NA,NA,NA,NA
"26","2017_H_01","29/4/17",20170429,6,1,4.5,0.5,0.4,0.4,0.2,0.2,21.2,15,15.5,10.3,19.6,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.318,0.3326,1.0927,NA,NA,9,0.146,1,0.0047,NA,NA,NA,"",NA,NA,4,"","",0.00869999999999993,0.0297,0.0454,0.1245,NA,0.00190000000000001,0.00150000000000006,NA,NA,NA
"27","2017_H_01","29/4/17",20170429,6,2,5,0.9,0.8,0.6,0.4,0.3,24.2,21.1,4.2,12.6,25,21.1,NA,NA,NA,NA,0.3,0.4,0.3,0.4,0.3,0.2,NA,NA,NA,NA,0.6342,0.5209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00669999999999993,0.0827000000000001,0.0723,NA,NA,NA,NA,NA,NA,NA
"28","2017_H_01","29/4/17",20170429,6,3,3.6,0.5,0.5,0.4,0.2,0.2,27.2,22.6,11.2,28,20.3,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.3379,0.5104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0091,0.0343,0.0734,NA,NA,NA,NA,NA,NA,NA
"29","2017_H_01","29/4/17",20170429,6,4,1.5,0.3,0.5,0.2,0.3,NA,12.6,19.9,13,6,16.5,12.5,NA,NA,NA,NA,0.2,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,0.118,0.2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00540000000000002,0.0170999999999999,0.0394,NA,NA,NA,NA,NA,NA,NA
"30","2017_H_01","29/4/17",20170429,6,5,4.9,1,0.6,0.3,0.2,0.2,13.1,18.7,7.7,29.1,18.1,7.5,24,21.5,NA,NA,0.3,0.2,0.2,0.4,0.4,0.3,0.3,0.3,NA,NA,0.4415,0.6256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105000000000001,0.0401,0.0872999999999999,NA,NA,NA,NA,NA,NA,NA
"31","2017_H_01","29/4/17",20170429,7,1,4.6,0.5,0.3,0.3,0.2,0.3,18.8,14.6,13.9,11.6,12.1,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.2,0.2,NA,NA,NA,NA,NA,0.2676,0.2809,1.4632,NA,NA,13,0.03,NA,NA,NA,NA,NA,"",NA,NA,2,"","",0.00770000000000004,0.0325000000000001,0.0401,0.1833,NA,0.003,NA,NA,NA,NA
"32","2017_H_01","29/4/17",20170429,7,2,4.7,0.5,0.2,0.2,0.1,0.1,13.5,8.2,10.4,13.8,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.1452,0.1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00850000000000006,0.0169999999999999,0.0180999999999999,NA,NA,NA,NA,NA,NA,NA
"33","2017_H_01","29/4/17",20170429,7,3,4.6,0.5,0.4,0.3,0.2,0.2,15.9,18.2,6.7,12,16.9,4.6,13,5.9,NA,NA,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,NA,NA,0.276,0.3245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00849999999999995,0.0309,0.0492,NA,NA,NA,NA,NA,NA,NA
"34","2017_H_01","29/4/17",20170429,7,4,5,0.6,0.6,0.4,0.3,0.1,17.3,25,12.7,20.2,21.5,3.9,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.3,0.3,NA,NA,NA,NA,0.3068,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0081,0.0370999999999999,0.0670000000000001,NA,NA,NA,NA,NA,NA,NA
"35","2017_H_01","29/4/17",20170429,7,5,5,0.9,0.5,0.5,0.4,0.3,21.4,6.8,19.9,11.4,23.3,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.6455,0.4673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00919999999999999,0.0726,0.0595,NA,NA,NA,NA,NA,NA,NA
"36","2017_H_01","29/4/17",20170429,8,1,4.5,0.4,0.5,0.3,0.2,0.2,15.6,20.3,15.6,8.1,4.8,18.4,13,9.6,6.8,NA,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,NA,0.5456,0.3757,0.7293,NA,NA,1,0.0012,NA,NA,NA,NA,NA,"",NA,NA,4,"","",0.0089999999999999,0.0873,0.0650999999999999,0.1027,NA,0.000199999999999978,NA,NA,NA,NA
"37","2017_H_01","29/4/17",20170429,8,2,2.6,0.2,0.2,0.2,0.2,0.7,7.1,7,4.3,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,0.1046,0.0293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00790000000000002,0.0149,0.00419999999999998,NA,NA,NA,NA,NA,NA,NA
"38","2017_H_01","29/4/17",20170429,8,3,5,0.6,0.2,0.2,0.2,0.2,17.4,18.3,11.5,5.2,15.8,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2469,0.2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00869999999999993,0.0396,0.0304000000000001,NA,NA,NA,NA,NA,NA,NA
"39","2017_H_01","29/4/17",20170429,8,4,3.2,0.6,0.4,0.4,0.2,0.2,15.5,7.7,23.4,13.5,3.1,20.7,17.2,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,0.2,0.2,NA,NA,NA,0.2758,0.3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00780000000000003,0.0355,0.0515,NA,NA,NA,NA,NA,NA,NA
"40","2017_H_01","29/4/17",20170429,8,5,3.1,0.5,0.5,0.5,0.5,0.4,16.2,20.4,10,2.9,16.4,17.1,NA,NA,NA,NA,0.2,0.3,0.3,0.2,0.3,0.2,NA,NA,NA,NA,0.3739,0.3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.01,0.0516,0.0531,NA,NA,NA,NA,NA,NA,NA
"41","2017_H_02","28/5/17",20170528,1,1,5,1.2,0.9,0.6,0.7,0.3,41.2,43.6,33.8,16,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,0.9978,0.9934,9.4056,NA,NA,1,7e-04,NA,NA,2,0.0222,NA,"",NA,NA,5,"","",0.00969999999999993,0.1062,0.1341,1.1374,NA,0.000200000000000033,NA,0.00720000000000004,NA,NA
"42","2017_H_02","28/5/17",20170528,1,2,5,0.6,1.5,1.2,0.7,0.3,40,35.4,21.2,49.4,33.8,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.4,NA,NA,NA,NA,NA,0.8263,1.4112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0131,0.1207,0.1945,NA,NA,NA,NA,NA,NA,NA
"43","2017_H_02","28/5/17",20170528,1,3,5,1.2,0.2,0.3,0.1,0.1,9.1,37.2,33.8,14.5,42.4,30.2,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,0.4705,1.0521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00969999999999993,0.0506,0.1472,NA,NA,NA,NA,NA,NA,NA
"44","2017_H_02","28/5/17",20170528,1,4,5,0.9,0.6,0.6,0.1,0.1,34.8,42.2,8.5,34.4,43.2,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.4,NA,NA,NA,NA,NA,0.7994,1.1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105,0.0901999999999998,0.1474,NA,NA,NA,NA,NA,NA,NA
"45","2017_H_02","28/5/17",20170528,1,5,5,1.7,1.3,1,0.5,NA,47.2,52.4,24.7,43.6,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,NA,NA,NA,NA,NA,NA,0.8314,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00950000000000006,0.0869,0.2223,NA,NA,NA,NA,NA,NA,NA
"46","2017_H_02","28/5/17",20170528,2,1,5,0.6,1.2,0.7,0.7,0.4,45.8,27.4,5.3,53.4,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,0.8333,1.2226,11.738,NA,NA,NA,NA,NA,NA,6,0.0456,NA,"",NA,NA,4,"5 bivalves","",0.00700000000000001,0.0831,0.1552,1.1773,NA,NA,NA,0.0118,NA,NA
"47","2017_H_02","28/5/17",20170528,2,2,5,1,1.3,1,0.7,0.5,35.8,53,29.3,9.7,47.8,47.6,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,0.8278,1.6244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00980000000000003,0.0952999999999999,0.2142,NA,NA,NA,NA,NA,NA,NA
"48","2017_H_02","28/5/17",20170528,2,3,3.8,1.6,0.9,0.5,0.5,NA,38.6,50.2,20.2,43,55.2,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.0938,1.4953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105,0.1102,0.2109,NA,NA,NA,NA,NA,NA,NA
"49","2017_H_02","28/5/17",20170528,2,4,3.6,0.4,0.3,0.4,0.3,0.3,24.6,33.4,25,5.7,14.8,32.4,33.4,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,NA,NA,NA,0.3574,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0138999999999999,0.0415,0.12,NA,NA,NA,NA,NA,NA,NA
"50","2017_H_02","28/5/17",20170528,2,5,5,0.5,0.8,0.4,0.2,0.3,19.2,25.6,11.9,29.4,29.2,NA,NA,NA,NA,NA,0.2,0.3,0.4,0.3,0.3,NA,NA,NA,NA,NA,0.5133,0.6412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0111,0.0574000000000001,0.0856999999999999,NA,NA,NA,NA,NA,NA,NA
"51","2017_H_02","28/5/17",20170528,3,1,2.8,0.9,0.9,0.5,0.5,0.1,40.2,44.8,29.6,13.2,42.4,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.3445,0.9329,2.4091,NA,NA,NA,NA,NA,NA,1,0.0089,NA,"",NA,NA,5,"3 bivalves","",0.0145999999999999,0.0345,0.1191,0.2967,NA,NA,NA,0.00269999999999998,NA,NA
"52","2017_H_02","28/5/17",20170528,3,2,5,3,2,NA,NA,NA,34.4,48.8,37.2,9.9,24.6,49.4,45.2,NA,NA,NA,0.4,0.4,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,0.5116,2.1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0197000000000001,0.0681999999999999,0.3144,NA,NA,NA,NA,NA,NA,NA
"53","2017_H_02","28/5/17",20170528,3,3,5,0.7,1.9,1.5,NA,NA,38,49.8,3.7,25.5,44.2,43.4,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,0.533,1.2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0129,0.0604,0.1843,NA,NA,NA,NA,NA,NA,NA
"54","2017_H_02","28/5/17",20170528,3,4,5,0.8,0.5,0.4,0.2,0.2,25.9,33.2,15,33,28.2,4,NA,NA,NA,NA,0.2,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,0.3886,0.7318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0118,0.0406,0.1073,NA,NA,NA,NA,NA,NA,NA
"55","2017_H_02","28/5/17",20170528,3,5,2.1,0.6,0.6,0.3,0.4,NA,17.6,24.3,30.2,24.5,11.6,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.1463,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0107,0.0147999999999999,0.0545,NA,NA,NA,NA,NA,NA,NA
"56","2017_H_02","28/5/17",20170528,4,1,5,0.7,1.5,0.7,0.3,0.5,40.4,36.2,21.2,50,4.9,7.9,38.6,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,0.4,NA,NA,NA,0.3859,1.2634,13.6542,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,10,"","",0.013,0.0601999999999999,0.1775,1.4222,NA,NA,NA,NA,NA,NA
"57","2017_H_02","28/5/17",20170528,4,2,5,0.9,1.6,0.7,0.7,0.6,27.3,32.4,9.2,20.3,37.2,4.7,NA,NA,NA,NA,0.3,0.4,0.3,0.4,0.3,0.2,NA,NA,NA,NA,0.7018,0.6243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0134,0.0968,0.0938000000000001,NA,NA,NA,NA,NA,NA,NA
"58","2017_H_02","28/5/17",20170528,4,3,5,0.6,2,1,1,NA,26.4,46.2,41.4,8.1,2.3,24.8,50.4,NA,NA,NA,0.4,0.4,0.4,0.3,0.1,0.4,0.4,NA,NA,NA,0.4648,1.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.004,0.0556,0.1383,NA,NA,NA,NA,NA,NA,NA
"59","2017_H_02","28/5/17",20170528,4,4,5,1.3,1.4,1.1,0.8,NA,47.4,30.4,13.2,53,4.2,51.4,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.4,NA,NA,NA,NA,0.5143,1.2343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0109,0.0668000000000001,0.162,NA,NA,NA,NA,NA,NA,NA
"60","2017_H_02","28/5/17",20170528,4,5,5,1,3.5,NA,NA,NA,45.8,44.2,10.7,26.9,53.2,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.5421,1.3438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0144,0.0591,0.1775,NA,NA,NA,NA,NA,NA,NA
