sample_no,bed_no,date_MM.DD.YY,waypt,latitude_decimal_degrees,longitude_decimal_degrees,weight_kg,length_m,growing_tip,erosion
43,6,07.20.18,544,55.56781,-133.292534,9.6,13.2,Y,None
44,6,07.20.18,544,55.56781,-133.292534,1.55,3.1,Y,None
45,6,07.20.18,544,55.56781,-133.292534,1.2,2.5,Y,None
46,6,07.20.18,544,55.56781,-133.292534,0.6,1.7,Y,None
47,7,07.20.18,545,55.575745,-133.27657,2.75,5.6,Y,None
48,7,07.20.18,545,55.575745,-133.27657,1.64,8.2,N,Heavy
49,7,07.20.18,545,55.575745,-133.27657,2.42,4.9,Y,None
50,7,07.20.18,545,55.575745,-133.27657,0.49,1.55,Y,None
51,7,07.20.18,545,55.575745,-133.27657,3.15,4.5,Y,Light
52,7,07.20.18,545,55.575745,-133.27657,6.95,9.6,Y,Light
53,8,07.20.18,546,55.567896,-133.260326,2.4,6.3,N,Light
54,8,07.20.18,546,55.567896,-133.260326,1.85,4,N,Light
55,8,07.20.18,546,55.567896,-133.260326,0.54,2.6,Y,None
56,8,07.20.18,546,55.567896,-133.260326,1.18,3.7,N,Light
57,8,07.20.18,546,55.567896,-133.260326,2.45,7.1,Y,Light
58,8,07.20.18,546,55.567896,-133.260326,2.85,4.1,Y,Light
59,8,07.20.18,546,55.567896,-133.260326,0.41,2.8,N,Heavy
60,9,07.21.18,547,55.515696,-133.170503,2.35,6.3,N,Light
61,9,07.21.18,547,55.515696,-133.170503,2.13,4.2,Y,Light
62,9,07.21.18,547,55.515696,-133.170503,1.15,4.1,N,Moderate
63,9,07.21.18,547,55.515696,-133.170503,2.54,7,N,Light
64,9,07.21.18,547,55.515696,-133.170503,1.42,5.6,N,Moderate
65,9,07.21.18,548,55.508977,-133.178712,3.35,6.5,Y,Light
66,9,07.21.18,548,55.508977,-133.178712,2.51,4.2,Y,None
67,9,07.21.18,548,55.508977,-133.178712,3.22,5.4,Y,None
68,9,07.21.18,548,55.508977,-133.178712,5.35,7,N,Light
69,9,07.21.18,548,55.508977,-133.178712,3.8,6.1,Y,None
70,9,07.21.18,548,55.508977,-133.178712,2.83,9.1,N,Moderate
71,10,07.21.18,549,55.503743,-133.185269,1.94,4.4,Y,None
72,10,07.21.18,549,55.503743,-133.185269,3.45,6.8,N,Light
73,10,07.21.18,549,55.503743,-133.185269,3.38,7.3,Y,Light
74,10,07.21.18,549,55.503743,-133.185269,1.22,2.4,Y,None
75,10,07.21.18,549,55.503743,-133.185269,2.5,0.88,Y,None
76,11,07.21.18,551,55.569806,-133.247666,1.74,4.4,Y,Light
77,11,07.21.18,551,55.569806,-133.247666,1.14,3.2,Y,Moderate
78,11,07.21.18,551,55.569806,-133.247666,0.81,1.35,Y,Light
79,11,07.21.18,551,55.569806,-133.247666,1.65,4.4,Y,Moderate
80,11,07.21.18,551,55.569806,-133.247666,0.93,2.15,Y,Light
81,11,07.21.18,551,55.569806,-133.247666,2.22,5.5,N,Moderate
82,11,07.21.18,551,55.569806,-133.247666,1.38,4.3,N,Moderate
99,12,07.21.18,552,55.582975,-133.293008,1.05,4.03,Y,None
100,13,07.21.18,553,55.586697,-133.305046,4.83,6.8,Y,None
101,13,07.21.18,553,55.586697,-133.305046,3.63,6.25,Y,None
102,13,07.21.18,553,55.586697,-133.305046,2.25,4.4,Y,None
103,13,07.21.18,553,55.586697,-133.305046,1.96,2.9,Y,None
104,13,07.21.18,553,55.586697,-133.305046,3.25,4.2,Y,None
105,13,07.21.18,553,55.586697,-133.305046,0.65,1.5,Y,None
106,13,07.21.18,553,55.586697,-133.305046,1.46,4.64,Y,None
107,13,07.21.18,553,55.586697,-133.305046,0.74,1.54,Y,None
108,14,07.21.18,554,55.587668,-133.313912,1.15,2.7,Y,None
109,14,07.21.18,554,55.587668,-133.313912,4.88,10.95,Y,None
110,14,07.21.18,554,55.587668,-133.313912,4.35,12.14,Y,Light
111,14,07.21.18,554,55.587668,-133.313912,1.95,3.87,N,None
112,14,07.21.18,554,55.587668,-133.313912,4.22,10.37,Y,None
113,14,07.21.18,554,55.587668,-133.313912,2.67,3.85,Y,None
114,14,07.21.18,554,55.587668,-133.313912,1.53,3.94,Y,None
115,15,07.21.18,555,55.565179,-133.1925,2.18,6.49,N,Moderate
116,15,07.21.18,555,55.565179,-133.1925,1.26,4.08,Y,Moderate
117,15,07.21.18,555,55.565179,-133.1925,0.54,1.71,N,Moderate
118,15,07.21.18,555,55.565179,-133.1925,1.58,4.1,N,Moderate
119,15,07.21.18,555,55.565179,-133.1925,3.64,4.63,N,Moderate
120,15,07.21.18,555,55.565179,-133.1925,0.57,1.6,Y,Moderate
121,15,07.21.18,555,55.565179,-133.1925,0.81,1.79,Y,Light
122,16,07.21.18,556,55.550216,-133.166692,0.8,2.3,Y,None
123,16,07.21.18,556,55.550216,-133.166692,2.33,5.73,Y,Light
124,16,07.21.18,556,55.550216,-133.166692,3.05,10.3,Y,Moderate
125,16,07.21.18,556,55.550216,-133.166692,1.3,4.35,Y,Light
126,16,07.21.18,556,55.550216,-133.166692,0.96,3.63,N,Moderate
127,16,07.21.18,556,55.550216,-133.166692,0.85,1.47,Y,Light
128,16,07.21.18,556,55.550216,-133.166692,0.48,3.61,N,Heavy
129,16,07.21.18,556,55.550216,-133.166692,0.61,4.1,Y,Moderate
130,16,07.21.18,556,55.550216,-133.166692,0.37,1.01,Y,None
131,17,07.21.18,557,55.529819,-133.198742,5.37,6.58,N,Light
132,17,07.21.18,557,55.529819,-133.198742,1.19,2.38,N,None
133,17,07.21.18,557,55.529819,-133.198742,3.14,7.96,Y,Moderate
134,17,07.21.18,557,55.529819,-133.198742,4.38,11.91,Y,Light
135,17,07.21.18,557,55.529819,-133.198742,2.62,9.89,Y,Moderate
136,17,07.21.18,557,55.529819,-133.198742,3.17,5.78,Y,N/A
137,18,07.21.18,558,55.524016,-133.170444,0.82,2.53,Y,Light
138,18,07.21.18,558,55.524016,-133.170444,1.04,4.98,N,Moderate
139,18,07.21.18,558,55.524016,-133.170444,2.63,4.84,N,Light
140,18,07.21.18,558,55.524016,-133.170444,0.94,1.98,Y,None
141,18,07.21.18,558,55.524016,-133.170444,0.68,0.8,Y,None
142,18,07.21.18,558,55.524016,-133.170444,0.91,3.83,N,Moderate
143,19,07.22.18,559,55.816032,-133.364852,3.02,4.65,Y,Light
144,19,07.22.18,559,55.816032,-133.364852,1.38,3.45,N/A,Moderate
145,19,07.22.18,559,55.816032,-133.364852,2.55,7.5,Y,Light
146,19,07.22.18,559,55.816032,-133.364852,4.76,5.1,N,Moderate
147,19,07.22.18,559,55.816032,-133.364852,2.44,3.75,Y,Light
148,19,07.22.18,559,55.816032,-133.364852,0.82,1.28,Y,None
149,20,07.22.18,560,55.82618,-133.383422,2.15,5.3,N/A,Heavy
150,20,07.22.18,560,55.82618,-133.383422,1.04,1.7,Y,None
151,20,07.22.18,560,55.82618,-133.383422,3.73,5.7,Y,None
152,20,07.22.18,560,55.82618,-133.383422,1.94,4.35,Y,Light
153,20,07.22.18,560,55.82618,-133.383422,2.11,5.45,Y,Light
154,20,07.22.18,560,55.82618,-133.383422,3.29,6.8,Y,None
155,21,07.22.18,561,55.82813,-133.387963,2.71,6.3,Y,Light
156,21,07.22.18,561,55.82813,-133.387963,5.33,7.4,Y,None
157,21,07.22.18,561,55.82813,-133.387963,2.14,3,Y,None
158,21,07.22.18,561,55.82813,-133.387963,5.45,7,Y,None
159,21,07.22.18,561,55.82813,-133.387963,2.36,4.5,Y,None
160,21,07.22.18,561,55.82813,-133.387963,3.32,5.95,N/A,None
161,22,07.22.18,562,55.793977,-133.417647,0.95,3.5,N,Heavy
162,22,07.22.18,562,55.793977,-133.417647,2.44,6.05,N/A,Moderate
163,22,07.22.18,562,55.793977,-133.417647,1.16,2.95,N,Moderate
164,22,07.22.18,562,55.793977,-133.417647,2.51,5.5,N,Moderate
165,22,07.22.18,562,55.793977,-133.417647,3.83,6,N,Moderate
166,22,07.22.18,562,55.793977,-133.417647,2.36,6.25,N,Moderate
167,23,07.22.18,563,55.803974,-133.481975,1.96,3.6,N,Moderate
168,23,07.22.18,563,55.803974,-133.481975,2.71,5.5,Y,Moderate
169,23,07.22.18,563,55.803974,-133.481975,2.06,5.75,N,Moderate
170,23,07.22.18,563,55.803974,-133.481975,1.02,2.9,N,Moderate
171,23,07.22.18,563,55.803974,-133.481975,1.48,3.7,Y,Light
172,23,07.22.18,563,55.803974,-133.481975,2.49,5.4,N,Moderate
173,24,07.22.18,564,55.805684,-133.489842,3.57,5.3,Y,Light
174,24,07.22.18,564,55.805684,-133.489842,1.23,2.8,N,Moderate
175,24,07.22.18,564,55.805684,-133.489842,1.95,3.9,Y,Light
176,24,07.22.18,564,55.805684,-133.489842,2.61,5.95,Y,Light
177,24,07.22.18,564,55.805684,-133.489842,1.25,3.6,Y,Light
178,25,07.22.18,565,55.811994,-133.498155,2.35,7.45,Y,Light
179,25,07.22.18,565,55.811994,-133.498155,2.02,5.5,N,Moderate
180,25,07.22.18,565,55.811994,-133.498155,0.8,2.65,Y,Moderate
181,25,07.22.18,565,55.811994,-133.498155,1.62,4,Y,Light
182,25,07.22.18,565,55.811994,-133.498155,2.65,6.1,Y,Moderate
183,26,07.22.18,567,55.863922,-133.485605,1.85,6.3,Y,Light
184,26,07.22.18,567,55.863922,-133.485605,3.53,7.5,N,Light
185,26,07.22.18,567,55.863922,-133.485605,2.92,5.5,Y,None
186,26,07.22.18,567,55.863922,-133.485605,2.06,5.75,Y,Light
187,26,07.22.18,567,55.863922,-133.485605,3.89,8.45,Y,Light
188,26,07.22.18,567,55.863922,-133.485605,2.18,4.6,Y,Light
219,29,07.23.18,571,55.258061,-133.091393,3.63,5.3,Y,None
220,29,07.23.18,571,55.258061,-133.091393,1.28,3.1,Y,None
221,29,07.23.18,571,55.258061,-133.091393,1.1,1.7,Y,None
222,29,07.23.18,571,55.258061,-133.091393,3.85,4.95,Y,None
223,30,07.23.18,572,55.213531,-133.045675,2.13,5.3,Y,Light
224,30,07.23.18,572,55.213531,-133.045675,2.57,5.6,Y,Light
225,30,07.23.18,572,55.213531,-133.045675,4.13,9.5,Y,Light
226,30,07.23.18,572,55.213531,-133.045675,3.63,7,N/A,Moderate
227,30,07.23.18,572,55.213531,-133.045675,5.14,8.5,Y,Light
228,30,07.23.18,572,55.213531,-133.045675,2.72,5.55,Y,None
229,30,07.23.18,572,55.213531,-133.045675,1.19,3,Y,None
230,30,07.23.18,572,55.213531,-133.045675,1.12,4.7,Y,Moderate
231,31,07.23.18,573,55.178793,-133.014446,0.96,3.2,N,Moderate
232,31,07.23.18,573,55.178793,-133.014446,3.63,6.2,Y,Moderate
233,31,07.23.18,573,55.178793,-133.014446,1.87,3.6,N,Light
234,31,07.23.18,573,55.178793,-133.014446,0.87,4,N,Heavy
235,31,07.23.18,573,55.178793,-133.014446,0.74,2.3,Y,Moderate
236,31,07.23.18,573,55.178793,-133.014446,1.32,4.7,Y,Moderate
237,31,07.23.18,573,55.178793,-133.014446,2,6.25,Y,Light
238,32,07.23.18,574,55.165202,-132.966477,1.44,3.1,Y,Light
239,32,07.23.18,574,55.165202,-132.966477,3.09,5.4,N,Light
240,32,07.23.18,574,55.165202,-132.966477,4.02,7.8,N,Light
241,32,07.23.18,574,55.165202,-132.966477,0.85,3.7,N,Heavy
242,32,07.23.18,574,55.165202,-132.966477,1.19,2.9,Y,Light
243,32,07.23.18,574,55.165202,-132.966477,0.76,2.2,Y,Light
244,32,07.23.18,574,55.165202,-132.966477,0.92,3.4,N,Moderate
245,32,07.23.18,574,55.165202,-132.966477,1.41,4.9,Y,Moderate
246,32,07.23.18,574,55.165202,-132.966477,0.66,1.8,Y,Light
247,32,07.23.18,574,55.165202,-132.966477,1.57,2.45,Y,None
248,33,07.23.18,575,55.178271,-132.945766,1.24,2.9,Y,Light
249,33,07.23.18,575,55.178271,-132.945766,3.64,5.9,Y,Light
250,33,07.23.18,575,55.178271,-132.945766,3.18,6.85,Y,Light
251,33,07.23.18,575,55.178271,-132.945766,1.57,3.35,Y,None
252,33,07.23.18,575,55.178271,-132.945766,3.48,7.2,Y,Light
253,33,07.23.18,575,55.178271,-132.945766,0.87,4.5,N,Moderate
254,33,07.23.18,575,55.178271,-132.945766,1.17,6,N/A,Heavy
255,34,07.23.18,576,55.167789,-132.917022,1.5,3.8,N/A,Light
256,34,07.23.18,576,55.167789,-132.917022,3.89,5.8,Y,Light
257,34,07.23.18,576,55.167789,-132.917022,10.52,11.2,N,Light
258,34,07.23.18,576,55.167789,-132.917022,2.19,4,Y,Light
259,34,07.23.18,576,55.167789,-132.917022,2.05,4.75,Y,Light
260,34,07.23.18,576,55.167789,-132.917022,2.89,4.75,Y,Light
261,34,07.23.18,576,55.167789,-132.917022,0.38,1.1,Y,None
262,35,07.23.18,577,55.191447,-132.855896,2.53,5.15,Y,None
263,35,07.23.18,577,55.191447,-132.855896,4.55,6.65,Y,Light
264,35,07.23.18,577,55.191447,-132.855896,2.3,5.8,N,Light
265,35,07.23.18,577,55.191447,-132.855896,3.09,10.5,Y,Moderate
266,35,07.23.18,577,55.191447,-132.855896,2.57,3.7,Y,Light
