site_code,site_name,latitude_N,longitude_E,year,date_MMDDYY,date_YYYYMMDD,trans_loc,bin_no,bin_area_m2,pit_count_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Outside,4,40,2,mud,muddy sand,1,3,"Lia, Liz",
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Outside,5,40,7,mud,sandy mud,1,2,"Lia, Liz",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Outside,1,40,3,muddy sand,sandy mud,3,2,"Lia, Maggie",Lots of macoma and half shells recently dead.
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Outside,2,40,4,muddy sand,sandy mud,3,2,"Lia, Maggie",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Outside,3,40,1,sandy mud,muddy sand,2,3,"Lia, Maggie",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Outside,4,40,3,sandy mud,muddy sand,2,3,"Lia, Maggie",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Outside,5,40,4,muddy sand,sandy mud,3,2,"Lia, Maggie",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Edge,1,40,1,mud,sandy mud,1,2,"Lia, Mel",Lots of algae difficult to see unfouled shells or pits.
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Edge,2,40,3,mud,sandy mud,1,2,"Lia, Mel",Freshwater creek.
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Edge,3,40,3,mud,sandy mud,1,2,"Lia, Mel",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Edge,4,40,0,mud,sandy mud,1,2,"Lia, Mel",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Edge,5,40,3,sandy mud,sandy mud,2,2,"Lia, Mel",
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Inside,1,40,2,mud,muddy sand,1,3,Tiff,Done on snorkel.
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Inside,2,40,0,mud,mud,1,1,Tiff,
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Inside,3,40,0,mud,mud,1,1,Tiff,
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Inside,4,40,0,mud,mud,1,1,Tiff,
H_04_a,Kaguk Cove a,-133.29047,55.733423,2018,5/30/18,20180530,Inside,5,40,0,mud,sandy mud,1,2,Tiff,
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Outside,1,40,27,course sand,gravel,5,7,"Lia, Mel",Diffuse seagrass edge highly variable. Lots of algae cover. Shells without barnacles but with green algal fouling.
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Outside,2,40,29,course sand,gravel,5,7,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Outside,3,40,22,course sand,pebble,5,6,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Outside,4,40,18,course sand,pebble,5,6,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Outside,5,40,4,muddy sand,sand,3,4,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Edge,1,40,10,course sand,muddy sand,5,3,"Lia, Mel",Eelgrass side of transect has finer sediment. Eelgrass has epiphytes.
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Edge,2,40,3,muddy sand,sand,3,4,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Edge,3,40,2,muddy sand,sand,3,4,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Edge,4,40,10,sandy mud,pebble,2,6,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Edge,5,40,6,muddy sand,sandy mud,3,2,"Lia, Mel",
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Inside,1,40,2,muddy sand,sand,3,4,Tiff,
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Inside,2,40,0,muddy sand,sand,3,4,Tiff,
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Inside,3,40,1,muddy sand,sand,3,4,Tiff,
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Inside,4,40,0,muddy sand,sand,3,4,Tiff,
H_05_b,Naukati Bay b,-133.156399,55.865721,2018,5/28/18,20180528,Inside,5,40,0,muddy sand,sand,3,4,Tiff,
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Inside,1,40,6,mud,sandy mud,1,2,"Lia, Mel",Occasional cobble. Firm mud. Placed at waters edge.
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Inside,2,40,6,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Inside,3,40,4,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Inside,4,40,14,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Inside,5,40,24,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Edge,1,40,7,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Edge,2,40,4,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Edge,3,40,5,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Edge,4,40,4,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Edge,5,40,6,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Outside,1,40,2,mud,sandy mud,1,2,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Outside,2,40,1,mud,sandy mud,1,2,"Lia, Mel",At 11-30 meters cobble present roughly 30-40%.
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Outside,3,40,1,muddy sand,mud,3,1,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Outside,4,40,4,mud,muddy sand,1,3,"Lia, Mel",
H_06_b,Guktu Bay b,-133.311306,55.740264,2018,5/31/18,20180531,Outside,5,40,6,mud,sandy mud,1,2,"Lia, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Inside,1,40,0,muddy sand,muddy sand,3,3,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Inside,2,40,1,muddy sand,sandy mud,3,2,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Inside,3,40,0,muddy sand,sandy mud,3,2,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Inside,4,40,2,muddy sand,muddy sand,3,3,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Inside,5,40,2,muddy sand,muddy sand,3,3,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Edge,1,40,7,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Edge,2,40,2,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Edge,3,40,3,muddy sand,gravel,3,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Edge,4,40,5,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Edge,5,40,2,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Outside,1,40,4,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Outside,2,40,6,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Outside,3,40,7,muddy sand,gravel,3,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Outside,4,40,4,sand,gravel,4,7,"Tiff, Maggie, Wendel, Mel",
H_07_a,Blanquizal Bay a,-133.387067,55.621174,2018,6/18/18,20180618,Outside,5,40,2,sand,cobble,4,8,"Tiff, Maggie, Wendel, Mel",
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Inside,1,40,0,sandy mud,muddy sand,2,3,Wendel,"Many old shells across the beach above eelgrass, mostly butters."
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Inside,2,40,0,sandy mud,sandy mud,2,2,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Inside,3,40,0,sandy mud,sandy mud,2,2,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Inside,4,40,0,sandy mud,sandy mud,2,2,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Inside,5,40,0,sandy mud,muddy sand,2,3,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Edge,1,40,2,sand,muddy sand,4,3,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Edge,2,40,8,sand,muddy sand,4,3,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Edge,3,40,24,sand,gravel,4,7,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Edge,4,40,3,sand,gravel and cobble,4,43684,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Edge,5,40,3,sand,gravel and cobble,4,43684,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Outside,1,40,0,muddy sand,muddy sand,3,3,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Outside,2,40,0,sand,muddy sand,4,3,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Outside,3,40,6,sand,gravel,4,7,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Outside,4,40,12,sand,gravel,4,7,Wendel,
H_08_a,Kinani Point a,-133.250006,55.889904,2018,7/14/18,20180714,Outside,5,40,9,sand,gravel and cobble,4,43684,Wendel,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Inside,1,40,1,sand,sand,4,4,Maggie,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Inside,2,40,0,sand,sand,4,4,Maggie,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Inside,3,40,1,sand,muddy sand,4,3,Maggie,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Inside,4,40,0,sand,sand,4,4,Maggie,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Inside,5,40,2,sand,sand,4,4,Maggie,
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Edge,1,40,5,sand,sand,4,4,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Edge,2,40,3,sand,sand,4,4,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Edge,3,40,3,sand,sand,4,4,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Edge,4,40,3,sand,sand,4,4,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Edge,5,40,3,sand,sand,4,4,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Outside,1,40,2,sand,gravel,4,7,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Outside,2,40,1,sand,gravel,4,7,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Outside,3,40,0,sand,gravel,4,7,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Outside,4,40,0,sand,gravel,4,7,"Mel, EW",
L_01_a,Soda Bay a,-132.994318,55.264232,2018,6/27/18,20180627,Outside,5,40,0,sand,gravel,4,7,"Mel, EW",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Inside,1,40,4,muddy sand,sand,3,4,"Lia, Liz","Less dense seagrass than south pass. Pits when present were small, diameter of about 15 cm."
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Inside,2,40,5,muddy sand,sand,3,4,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Inside,3,40,2,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Inside,4,40,2,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Inside,5,40,2,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Edge,1,40,3,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Edge,2,40,4,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Edge,3,40,1,sand,pebble,4,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Edge,4,40,4,sand,pebble,4,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Edge,5,40,6,muddy sand,pebble,3,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Outside,1,40,1,course sand,gravel,5,7,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Outside,2,40,3,course sand,pebble,5,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Outside,3,40,6,course sand,pebble,5,6,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Outside,4,40,5,course sand,gravel,5,7,"Lia, Liz",
L_02_a,Goats Mouth Inlet a,-132.9,55.19286,2018,6/14/18,20180614,Outside,5,40,4,course sand,gravel,5,7,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Inside,1,40,6,sandy mud,sand,2,4,"Lia, Liz","Shell hash, lots of saccharina, evasterias."
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Inside,2,40,3,sandy mud,muddy sand,2,3,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Inside,3,40,5,sandy mud,muddy sand,2,3,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Inside,4,40,5,sandy mud,muddy sand,2,3,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Inside,5,40,4,sandy mud,muddy sand,2,3,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Edge,1,40,2,sand,cobble,4,8,Tiff,
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Edge,2,40,0,sand,gravel,4,7,Tiff,
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Edge,3,40,2,sand,gravel,4,7,Tiff,
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Edge,4,40,0,sand,muddy sand,4,3,Tiff,
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Edge,5,40,1,sand,muddy sand,4,3,Tiff,
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Outside,1,40,4,course sand,pebble,5,6,"Lia, Liz",pits otter old
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Outside,2,40,1,course sand,gravel,5,7,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Outside,3,40,5,course sand,gravel,5,7,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Outside,4,40,2,course sand,gravel,5,7,"Lia, Liz",
L_03_b,North Pass b,-132.910143,55.228252,2018,6/15/18,20180615,Outside,5,40,1,course sand,cobble,5,8,"Lia, Liz",
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Outside,1,40,0,muddy sand,pebble,3,6,"Lia, Liz",Pisaster along transect
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Outside,2,40,3,muddy sand,pebble,3,6,"Lia, Liz",
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Outside,3,40,4,sand,sand,4,4,"Lia, Liz",Piasaster present
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Outside,4,40,5,sand,muddy sand,4,3,"Lia, Liz",
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Outside,5,40,5,sand,muddy sand,4,3,"Lia, Liz",Piasaster present
L_04_b,Natzuhini Bay b,-132.879147,55.247539,2018,6/15/18,20180615,Inside,1,40,2,sandy mud,muddy sand,2,3,"Lia, Liz",More rocks present
